Year,Date,Type,Substance,Past_30_Day_Use_Percent,ObjectId
2016,2016/12/31 07:00:00+00,Survey Response,Alcohol,24.3,1
2016,2016/12/31 07:00:00+00,Survey Response,Marijuana,16.1,2
2016,2016/12/31 07:00:00+00,Survey Response,Prescription Drug Misuse,5.4,3
2016,2016/12/31 07:00:00+00,Survey Response,Prescription Pain Reliever Misuse,4.2,4
2018,2018/12/31 07:00:00+00,Survey Response,Alcohol,18.2,5
2018,2018/12/31 07:00:00+00,Survey Response,Marijuana,18.3,6
2018,2018/12/31 07:00:00+00,Survey Response,Prescription Drug Misuse,5.6,7
2018,2018/12/31 07:00:00+00,Survey Response,Prescription Pain Reliever Misuse,3.9,8
2020,2020/12/31 07:00:00+00,Survey Response,Alcohol,15.9,9
2020,2020/12/31 07:00:00+00,Survey Response,Marijuana,16.6,10
2020,2020/12/31 07:00:00+00,Survey Response,Prescription Drug Misuse,3.1,11
2020,2020/12/31 07:00:00+00,Survey Response,Prescription Pain Reliever Misuse,2.1,12
2022,2022/12/31 07:00:00+00,Survey Response,Alcohol,15.9,13
2022,2022/12/31 07:00:00+00,Survey Response,Marijuana,16.1,14
2022,2022/12/31 07:00:00+00,Survey Response,Prescription Drug Misuse,3.8,15
2022,2022/12/31 07:00:00+00,Survey Response,Prescription Pain Reliever Misuse,2.7,16
2020,2020/12/31 07:00:00+00,Target Date,Alcohol,0.0,17
2020,2020/12/31 07:00:00+00,Target Date,Marijuana,0.0,18
2020,2020/12/31 07:00:00+00,Target Date,Prescription Drug Misuse,0.0,19
2020,2020/12/31 07:00:00+00,Target Date,Prescription Pain Reliever Misuse,0.0,20
