SECTION_NUMBER,ON_STREET,FROM_STREET,TO_STREET,LENGTH,COUNT_,CURRENT_PQI,MEASURED_PQI,PQI_DATE,CLASS,YEAR,ObjectId
60,WARNER RD,I-10,JEWEL ST,1075,6.0,76.7,79.6,2022/03/26 07:00:00+00,Arterial,2022.0,1
70,WARNER RD,JEWEL ST,EMERALD DR,520,6.0,75.9,78.9,2022/03/26 07:00:00+00,Arterial,2022.0,2
80,WARNER RD,EMERALD DR,PRIEST DR,1107,5.0,76.5,79.5,2022/03/26 07:00:00+00,Arterial,2022.0,3
90,WARNER RD,PRIEST DR,BECK AV,1410,5.0,76.8,79.9,2022/03/26 07:00:00+00,Arterial,2022.0,4
100,WARNER RD,BECK AV,HARDY DR,1352,5.0,78.6,81.4,2022/03/26 07:00:00+00,Arterial,2022.0,5
110,WARNER RD,HARDY DR,MCKEMY ST,1536,5.0,78.1,80.9,2022/03/26 07:00:00+00,Arterial,2022.0,6
120,WARNER RD,MCKEMY ST,KYRENE RD,1189,5.0,80.9,83.5,2022/03/26 07:00:00+00,Arterial,2022.0,7
130,WARNER RD,KYRENE RD,DROMEDARY DR,736,5.0,85.8,87.5,2022/03/26 07:00:00+00,Arterial,2022.0,8
140,WARNER RD,DROMEDARY DR,DATELAND DR,607,5.0,81.2,83.4,2022/03/26 07:00:00+00,Arterial,2022.0,9
150,WARNER RD,DATELAND DR,MAPLE AV,536,5.0,81.9,84.0,2022/03/26 07:00:00+00,Arterial,2022.0,10
160,WARNER RD,MAPLE AV,MAPLE AV,207,5.0,83.9,85.9,2022/03/26 07:00:00+00,Arterial,2022.0,11
170,WARNER RD,MAPLE AV,MILL AV,272,5.0,88.5,89.9,2022/03/26 07:00:00+00,Arterial,2022.0,12
180,WARNER RD,MILL AV,WARNER RANCH RD,339,5.0,84.4,86.3,2022/03/26 07:00:00+00,Arterial,2022.0,13
190,WARNER RD,WARNER RANCH RD,MYRTLE AV,369,5.0,81.1,83.3,2022/03/26 07:00:00+00,Arterial,2022.0,14
200,WARNER RD,MYRTLE AV,FOREST AV,472,5.0,82.6,84.7,2022/03/26 07:00:00+00,Arterial,2022.0,15
210,WARNER RD,FOREST AV,COLLEGE AVE,330,5.0,82.6,84.7,2022/03/26 07:00:00+00,Arterial,2022.0,16
220,WARNER RD,COLLEGE AVE,70TH ST,189,5.0,81.8,83.9,2022/03/26 07:00:00+00,Arterial,2022.0,17
230,WARNER RD,70TH ST, 71ST ST,669,5.0,81.1,83.3,2022/03/26 07:00:00+00,Arterial,2022.0,18
240,WARNER RD, 71ST ST,RURAL RD,675,5.0,72.2,75.2,2022/03/26 07:00:00+00,Arterial,2022.0,19
250,WARNER RD,RURAL RD,BONARDEN LN,692,5.0,96.1,96.1,2022/04/29 07:00:00+00,Arterial,2022.0,20
260,WARNER RD,BONARDEN LN,TERRACE RD,652,5.0,96.1,96.1,2022/04/29 07:00:00+00,Arterial,2022.0,21
270,WARNER RD,TERRACE RD,STANLEY PL,1007,5.0,96.1,96.1,2022/04/29 07:00:00+00,Arterial,2022.0,22
280,WARNER RD,STANLEY PL,LAKESHORE DR,510,5.0,96.1,96.1,2022/04/29 07:00:00+00,Arterial,2022.0,23
290,WARNER RD,LAKESHORE DR,JUNIPER ST,1189,5.0,96.1,96.1,2022/04/29 07:00:00+00,Arterial,2022.0,24
300,WARNER RD,JUNIPER ST,MCCLINTOCK DR,1346,5.0,96.1,96.1,2022/04/29 07:00:00+00,Arterial,2022.0,25
310,WARNER RD,MCCLINTOCK DR,TAYLOR DR,1039,5.0,96.1,96.1,2022/04/29 07:00:00+00,Arterial,2022.0,26
320,WARNER RD,TAYLOR DR,LOS FELIZ DR,507,5.0,96.1,96.1,2022/04/29 07:00:00+00,Arterial,2022.0,27
330,WARNER RD,LOS FELIZ DR,KENWOOD LN,679,5.0,96.1,96.1,2022/04/29 07:00:00+00,Arterial,2022.0,28
340,WARNER RD,KENWOOD LN,KENWOOD LN,375,5.0,96.1,96.1,2022/04/29 07:00:00+00,Arterial,2022.0,29
350,WARNER RD,KENWOOD LN,FAIRFIELD DR,552,5.0,96.1,96.1,2022/04/29 07:00:00+00,Arterial,2022.0,30
360,WARNER RD,FAIRFIELD DR,RIVER PARKWAY,1089,5.0,96.1,96.1,2022/04/29 07:00:00+00,Arterial,2022.0,31
370,WARNER RD,RIVER PARKWAY,S PRICE RD,1279,6.0,96.1,96.1,2022/04/29 07:00:00+00,Arterial,2022.0,32
380,ELLIOT RD,I-10,HARL AV,1875,3.0,72.5,75.2,2022/03/26 07:00:00+00,Arterial,2022.0,33
53165,UNIVERSITY AVE ALLEY,END,ALBERT AV,733,3.0,72.6,75.3,2022/03/26 07:00:00+00,Arterial,2022.0,34
390,ELLIOT RD,HARL AV,PRIEST DR,869,3.0,73.2,75.7,2022/03/26 07:00:00+00,Arterial,2022.0,35
54071,CENTER PKWY,WASHINGTON ST,202 FREEWAY,1204,3.0,66.4,69.7,2022/03/26 07:00:00+00,Arterial,2022.0,36
400,ELLIOT RD,PRIEST DR,HARDY DR,2726,3.0,70.6,73.5,2022/03/26 07:00:00+00,Arterial,2022.0,37
48410,19TH ST,MCKEMY ST,ROOSEVELT,659,3.0,74.9,77.5,2022/03/26 07:00:00+00,Arterial,2022.0,38
410,ELLIOT RD,HARDY DR,ROOSEVELT ST,1307,3.0,77.7,80.0,2022/03/26 07:00:00+00,Arterial,2022.0,39
49915,BROADWAY RD ALLEY,ENCANTO DR,COLLEGE AV,992,3.0,78.3,80.6,2022/03/26 07:00:00+00,Arterial,2022.0,40
420,ELLIOT RD,ROOSEVELT ST,KYRENE RD,1426,3.0,74.8,77.4,2022/03/26 07:00:00+00,Arterial,2022.0,41
50085,MCALLISTER LN,15TH ST,14TH ST,495,3.0,74.2,76.8,2022/03/26 07:00:00+00,Arterial,2022.0,42
430,ELLIOT RD,KYRENE RD,MILL AV,2695,3.0,39.9,43.7,2022/03/26 07:00:00+00,Arterial,2022.0,43
51105,GARY DR,E WILLIAMS ST,E CEDAR ST,300,3.0,50.8,54.6,2022/03/26 07:00:00+00,Arterial,2022.0,44
440,ELLIOT RD,MILL AV,FOREST AV,259,3.0,30.8,34.3,2022/03/26 07:00:00+00,Arterial,2022.0,45
57025,BROADWAY RD ALLEY,VENTURA DR,EAST END,995,3.0,30.0,33.5,2022/03/26 07:00:00+00,Arterial,2022.0,46
450,ELLIOT RD,FOREST AV,COLLEGE AV,775,3.0,52.7,56.6,2022/03/26 07:00:00+00,Arterial,2022.0,47
57145,BROADWAY RD ALLEY,EL CAMINO DR,SIERRA VISTA DR,836,3.0,27.7,31.1,2022/03/26 07:00:00+00,Arterial,2022.0,48
460,ELLIOT RD,COLLEGE AV,LA ROSA DR,1016,3.0,43.0,46.9,2022/03/26 07:00:00+00,Arterial,2022.0,49
50131,MCALLISTER AV,UNIVERSITY DR,APACHE BL,2809,3.0,30.8,34.3,2022/03/26 07:00:00+00,Arterial,2022.0,50
2770,UNIVERSITY DR,GEORGE DR,EVERGREEN RD,1362,5.0,67.2,70.6,2022/03/27 07:00:00+00,Arterial,2022.0,51
2780,UNIVERSITY DR,EVERGREEN RD,OAKWOOD DR,649,5.0,66.9,70.3,2022/03/27 07:00:00+00,Arterial,2022.0,52
2790,UNIVERSITY DR,OAKWOOD DR,CITY LIMIT,1133,3.0,70.4,73.7,2022/03/27 07:00:00+00,Arterial,2022.0,53
2800,WASHINGTON ST,CITY LIMIT,56TH ST,139,2.0,73.0,75.4,2022/03/27 07:00:00+00,Arterial,2022.0,54
830,GUADALUPE RD,LAKESHORE DR,DORSEY LN,516,5.0,80.2,82.3,2022/03/26 07:00:00+00,Arterial,2022.0,55
2810,WASHINGTON ST,56TH ST,DESERT DR,610,2.0,76.0,78.4,2022/03/27 07:00:00+00,Arterial,2022.0,56
521,ELLIOT RD,JUNIPER ST,LAKESHORE DR,1023,2.0,70.4,73.2,2022/03/27 07:00:00+00,Arterial,2022.0,57
2820,WASHINGTON ST,DESERT DR,PRIEST DR,1185,2.0,72.1,74.9,2022/03/27 07:00:00+00,Arterial,2022.0,58
2830,WASHINGTON ST,PRIEST DR,PARKSIDE DR,2156,4.0,75.6,78.1,2022/03/27 07:00:00+00,Arterial,2022.0,59
2840,WASHINGTON ST,PARKSIDE DR,CENTER PKWY,675,4.0,72.7,75.3,2022/03/27 07:00:00+00,Arterial,2022.0,60
2850,WASHINGTON ST,CENTER PKWY,MILL AV,1939,4.0,73.6,76.3,2022/03/27 07:00:00+00,Arterial,2022.0,61
2860,CURRY RD,MILL AV,COLLEGE AV,4143,2.0,71.4,74.3,2022/03/27 07:00:00+00,Arterial,2022.0,62
531,ELLIOT RD,JUNIPER ST,JUNIPER ST,323,2.0,61.8,66.1,2022/03/27 07:00:00+00,Arterial,2022.0,63
2870,CURRY RD,COLLEGE AV,SCOTTSDALE RD,1413,5.0,73.8,76.2,2022/03/27 07:00:00+00,Arterial,2022.0,64
2880,CURRY RD EB,SCOTTSDALE RD,MARY ST,826,2.0,50.0,53.8,2022/03/27 07:00:00+00,Arterial,2022.0,65
2881,CURRY RD WB,MARY ST,SCOTTSDALE RD,646,2.0,57.4,60.9,2022/03/27 07:00:00+00,Arterial,2022.0,66
2890,CURRY RD EB,MARY ST,MILLER RD,1807,2.0,63.8,67.2,2022/03/27 07:00:00+00,Arterial,2022.0,67
2891,CURRY RD WB,MILLER RD,SCOVEL ST,652,2.0,63.7,66.9,2022/03/27 07:00:00+00,Arterial,2022.0,68
2893,CURRY RD WB,SCOVEL ST,HAROLD ST,659,5.0,64.1,67.4,2022/03/27 07:00:00+00,Arterial,2022.0,69
2895,CURRY RD WB,HAROLD ST,MARY ST,662,5.0,60.0,63.4,2022/03/27 07:00:00+00,Arterial,2022.0,70
2900,CURRY RD,MILLER RD,STADEM DR,1310,2.0,36.0,39.7,2022/03/27 07:00:00+00,Arterial,2022.0,71
541,ELLIOT RD,WILLOW DR,JUNIPER ST,216,2.0,46.6,50.4,2022/03/27 07:00:00+00,Arterial,2022.0,72
2910,CURRY RD,STADEM DR,MCCLINTOCK DR,1266,5.0,56.3,59.9,2022/03/27 07:00:00+00,Arterial,2022.0,73
2920,MCKELLIPS RD,CAMPO ALLEGRE RD,COLLEGE AV,1123,2.0,72.1,72.1,2023/02/25 07:00:00+00,Collector,2023.0,74
2930,MCKELLIPS RD,COLLEGE AV,SQUIRE AV,569,5.0,64.4,67.7,2022/03/27 07:00:00+00,Collector,2022.0,75
2940,MCKELLIPS RD,SQUIRE AV,LA ROSA DR,110,5.0,63.0,66.6,2022/03/27 07:00:00+00,Collector,2022.0,76
