OBJECTID,COMPKEY,STNAME_ORD,FLOWSEGID,DOWNTOWN,START_DATE,AMPK,PMPK,AWDT,ADT,AWDT_ROUNDED,DATAQUALITY,FLAGS,SHAPE_Length
1,12221,PINE ST,894,Y,,,,8000.0,,8000,Estimate,,322.037238488557
2,2203,15TH AVE W ON RP,1345,N,2015/03/13 00:00:00+00,,,11129.0,10139.0,11100,Study - 13-15,,173.612268661763
3,"17275,17277,17276,17272,17273,17274,17271",NE 65TH ST,1622,N,2015/02/27 00:00:00+00,,,20487.0,19740.0,20500,Study - 13-15,,1445.41638879353
4,"23302,23303,23304",W EMERSON ST,1371,N,2018/03/22 00:00:00+00,82.0,99.0,1007.0,1090.0,1000,Study(Normalized),,999.190937477553
5,"19659,19656,19658,19655,19657,19654",S CLOVERDALE ST,126,N,2014/03/25 00:00:00+00,,,4868.0,4615.0,4900,Study - 13-15,,2077.43484437516
6,8173,7TH AVE NE,1959,N,2015/01/06 00:00:00+00,,,31969.0,30344.0,32000,Study - 13-15,,259.931362047804
7,"22522,503975",KLICKITAT AVE SW,416,N,2018/08/29 00:00:00+00,503.0,448.0,4204.0,3249.0,4200,Study(Normalized),,1217.66296844123
8,16751,NE 40TH ST,1380,N,,,,12000.0,,12000,Estimate,,166.752652907876
9,"21699,21697,21694,21700,21693,351697,21696,21702,21692,21691,21698,21701,21703",SW ADMIRAL WAY,460,N,2015/04/07 00:00:00+00,,,25222.0,23875.0,25200,Study - 13-15,,5797.16372341431
10,10022,DENNY WAY,1039,B,,,,23500.0,,23500,Estimate,,165.93300045024
11,"11650,11651,11652,11649",MARINE VIEW DR SW,52,N,,,,2000.0,,2000,Estimate,,2031.93562948363
12,"10947,10933,10934","HOLMAN RD NW,HOLMAN RD N",1831,N,,,,33500.0,,33500,Estimate,,1629.42234000444
13,"2153,2151,2152",15TH AVE S,375,N,2017/12/13 11:15:00+00,912.0,1002.0,10835.0,9557.0,10800,Study,,898.373909279396
14,"167707,167708,269077,269079,269145,9157,269075,269146,268935,268934,269078,167709",BEACON AVE S,158,N,2015/11/05 00:00:00+00,,,3202.0,2970.0,7500,Study - 13-15,Combined,5403.54564281165
15,"12747,12743,12742,12746,12745,12744,16506,16504,16505,16507,16508","SAND POINT WAY NE,NE 125TH ST",1870,N,2015/11/03 00:00:00+00,,,10842.0,4953.0,10800,Study - 13-15,,5313.54967883649
16,2757,2ND AVE,789,Y,2014/12/08 00:00:00+00,,,15481.0,14677.0,15500,Study - 13-15,,425.90556816893
