OBJECTID,TMDL_ID,Source_Originator,Source_DataDesc,FeatureDetailURL,WaterbodyID,Name,Pollutant,UseImpairment,Problem
1,3732.0,"VT DEPT OF ENVIRONMENTAL CONSERVATION, WATERSHED MANAGEMENT DIVISION",2018 303(d) LIST OF WATERS,http://dec.vermont.gov/sites/dec/files/documents/mp_PriorityWatersList_PartA_303d_2018.pdf,VT08-08,"**BLANCHARD BROOK, MOUTH TO RM 0.4",UNDEFINED,ALS,"FAILED BIOCRITERIA; STRESSORS INCLUDE TEMPERATURE, CHLORIDE, SEDIMENT, NUTRIENTS AND DEVELOPED LAND RUNOFF"
2,3651.0,"VT DEPT OF ENVIRONMENTAL CONSERVATION, WATERSHED MANAGEMENT DIVISION",2018 303(d) LIST OF WATERS,http://dec.vermont.gov/sites/dec/files/documents/mp_PriorityWatersList_PartA_303d_2018.pdf,VT03-14,"**TENNEY BROOK, MOUTH TO RM 1.0",UNDEFINED,ALS,"FAILED BIO CRITERIA; STRESSORS INCLUDE TEMPERATURE, NUTRIENTS AND DEVELOPED LAND RUNOFF"
3,762.0,"VT DEPT OF ENVIRONMENTAL CONSERVATION, WATERSHED MANAGEMENT DIVISION",2018 303(d) LIST OF WATERS,http://dec.vermont.gov/sites/dec/files/documents/mp_PriorityWatersList_PartA_303d_2018.pdf,VT06-08,"ACE BROOK, RM0.7 TO HEADWATERS (1.0 MI.)",SEDIMENT,ALS,APPARENT SEDIMENT DISCHARGES AND HYDRO CHANGE FROM LOGGING ACTIVITY
4,1048.0,"VT DEPT OF ENVIRONMENTAL CONSERVATION, WATERSHED MANAGEMENT DIVISION",2018 303(d) LIST OF WATERS,http://dec.vermont.gov/sites/dec/files/documents/mp_PriorityWatersList_PartA_303d_2018.pdf,VT11-15,"BALL MOUNTAIN BROOK, ABOVE NORTH BRANCH CONFLUENCE",ACID,ALS,ATMOSPHERIC DEPOSITION: CRITICALLY ACIDIFIED; CHRONIC ACIDIFICATION
5,3551.0,"VT DEPT OF ENVIRONMENTAL CONSERVATION, WATERSHED MANAGEMENT DIVISION",2018 303(d) LIST OF WATERS,http://dec.vermont.gov/sites/dec/files/documents/mp_PriorityWatersList_PartA_303d_2018.pdf,VT11-15,"BEAR CREEK BROOK, RM 0.7 TO HEADWATERS",ACID,ALS,ATMOSPHERIC DEPOSITION: CRITICALLY ACIDIFIED; CHRONIC ACIDIFICATION
6,745.0,"VT DEPT OF ENVIRONMENTAL CONSERVATION, WATERSHED MANAGEMENT DIVISION",2018 303(d) LIST OF WATERS,http://dec.vermont.gov/sites/dec/files/documents/mp_PriorityWatersList_PartA_303d_2018.pdf,VT06-04,"BERRY BK, MOUTH UP TO AND INCLUDING NO. TRIB (APPROX.  1 MI)","SEDIMENT, NUTRIENTS","ALS, AES","AGRICULTURAL RUNOFF, AQUATIC HABITAT IMPACTS"
7,996.0,"VT DEPT OF ENVIRONMENTAL CONSERVATION, WATERSHED MANAGEMENT DIVISION",2018 303(d) LIST OF WATERS,http://dec.vermont.gov/sites/dec/files/documents/mp_PriorityWatersList_PartA_303d_2018.pdf,VT10-11,BLACK RIVER; FROM MOUTH TO FELLOWS DAM (~ 4.6 MI.),E. COLI,CR,COMBINED SEWER OVERFLOWS
8,3584.0,"VT DEPT OF ENVIRONMENTAL CONSERVATION, WATERSHED MANAGEMENT DIVISION",2018 303(d) LIST OF WATERS,http://dec.vermont.gov/sites/dec/files/documents/mp_PriorityWatersList_PartA_303d_2018.pdf,VT06-08,"BURGESS BROOK TRIBUTARY# 11, MOUTH TO RM 0.5",SEDIMENT,"ALS, CR, AES",ASBESTOS MINE TAILINGS EROSION; ASBESTOS FIBERS
9,3583.0,"VT DEPT OF ENVIRONMENTAL CONSERVATION, WATERSHED MANAGEMENT DIVISION",2018 303(d) LIST OF WATERS,http://dec.vermont.gov/sites/dec/files/documents/mp_PriorityWatersList_PartA_303d_2018.pdf,VT06-08,"BURGESS BROOK, RM 4.9 TO 5.4",SEDIMENT,"ALS, CR, AES",ASBESTOS MINE TAILINGS EROSION; ASBESTOS FIBERS
10,532.0,"VT DEPT OF ENVIRONMENTAL CONSERVATION, WATERSHED MANAGEMENT DIVISION",2018 303(d) LIST OF WATERS,http://dec.vermont.gov/sites/dec/files/documents/mp_PriorityWatersList_PartA_303d_2018.pdf,VT02-03,"CASTLETON RIVER, FAIR HAVEN",E. COLI,CR,WWTF PUMP STATION OVERFLOWS
