OBJECTID,ID305B,MILES_SQUARE,CYCLE,NAME,MARINE_AQUATIC_LIFE,RECREATION,FISH_CONSUMPTION,SHELLFISH,IMPAIRED,SHAPE_Length,SHAPE_Area
1,CT-E1_017,0.063,2012,"LIS EB Inner - Alewife Cove, Waterford/New London",Not Supporting,Not Assessed,Fully Supporting,Not Supporting Harvesting for Direct Consumption,Yes,18206.973821278,1756834.61613291
2,CT-E1_018-SB,0.044,2012,"LIS EB Inner - Goshen Cove, Waterford",Not Assessed,Not Assessed,Fully Supporting,Fully Supporting Commercial Harvesting where Authorized,No,11313.4517978807,1226893.42780065
3,CT-W1_003-SB,0.157,2012,"LIS WB Inner - Ash Creek, Fairfield",Not Supporting,Not Supporting,Fully Supporting,Not Supporting Commercial Harvesting where Authorized,Yes,53973.6698434639,4374296.52055561
4,CT-W1_002-SB,0.442,2012,"LIS WB Inner - Black Rock Harbor, Bridgeport",Not Supporting,Not Supporting,Fully Supporting,Not Supporting Commercial Harvesting where Authorized,Yes,33356.4149221285,12327169.8568497
5,CT-W1_022-SB,0.037,2012,"LIS WB Inner - Byram River (CT), Greenwich",Not Assessed,Not Supporting,Fully Supporting,Not Supporting Commercial Harvesting where Authorized,Yes,22885.8049632469,1034815.00071598
6,CT-E1_004-SB,0.638,2012,"LIS EB Inner - Outer Stonington Harbor, Stonington",Fully Supporting,Fully Supporting,Fully Supporting,Fully Supporting Commercial Harvesting where Authorized,No,26713.4531176767,17774190.9364025
7,CT-E1_009,0.207,2012,"LIS EB Inner - Beebe Cove (Mystic Harbor), Groton",Not Assessed,Not Assessed,Fully Supporting,Not Supporting Harvesting for Direct Consumption,Yes,16817.537988165,5757117.02160636
8,CT-E1_022,0.029,2012,"LIS EB Inner - Bride Brook, East Lyme",Not Assessed,Not Supporting,Fully Supporting,Not Supporting Harvesting for Direct Consumption,Yes,16954.2219209858,818315.725527776
9,CT-E1_026-SB,0.041,2012,"LIS EB Inner - Black Hall River (upper), Old Lyme",Not Assessed,Not Assessed,Fully Supporting,Not Supporting Commercial Harvesting where Authorized,Yes,17338.915334929,1145495.85403456
10,CT-C1_010,0.026,2012,"LIS CB Inner - Branford River, Branford",Not Assessed,Not Assessed,Fully Supporting,Not Supporting Harvesting for Direct Consumption,Yes,16372.4488744129,724289.916398992
11,CT-C1_009-SB,0.314,2012,"LIS CB Inner - Inner Branford Harbor, Branford",Insufficient Information,Not Assessed,Fully Supporting,Not Supporting Commercial Harvesting where Authorized,Yes,48802.7672828632,8756572.60549157
12,CT-C1_018-SB,0.272,2012,"LIS CB Inner - Milford Harbor & Gulf Pond, Milford",Not Assessed,Not Assessed,Fully Supporting,Not Supporting Commercial Harvesting where Authorized,Yes,57721.0406811826,7585004.57051666
13,CT-W1_007,0.022,2012,"LIS WB Inner - Sasco Brook, Westport",Not Assessed,Not Supporting,Fully Supporting,Not Supporting Harvesting for Direct Consumption,Yes,17920.6845387681,607017.854141229
14,CT-W1_006,0.033,2012,"LIS WB Inner - Mill River, Fairfield",Not Supporting,Not Supporting,Not Supporting,Not Supporting Harvesting for Direct Consumption,Yes,12504.3614815708,913136.136813695
15,CT-W1_010-SB,0.645,2012,"LIS WB Inner - Saugatuck River (mouth), Westport",Not Assessed,Not Assessed,Fully Supporting,Not Supporting Commercial Harvesting where Authorized,Yes,40307.273199612,17969699.0227031
16,CT-W1_014-SB,0.164,2012,"LIS WB Inner - Fivemile River (mouth), Norwalk",Not Assessed,Not Assessed,Fully Supporting,Not Supporting Commercial Harvesting where Authorized,Yes,24288.2450545868,4578225.93515677
17,CT-W1_017-SB,0.436,2012,"LIS WB Inner - Stamford Harbor (mouth), Stamford",Not Assessed,Not Assessed,Fully Supporting,Fully Supporting Commercial Harvesting where Authorized,No,16857.7380421662,12142072.6694931
18,CT-W1_021-SB,0.104,2012,"LIS WB Inner - Greenwich Harbor, Greenwich",Not Supporting,Not Assessed,Fully Supporting,Not Supporting Commercial Harvesting where Authorized,Yes,13565.6756802289,2886952.34577173
19,CT-E1_002-SB,0.313,2012,"LIS EB Inner - Pawcatuck River (02), Stonington",Fully Supporting,Not Assessed,Fully Supporting,Fully Supporting Commercial Harvesting where Authorized,No,34675.4515805169,8720442.76308569
20,CT-E1_005,0.226,2012,"LIS EB Inner - Inner Stonongton Harbor, Stonington",Fully Supporting,Fully Supporting,Fully Supporting,Not Supporting Harvesting for Direct Consumption,Yes,26569.7945215565,6302944.70794886
21,CT-E1_025-SB,0.115,2012,"LIS EB Inner - Black Hall River (mouth), Old Lyme",Not Assessed,Not Assessed,Fully Supporting,Fully Supporting Commercial Harvesting where Authorized,No,23211.7382205628,3219051.4642989
22,CT-W1_004,0.06,2012,"LIS WB Inner - Pine Creek, Fairfield",Not Assessed,Not Assessed,Fully Supporting,Not Supporting Harvesting for Direct Consumption,Yes,32505.3262816607,1675498.77688769
23,CT-C2_002,0.231,2012,"LIS CB Shore - Westbrook Harbor (West), Westbrook",Not Assessed,Fully Supporting,Fully Supporting,Not Supporting Harvesting for Direct Consumption,Yes,14980.2404509242,6430481.45745087
24,CT-C2_003,0.516,2012,"LIS CB Shore - Clinton Beach, Clinton",Not Assessed,Not Assessed,Fully Supporting,Not Supporting Harvesting for Direct Consumption,Yes,32526.4247364012,14379845.9508928
25,CT-C2_022-SB,0.593,2012,"LIS CB Shore - The Gulf, Milford",Not Assessed,Fully Supporting,Fully Supporting,Fully Supporting Commercial Harvesting where Authorized,No,28336.8415486107,16544648.7813266
26,CT-W2_013,0.365,2012,"LIS WB Shore - Outer Norwalk Harbor(West), Norwalk",Not Supporting,Fully Supporting,Fully Supporting,Not Supporting Harvesting for Direct Consumption,Yes,35295.4720114574,10186500.1933295
27,CT-C2_005,0.583,2012,"LIS CB Shore - Hammonasset Beach, Madison",Not Assessed,Fully Supporting,Fully Supporting,Not Supporting Harvesting for Direct Consumption,Yes,45849.5071753142,16260349.2561152
28,CT-E3_001,0.585,2012,LIS EB Midshore - Stonington,Not Assessed,Not Assessed,Fully Supporting,Not Supporting Harvesting for Direct Consumption,Yes,20298.6332629908,16306493.5964242
29,CT-E2_001,0.619,2012,"LIS EB Shore - Wequetequock Cove, Stonington",Fully Supporting,Fully Supporting,Fully Supporting,Not Supporting Harvesting for Direct Consumption,Yes,59702.8831910893,17264977.8424755
30,CT-W2_010,0.419,2012,"LIS WB Shore - Compo Beach, Cedar Point, Westport",Not Assessed,Fully Supporting,Fully Supporting,Not Supporting Harvesting for Direct Consumption,Yes,25238.8473509162,11674163.2915251
