Year,Type,Single_Family_Residential__gall,Multi_Family__gallon_,Total_Residential_Usage__gallon,Total_Residential_Usage__gall_1,Population__capita_,Residential_Gallons_per_capita_,Single_Family__GPCD_,Multifamily__GPCD_,Landscape__GPAD_,Date,ObjectId
2006,Data,5690000000.0,2850000000.0,8540000000.0,23397260.0,170000.0,137.6,,,,2006/12/31 07:00:00+00,1
2007,Data,6042000000.0,3108000000.0,9150000000.0,25068493.0,172000.0,145.7,,,,2007/12/31 07:00:00+00,2
2008,Data,5363000000.0,2666000000.0,8029000000.0,21997260.0,175000.0,125.7,,,,2008/12/31 07:00:00+00,3
2009,Data,5467000000.0,2687000000.0,8154000000.0,22339726.0,181000.0,123.4,,,,2009/12/31 07:00:00+00,4
2010,Data,5635000000.0,2907000000.0,8542000000.0,23402740.0,170000.0,137.7,,,,2010/12/31 07:00:00+00,5
2011,Data,5172000000.0,3053000000.0,8225000000.0,22534247.0,171000.0,131.8,,,,2011/12/31 07:00:00+00,6
2012,Data,5120000000.0,3139000000.0,8259000000.0,22627397.0,172000.0,131.6,,,,2012/12/31 07:00:00+00,7
2013,Data,4794000000.0,3147000000.0,7941000000.0,21756164.0,174000.0,125.0,,,,2013/12/31 07:00:00+00,8
2014,Data,4705000000.0,2614000000.0,7319000000.0,20052055.0,176000.0,113.9,,,,2014/12/31 07:00:00+00,9
2015,Data,4646000000.0,2719000000.0,7365000000.0,20178082.0,179000.0,112.7,,,,2015/12/31 07:00:00+00,10
2016,Data,4699000000.0,2720000000.0,7419000000.0,20326027.0,182800.0,111.2,,,,2016/12/31 07:00:00+00,11
2017,Data,4660000000.0,2745000000.0,7405000000.0,20287671.0,186100.0,109.0,,,,2017/12/31 07:00:00+00,12
2018,Data,4529000000.0,2730000000.0,7259000000.0,19887671.0,191643.0,103.8,,,,2018/12/31 07:00:00+00,13
2019,Data,4411000000.0,2728000000.0,7139000000.0,19558904.0,194989.0,100.3,170.0,92.0,3477.0,2019/12/31 07:00:00+00,14
2020,Data,4717000000.0,2676000000.0,7393000000.0,20254795.0,198408.0,102.1,172.0,89.0,3677.0,2020/12/31 07:00:00+00,15
2021,Data,4527000000.0,2808000000.0,7335000000.0,20095890.0,186877.0,107.5,153.0,87.0,3576.0,2021/12/31 07:00:00+00,16
2022,Data,4305000000.0,2764000000.0,7069000000.0,19367123.0,192687.0,100.5,144.0,81.0,3301.0,2022/12/31 07:00:00+00,17
2026,Target Date,,,,,,,160.0,75.0,3171.0,2026/06/30 07:00:00+00,18
