Embryo_ID,Cell_ID,TE_ICM,Cell_cycle, Size, X, Y, Z, CH1-Avg, CH1-Sum, CH2-Avg, CH2-Sum, CH3-Avg, CH3-Sum, CH4-Avg, CH4-Sum, CH5-Avg, CH5-Sum, 
040517Abl_V13,1,TE,I,11780,218.27,226.28,5.2624,1887.3,22200000.0,281.98,3320000.0,87.297,1030000.0,471.05,5550000.0,393.62,4640000.0,
040517Abl_V13,2,TE,M,11497,320.37,242.22,7.5926,2195.9,25200000.0,46.455,534000.0,28.853,332000.0,465.53,5350000.0,121.98,1400000.0,
040517Abl_V13,3,TE,I,15852,150.12,245.04,11.962,1389.7,22000000.0,143.61,2280000.0,42.794,678000.0,476.62,7560000.0,270.32,4290000.0,
040517Abl_V13,4,TE,I,14761,219.88,318.97,14.991,1720.8,25400000.0,172.04,2540000.0,76.28,1130000.0,489.93,7230000.0,317.93,4690000.0,
040517Abl_V13,5,ICM,I,12179,202.65,260.82,16.104,995.6,12100000.0,33.393,407000.0,303.81,3700000.0,496.2,6040000.0,197.01,2400000.0,
040517Abl_V13,7,ICM,I,12090,179.03,214.0,19.009,1024.3,12400000.0,35.22,426000.0,221.99,2680000.0,456.7,5520000.0,276.16,3340000.0,
040517Abl_V13,8,TE,I,13521,216.75,156.89,21.925,1268.2,17100000.0,199.17,2690000.0,40.043,541000.0,539.28,7290000.0,229.38,3100000.0,
040517Abl_V13,9,ICM,I,15550,225.42,210.26,20.346,729.19,11300000.0,36.74,571000.0,155.22,2410000.0,437.04,6800000.0,243.82,3790000.0,
040517Abl_V13,10,TE,I,14686,287.05,356.46,25.893,1631.0,24000000.0,145.4,2140000.0,79.745,1170000.0,479.82,7050000.0,250.34,3680000.0,
040517Abl_V13,11,TE,I,13923,351.98,181.67,27.15,1285.6,17900000.0,101.32,1410000.0,66.119,921000.0,483.15,6730000.0,212.23,2950000.0,
040517Abl_V13,12,ICM,I,12623,183.7,306.05,26.981,834.48,10500000.0,28.884,365000.0,239.67,3030000.0,494.32,6240000.0,154.49,1950000.0,
040517Abl_V13,13,TE,I,12684,365.74,298.69,30.174,1580.7,20000000.0,131.68,1670000.0,85.879,1090000.0,485.23,6150000.0,233.48,2960000.0,
040517Abl_V13,14,ICM,I,16026,152.26,255.25,28.891,657.94,10500000.0,30.347,486000.0,150.47,2410000.0,459.73,7370000.0,142.49,2280000.0,
040517Abl_V13,15,TE,I,16952,269.23,135.76,35.311,893.04,15100000.0,107.35,1820000.0,93.246,1580000.0,491.89,8340000.0,190.28,3230000.0,
040517Abl_V13,16,TE,I,14878,208.51,262.84,32.317,455.21,6770000.0,23.909,356000.0,168.68,2510000.0,439.81,6540000.0,152.79,2270000.0,
040517Abl_V13,17,TE,I,15188,137.63,299.36,37.817,763.35,11600000.0,81.969,1240000.0,52.989,805000.0,485.52,7370000.0,124.78,1900000.0,
040517Abl_V13,18,ICM,I,15463,186.32,187.84,37.986,415.55,6430000.0,23.113,357000.0,105.93,1640000.0,468.02,7240000.0,113.1,1750000.0,
040517Abl_V13,19,ICM,I,14685,232.79,190.32,36.869,401.43,5900000.0,25.256,371000.0,94.549,1390000.0,411.23,6040000.0,124.56,1830000.0,
040517Abl_V13,20,ICM,I,11016,187.13,228.27,35.905,449.55,4950000.0,24.181,266000.0,63.525,700000.0,418.6,4610000.0,141.72,1560000.0,
040517Abl_V13,21,ICM,I,13965,227.69,302.26,38.25,390.41,5450000.0,23.82,333000.0,70.764,988000.0,434.91,6070000.0,102.97,1440000.0,
040517Abl_V13,22,TE,I,12913,138.21,206.9,40.669,595.69,7690000.0,32.414,419000.0,23.971,310000.0,466.52,6020000.0,64.686,835000.0,
040517Abl_V13,23,ICM,I,13509,217.58,237.22,47.997,257.04,3470000.0,20.512,277000.0,91.776,1240000.0,400.6,5410000.0,73.951,999000.0,
040517Abl_V13,24,ICM,I,17057,161.67,260.15,48.086,268.85,4590000.0,20.754,354000.0,100.54,1720000.0,464.21,7920000.0,95.571,1630000.0,
040517Abl_V13,25,ICM,I,13143,189.62,301.45,49.094,201.36,2650000.0,19.369,255000.0,53.728,706000.0,463.73,6090000.0,74.529,980000.0,
040517Abl_V13,26,TE,I,19872,221.41,163.53,52.679,248.66,4940000.0,35.315,702000.0,57.328,1140000.0,424.99,8450000.0,90.799,1800000.0,
040517Abl_V13,27,TE,I,18876,365.7,230.52,57.443,365.42,6900000.0,44.285,836000.0,36.661,692000.0,463.71,8750000.0,81.408,1540000.0,
040517Abl_V13,28,TE,I,25978,237.42,326.69,57.639,207.7,5400000.0,32.445,843000.0,35.885,932000.0,506.04,13100000.0,53.991,1400000.0,
040517Abl_V13,29,ICM,I,17953,218.0,261.49,62.351,143.07,2570000.0,17.559,315000.0,62.484,1120000.0,376.2,6750000.0,48.294,867000.0,
040517Abl_V13,30,TE,I,26152,177.92,202.72,61.978,146.21,3820000.0,26.234,686000.0,27.19,711000.0,440.49,11500000.0,49.538,1300000.0,
040517Abl_V13,31,TE,I,19920,177.99,293.58,65.572,140.06,2790000.0,25.324,504000.0,28.69,572000.0,390.91,7790000.0,49.817,992000.0,
040517Abl_V13,32,TE,I,18123,308.87,299.53,68.586,318.38,5770000.0,33.643,610000.0,20.123,365000.0,558.7,10100000.0,54.217,983000.0,
040517Abl_V13,33,TE,I,15586,252.65,221.49,68.177,169.71,2650000.0,27.982,436000.0,25.699,401000.0,517.37,8060000.0,43.629,680000.0,
