Fiscal_Year,Type,FY_Start,FY_End,General_Fund_Revenue,General_Fund_Unassigned_Fund_Ba,Ratio_of_Fund_Balance_to_Revenu,Date,ObjectId
FY2021/22,Measured Ratio,2021,2022,269102480,142653835,53,2022/06/30 07:00:00+00,1
FY2020/21,Measured Ratio,2020,2021,243899086,138855354,57,2021/06/30 07:00:00+00,2
FY2019/20,Measured Ratio,2019,2020,245823304,116285953,47,2020/06/30 07:00:00+00,3
FY2018/19,Measured Ratio,2018,2019,230323385,97995211,43,2019/06/30 07:00:00+00,4
FY2017/18,Measured Ratio,2017,2018,220762808,93995709,43,2018/06/30 07:00:00+00,5
FY2016/17,Measured Ratio,2016,2017,202726086,80099820,40,2017/06/30 07:00:00+00,6
FY2015/16,Measured Ratio,2015,2016,198342932,78629198,40,2016/06/30 07:00:00+00,7
FY2014/15,Measured Ratio,2014,2015,189202478,73879480,39,2015/06/30 07:00:00+00,8
FY2013/14,Measured Ratio,2013,2014,188451965,63878841,34,2014/06/30 07:00:00+00,9
FY2012/13,Measured Ratio,2012,2013,169962203,52658705,31,2013/06/30 07:00:00+00,10
FY2011/12,Measured Ratio,2011,2012,163034772,50954570,31,2012/06/30 07:00:00+00,11
FY2010/11,Measured Ratio,2010,2011,159827943,39604103,25,2011/06/30 07:00:00+00,12
FY2009/10,Measured Ratio,2009,2010,147398236,29048415,20,2010/06/30 07:00:00+00,13
FY2008/09,Measured Ratio,2008,2009,165580882,54012203,33,2009/06/30 07:00:00+00,14
FY2007/08,Measured Ratio,2007,2008,178445742,44611435,25,2008/06/30 07:00:00+00,15
