Embryo_ID,Cell_ID,TE_ICM,Cell_cycle,Size,X,Y,Z,CH1-Avg,CH1-Sum,CH2-Avg,CH2-Sum,CH3-Avg,CH3-Sum,CH4-Avg,CH4-Sum,CH5-Avg,CH5-Sum, 
030918FVB_C6,1,TE,I,9968,147.39,206.84,6.7565,3558.3,35500000.0,841.82,8390000.0,86.741,865000.0,528.53,5270000.0,301.37,3000000.0,
030918FVB_C6,2,TE,I,12022,272.13,219.58,6.9455,3407.4,41000000.0,934.74,11200000.0,203.49,2450000.0,521.0,6260000.0,822.81,9890000.0,
030918FVB_C6,3,TE,I,10014,184.25,245.2,5.6091,2950.6,29500000.0,804.44,8060000.0,133.48,1340000.0,485.22,4860000.0,861.41,8630000.0,
030918FVB_C6,4,TE,I,10683,229.53,219.29,7.9679,2745.7,29300000.0,486.24,5190000.0,499.7,5340000.0,469.95,5020000.0,925.75,9890000.0,
030918FVB_C6,5,TE,I,8552,275.38,261.01,7.4571,3156.9,27000000.0,915.32,7830000.0,316.21,2700000.0,497.42,4250000.0,893.21,7640000.0,
030918FVB_C6,6,TE,I,8626,226.25,270.83,6.6104,2923.3,25200000.0,737.44,6360000.0,757.35,6530000.0,533.98,4610000.0,890.8,7680000.0,
030918FVB_C6,7,TE,I,9977,266.28,291.63,12.554,2741.7,27400000.0,607.08,6060000.0,156.35,1560000.0,539.81,5390000.0,1058.3,10600000.0,
030918FVB_C6,8,ICM,I,5182,189.43,219.07,12.716,2666.1,13800000.0,52.702,273000.0,930.23,4820000.0,537.52,2790000.0,442.76,2290000.0,
030918FVB_C6,9,TE,I,7915,327.26,238.03,14.255,3434.1,27200000.0,599.01,4740000.0,128.25,1020000.0,586.69,4640000.0,261.37,2070000.0,
030918FVB_C6,10,TE,I,8956,194.34,298.29,13.937,2745.3,24600000.0,739.66,6620000.0,205.56,1840000.0,494.12,4430000.0,730.84,6550000.0,
030918FVB_C6,11,TE,I,10445,225.44,182.29,14.704,2967.5,31000000.0,644.63,6730000.0,78.391,819000.0,542.24,5660000.0,636.75,6650000.0,
030918FVB_C6,12,TE,I,8031,234.48,297.24,15.35,2731.6,21900000.0,581.42,4670000.0,235.06,1890000.0,570.71,4580000.0,946.58,7600000.0,
030918FVB_C6,13,TE,I,9148,129.88,278.1,18.414,3060.4,28000000.0,613.55,5610000.0,94.184,862000.0,560.65,5130000.0,588.39,5380000.0,
030918FVB_C6,14,ICM,I,8742,137.54,231.93,18.24,2131.9,18600000.0,46.178,404000.0,787.03,6880000.0,497.49,4350000.0,432.99,3790000.0,
030918FVB_C6,15,ICM,I,7178,186.81,272.26,16.683,2293.5,16500000.0,68.502,492000.0,451.02,3240000.0,540.3,3880000.0,1348.9,9680000.0,
030918FVB_C6,16,TE,I,8499,307.5,285.85,18.888,3127.0,26600000.0,470.12,4000000.0,126.99,1080000.0,581.47,4940000.0,530.35,4510000.0,
030918FVB_C6,17,ICM,I,11368,221.87,237.9,20.087,2084.1,23700000.0,49.043,558000.0,129.57,1470000.0,498.3,5660000.0,1493.6,17000000.0,
030918FVB_C6,18,TE,I,7928,270.03,172.5,23.952,2763.4,21900000.0,241.91,1920000.0,61.318,486000.0,560.88,4450000.0,301.99,2390000.0,
030918FVB_C6,19,ICM,I,10519,164.05,201.99,23.453,1694.5,17800000.0,33.135,349000.0,556.2,5850000.0,526.15,5530000.0,982.69,10300000.0,
030918FVB_C6,20,TE,I,9648,312.14,202.78,24.885,2454.8,23700000.0,372.33,3590000.0,163.34,1580000.0,585.32,5650000.0,361.86,3490000.0,
030918FVB_C6,21,ICM,I,7652,256.55,210.53,23.032,1832.3,14000000.0,39.276,301000.0,144.84,1110000.0,554.74,4240000.0,1223.1,9360000.0,
030918FVB_C6,22,TE,I,12100,267.22,301.79,24.959,1992.0,24100000.0,435.93,5270000.0,65.153,788000.0,516.61,6250000.0,601.77,7280000.0,
030918FVB_C6,23,TE,I,9246,171.64,164.79,27.654,1960.2,18100000.0,349.86,3230000.0,72.763,673000.0,540.37,5000000.0,528.34,4890000.0,
030918FVB_C6,24,TE,I,15199,107.56,210.33,28.244,1541.3,23400000.0,402.71,6120000.0,94.67,1440000.0,579.32,8810000.0,468.74,7120000.0,
030918FVB_C6,25,TE,I,8007,334.99,253.33,26.333,2320.7,18600000.0,345.57,2770000.0,66.838,535000.0,552.77,4430000.0,371.38,2970000.0,
030918FVB_C6,27,ICM,I,7814,255.15,255.31,29.376,1172.1,9160000.0,222.46,1740000.0,256.13,2000000.0,514.96,4020000.0,355.55,2780000.0,
030918FVB_C6,28,ICM,I,4395,203.82,210.31,27.905,1476.1,6490000.0,25.918,114000.0,110.77,487000.0,505.89,2220000.0,1026.5,4510000.0,
030918FVB_C6,29,ICM,I,9234,221.87,283.14,30.921,1213.9,11200000.0,37.681,348000.0,344.58,3180000.0,536.21,4950000.0,535.36,4940000.0,
030918FVB_C6,30,ICM,I,9880,153.74,279.7,31.091,1231.7,12200000.0,29.897,295000.0,399.23,3940000.0,470.71,4650000.0,366.27,3620000.0,
030918FVB_C6,31,TE,M,4132,299.2,298.84,29.15,2578.7,10700000.0,223.39,923000.0,42.373,175000.0,550.44,2270000.0,260.29,1080000.0,
030918FVB_C6,32,TE,I,10429,212.05,320.65,31.926,1855.9,19400000.0,406.05,4230000.0,49.159,513000.0,504.3,5260000.0,355.23,3700000.0,
030918FVB_C6,33,ICM,I,5587,161.71,239.25,32.398,1164.8,6510000.0,21.897,122000.0,411.14,2300000.0,560.94,3130000.0,199.33,1110000.0,
030918FVB_C6,34,ICM,I,8176,205.19,180.35,32.668,1122.4,9180000.0,36.661,300000.0,488.66,4000000.0,542.6,4440000.0,368.96,3020000.0,
030918FVB_C6,35,ICM,I,13787,245.82,200.04,35.252,917.93,12700000.0,27.02,373000.0,333.8,4600000.0,473.06,6520000.0,376.54,5190000.0,
030918FVB_C6,36,TE,I,5778,321.03,276.81,36.377,1580.8,9130000.0,286.96,1660000.0,41.246,238000.0,535.25,3090000.0,318.07,1840000.0,
030918FVB_C6,38,ICM,I,4622,198.54,257.12,36.326,959.23,4430000.0,26.845,124000.0,115.62,534000.0,516.27,2390000.0,852.44,3940000.0,
030918FVB_C6,39,TE,I,10235,217.11,157.37,40.425,997.7,10200000.0,227.57,2330000.0,68.09,697000.0,559.57,5730000.0,242.07,2480000.0,
030918FVB_C6,41,ICM,I,7683,167.55,199.43,38.931,987.67,7590000.0,23.763,183000.0,650.19,5000000.0,511.72,3930000.0,316.74,2430000.0,
030918FVB_C6,42,TE,I,9013,313.67,206.98,39.0,1133.7,10200000.0,226.73,2040000.0,61.71,556000.0,476.42,4290000.0,235.38,2120000.0,
030918FVB_C6,43,TE,I,9742,338.62,248.06,38.781,1346.6,13100000.0,251.53,2450000.0,47.076,459000.0,498.59,4860000.0,300.33,2930000.0,
030918FVB_C6,44,TE,I,10143,133.43,296.47,42.452,1415.6,14400000.0,227.85,2310000.0,63.711,646000.0,500.32,5070000.0,274.71,2790000.0,
