OBJECTID,ANRDept,ANRUnit,ANRUnitType,SOVInterest,Audience,NAME,GISACRES,GlobalID,ShapeSTArea,ShapeSTLength
5331,DEC,,,Easement,Public,,4.331,{962FDD2A-D5AE-4DAD-A75B-BEEC2260147D},17528.367683095,751.938464497503
5334,DEC,,RCE,Easement,Public,,106.974,{80F687FD-66EB-4669-BAB5-E1D458C3C9D2},432910.546041415,7552.21731974078
5336,DEC,,RCE,ThirdParty,Public,,103.051,{2097A9AE-90F7-4575-B387-A7379CF9E39B},417034.692806695,6373.8689192842
5337,DEC,650.0,DAM,Fee,Public,Crystal Lake Dam,0.487,{0496F8E9-FCC0-4CCB-8468-681B7C11675F},1969.34888856,200.516019084252
5338,DEC,652.0,DAM,Easement,Public,East Barre Dam,433.787,{86A91587-5181-42D8-B02A-7CC1DC0630B5},1755475.4151108,18268.6287905356
5339,DEC,652.0,DAM,Fee,Public,East Barre Dam,318.19,{16316013-E12B-4706-9E73-7992027807D4},1287673.09498343,11019.8162875026
5341,DEC,654.0,DAM,Fee,Public,Great Hosmer Dam,0.404,{5D23495E-0A1B-4C45-850E-94027A40D4B9},1635.626965625,225.26151722188
5342,DEC,660.0,DAM,Fee,Public,Lake Bomoseen Dam,0.33,{9AC1A8D6-B3CA-4352-B2C4-4FC921E958E2},1334.590830025,203.542765324201
5343,DEC,662.0,DAM,Fee,Public,Lake Carmi Dam,3.877,{81EDF3DD-EACC-4EF3-8B98-61D6EC3740D3},15690.165019945,880.943797273197
5344,DEC,668.0,DAM,Fee,Public,Miles Pond Dam,16.103,{1E677B52-AE37-412F-9E9B-43089C24954C},65166.55773623,1405.85930124332
5345,DEC,670.0,DAM,Fee,Public,Silver Lake Dam,0.497,{55E51450-0592-45B0-A3F1-8F4A5358DFB6},2009.518188855,190.437579827573
5346,DEC,672.0,DAM,Fee,Public,Wolcott Pond Dam,197.385,{1E62C49B-A8B6-42E2-9518-677D3C53CB53},798790.156573805,5481.72922700757
5347,DEC,674.0,DAM,Easement,Public,Wrightsville Dam,166.46,{697F8784-79B3-4337-9F74-04E7D27CAC9B},673641.20578025,10242.8382367226
5348,DEC,674.0,DAM,Fee,Public,Wrightsville Dam,759.393,{1C62AB45-69C8-4ABA-A004-E7DFD8110D09},3073157.6330667,13611.7373207155
5349,DEC,915.0,CAP,Easement,Public,Champlain Mill,0.829,{70BEAF26-72A5-4E3C-9888-755E3F697E7A},3356.84593363,303.071871231532
5351,FPR,,,Easement,Public,,85462.113,{53658CC2-F193-444E-A35F-F5082DC3154C},345853434.880999,323130.100934046
5352,FPR,,,Fee,Public,,42.008,{B21BCE58-4F6D-4234-991F-BC52089EE6ED},170001.48252466,9661.81432093139
5355,FPR,,FL,Easement,Public,,2086.372,{7348DF19-293D-4E99-B2A2-D66D04A15E4B},8443260.48120514,41092.5398078362
5356,FPR,,Null,Easement,Public,,8.974,{6EA0D777-C7BC-4DB0-B145-8210DD8422B5},36318.25983316,1044.06739204104
5358,FPR,0.0,SF,Fee,Public,State Tree Nursery,28.038,{657D8291-7988-44C9-84F8-9C052877D788},113465.419812015,1691.56622619198
5359,FPR,1.0,SF,Fee,Public,L.R. Jones State Forest,638.616,{D913A1AE-8508-4588-9C1B-BDB0E5DB1BEF},2584392.37889563,7149.98411897121
5360,FPR,2.0,SF,Fee,Public,Downer State Forest,732.849,{56F78F29-779F-41FF-96A6-13059DA0E480},2965738.67228778,14364.4773671543
5361,FPR,3.0,SF,Fee,Public,Hapgood State Forest,118.259,{A5BB9BF1-076F-438D-9E3C-44664A3A6F5F},478577.167098855,2812.52304113767
5362,FPR,4.0,SF,Fee,Public,Camel's Hump State Forest,2365.5,{D0786F48-3B66-43E0-9E7C-0D323DE32728},9572855.60135525,26386.1593706592
5364,FPR,5.0,SF,Fee,Public,Lyndon State Forest,71.118,{253D6838-58A1-4183-9E61-2BC77B76F199},287805.46246008,2591.22436916965
5365,FPR,6.0,SF,Fee,Public,Townshend State Forest,1256.848,{BB278462-8512-4F24-A2D6-E2472263E79A},5086293.0432736,13198.6806177528
5366,FPR,7.0,SF,Fee,Public,Aitken State Forest,910.753,{9167C730-665D-4BDB-89CC-3673525605BA},3685691.23715188,9673.44308191144
5368,FPR,7.0,SF,ROW,Public,Aitken State Forest,1.158,{2A0C706E-6EFB-4443-87D1-299AC1E052F0},4684.753392485,957.798811341344
5369,FPR,8.0,SF,Fee,Public,Arlington State Forest,211.528,{AE777E06-CF10-4C08-9E00-63F315C54C1F},856026.29558023,4416.46285276528
5370,FPR,9.0,SF,Easement,Public,West Rutland State Forest,3.322,{70F9E1A1-715B-4160-924A-39C92903DC85},13442.92876472,3849.36825247819
5371,FPR,9.0,SF,Fee,Public,West Rutland State Forest,342.189,{70CC7230-CA78-4906-811A-8E0D21513570},1384791.9255274,4797.14108093933
5372,FPR,10.0,SF,Fee,Public,C.C. Putnam State Forest,16681.879,{9D1A46AA-357D-4AEA-B403-9AC2A73CCACE},67509274.3361685,102216.023696344
5373,FPR,10.0,SF,ROW,Public,C.C. Putnam State Forest,12.258,{D540AF3B-D2B7-4335-AB7D-4A43A37A9567},49604.46852778,7698.11281703389
5376,FPR,11.0,SF,Fee,Public,Mt. Mansfield State Forest,45170.917,{A444DC16-C725-4A6D-A775-DB07824F743F},182800498.296139,234962.108861862
5379,FPR,12.0,SF,Fee,Public,Proctor Piper State Forest,1536.803,{563FE285-90FA-44DC-B377-802CD92AE02E},6219228.84833403,26909.4782354625
5380,FPR,13.0,SF,Fee,Public,Groton State Forest,27037.188,{30CF3B60-D538-4814-9F03-7DEA9F3F727A},109415787.468659,142849.583103013
5381,FPR,13.0,SF,Lease,Public,Groton State Forest,0.729,{C07D0C06-759C-4AF6-A4F8-EE7539179D89},2950.359121095,396.455537894926
5383,FPR,14.0,SF,Fee,Public,Jim Jeffords State Forest,1326.931,{AC9B7E10-7E87-4CF4-AD89-288CF0291083},5369906.79645201,18825.7269100186
5385,FPR,15.0,SF,Easement,Public,Coolidge State Forest,230.945,{A2D7F835-4E6F-48BF-B95D-27603A51DC70},934603.334782915,5490.12545837189
5386,FPR,15.0,SF,Fee,Public,Coolidge State Forest,22925.829,{474EC49F-815C-4E77-A018-1F431C13DDC4},92777681.7396708,192247.286011154
5387,FPR,15.0,SF,Lease,Public,Coolidge State Forest,256.838,{778BD90A-FB5D-45C9-BB90-822938FA0A83},1039386.92631538,4103.01650758817
5388,FPR,15.0,SF,ROW,Public,Coolidge State Forest,0.655,{4A0690D2-325A-452B-A0C8-0A21D33AFB76},2650.011785015,410.956699285168
5390,FPR,17.0,SF,Fee,Public,Granville Reservation State Forest,1137.163,{982071D5-1666-4A93-988E-946DDADF29AA},4601941.81518249,24919.6152653574
5391,FPR,18.0,SF,Fee,Public,Willoughby State Forest,8508.458,{3F2DA260-415B-4A29-82F5-2FF945AC3A34},34432561.9237447,74367.9009018265
5393,FPR,19.0,SF,Fee,Public,Washington State Forest,435.057,{623885CE-D9C6-4799-946B-E03E77DED8EB},1760617.28737486,6767.88940092774
5394,FPR,21.0,SF,Fee,Public,Thetford Hill State Forest,258.594,{FEE8F299-AD6E-4EEA-9C7B-76B40591870C},1046493.25701496,6851.41155257462
5395,FPR,22.0,SF,Fee,Public,Williams River State Forest,107.979,{BC1F38D4-1A34-4DE2-AB0D-E8A68611F2A2},436976.46263099,3001.26449043312
5396,FPR,25.0,SF,Fee,Public,Roxbury State Forest,5917.235,{D3475958-9D0F-463E-81C0-58D4BC20F6A9},23946235.780355,56363.6281788618
5397,FPR,25.0,SF,ROW,Public,Roxbury State Forest,0.705,{C0FFBA33-156A-4847-8ED7-02C1E0537563},2852.57847371,948.303527099292
5398,FPR,28.0,SF,Fee,Public,Mt. Carmel State Forest,263.953,{2029E582-6306-4782-BB58-4264727387C3},1068179.7634535,4368.86794396279
5399,FPR,33.0,SF,Fee,Public,Okemo State Forest,8328.487,{D93A913F-9292-414E-B9D6-022818597BF0},33704245.0689982,61510.9476373825
5401,FPR,36.0,SF,Fee,Public,Mt. Cushman State Forest,14.602,{EE6DD427-4D20-44D3-BA72-8F497259D3F7},59094.03158194,1661.53032118028
5402,FPR,38.0,SF,Fee,Public,Mollie Beattie State Forest,206.558,{1B5B33DA-CEB1-47A2-83ED-D39AFC8DA5C4},835910.05138632,4366.64446958946
5403,FPR,40.0,SF,Fee,Public,Maidstone State Forest,441.842,{D92A7BA5-EEA4-4636-BB2B-14EF3AB0D063},1788075.25320343,11362.9767562937
5404,FPR,42.0,SF,Fee,Public,Mathewson State Forest,807.62,{8E3ED873-4845-4CE9-871C-2C7DCA07CB7B},3268326.61650538,11739.8741775862
5406,FPR,43.0,SF,Fee,Public,Cambridge State Forest,25.388,{C8F36FC0-DC51-4C3E-A620-69DE2F87C1AF},102741.669663565,1761.36369946599
5408,FPR,47.0,SF,Fee,Public,Victory State Forest,16350.52,{9779A634-B53C-415D-B6A7-72A190D550A3},66168309.1150619,110905.652464595
5410,FPR,50.0,SF,Fee,Public,Jay State Forest,8376.994,{952D3F0E-A9AD-428C-A860-BE84F8B9A3B7},33900545.3664848,56248.8637124325
5412,FPR,54.0,SF,Fee,Public,Lord State Forest,71.453,{6D9BEE02-B11C-4A72-BEC1-9EA037D3BCEB},289159.390719185,2137.96127492339
5413,FPR,57.0,SF,Easement,Public,Morristown Bog State Forest,0.181,{A91ED12B-71A5-4DCA-B584-0BBF223ED7F1},731.54602169,302.424662047241
5414,FPR,57.0,SF,Fee,Public,Morristown Bog State Forest,30.871,{FEDC6307-B9EA-443E-9C57-45442CC49462},124931.236098325,1641.67520224419
5415,FPR,59.0,SF,Fee,Public,Rupert State Forest,364.027,{C6E06A01-CC09-4E25-8350-DD4AE2FC68D7},1473168.60655873,9334.453121059
5416,FPR,64.0,SF,Fee,Public,W.C. Putnam State Forest,147.875,{5DFD905F-363E-41E9-8BC7-A7D60C106F7D},598427.94159162,3420.33702707648
5417,FPR,65.0,SF,Fee,Public,John J. Dorand State Forest,532.113,{FFE3A6D4-04BB-445A-AC86-201EDBC80F6B},2153389.73314586,7516.08596406929
5419,FPR,82.0,SF,Fee,Public,Boyer State Forest,364.005,{B41901AB-210F-489F-ADC0-24BD1A5D1B1D},1473079.56651463,8895.75148633275
5420,FPR,84.0,SF,Easement,Public,Long Trail State Forest,106.248,{7647A2AB-F549-416A-9302-02F6EB522057},429971.339590565,4041.72154394346
5421,FPR,84.0,SF,Fee,Public,Long Trail State Forest,10074.851,{A23B909C-1607-4F0B-B0A2-C06561E5563D},40771538.3048466,142179.915772388
5424,FPR,87.0,SF,Fee,Public,Black Turn Brook State Forest,588.338,{068B55E6-5B6F-4EF9-AC3E-099332833E0A},2380923.85372732,7335.49308183786
5425,FPR,97.0,SF,Fee,Public,Mill River Falls State Forest,48.698,{41F037FD-F6BE-4F6B-ACAF-B050106F2DD0},197072.728861765,3734.69036923038
5426,FPR,98.0,,Easement,Public,Tinmouth Conservation Easements,182.042,{6899258B-7E91-4172-8CB8-58A83500457C},736700.511579835,4549.17526352222
5427,FPR,701.0,SP,Fee,Public,Molly’s Falls Pond State Park,1028.833,{55DD6526-EB6B-4183-8E2A-0ED637E1D9BE},4163546.21139967,19313.6161936934
5428,FPR,702.0,SP,Fee,Public,Muckross,204.394,{CCD58CC7-6C42-4F2B-B131-A5FBFCDFBBE7},827154.445090795,4796.6292609493
5429,FPR,703.0,SP,Fee,Public,Taconic Mountains Ramble,419.774,{87C75FC1-126D-4F10-B532-D2E230A0517A},1698768.43957508,8462.83216418879
5430,FPR,703.0,SP,ROW,Public,Taconic Mountains Ramble,0.392,{DF38B7FF-6904-48AA-909B-F5DB77A2030D},1588.101690075,533.369886166699
5431,FPR,714.0,SP,Fee,Public,Mt. Philo State Park,234.416,{9FF7DDC8-56ED-4401-9485-8F21278E1AB5},948647.87118251,4479.27514939648
5432,FPR,716.0,SP,Fee,Public,Ainsworth State Park,912.504,{E86221D1-328B-4259-8C62-7CF32C97E252},3692776.3887817,12682.1543417462
