OBJECTID,GEOID,NAME,ACRES_LAND,ACRES_WATER,JURISDICTION,CRA_NO,CRA_GRP,GEN_ALIAS,DETL_NAMES,TRACT_LABEL,TOTAL_POPULATION,Age_Under_18,PCT_POP_UNDER_18,Age_65_and_over,PCT_POP_65_OVER,MEDIAN_AGE,NOT_HISPANIC_LATINO_WHITE_ONE,PCT_NOTHISP_WHITE_ONE,NOTHISPLATINO_BLKAFRCNAMER_ONE,PCT_NOTHISP_BLACK_ONE,NOTHISPLATINO_AMINDALSKNTV_ONE,PCT_NOTHISP_AMIAK_ONE,NOTHISPLATINO_ASIAN_ONE,PCT_NOTHISP_ASIAN_ONE,NOTHISPLATINO_NHAWAIIOTHPI_ONE,PCT_NOTHISP_PI_ONE,NOTHISPLATINO_SOME_OTHER_ONE,PCT_NOTHISP_OTHER_ONE,NOTHISPLATINO_TWO_OR_MORE_RACE,PCT_NOTHISP_TWO_ONE,HISPANIC_OR_LATINO_OF_ANY_RACE,PCT_HISP_ANY_RACE,PERSON_OF_COLOR,PCT_PERSON_OF_COLOR,HOUSEHOLDS,POPULATION_IN_HOUSEHOLDS,PCT_POP_IN_HH,AVERAGE_HOUSEHOLD_SIZE,POPULATION_IN_GQ,PCT_POP_IN_GQ,FAMILY_HOUSEHOLDS,PCT_FAM_HH,Population_in_Families,PCT_POP_IN_FAMILIES,AVERAGE_FAMILY_SIZE,NONFAMILY_HOUSEHOLDS,PCT_NON_FAM_HH,TOTAL_HOUSING_UNITS,OCCUPIED_HOUSING_UNITS,PCT_OCC_HU,VACANT_HOUSING_UNITS,PCT_VACANT_HU,OWNER_OCCUPIED_HOUSING_UNITS,PCT_OWN_OCC_HU,RENTER_OCCUPIED_HOUSING_UNITS,PCT_RENT_OCC_HU,Population_25_years_and_over,High_school_grad_or_higher,Bachelor_degree_or_higher,PCNT_HIGHSCHOOL_GRAD_OR_HIGHER,PCT_BACHELOR_DEGREE_OR_HIGHER,POPULATION_5_YEARS_AND_OVER,SPEAK_LANGUAGE_OTHTHAN_ENGLISH,PCT_SPEAK_OTH_THAN_ENGLISH,SPEAK_ENGLISH_LESSTHANVERYWELL,PCT_SP_ENG_LESS_THAN_VERYWELL,HU_VALUE_LESS_THAN_50_000,HU_VALUE_50_000_TO_99_999,HU_VALUE_100_000_TO_149_999,HU_VALUE_150_000_TO_199_999,HU_VALUE_200_000_TO_299_999,HU_VALUE_300_000_TO_499_999,HU_VALUE_500_000_TO_999_999,HU_VALUE_1_000_000_OR_MORE,HU_VALUE_MEDIAN_DOLLARS,WITH_MORTGAGE_SMOCAPI_COMPUTED,WITH_MORTGAGE_SMOCAPI_LESS_20,WITHMORTGAGESMOCAPI_20_TO_24_9,WITHMORTGAGESMOCAPI_25_TO_29_9,WITHMORTGAGESMOCAPI_30_TO_34_9,WITHMORTGAGESMOCAPI_35_OR_MORE,PERC_SMOCAPI_W_MORT_35_OR_MORE,WITHMORTGAGESMOCAPINOTCOMPUTED,MEDIAN_GROSS_RENT,RENT_GRAPI_COMPUTED,GRAPI_LESS_THAN_15_0,GRAPI_15_0_TO_19_9,GRAPI_20_0_TO_24_9,GRAPI_25_0_TO_29_9,GRAPI_30_0_TO_34_9,GRAPI_35_0_OR_MORE,PERCENT_GRAPI_35_OR_MORE,GRAPI_NOT_COMPUTED,Population_16_and_over,CIVILIAN_LABOR_FORCE,CIVILIAN_LABOR_FORCE_EMPLOYED,CIVILIAN_LABOR_FORCE_UNEMPLOYD,PERCENT_UNEMPLOYED,NOT_IN_LABOR_FORCE,MEDIAN_HH_INC_PAST_12MO_DOLLAR,HH_INCOME_LESS_THAN_10_000,HH_INCOME_10_000_TO_14_999,HH_INCOME_15_000_TO_24_999,HH_INCOME_25_000_TO_34_999,HH_INCOME_35_000_TO_49_999,HH_INCOME_50_000_TO_74_999,HH_INCOME_75_000_TO_99_999,HH_INCOME_100_000_TO_149_999,HH_INCOME_150_000_TO_199_999,HH_INCOME_200_000_OR_MORE,POP_POVERTY_STATUS_DETERMINED,all_people_under_poverty,PCT_POPULATION_UNDER_POVERTY,All_Families_whom_poverty_det,All_Families_under_Poverty,PCT_ALL_FAMILY_UNDER_POVERTY,ACS_VINTAGE,Population_owner_occupied,Population_renter_occupied,POP_INCPOV_RATIO_2_00_AND_OVER,POP_INCPOV_RATIO_BELOW_2_00,PCT_POP_BELOW_200_POVERTY,SHAPE_Length,SHAPE_Area
2674,53033001500,Census Tract 15,283.17432392,98.46803485,Seattle,10.1,10.0,North Beach/Blue Ridge,"Crown Hill, North Beach, Blue Ridge",15.0,2463,461,18.7,256,10.4,45.1,2305,93.6,0,0.0,0,0.0,85,3.5,0,0.0,0,0.0,20,0.8,53,2.2,158,6.4,1140,2463,100.0,2.2,0,0.0,690,60.5,1895,76.9,2.75,450,39.5,1154,1140,98.8,14,1.2,972,85.3,168,14.7,1935,1847,1214,95.5,62.7,2315,214,9.2,78,3.4,0,0,0,11,34,340,476,111,594200,793,156,80,186,50,321,40.48,0,965,155,37,0,42,44,9,23,14.84,13,2071,1584,1517,67,4.2,487,89438,25,23,35,45,82,230,179,274,128,119,2463,109,4.4,690,13,1.9,5Y10,2181,282,2284,179,7.3,13808.8369807078,12335024.1670527
2675,53033001600,Census Tract 16,476.75029208,113.10433368,Seattle,10.1,10.0,North Beach/Blue Ridge,"Crown Hill, North Beach, Blue Ridge",16.0,4271,855,20.0,673,15.8,46.1,3657,85.6,22,0.5,41,1.0,229,5.4,0,0.0,0,0.0,229,5.4,93,2.2,614,14.4,1884,4194,98.2,2.2,77,1.8,1250,66.3,3439,80.5,2.75,634,33.7,1884,1884,100.0,0,0.0,1557,82.6,327,17.4,3172,3136,1782,98.9,56.2,4057,433,10.7,103,2.5,0,14,0,18,62,519,762,182,592600,1091,306,188,87,172,338,30.98,13,1020,316,0,53,66,85,22,90,28.48,11,3540,2284,2151,133,5.8,1256,83913,74,39,85,142,216,270,271,409,211,167,4271,346,8.1,1250,81,6.5,5Y10,3373,821,3679,592,13.9,23529.7761702201,20767159.6736595
2676,53033020100,Census Tract 201,429.12835617,169.21578807,King County Balance,,,,,201.0,3361,715,21.3,780,23.2,48.1,2816,83.8,0,0.0,15,0.4,267,7.9,8,0.2,0,0.0,175,5.2,80,2.4,545,16.2,1257,3117,92.7,2.5,244,7.3,873,69.5,2681,79.8,3.07,384,30.5,1300,1257,96.7,43,3.3,1101,87.6,156,12.4,2407,2328,1316,96.7,54.7,3191,431,13.5,76,2.4,8,0,7,0,88,416,514,68,518600,741,130,157,121,102,231,31.17,49,1367,156,12,0,58,25,19,42,26.92,0,2761,1497,1447,50,3.3,1264,83233,70,24,45,155,101,149,182,317,110,104,3106,182,5.9,873,22,2.5,5Y10,2875,242,2766,340,10.9,18319.7395860042,18692756.5296272
2677,53033003000,Census Tract 30,368.96892328,0.0,Seattle,10.2,10.0,Whittier Heights,"Whittier Heights, Loyal Heights, Crown Hill",30.0,5578,1119,20.1,402,7.2,38.1,4948,88.7,0,0.0,0,0.0,199,3.6,0,0.0,22,0.4,135,2.4,274,4.9,630,11.3,2558,5578,100.0,2.2,0,0.0,1363,53.3,3971,71.2,2.91,1195,46.7,2558,2558,100.0,0,0.0,1910,74.7,648,25.3,4140,4069,2599,98.3,62.8,5180,525,10.1,146,2.8,10,11,16,34,98,1070,671,0,464300,1466,457,240,181,165,423,28.85,0,1077,627,135,151,119,78,51,93,14.83,21,4528,3670,3536,134,3.7,812,83226,76,0,147,122,234,580,486,547,250,116,5578,142,2.5,1363,0,0.0,5Y10,4362,1216,5220,358,6.4,16061.947620856,16072222.0089564
2678,53033001702,Census Tract 17.02,316.33041122,0.0,Seattle,9.3,9.0,Greenwood/Phinney Ridge,"Greenwood, Phinney Ridge, Woodland Park, Crown Hill",17.02,4782,674,14.1,668,14.0,41.4,3136,65.6,250,5.2,42,0.9,468,9.8,0,0.0,16,0.3,292,6.1,578,12.1,1646,34.4,1869,4217,88.2,2.3,565,11.8,1155,61.8,3329,69.6,2.88,714,38.2,2001,1869,93.4,132,6.6,1034,55.3,835,44.7,3784,3356,1424,88.7,37.6,4529,960,21.2,580,12.8,14,25,0,14,122,752,107,0,377400,729,232,77,125,59,236,32.37,0,877,835,138,75,196,128,48,250,29.94,0,4147,2653,2329,324,12.2,1494,53646,222,90,98,170,220,411,279,274,70,35,4293,501,11.7,1155,59,5.1,5Y10,2373,1844,2883,1410,32.8,17476.4063853538,13779297.5954018
2679,53033002900,Census Tract 29,243.68264994,0.0,Seattle,9.3,9.0,Greenwood/Phinney Ridge,"Greenwood, Phinney Ridge, Woodland Park, Crown Hill",29.0,4117,722,17.5,253,6.1,38.4,3572,86.8,16,0.4,0,0.0,132,3.2,0,0.0,0,0.0,140,3.4,257,6.2,545,13.2,1789,4117,100.0,2.3,0,0.0,980,54.8,2866,69.6,2.92,809,45.2,1949,1789,91.8,160,8.2,1271,71.0,518,29.0,3200,3058,2138,95.6,66.8,3773,480,12.7,131,3.5,22,0,7,68,73,599,502,0,469400,973,269,167,224,141,172,17.68,0,1005,518,107,46,166,69,14,116,22.39,0,3439,2710,2575,135,5.0,717,91156,91,35,57,90,162,336,214,534,215,55,4117,194,4.7,980,21,2.1,5Y10,3065,1052,3614,503,12.2,13366.3195076241,10614773.7722896
2680,53033001701,Census Tract 17.01,220.59433807,0.0,Seattle,9.3,9.0,Greenwood/Phinney Ridge,"Greenwood, Phinney Ridge, Woodland Park, Crown Hill",17.01,3615,536,14.8,186,5.1,32.8,2085,57.7,333,9.2,81,2.2,545,15.1,0,0.0,0,0.0,316,8.7,255,7.1,1530,42.3,1924,3615,100.0,1.9,0,0.0,698,36.3,2050,56.7,2.94,1226,63.7,2024,1924,95.1,100,4.9,1053,54.7,871,45.3,2816,2712,1693,96.3,60.1,3409,791,23.2,300,8.8,18,0,11,90,259,564,96,15,347900,926,119,196,185,112,314,33.91,0,925,845,109,120,166,111,68,271,32.07,26,3101,2561,2471,90,3.5,540,55052,51,132,132,208,365,368,308,293,67,0,3615,543,15.0,698,103,14.8,5Y10,2122,1493,2767,848,23.5,17164.4546404057,9609050.92989487
2681,53033002800,Census Tract 28,242.98636782,0.0,Seattle,9.3,9.0,Greenwood/Phinney Ridge,"Greenwood, Phinney Ridge, Woodland Park, Crown Hill",28.0,4008,672,16.8,257,6.4,38.1,3253,81.2,33,0.8,50,1.2,259,6.5,0,0.0,43,1.1,292,7.3,78,1.9,755,18.8,2012,4008,100.0,2.0,0,0.0,900,44.7,2484,62.0,2.76,1112,55.3,2249,2012,89.5,237,10.5,1177,58.5,835,41.5,3199,3138,2262,98.1,70.7,3757,454,12.1,117,3.1,11,0,0,14,70,620,462,0,464800,967,323,143,55,97,349,36.09,0,1140,798,88,120,100,127,62,301,37.72,37,3350,2799,2630,169,6.0,537,62385,74,69,227,110,265,378,280,352,179,78,4008,259,6.5,900,11,1.2,5Y10,2410,1598,3157,851,21.2,13187.7124890298,10584443.8441258
2682,53033020700,Census Tract 207,422.81064664,0.0,King County Balance,,,,,207.0,3668,734,20.0,348,9.5,38.2,2473,67.4,103,2.8,0,0.0,656,17.9,0,0.0,0,0.0,131,3.6,305,8.3,1195,32.6,1512,3668,100.0,2.4,0,0.0,779,51.5,2803,76.4,3.6,733,48.5,1536,1512,98.4,24,1.6,838,55.4,674,44.6,2591,2283,977,88.1,37.7,3407,1137,33.4,678,19.9,0,0,8,18,160,606,46,0,365300,617,91,107,81,89,249,40.36,0,946,645,76,33,125,101,30,280,43.41,29,3053,2230,2075,155,7.0,823,52929,154,85,131,184,166,262,295,112,51,72,3632,359,9.9,779,10,1.3,5Y10,2299,1369,2782,850,23.4,18658.0646024344,18417558.0971929
2683,53033020800,Census Tract 208,764.10721776,159.25917095,King County Balance,,,,,208.0,4187,882,21.1,775,18.5,47.9,3498,83.5,61,1.5,0,0.0,299,7.1,0,0.0,0,0.0,130,3.1,199,4.8,689,16.5,1715,4187,100.0,2.4,0,0.0,1285,74.9,3667,87.6,2.85,430,25.1,1840,1715,93.2,125,6.8,1401,81.7,314,18.3,3065,2971,1845,96.9,60.2,4136,480,11.6,218,5.3,0,0,9,19,115,692,384,182,457600,899,289,106,167,77,260,28.92,7,923,314,34,68,53,56,13,90,28.66,0,3485,2226,2105,121,5.4,1259,100417,72,65,90,86,128,192,219,488,152,223,4187,210,5.0,1285,60,4.7,5Y10,3535,652,3670,517,12.3,33440.1312627651,33284377.2583538
