X,Y,objectid,STREET_DRAIN_ID,CRWD_DRAIN_KEY,FEATURE_KEY,MAPPED_FLAG,DISPLAY_NAME,ADOPTION_DATE,ADOPTABLE,CREATE_DATE
1283876.04166348,201698.437506601,37,294,37,,N,Alley drain,2016/09/08 00:00:00+00,Y,2016/09/08 00:00:00+00
1272450.75230779,232649.663202286,38,301,38,,N,West,2016/10/22 00:00:00+00,Y,2016/10/22 00:00:00+00
1272491.11691582,232678.048610315,39,302,39,,N,East,2016/10/22 00:00:00+00,Y,2016/10/22 00:00:00+00
1280490.13574001,225647.797147125,40,312,40,,N,31st Ave & Columbia ,2016/11/18 00:00:00+00,Y,2016/11/18 00:00:00+00
1275678.12498309,232688.541666329,41,316,41,,N,Prospect & 15th,2017/01/18 00:00:00+00,Y,2017/01/18 00:00:00+00
1263430.20836255,267351.562501818,42,318,42,,N,McDenzel drain,2017/01/25 00:00:00+00,Y,2017/01/25 00:00:00+00
1277162.97919261,227469.420572981,43,325,43,,N,1438 drain,2017/03/11 00:00:00+00,Y,2017/03/11 00:00:00+00
1285430.72915308,199895.572928742,44,326,44,,N,,2017/04/16 00:00:00+00,Y,2017/04/16 00:00:00+00
1285431.77081709,199875.260416731,45,327,45,,N,,2017/04/16 00:00:00+00,Y,2017/04/16 00:00:00+00
1281761.45836532,223603.125017017,46,329,46,,N,Spruce St (near Alder),2017/09/02 00:00:00+00,Y,2017/09/02 00:00:00+00
1257288.54166827,253735.93752788,47,343,47,,N,Drippy,2017/11/02 00:00:00+00,Y,2017/11/02 00:00:00+00
1257242.70832421,253740.104183882,48,345,48,,N,Gurgle,2017/11/02 00:00:00+00,Y,2017/11/02 00:00:00+00
1257198.95830818,253742.187511891,49,346,49,,N,Slurpy,2017/11/02 00:00:00+00,Y,2017/11/02 00:00:00+00
1257152.08336411,253740.104183882,50,347,50,,N,Misty,2017/11/02 00:00:00+00,Y,2017/11/02 00:00:00+00
1257085.41667606,253782.812471926,51,350,51,,N,Drooly,2017/11/02 00:00:00+00,Y,2017/11/02 00:00:00+00
1284460.41664009,243491.145837396,52,354,52,,N,O'Carroll,2017/11/11 00:00:00+00,Y,2017/11/11 00:00:00+00
1257083.85418005,253805.989559948,53,356,53,,N,Sappy,2017/11/13 00:00:00+00,Y,2017/11/13 00:00:00+00
1257321.3541483,253772.135415912,54,357,54,,N,Stormy,2017/11/13 00:00:00+00,Y,2017/11/13 00:00:00+00
1276717.70834416,234103.645859778,55,385,55,,N,,2018/02/11 00:00:00+00,Y,2018/02/11 00:00:00+00
1276690.62501612,234101.562531769,56,386,56,,N,,2018/02/11 00:00:00+00,Y,2018/02/11 00:00:00+00
1276666.6666801,234125.520803794,57,387,57,,N,,2018/02/11 00:00:00+00,Y,2018/02/11 00:00:00+00
1276665.62501611,234148.437475815,58,388,58,,N,,2018/02/11 00:00:00+00,Y,2018/02/11 00:00:00+00
1276543.75000797,234101.562531769,59,389,59,,N,,2018/02/11 00:00:00+00,Y,2018/02/11 00:00:00+00
1276557.29164,234129.687523797,60,390,60,,N,,2018/02/11 00:00:00+00,Y,2018/02/11 00:00:00+00
1275992.70834342,231585.937505201,61,391,61,,N,,2018/02/11 00:00:00+00,Y,2018/02/11 00:00:00+00
1275529.68747894,227992.708317518,62,392,62,,N,NW Corner 15th & Pine,2018/02/11 00:00:00+00,Y,2018/02/11 00:00:00+00
1278908.4036424,232548.889442191,63,395,63,,N,2517 E. Helen St. ,2018/02/12 00:00:00+00,Y,2018/02/12 00:00:00+00
1274091.49304546,233481.790947139,64,406,64,,N,Federal & Highland SSE,2018/02/18 00:00:00+00,Y,2018/02/18 00:00:00+00
1274116.49304549,233507.832611173,65,407,65,,N,Federal & Highland ESE,2018/02/18 00:00:00+00,Y,2018/02/18 00:00:00+00
1278870.83333836,222055.208343446,66,410,66,,N,Last CD Drain on Jackson,2018/03/24 00:00:00+00,Y,2018/03/24 00:00:00+00
1273578.09733294,253808.089335948,69,436,69,,N,5thAveNE&79th,2020/01/17 00:00:00+00,Y,2020/01/17 00:00:00+00
