X,Y,OBJECTID,NAME,ADDRESS,POINT_X,POINT_Y,PMAID,LOCID,AMWO_ID,SDQL,GLOBALID,GIS_CREATOR,GIS_CRT_DT,GIS_EDITOR,GIS_EDT_DT,SE_ANNO_CAD_DATA
1274117.90476415,245852.138342232,365,University Playground,4745 9th Ave NE,1274156.48277105,245784.01577513,435,1180,,QL-D3,{60FDBF5B-A77A-4F4C-AE99-14AAF4DD0789},SeattleParks_SeattleCityGIS,2023/11/09 01:45:31+00,SeattleParks_SeattleCityGIS,2023/11/09 01:45:31+00,
1262429.21259038,209426.619001806,366,Delridge Playfield,Delridge Way SW & SW Genesee St,,,450,1124,,QL-D3,{F3BF5B5E-E3EB-4E6A-B941-DFA67C5AE26C},SeattleParks_SeattleCityGIS,2023/11/09 01:45:31+00,SeattleParks_SeattleCityGIS,2023/11/09 01:45:31+00,
1273486.96278456,262676.424247399,367,Hubbard Homestead Park,11203 5TH AVENUE NE,1273490.10582298,262533.83857463,4456,1398,,QL-D3,{BD862AD4-D0E6-46B1-8E51-D2BFFD3C8240},SeattleParks_SeattleCityGIS,2023/11/09 01:45:31+00,SeattleParks_SeattleCityGIS,2023/11/09 01:45:31+00,
1284858.70382056,194808.014708892,368,Rainier Beach Playfield,8825 Rainier Ave S,,,422,1160,,QL-D3,{22EE0C44-1A94-4F52-B649-3518B43AC70D},SeattleParks_SeattleCityGIS,2023/11/09 01:45:31+00,SeattleParks_SeattleCityGIS,2023/11/09 01:45:31+00,
1281000.90641806,211380.908400312,369,North Rainier Landbank Site,3640 35th Ave S,,,4483,2600,,QL-D3,{5AE39AE2-6609-48CD-AFDB-E2162180D71D},SeattleParks_SeattleCityGIS,2023/11/09 01:45:31+00,SeattleParks_SeattleCityGIS,2023/11/09 01:45:31+00,
1279187.70663239,200115.281981483,370,Van Asselt Playground,7050 Beacon Ave S,,,431,1874,,QL-D3,{BFB0DA09-E2C9-4F61-A33A-A45DAFB3B4CA},SeattleParks_SeattleCityGIS,2023/11/09 01:45:31+00,SeattleParks_SeattleCityGIS,2023/11/09 01:45:31+00,
1257798.86883272,214894.049996063,371,Hiawatha Playfield,2700 California Ave SW,,,456,1788,,QL-D3,{2C42E57E-F52D-4F99-8175-50FAA735B5A8},SeattleParks_SeattleCityGIS,2023/11/09 01:45:31+00,SeattleParks_SeattleCityGIS,2023/11/09 01:45:31+00,
1281487.20301764,200092.166542143,372,"John C. Little, Sr. Park",6961 37th Avenue S,1281529.26526956,200055.26274464,429,2560,,QL-D3,{3397E08C-9795-42AD-B14C-63FE5C1306B0},SeattleParks_SeattleCityGIS,2023/11/09 01:45:31+00,SeattleParks_SeattleCityGIS,2023/11/09 01:45:31+00,
1282393.6132783,203576.443694308,373,Brighton Playfield,39th Ave S & S Juneau St,,,402,1115,,QL-D3,{D3B9D239-A03F-4E8C-8ADB-66BD09603A59},SeattleParks_SeattleCityGIS,2023/11/09 01:45:31+00,SeattleParks_SeattleCityGIS,2023/11/09 01:45:31+00,
1279501.73290722,224023.97432147,374,Powell Barnett Park,2760 E Alder St,,,345,1953,,QL-D3,{AE981341-F3AF-46D4-901E-65644202CA98},SeattleParks_SeattleCityGIS,2023/11/09 01:45:31+00,SeattleParks_SeattleCityGIS,2023/11/09 01:45:31+00,
1277196.70077188,218448.317493811,375,Atlantic Street Park,1501 21st Ave S,1277202.16959307,218442.45825364,4243,2541,,QL-D3,{67DCAF4A-0DEB-4DE5-A349-F25F642E3462},SeattleParks_SeattleCityGIS,2023/11/09 01:45:31+00,SeattleParks_SeattleCityGIS,2023/11/09 01:45:31+00,
1267598.1369638,270715.394717976,376,Bitter Lake Open Space Park,14201 Linden Ave N,1267666.00493839,270360.66281597,4450,1194,,QL-D3,{02CD10BC-3BED-475B-88FE-7A18DF992EF7},SeattleParks_SeattleCityGIS,2023/11/09 01:45:31+00,SeattleParks_SeattleCityGIS,2023/11/09 01:45:31+00,
1279694.39787622,218673.104773894,377,Sam Smith Park,1400 Martin Luther King Jr Way,,,4242,1600,,QL-D3,{054D7A32-F24F-4983-886A-CFF85D2B50DF},SeattleParks_SeattleCityGIS,2023/11/09 01:45:31+00,SeattleParks_SeattleCityGIS,2023/11/09 01:45:31+00,
1276616.48539689,237527.370542973,378,Montlake Playfield,1618 E Calhoun St,,,376,1152,,QL-D3,{B6F9026C-C006-4DD1-AB88-129DAF059CAC},SeattleParks_SeattleCityGIS,2023/11/09 01:45:31+00,SeattleParks_SeattleCityGIS,2023/11/09 01:45:31+00,
1272886.37015373,204966.204038143,379,Georgetown Playfield,750 S Homer St,,,410,2094,,QL-D3,{DEACCC32-73C2-4A09-A21D-3F21F9A27798},SeattleParks_SeattleCityGIS,2023/11/09 01:45:31+00,SeattleParks_SeattleCityGIS,2023/11/09 01:45:31+00,
1272168.76824248,221946.222571477,380,Hing Hay Park,S King St & Maynard Ave S,,,358,1093,,QL-D3,{7219747E-4921-4C76-B6E4-4E257FD4341A},SeattleParks_SeattleCityGIS,2023/11/09 01:45:31+00,SeattleParks_SeattleCityGIS,2023/11/09 01:45:31+00,
1276894.89363272,222707.517636806,381,Pratt Park,1800 S Main St,,,390,2404,,QL-D3,{45D2FA7B-5773-4A9B-A1B9-84F7FDE5FBF2},SeattleParks_SeattleCityGIS,2023/11/09 01:45:31+00,SeattleParks_SeattleCityGIS,2023/11/09 01:45:31+00,
