Date,Intersection,City,State,Inspection #,Level,OOS-TR,OOS-TL,OOS-DR,Crash,Weighed,# of Violations,Total Fines,Inspector
2027-02-16,GRAND AVE & HUBERT ST,NEVILLE ISLAND,PA,PAM637000204,1,Y,,,,,6.0,204.0,INSPECTOR 3
2018-12-28,GRAND AVE & HUBERT ST,NEVILLE ISLAND,PA,PAM584000612,1,,,,,,1.0,0.0,INSPECTOR 2
2018-12-28,NEVILLE RD & THIRD ST,NEVILLE ISALND,PA,PAM584000613,2,Y,,,,,4.0,141.97,INSPECTOR 2
2018-12-28,GRAND @ HUBERT,NEVILLE TWP,PA,PAM615000840,2,,,,,,0.0,0.0,INSPECTOR 1
2018-12-20,700 HARGROVE ST,CITY OF PITTSBURGH,PA,PAM584000611,2,Y,,,Y,,5.0,0.0,INSPECTOR 2
2018-12-18,I376W @ I79,CARNEGIE,PA,PAM615000839,2,,Y,,,,3.0,0.0,INSPECTOR 1
2018-12-14,I79 @ BRIDGEVILLE REST AREA,BRIDGEVILLE,PA,PAM615000834,1,Y,,,,,5.0,0.0,INSPECTOR 1
2018-12-14,I79 @ BRIDGEVILLE REST AREA,BRIDGEVILLE,PA,PAM615000835,3,,,,,,0.0,0.0,INSPECTOR 1
2018-12-14,I79 @ BRIDGEVILLE REST AREA,BRIDGEVILLE,PA,PAM615000836,3,,,,,,0.0,0.0,INSPECTOR 1
2018-12-14,I79 @ BRIDGEVILLE REST AREA,BRIDGEVILLE,PA,PAM615000837,2,,,,,,1.0,0.0,INSPECTOR 1
2018-12-14,I79 @ BRIDGEVILLE REST AREA,BRIDGEVILLE,PA,PAM615000838,2,,,,,,0.0,0.0,INSPECTOR 1
2018-12-14,I79 SOUTH WEIGHT STATION,S FAYETTE,PA,PAM628000826,2,,,,,,1.0,0.0,INSPECTOR 4
2018-12-14,I79 SOUTH WEIGHT STATION,S FAYETTE,PA,PAM628000827,1,Y,,,,,5.0,0.0,INSPECTOR 4
2018-12-14,I79 SOUTH WEIGHT STATION,S FAYETTE,PA,PAM628000828,2,,,,,,2.0,0.0,INSPECTOR 4
2018-12-14,I79 SOUTH WEIGHT STATION,S FAYETTE,PA,PAM628000829,3,,,,,,0.0,0.0,INSPECTOR 4
2018-12-10,5300 GRAND AVE,NEVILLE,PA,PAM615000833,2,Y,,,,,9.0,1289.97,INSPECTOR 1
2018-12-10,5300 GRAND AVE,NEVILLE,PA,PAM628000824,3,,,,,,0.0,0.0,INSPECTOR 4
2018-12-10,5300 GRAND AVE,NEVILLE,PA,PAM628000825,1,Y,,,,Y,4.0,588.47,INSPECTOR 4
2018-12-07,MILLERS RUN RD & HICKORY GRADE,S FAYETTE,PA,PAM584000607,3,,,,,,3.0,416.97,INSPECTOR 2
2018-12-07,MILLERS RUN RD & HICKORY GRADE,S FAYETTE,PA,PAM584000608,3,,,,,,2.0,141.97,INSPECTOR 2
2018-12-07,MILLERS RUN RD & HICKORY GRADE,S FAYETTE,PA,PAM584000609,2,Y,Y,,,,5.0,216.97,INSPECTOR 2
2018-12-07,MILLERS RUN RD & HICKORY GRADE,S FAYETTE,PA,PAM584000610,3,,,,,,6.0,166.97,INSPECTOR 2
2018-12-07,MILLERS RUN @ HICKORY GRADE,S. FAYETTE,PA,PAM615000828,3,,,,,,0.0,0.0,INSPECTOR 1
2018-12-07,MILLERS RUN @ HICKORY GRADE,S. FAYETTE,PA,PAM615000829,3,,,,,,1.0,0.0,INSPECTOR 1
2018-12-07,MILLERS RUN @ HICKORY GRADE,S. FAYETTE,PA,PAM615000830,2,,,,,,2.0,0.0,INSPECTOR 1
2018-12-07,MILLERS RUN @ HICKORY GRADE,S. FAYETTE,PA,PAM615000831,3,,,Y,,,4.0,616.5,INSPECTOR 1
2018-12-07,MILLERS RUN @ HICKORY GRADE,S. FAYETTE,PA,PAM615000832,3,,,,,,0.0,0.0,INSPECTOR 1
2018-12-07,MILLERS RUN RD @ HICKORY GRADE,S. FAYETTE,PA,PAM628000820,2,Y,,,,,5.0,0.0,INSPECTOR 4
2018-12-07,MILLERS RUN RD @ HICKORY GRADE,S. FAYETTE,PA,PAM628000821,3,,,,,,2.0,0.0,INSPECTOR 4
2018-12-07,MILLERS RUN RD @ HICKORY GRADE,S. FAYETTE,PA,PAM628000822,3,,,,,,0.0,0.0,INSPECTOR 4
2018-12-07,MILLERS RUN RD @ HICKORY GRADE,S. FAYETTE,PA,PAM628000823,2,,,,,,3.0,0.0,INSPECTOR 4
2018-12-06,RT30 @ I576,FINDLAY,PA,PAM615000824,3,,,,,,0.0,0.0,INSPECTOR 1
2018-12-06,RT30 @ I576,FINDLAY,PA,PAM615000825,3,,,,,,0.0,0.0,INSPECTOR 1
2018-12-06,RT30 @ I576,FINDLAY,PA,PAM615000826,3,,,,,,0.0,0.0,INSPECTOR 1
2018-12-06,RT30 @ I576,FINDLAY,PA,PAM615000827,3,,,,,,0.0,0.0,INSPECTOR 1
2018-12-06,RT 30 @ I 576,FINDLAY TWP,PA,PAM628000817,3,,,,,,2.0,141.5,INSPECTOR 4
2018-12-06,RT 30 @ I 576,FINDLAY TWP,PA,PAM628000818,3,,,,,,0.0,0.0,INSPECTOR 4
2018-12-06,RT 30 @ I 576,FINDLAY TWP,PA,PAM628000819,2,,,,,,5.0,166.97,INSPECTOR 4
2018-11-21,910 @ FREEPORT RD,HARMAR,PA,PAM628000815,2,,,,,,3.0,0.0,INSPECTOR 4
2018-11-21,CLINTON RD @ 376,FINDLAY,PA,PAM628000816,1,,Y,,,,8.0,0.0,INSPECTOR 4
2018-11-20,CLINTON RD @SWEENY DR,FINDLAY,PA,PAM628000809,2,,,,,,3.0,0.0,INSPECTOR 4
2018-11-20,CLINTON RD @ SWEENY DR,FINDLAY,PA,PAM628000810,1,Y,,,,,7.0,216.5,INSPECTOR 4
2018-11-20,CLINTON RD @ SWEENY DR,FINDLAY,PA,PAM628000811,3,,,,,,,0.0,INSPECTOR 4
2018-11-20,CLINTON RD @ SWEENY DR,FINDLAY,PA,PAM628000812,3,,,,,,,0.0,INSPECTOR 4
2018-11-20,RT 30 @ I 576,FINDLAY,PA,PAM628000813,3,,,,,,,0.0,INSPECTOR 4
2018-11-20,RT 30 @ I 576,FINDLAY,PA,PAM628000814,2,,Y,,,,4.0,0.0,INSPECTOR 4
2018-11-16,WASHINGTON PK & DANIELL DR,S FAYETTE,PA,PAM584000606,3,,,,,,1.0,0.0,INSPECTOR 2
2018-11-16,WASHINGTON PIKE @ DANIEL DR,BRIDGEVILLE,PA,PAM615000821,3,,,,,,,0.0,INSPECTOR 1
2018-11-16,WASHINGTON PIKE @ DANIEL DR,BRIDGEVILLE,PA,PAM615000822,3,,,,,,3.0,0.0,INSPECTOR 1
2018-11-16,WASHINGTON PIKE @ DANIEL DR,BRIDGEVILLE,PA,PAM615000823,3,,,,,,1.0,0.0,INSPECTOR 1
2018-11-16,WASHINGTON PK @ DANIELLE LN,S. FAYETTE,PA,PAM628000805,3,,,,,,,0.0,INSPECTOR 4
2018-11-16,WASHINGTON PK @ DANIELLE LN,S. FAYETTE,PA,PAM628000806,3,,,,,,,0.0,INSPECTOR 4
2018-11-16,WASHINGTON PK @ DANIELLE LN,S. FAYETTE,PA,PAM628000807,3,Y,,,,,4.0,216.97,INSPECTOR 4
2018-11-16,I-79 NORTH @ NOBLESTOWN RD,COLLIER,PA,PAM628000808,2,Y,,,,,,0.0,INSPECTOR 4
2018-11-14,MILLERS RUN RD & HICKORY GRADE,S FAYETTE,PA,PAM584000603,3,,,,,,0.0,0.0,INSPECTOR 2
2018-11-14,MILLERS RUN RD & HICKORY GRADE,S FAYETTE,PA,PAM584000604,3,,,,,,0.0,0.0,INSPECTOR 2
2018-11-14,MILLERS RUN RD & HICKORY GRADE,S FAYETTE,PA,PAM584000605,3,Y,,Y,,,3.0,0.0,INSPECTOR 2
2018-11-14,376 @ AIRPORT ENTRANCE,FINDLAY,PA,PAM615000817,2,Y,,,,Y,5.0,546.5,INSPECTOR 1
2018-11-14,MILLERS RUN @ HICKORY GRADE,S. FAYETTE,PA,PAM615000818,2,,,,,,2.0,0.0,INSPECTOR 1
2018-11-14,MILLERS RUN @ HICKORY GRADE,S. FAYETTE,PA,PAM615000819,3,,,,,,1.0,0.0,INSPECTOR 1
2018-11-14,MILLERS RUN @ HICKORY GRADE,S. FAYETTE,PA,PAM615000820,2,,,,,,2.0,616.97,INSPECTOR 1
2018-11-14,MILLERS RUN @ HICKORY GRADE RD,S. FAYETTE,PA,PAM628000802,2,,,,,,8.0,293.97,INSPECTOR 4
2018-11-14,MILLERS RUN @ HICKORY GRADE RD,S. FAYETTE,PA,PAM628000803,2,Y,,,,,2.0,0.0,INSPECTOR 4
2018-11-14,MILLERS RUN @ HICKORY GRADE RD,S. FAYETTE,PA,PAM628000804,1,Y,,,,,3.0,216.97,INSPECTOR 4
2018-11-12,SWEANEY @ CLINTON,FINDLAY,PA,PAM615000813,3,,,,,,1.0,0.0,INSPECTOR 1
2018-11-12,UNIVERSITY @ CARNOT,MOON,PA,PAM615000814,3,,,,,,,0.0,INSPECTOR 1
2018-11-12,UNIVERSITY @ THORNRUN,MOON,PA,PAM615000815,3,,,,,,,0.0,INSPECTOR 1
2018-11-12,UNIVERSITY @ THORNRUN,MOON,PA,PAM615000816,3,,,,,,,0.0,INSPECTOR 1
2018-11-12,CLINTON RD @RT 376,FINDLAY,PA,PAM628000799,2,,,,,,1.0,0.0,INSPECTOR 4
2018-11-12,RT 51 @ THORN RUN RD,MOON,PA,PAM628000800,3,,,,,,,0.0,INSPECTOR 4
2018-11-12,RT 51 @ THORN RUN RD,MOON,PA,PAM628000801,3,,,,,,,0.0,INSPECTOR 4
2018-11-08,BROWNSVILLE RD & CORRIGAN DR,S PARK,PA,PAM584000602,3,,,,,,1.0,0.0,INSPECTOR 2
2018-11-08,BROWNSVILLE RD @ CORRIGAN DR,SOUTH PARK,PA,PAM628000798,3,,,,,,,0.0,INSPECTOR 4
2018-11-07,500 ISLAND AVE,MCKEES ROCKS,PA,PAM584000599,2,,,,,,2.0,0.0,INSPECTOR 2
2018-11-07,500 ISLAND AVE,MCKEES ROCKS,PA,PAM584000600,3,,,,,,0.0,0.0,INSPECTOR 2
2018-11-07,500 ISLAND AVE,MCKEES ROCKS,PA,PAM584000601,3,,,,,,1.0,0.0,INSPECTOR 2
2018-11-07,ISLAND AVE @ ANGELINA,MCKEESROCKS,PA,PAM615000810,1,,,,,,9.0,293.97,INSPECTOR 1
2018-11-07,ISLAND AVE @ FLEMING,STOWE,PA,PAM615000811,3,,,,,,,0.0,INSPECTOR 1
2018-11-07,ISLAND AVE @ FLEMING,STOWE,PA,PAM615000812,3,,,,,,,0.0,INSPECTOR 1
2018-11-07,ISLAND AVE @ CUTLER ST,MC KEES ROCKS,PA,PAM628000795,1,Y,Y,Y,,,11.0,518.97,INSPECTOR 4
2018-11-07,ISLAND AVE @ FLEMING ST,STOWE,PA,PAM628000786,3,,,,,,,0.0,INSPECTOR 4
2018-11-07,ISLAND AVE @ FLEMING ST,STOWE,PA,PAM628000797,3,,,,,,,0.0,INSPECTOR 4
2018-11-06,RT30 @ STEUBEN ST,OAKDALE,PA,PAM615000809,3,,,,,,2.0,0.0,INSPECTOR 1
2018-11-06,W. STEUBEN ST @ STEUBENVILLE PK,OAKDALE,PA,PAM628000793,1,,Y,Y,,,5.0,316.5,INSPECTOR 4
2018-11-06,W. STEUBEN ST @ STEUBENVILLE PK,OAKDALE,PA,PAM628000794,3,,,,,,,0.0,INSPECTOR 4
2018-11-05,EAST GATE RD. PIA,MOON TWP,PA,PAM628000792,2,Y,Y,,Y,,4.0,0.0,INSPECTOR 4
2018-11-02,CARRIE FURNACE RAMP,RANKIN,PA,PAM584000598,3,,,,,Y,3.0,6596.5,INSPECTOR 2
2018-11-02,1125 WASHINGTON PIKE,COLLIER,PA,PAM615000807,2,Y,,,,,4.0,0.0,INSPECTOR 1
2018-11-02,5300 GRAND AVE,NEVILLE,PA,PAM615000808,2,,,,,,3.0,0.0,INSPECTOR 1
2018-11-02,5300 GRAND AVE,NEVILLE ISLAND,PA,PAM628000790,3,,,,,,,0.0,INSPECTOR 4
2018-11-02,5300 GRAND AVE,NEVILLE ISLAND,PA,PAM628000791,2,,,Y,,,8.0,1273.47,INSPECTOR 4
2018-10-31,GRAND AVE & HUBERT ST,NEVILLE,PA,PAM584000591,2,Y,,,,,4.0,0.0,INSPECTOR 2
2018-10-31,GRAND AVE & HUBERT ST,NEVILLE,PA,PAM584000595,3,,,,,,4.0,0.0,INSPECTOR 2
2018-10-31,GRAND AVE & HUBERT ST,NEVILLE,PA,PAM584000596,1,,,,,,2.0,0.0,INSPECTOR 2
2018-10-31,GRAND @ HUBERT,NEVILLE TWP,PA,PAM615000803,2,,,,,,0.0,0.0,INSPECTOR 1
2018-10-31,GRAND @ HUBERT,NEVILLE TWP,PA,PAM615000804,1,,,,,,4.0,141.5,INSPECTOR 1
2018-10-31,GRAND @ HUBERT,NEVILLE TWP,PA,PAM615000805,3,,,,,,1.0,0.0,INSPECTOR 1
2018-10-31,GRAND @ HUBERT,NEVILLE TWP,PA,PAM615000806,2,,,,,,0.0,0.0,INSPECTOR 1
2018-10-31,GRAND AVE @ HUBERT ST,NEVILLE ISLAND,PA,PAM628000786,1,,,,,,1.0,0.0,INSPECTOR 4
2018-10-31,GRAND AVE @ HUBERT ST,NEVILLE ISLAND,PA,PAM628000787,1,,,,,,2.0,0.0,INSPECTOR 4
2018-10-31,GRAND AVE @ HUBERT ST,NEVILLE ISLAND,PA,PAM628000788,1,,,,,,1.0,0.0,INSPECTOR 4
2018-10-31,GRAND AVE @ HUBERT ST,NEVILLE ISLAND,PA,PAM628000789,1,Y,,,,,8.0,593.97,INSPECTOR 4
2018-10-29,I376 @ GREENTREE RD,GREENTREE,PA,PAM628000785,2,Y,,,,,,0.0,INSPECTOR 4
2018-10-26,I79 SOUTH WEIGH STATION,S FAYETTE,PA,PAM584000589,1H,,,,,,0.0,0.0,INSPECTOR 2
2018-10-26,I79 SOUTH WEIGH STATION,S FAYETTE,PA,PAM584000590,1H,Y,,,,,2.0,0.0,INSPECTOR 2
2018-10-26,MCGOVERN @ SPRING RUN,CRESCENT,PA,PAM615000801,3,,,,,,0.0,0.0,INSPECTOR 1
2018-10-26,MCGOVERN @ SPRING RUN,CRESCENT,PA,PAM615000802,1,Y,,,,Y,17.0,949.97,INSPECTOR 1
2018-10-26,MCGOVERN BLVD @ SPRING RUN,CRESCENT,PA,PAM628000783,1,Y,,,,Y,6.0,743.0,INSPECTOR 4
2018-10-26,MCGOVERN BLVD @ SPRING RUN,CRESCENT,PA,PAM628000784,1,Y,,,,,12.0,383.47,INSPECTOR 4
2018-10-26,79 SOUTHBOUND WEIGHSTATION,S. FAYETTE,PA,PAM637000475,1H,,,,,,0.0,0.0,INSPECTOR 3
2018-10-26,79 SOUTHBOUND WEIGHSTATION,S. FAYETTE,PA,PAM637000476,1H,,,,,,1.0,0.0,INSPECTOR 3
2018-10-25,LIBRARY RD & STOLTZ RD,BETHEL PARK,PA,PAM584000587,3,,,Y,,,4.0,616.5,INSPECTOR 2
2018-10-25,CORRIGAN DR & MCCONKEY DR,S PARK,PA,PAM584000588,3,,,,,,3.0,0.0,INSPECTOR 2
2018-10-25,INGOMAR @ BABCOCK,MCCANDLESS,PA,PAM615000800,3,,,,,,0.0,0.0,INSPECTOR 1
2018-10-25,E. INGOMAR @ BABCOCK BLVD,MCCANDLESS,PA,PAM628000781,3,,,,,,,0.0,INSPECTOR 4
2018-10-25,UNIVERSITY BLVD @THORN RUN RD,MOON,PA,PAM628000782,2,,,,,,3.0,0.0,INSPECTOR 4
2018-10-24,SWEANEY @ CLINTON,FINDLAY,PA,PAM615000799,2,,,,,,5.0,0.0,INSPECTOR 1
2018-10-24,CLINTON RD @ SWEENY RD,FINDLAY,PA,PAM628000780,2,,,,,,4.0,0.0,INSPECTOR 4
2018-10-23,BROUGHTON RD & E PARK DR,BETHEL PARK,PA,PAM584000586,3,,,,,,0.0,0.0,INSPECTOR 2
2018-10-23,UNIVERSITY @ THORN RUN,MOON,PA,PAM615000797,3,,,,,,0.0,0.0,INSPECTOR 1
2018-10-23,UNIVERSITY @ THORN RUN,MOON,PA,PAM615000798,1,Y,,Y,,,8.0,739.94,INSPECTOR 1
2018-10-23,UNIVERSITY BLVD @THORN RUN RD,MOON,PA,PAM628000778,2,,,,,,3.0,0.0,INSPECTOR 4
2018-10-23,UNIVERSITY BLVD @THORN RUN RD,MOON,PA,PAM628000779,3,,,,,,3.0,0.0,INSPECTOR 4
2018-10-23,EAST PARK DR @ BROUGHTON RD,BETHEL PARK,PA,PAM637000474,3,,,,,,0.0,0.0,INSPECTOR 3
2018-10-18,CLEVER RD @ BEAVER GRADE RD,ROBINSON,PA,PAM628000777,1,Y,,,Y,,5.0,343.97,INSPECTOR 4
2018-10-09,200 OSBORNE ST,TURTLE CREEK,PA,PAM584000584,1,Y,,,,Y,7.0,696.5,INSPECTOR 2
