Votes,Prec. Count,Party,Dist. Type,Dist. Code,Contest Name,Cand. Num,Cand. Name,Vote For,Ref
172546,1319,,,,BALLOTS CAST - TOTAL,1,BALLOTS CAST - TOTAL,0,
64292,1319,REP,,,BALLOTS CAST - REPUBLICAN,1,BALLOTS CAST - REPUBLICAN,0,
108174,1319,DEM,,,BALLOTS CAST - DEMOCRATIC,1,BALLOTS CAST - DEMOCRATIC,0,
80,73,,,,BALLOTS CAST - NONPARTISAN,1,BALLOTS CAST - NONPARTISAN,0,
5643,1319,REP,,,President of the United States,1,Newt Gingrich,1,
37700,1319,REP,,,President of the United States,2,Mitt Romney,1,
8088,1319,REP,,,President of the United States,3,Ron Paul,1,
11524,1319,REP,,,President of the United States,4,Rick Santorum,1,
397,1319,REP,,,President of the United States,5,WRITE-IN,1,
5410,1319,REP,,,United States Senator,1,David Alan Christian,1,
2435,1319,REP,,,United States Senator,2,Marc A. Scaringi,1,
12402,1319,REP,,,United States Senator,3,Steven D. Welch,1,
29662,1319,REP,,,United States Senator,4,Tom Smith,1,
7700,1319,REP,,,United States Senator,5,Sam Rohrer,1,
353,1319,REP,,,United States Senator,6,WRITE-IN,1,
49038,1319,REP,,,Attorney General,1,David J. Freed,1,
447,1319,REP,,,Attorney General,2,WRITE-IN,1,
5581,1319,REP,,,Auditor General,1,Frank A. Pinto,1,
51485,1319,REP,,,Auditor General,2,John Maher,1,
147,1319,REP,,,Auditor General,3,WRITE-IN,1,
50381,1319,REP,,,State Treasurer,1,Diana Irey Vaughan,1,
266,1319,REP,,,State Treasurer,2,WRITE-IN,1,
18148,222,REP,,,Representative in Congress 12TH DISTRICT,1,Keith J. Rothfus,1,
130,222,REP,,,Representative in Congress 12TH DISTRICT,2,WRITE-IN,1,
15439,847,REP,,,Representative in Congress 14TH DISTRICT,1,Hans Lessmann,1,
225,847,REP,,,Representative in Congress 14TH DISTRICT,2,WRITE-IN,1,
7629,251,REP,,,Representative in Congress 18TH DISTRICT,1,Evan Feinberg,1,
15176,251,REP,,,Representative in Congress 18TH DISTRICT,2,Tim Murphy,1,
46,251,REP,,,Representative in Congress 18TH DISTRICT,3,WRITE-IN,1,
6346,204,REP,,,Senator in the General Assembly 37TH DISTRICT,1,Sue A. Means,1,
5127,204,REP,,,Senator in the General Assembly 37TH DISTRICT,2,Mark Mustio,1,
8930,204,REP,,,Senator in the General Assembly 37TH DISTRICT,3,D. Raja,1,
39,204,REP,,,Senator in the General Assembly 37TH DISTRICT,4,WRITE-IN,1,
293,262,REP,,,Senator in the General Assembly 43RD DISTRICT,1,WRITE-IN,1,
255,203,REP,,,Senator in the General Assembly 45TH DISTRICT,1,WRITE-IN,1,
170,2,REP,,,Senator in the General Assembly 47TH DISTRICT,1,"Elder A. Vogel, Jr.",1,
1,2,REP,,,Senator in the General Assembly 47TH DISTRICT,2,WRITE-IN,1,
399,20,REP,,,Representative in the General Assembly 16TH DISTRICT,1,Jeremy Angus,1,
1444,20,REP,,,Representative in the General Assembly 16TH DISTRICT,2,Kathy Coder,1,
7,20,REP,,,Representative in the General Assembly 16TH DISTRICT,3,WRITE-IN,1,
16,78,REP,,,Representative in the General Assembly 19TH DISTRICT,1,WRITE-IN,1,
100,70,REP,,,Representative in the General Assembly 20TH DISTRICT,1,WRITE-IN,1,
97,70,REP,,,Representative in the General Assembly 21ST DISTRICT,1,WRITE-IN,1,
1834,73,REP,,,Representative in the General Assembly 22ND DISTRICT,1,Chris Cratsley,1,
32,73,REP,,,Representative in the General Assembly 22ND DISTRICT,2,WRITE-IN,1,
58,65,REP,,,Representative in the General Assembly 23RD DISTRICT,1,WRITE-IN,1,
33,77,REP,,,Representative in the General Assembly 24TH DISTRICT,1,WRITE-IN,1,
1576,46,REP,,,Representative in the General Assembly 25TH DISTRICT,1,Mike Doyle,1,
