sensor_ID,Longitude,Latitude,1a,2a,3a,4a,5a,6a,7a,8a,9a,10a,11a,12p,1p,2p,3p,4p,5p,6p,7p,8p,9p,10p,11p,12a
5879@1,-79.86152302,40.62539823,44.0,19.0,14.0,18.0,36.0,151.0,362.0,606.0,477.0,315.0,292.0,288.0,326.0,349.0,481.0,604.0,678.0,790.0,575.0,431.0,416.0,227.0,188.0,119.0
5970@1,-79.79640914,40.44504722,18.0,19.0,24.0,31.0,100.0,223.0,356.0,385.0,296.0,297.0,272.0,291.0,333.0,358.0,463.0,561.0,535.0,402.0,315.0,258.0,200.0,119.0,78.0,36.0
5957@1,-79.82097619,40.48762446,60.0,36.0,39.0,27.0,45.0,165.0,395.0,584.0,478.0,423.0,434.0,448.0,435.0,489.0,532.0,637.0,662.0,715.0,611.0,511.0,429.0,247.0,170.0,106.0
120@1,-79.70385879,40.44354849,27.0,7.0,14.0,9.0,35.0,119.0,365.0,550.0,539.0,421.0,354.0,458.0,504.0,465.0,508.0,640.0,698.0,731.0,471.0,390.0,278.0,146.0,111.0,56.0
26732@1,-80.11427254,40.38989858,19.0,14.0,7.0,10.0,9.0,33.0,113.0,232.0,220.0,173.0,174.0,177.0,188.0,202.0,195.0,247.0,309.0,348.0,324.0,264.0,181.0,140.0,87.0,54.0
27598@1,-80.03451208,40.4382557,45.0,40.0,28.0,42.0,58.0,270.0,734.0,918.0,838.0,505.0,422.0,450.0,540.0,589.0,767.0,815.0,84.0,988.0,697.0,523.0,321.0,312.0,193.0,122.0
3688@1,-80.27973494,40.51056686,52.0,42.0,15.0,21.0,30.0,76.0,248.0,479.0,549.0,419.0,406.0,439.0,463.0,551.0,612.0,682.0,717.0,628.0,406.0,369.0,326.0,281.0,174.0,127.0
6029@1,-79.81955655,40.36913222,5.0,1.0,-1.0,7.0,15.0,31.0,39.0,50.0,48.0,47.0,38.0,56.0,54.0,65.0,76.0,99.0,78.0,72.0,56.0,56.0,35.0,30.0,9.0,6.0
27849@1,-79.99862971,40.451181,12.0,14.0,26.0,19.0,18.0,46.0,138.0,263.0,284.0,113.0,99.0,119.0,124.0,93.0,110.0,127.0,117.0,138.0,116.0,98.0,74.0,57.0,47.0,24.0
5510@1,-80.16211738,40.38459789,1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,3.0,2.0,4.0,2.0,1.0,11.0,6.0,4.0,3.0,5.0,14.0,9.0,13.0,11.0,2.0,1.0,1.0
