OBJECTID,LndscpNum,LndscpArea,Type,Questionable,MaintOrg,Area,Shape__Area,Shape__Length
1,107.0,A,Median,,,23360.8053557564,2.37087988352869e-07,0.002688538248805
2,109.0,A,Median,,,25533.9822106718,2.5914187062881e-07,0.0027247848927327
3,108.0,A,Median,,,21283.3140717959,2.16006355913123e-07,0.0023683550548821
4,110.0,A,Median,,,16582.1783666225,1.68288124768878e-07,0.0019411846397662
5,300.0,C,Median,,,7914.74952829764,8.03072452981723e-08,0.0012442085960298
6,111.0,A,Median,,,5169.00631977222,5.24587449035607e-08,0.0013713923282377
7,112.0,A,Median,,,7767.85162252115,7.88352281233529e-08,0.0021627583503653
8,117.0,A,Median,,,6435.05580696764,6.53085407975595e-08,0.0021535121917118
9,113.0,A,Median,,,6211.39223347561,6.30402610113379e-08,0.0017920731337252
10,116.0,A,Median,,,4725.06402518763,4.79549271403812e-08,0.0017884740861583
11,114.0,A,Median,,,7380.41699045881,7.49059836380184e-08,0.0021768430902091
12,115.0,A,Median,,,4825.44829825599,4.89746980747441e-08,0.0020890641750447
13,118.0,A,Median,,,6350.63191865467,6.44547526462702e-08,0.0022943771965996
14,119.0,A,Median,,,5516.545474646,5.59884938411415e-08,0.0018984569400172
15,120.0,A,Median,,,6566.29590997006,6.66411779093323e-08,0.0025854354916602
16,121.0,A,Median,,,3981.4207058056,4.04065758630168e-08,0.0015436579855069
17,106.0,A,Grand Circus,,,96758.489761163,9.82041456154548e-07,0.004346610902847
18,100.0,A,Median,,MDOT,7980.13473015374,8.09939137980109e-08,0.0013101580234481
19,101.0,A,Median,,,1027.019747516,1.04237187770195e-08,0.0007899567623671
20,102.0,A,Median,,,2345.09459902604,2.38014763453975e-08,0.001942864048789
21,103.0,A,Median,,,1194.67951557637,1.21253833640367e-08,0.001059768629055
22,104.0,A,Median,,,663.931620119853,6.73867361911107e-09,0.000732663784733
23,105.0,A,Median,,,357.256426432989,3.6261553759686603e-09,0.0003638714779712
24,200.0,B,Grand Circus,,,86868.3363555603,8.81673031472019e-07,0.0037890464571754
25,201.0,B,Median,,,11946.214241011,1.22394567370065e-07,0.0020426212778816
26,202.0,B,Median,,,8210.73405074992,8.44283931655809e-08,0.0014348387197152
27,206.0,B,Median,,,1318.29854162025,1.3379803931457e-08,0.0008926399048034
28,208.0,B,Median,,,591.730015783515,6.005620889482091e-09,0.0004425897144088
29,207.0,B,Median,,,578.030520337695,5.86646820011083e-09,0.0004558581048204
30,209.0,B,Median,,,801.154523648201,8.13111000752542e-09,0.0006136170553067
31,210.0,B,Median,,,755.438377939905,7.66726770962123e-09,0.0006070227649377
32,212.0,B,Median,,,489.728177872807,4.9701611715136104e-09,0.0004120300977148
