OBJECTID,ALLOT_NO,ALLOT_NAME,GIS_ACRES,ADMIN_ST,ADM_OFC_CD,ADM_UNIT_CD,ST_ALLOT,ACTIVE_DT,GlobalID,Shape__Length,Shape__Area
1,3034.0,Ganado,97315.23254059,AZ,C03000,AZC03000,AZ03034,9999/09/09 00:00:00+00,{2644EB53-983C-4000-833D-E70021C12F91},99183.1150561951,393820773.804259
2,3093.0,Muse,144144.56832335,AZ,C03000,AZC03000,AZ03093,9999/09/09 00:00:00+00,{89513C20-132B-4B6A-A2EA-7080EB6D8AAA},141378.911655247,583160106.808779
3,3038.0,Hancock,69070.89320523,AZ,C03000,AZC03000,AZ03038,9999/09/09 00:00:00+00,{5E4EB04F-0CE3-4929-9DAE-F6A82F51AA76},86830.9115585374,279519987.768483
4,1901.0,Nine Mile,144364.19454998,AZ,C03000,AZC03000,AZ01901,9999/09/09 00:00:00+00,{FECD5670-FD02-45AC-AA5A-437BB4DD8CB4},115990.346515771,569588094.684158
5,1830.0,Orosco,20332.4421021,AZ,C03000,AZC03000,AZ01830,9999/09/09 00:00:00+00,{54B69D68-7B34-412C-86CA-7B2F25BBCF4F},39856.1676025109,82282473.9039716
6,3073.0,Salome,18860.00465526,AZ,C03000,AZC03000,AZ03073,9999/09/09 00:00:00+00,{1ABF2A36-B5F9-45E1-B1D3-59DF0D3F4A07},37794.8366296282,76151055.4152383
8,3012.0,Calhoun,56788.04942061,AZ,C02000,AZC02000,AZ03012,9999/09/09 00:00:00+00,{659A2334-C9A5-4265-A331-B53DD9F47CC6},69447.7578862559,226019278.441758
18,3064.0,Palomas,640.63377716,AZ,C02000,AZC02000,AZ03064,9999/09/09 00:00:00+00,{6AFCB4C9-3A26-4417-BB65-B2AB76367376},6440.57569583572,2592552.91549334
19,5000.0,Hyder Ranch,880.57394362,AZ,C02000,AZC02000,AZ05000,9999/09/09 00:00:00+00,{FFAF6024-3961-4BBC-8090-BD94D2004984},8049.12217996597,3563556.31914864
21,5003.0,Trust 1347,631.970259,AZ,C02000,AZC02000,AZ05003,9999/09/09 00:00:00+00,{B02F6D9F-507E-4916-BE27-61D4053C2581},6392.36830562743,2557492.90139594
22,5003.0,Trust 1347,3795.63960321,AZ,C02000,AZC02000,AZ05003,9999/09/09 00:00:00+00,{CFEFB5C9-6DCB-4176-B7CE-4F180A1B399A},33150.7310447301,15360408.5053502
25,5000.0,Hyder Ranch,120.05680716,AZ,C02000,AZC02000,AZ05000,9999/09/09 00:00:00+00,{8D92C045-E003-41DB-ABB8-854F7BD60475},3206.43570053499,485852.661127965
28,5003.0,Trust 1347,3456.13015412,AZ,C02000,AZC02000,AZ05003,9999/09/09 00:00:00+00,{DB095C8B-98AC-4BF1-9047-801CF120ED89},18598.0768615819,13986462.5108601
