OBJECTID,LUP_ID,LUP_REL_TYPE_NM,REL_LUP_ID,LUP_UPDT_DT,LUP_UPDT_COMMENT,GlobalID
2,LUP-AZ-014,Partially Replaces,LUP-AZ-002,2012/09/14 00:00:00+00,Lower Sonoran Resource Management Plan Partially Replaces Phoenix Resource Area RMP,{AF72326A-3B42-44B3-A1BC-7731078FFA76}
3,LUP-AZ-014,Partially Replaces,LUP-AZ-003,2012/09/14 00:00:00+00,Lower Sonoran Resource Management Plan Partially Replaces Lower Gila South RMP,{BEA6BE54-33CE-4CB5-BC5E-C52E4B3EF017}
4,LUP-AZ-014,Partially Replaces,LUP-AZ-001,2012/09/14 00:00:00+00,Lower Sonoran Resource Management Plan Partially Replaces Lower Gila North MFP,{B704BC1D-6A76-4BF7-9F8E-85E3323F2C6A}
5,LUP-AZ-011,Partially Replaces,LUP-AZ-001,2010/04/22 00:00:00+00,Bradshaw-Harquahala Resource Management Plan Partially Replaces Lower Gila North MFP,{7C34EBD7-B3D4-4643-9574-6BF400DE065E}
6,LUP-AZ-011,Partially Replaces,LUP-AZ-002,2010/04/22 00:00:00+00,Bradshaw-Harquahala Resource Management Plan Partially Replaces Phoenix Resource Area RMP,{9828E08A-910F-4CBD-8FC7-87F2FA02566A}
7,LUP-AZ-012,Partially Replaces,LUP-AZ-002,2010/04/22 00:00:00+00,Agua Fria National Monument Resource Management Plan Partially Replaces Phoenix Resource Area RMP,{DEDDA1F8-8FEC-4A13-8F36-E665D18AEF02}
8,LUP-AZ-013,Partially Replaces,LUP-AZ-002,2003/07/25 00:00:00+00,Las Cienegas Resource Management Plan Partially Replaces Phoenix Resource Area RMP,{207F813D-8593-4DF0-BE82-D9BB4CF21452}
9,LUP-AZ-013,Partially Replaces,LUP-AZ-004,2003/07/25 00:00:00+00,Las Cienegas Resource Management Plan Partially Replaces Safford District Resource Management Plan,{9986F496-3E81-46EE-8F9F-440219919709}
10,LUP-AZ-016,Partially Replaces,LUP-AZ-002,2013/02/19 00:00:00+00,Ironwood Forest National Monument Resource Management Plan Partially Replaces Phoenix Resource Area RMP,{5105E1BB-BE1A-4BC7-96F1-C92EAB610D05}
11,LUP-AZ-007,Partially Replaces,LUP-AZ-009,2008/01/29 00:00:00+00,Grand Canyon-Parashant National Monument Resource Management Plan Partially Replaces Arizona Strip Field Office Resource Management Plan,{2A96EAB1-1B0D-4327-A549-CAD37A5EE6FF}
12,LUP-AZ-008,Partially Replaces,LUP-AZ-009,2008/01/29 00:00:00+00,Vermilion Cliffs National Monument Resource Management Plan Partially Replaces Arizona Strip Field Office Resource Management Plan,{835C6B5D-E976-4788-B1B0-94FFE8912936}
13,LUP-AZ-009,Revises,LUP-AZ-009,2008/01/29 00:00:00+00,Arizona Strip Field Office Resource Management Plan Revises Arizona Strip Field Office Resource Management Plan,{4AA9D5CD-9732-4102-9093-A37B264CAB1F}
17,LUP-AZ-006,Partially Replaces,LUP-AZ-005,2007/05/10 00:00:00+00,Lake Havasu Field Office Resource Management Plan Partially Replaces Kingman RMP,{660D3128-2952-4E4C-9DFD-E6FBAD6FA0CF}
18,LUP-AZ-006,Partially Replaces,LUP-AZ-018,2007/05/10 00:00:00+00,Lake Havasu Field Office Resource Management Plan Partially Replaces Yuma District RMP,{02D9C570-610C-44D0-B1B7-0C5BFB3FBB90}
19,LUP-AZ-006,Partially Replaces,LUP-AZ-003,2007/05/10 00:00:00+00,Lake Havasu Field Office Resource Management Plan Partially Replaces Lower Gila South RMP,{043343E7-3800-4C57-8DB6-3430C8A5C3F7}
20,LUP-AZ-006,Partially Replaces,LUP-AZ-001,2007/05/10 00:00:00+00,Lake Havasu Field Office Resource Management Plan Partially Replaces Lower Gila North MFP,{AF46923C-D4E1-42E9-8F3B-0784C07109EF}
21,LUP-AZ-017,Partially Replaces,LUP-AZ-004,1899/12/30 00:00:00+00,San Pedro Riparian National Conservation Area Resource Management Plan Partially Replaces Safford District Resource Management Plan,{FE269B5D-72C7-41B1-8EA8-4DF4FC9A5457}
22,LUP-AZ-010,Partially Replaces,LUP-AZ-018,2010/01/29 00:00:00+00,Yuma Field Office Resource Management Plan Partially Replaces Yuma District RMP,{7FD02277-D56F-4BA3-9061-98D49ADE172D}
23,LUP-AZ-010,Partially Replaces,LUP-AZ-001,2010/01/29 00:00:00+00,Yuma Field Office Resource Management Plan Partially Replaces Lower Gila North MFP,{8E355468-2449-4AFC-BFD2-04ADB07130F9}
24,LUP-AZ-010,Partially Replaces,LUP-AZ-003,2010/01/29 00:00:00+00,Yuma Field Office Resource Management Plan Partially Replaces Lower Gila South RMP,{F8BDAEDC-EBFB-4383-8193-B26DABF1FBC0}
811,LUP-AZ-015,Partially Replaces,LUP-AZ-003,2012/09/14 00:00:00+00,Sonoran Desert National Monument Resource Management Plan Partially Replaces Lower Gila South RMP,{EF7F15D2-15FA-4ED3-BA90-1F5821D405D1}
