OBJECTID,TMA_ID,TMA_NM,TMA_NR,ST_PRRTY_NR,ADMIN_ST,ADM_UNIT_CD,ADMU_NM,TMP_START_DT,TMP_ID,TMP_CMPLTN_DT,GIS_ACRES,BLM_ACRES,GlobalID,SHAPE_Length,SHAPE_Area
4684,TMA-AZ-AZG03000-001,Ironwood Forest NM,001,-1,AZ,AZG03000,Ironwood Forest National Monument,9999/09/09 00:00:00+00,DOI-BLM-AZ-G020-2013-0033-EA,2014/09/12 00:00:00+00,189725.23845571,129537.22793674,{699CD43A-C15D-4C85-82A4-7799FBAF2053},287198.897827302,767790799.735701
4685,TMA-AZ-AZP02000-004,Gila Bend Mountains/Sentinel,004,4,AZ,AZP02000,Lower Sonoran Field Office,9999/09/09 00:00:00+00,,9999/09/09 00:00:00+00,747792.83836781,512987.58277551,{04724278-BE6F-47F9-96A3-B448E919FB89},291130.468518327,3026210250.57351
4686,TMA-AZ-AZA01000-004,Kanab Plateau,004,1,AZ,AZA01000,Arizona Strip Field Office,9999/09/09 00:00:00+00,,9999/09/09 00:00:00+00,124220.98258716,120109.97766754,{116C6BF4-A8A4-4781-97B8-990710B0AFA3},140173.714078994,502704481.179693
4687,TMA-AZ-AZP01000-001,Agua Fria NM,001,-1,AZ,AZP01000,Hassayampa Field Office,9999/09/09 00:00:00+00,DOI-BLM-AZ-210-2008-052-EIS,2010/04/22 00:00:00+00,72760.07910692,70843.14444492,{12B0C3DD-47BB-4031-BFA4-0B8ECF6E0597},110795.658812091,294449593.428159
4688,TMA-AZ-AZP02000-MS3,Phoenix Metro South,MS3,-1,AZ,AZP02000,Lower Sonoran Field Office,9999/09/09 00:00:00+00,,9999/09/09 00:00:00+00,795532.1496436,589.66082951,{19D91369-9BF5-42ED-8EF1-761E8B849F10},296399.194436756,3219404389.01089
4689,TMA-AZ-AZC01000-003,Cerbat Mountains,003,1,AZ,AZC01000,Kingman Field Office,9999/09/09 00:00:00+00,DOI-BLM-AZ-C010-2017-0045-EA,9999/09/09 00:00:00+00,250136.23227209,153495.25100535,{25454F7D-0531-405D-94A9-907A8B7E0756},183915.005350266,1012265418.04523
4690,TMA-AZ-AZC01000-007,Music Mountains,007,1,AZ,AZC01000,Kingman Field Office,9999/09/09 00:00:00+00,DOI-BLM-AZ-C010-2017-0045-EA,9999/09/09 00:00:00+00,503524.56310511,273233.00282651,{254556A5-AD85-4643-B35C-1441A3DFB3C3},251914.008012772,2037691612.03806
4691,TMA-AZ-AZC02000-001,La Posa,001,-1,AZ,AZC02000,Yuma Field Office,9999/09/09 00:00:00+00,DOI-BLM-AZ-C020-2013-0003-EA,2016/03/08 00:00:00+00,392336.17147107,384681.321065,{25CFD5C5-17EB-4B00-BABD-742B6D3FB59C},308504.498422876,1631176671.70476
4692,TMA-AZ-AZC03000-003,Alamo,003,1,AZ,AZC03000,Lake Havasu Field Office,9999/09/09 00:00:00+00,,9999/09/09 00:00:00+00,310797.37387543,247949.72348288,{2A511B17-1132-4E22-860D-65841B498DDD},183700.474798731,1257752348.53285
4693,TMA-AZ-AZC02000-004,Gila River Valley,004,1,AZ,AZC02000,Yuma Field Office,9999/09/09 00:00:00+00,,9999/09/09 00:00:00+00,343526.08629647,58236.065186,{2C0C3070-7977-4FF2-A548-E71D0D4DE792},250136.282852315,1390200748.59079
4694,TMA-AZ-AZC03000-005,Cactus Plain,005,-1,AZ,AZC03000,Lake Havasu Field Office,9999/09/09 00:00:00+00,DOI-BLM-AZ-C030-2017-0028-EA,2022/08/25 00:00:00+00,441800.06003967,357284.59295526,{2EEC5E61-20C1-46CA-9D67-C290A2CCB05B},187384.969685206,1787901410.38825
4695,TMA-AZ-AZP01000-007,Aguila,007,3,AZ,AZP01000,Hassayampa Field Office,9999/09/09 00:00:00+00,,9999/09/09 00:00:00+00,227483.79906076,54357.39320984,{37853374-8B97-4D10-A31D-DF592D33F9E7},158345.270149769,920594273.221001
4696,TMA-AZ-AZA01000-001,Buckskin,001,3,AZ,AZA01000,Arizona Strip Field Office,9999/09/09 00:00:00+00,,9999/09/09 00:00:00+00,119717.46991688,96950.7469252,{3D35321F-64E5-47D9-B7F9-DB8BB7FDD2A0},115614.600834732,484479412.006593
4697,TMA-AZ-AZP02000-003,Ajo,003,2,AZ,AZP02000,Lower Sonoran Field Office,9999/09/09 00:00:00+00,,9999/09/09 00:00:00+00,190148.99676675,177112.32825432,{3F131107-8919-45E2-A930-1FD3E20AF26B},146172.06270945,769505688.778448
4698,TMA-AZ-AZG01000-003,San Simon,003,1,AZ,AZG01000,Safford Field Office,9999/09/09 00:00:00+00,DOI-BLM-AZ-G010-2017-0036-EA,9999/09/09 00:00:00+00,765672.15629565,480002.84458214,{3FC2F2DB-7B07-4897-A510-2C948FE9ADDB},240664.936410433,3098565283.1579
4699,TMA-AZ-AZP02000-005,Saddle Mountain,005,4,AZ,AZP02000,Lower Sonoran Field Office,9999/09/09 00:00:00+00,,9999/09/09 00:00:00+00,180298.87411492,50265.03535521,{4475A1A2-6427-45DD-9D28-41512F1298C4},121826.265736028,729643656.663438
4700,TMA-AZ-AZG02000-007,Sulphur Springs,007,-1,AZ,AZG02000,Tucson Field Office,9999/09/09 00:00:00+00,,9999/09/09 00:00:00+00,598040.67317671,26976.39758391,{4487A9C7-060F-42D2-B5AA-4479583F3748},267212.237899587,2420184739.10159
4701,TMA-AZ-AZA01000-011,St. George Basin,011,-1,AZ,AZA01000,Arizona Strip Field Office,9999/09/09 00:00:00+00,DOI-BLM-AZ-A010-2011-0012-EA,2018/02/28 00:00:00+00,262580.30959499,245027.40465505,{44BFFC22-5DAE-4C17-B43F-EFE4D05EF9B0},173074.626332801,1062624812.28027
4702,TMA-AZ-AZA01000-009,Littlefield,009,-1,AZ,AZA01000,Arizona Strip Field Office,9999/09/09 00:00:00+00,DOI-BLM-AZ-A010-2011-0012-EA,2022/03/09 00:00:00+00,159165.53419659,139478.10851625,{44C56A48-E543-4FCD-8578-603297E9B6D8},118488.228410811,644120064.288211
4703,TMA-AZ-AZC01000-002,Black Mountains,002,1,AZ,AZC01000,Kingman Field Office,9999/09/09 00:00:00+00,DOI-BLM-AZ-C010-2017-0045-EA,9999/09/09 00:00:00+00,643109.16645028,538646.45490469,{452EAD22-33E6-444D-B8E3-B4B716ED7E8B},431419.44663522,2602570460.55364
4704,TMA-AZ-AZG02000-006,Santa Rita,006,-1,AZ,AZG02000,Tucson Field Office,9999/09/09 00:00:00+00,,9999/09/09 00:00:00+00,393745.2053366,2433.20846902,{4BCE6B7F-33D9-4663-9A93-2C5B88306093},175457.375175792,1593430313.00563
4705,TMA-AZ-AZC02000-002,Ehrenberg-Cibola,002,1,AZ,AZC02000,Yuma Field Office,9999/09/09 00:00:00+00,DOI-BLM-AZ-C020-2018-0016-EA,9999/09/09 00:00:00+00,259606.21772829,133869.462,{4CC39EC5-CAA6-4A65-B94F-A3AA73C7692B},305405.649624356,1050589089.54561
4706,TMA-AZ-AZA03000-004,Shivwitts,004,-1,AZ,AZA03000,Grand Canyon-Parashant National Monument,9999/09/09 00:00:00+00,DOI-BLM-AZ-A030-2002-0001RMP-EIS,2017/07/31 00:00:00+00,228519.16149835,217384.2401948,{54D66E98-0027-4456-A983-944B0174BDB5},197450.882598395,924784236.351076
4707,TMA-AZ-AZP01000-009,Harquahala Mountain,009,3,AZ,AZP01000,Hassayampa Field Office,9999/09/09 00:00:00+00,,9999/09/09 00:00:00+00,166383.90710575,121481.48081005,{55D1F29B-8423-4B8C-A128-D28ACCD01F80},132969.489849221,673331783.054899
4709,TMA-AZ-AZC03000-002,Havasu,002,-1,AZ,AZC03000,Lake Havasu Field Office,9999/09/09 00:00:00+00,DOI-BLM-AZ-C030-2013-0020-EA,2013/09/04 00:00:00+00,342099.71070723,204464.58631941,{6175C922-A325-42D0-9DC2-84A415997AB2},180352.607186524,1384428411.37674
4710,TMA-AZ-AZG02000-009,Upper San Pedro,009,-1,AZ,AZG02000,Tucson Field Office,9999/09/09 00:00:00+00,,9999/09/09 00:00:00+00,312486.65699069,23000.91542765,{65DD2074-8D9C-4EF7-AFFC-3A2842F22260},373743.524006901,1264588634.75707
4711,TMA-AZ-AZG01100-001,Gila Box Riparian NCA,001,-1,AZ,AZG01100,Gila Box Riparian NCA,9999/09/09 00:00:00+00,DOI-BLM-AZ-040-08-03-EA,1998/01/30 00:00:00+00,23445.17801054,22682.61504971,{67335B55-60EB-4368-8C0B-228C750A990F},109799.06043565,94879269.2062501
4712,TMA-AZ-AZG01000-004,Aravaipa South,004,2,AZ,AZG01000,Safford Field Office,9999/09/09 00:00:00+00,,9999/09/09 00:00:00+00,571706.16336042,30867.55219247,{683D64EB-9FFF-4056-AFCD-129E8D5C00F0},263252.263571314,2313612758.92079
4713,TMA-AZ-AZC01000-001,Bagdad,001,1,AZ,AZC01000,Kingman Field Office,9999/09/09 00:00:00+00,DOI-BLM-AZ-C010-2017-0045-EA,9999/09/09 00:00:00+00,466744.42273277,56519.47958254,{68C630A0-1B2D-469E-82AF-45225BCCB247},243225.118051553,1888847664.75547
4714,TMA-AZ-AZP04000-001,Sonoran Desert NM,001,-1,AZ,AZP04000,Sonoran Desert National Monument,9999/09/09 00:00:00+00,DOI-BLM-AZ-P020-2012-005-EA,2012/09/14 00:00:00+00,495682.99381053,485795.06771857,{6CA160C4-6909-42E2-AF85-5E38FDF55C86},291413.084820817,2005957906.97662
4715,TMA-AZ-AZP02000-002,Buckeye Hills West,002,-1,AZ,AZP02000,Lower Sonoran Field Office,9999/09/09 00:00:00+00,DOI-BLM-AZ-P020-2017-0007-EA,2022/09/30 00:00:00+00,112362.4798761,18176.2761797,{6DD1003E-5D56-45A8-A301-88179BE5E2D9},93223.1786387241,454714823.323398
4716,TMA-AZ-AZA03000-002,Mud Mountain,002,-1,AZ,AZA03000,Grand Canyon-Parashant National Monument,9999/09/09 00:00:00+00,DOI-BLM-AZ-A030-2002-0001RMP-EIS,2017/07/31 00:00:00+00,195544.85773762,191702.73860487,{719D47AB-AD19-4C50-8D2C-660DC71AF5C8},144253.525234926,791341963.402768
4717,TMA-AZ-AZA03000-006,Whitmore,006,-1,AZ,AZA03000,Grand Canyon-Parashant National Monument,9999/09/09 00:00:00+00,DOI-BLM-AZ-A030-2002-0001RMP-EIS,2017/07/31 00:00:00+00,180206.26805643,97148.17737991,{7285AC00-BC1B-442B-8EE4-5BC5F027C541},233867.985491808,729268893.240914
4718,TMA-AZ-AZA01000-007,White Sage,007,3,AZ,AZA01000,Arizona Strip Field Office,9999/09/09 00:00:00+00,,9999/09/09 00:00:00+00,135665.5142649,116812.15351351,{72F8CED3-4384-4831-9042-DF290F969E3A},153747.177579157,549018857.666107
4719,TMA-AZ-AZP01000-002,Table Mesa,002,-1,AZ,AZP01000,Hassayampa Field Office,9999/09/09 00:00:00+00,DOI-BLM-AZ-PDO-2009-022-EA,2012/01/01 00:00:00+00,12490.26984616,11543.01803803,{737D092C-BF95-4129-80F7-77A41DA944CF},41987.9514236688,50546328.7444431
4720,TMA-AZ-AZG01000-001,Aravaipa North,001,-1,AZ,AZG01000,Safford Field Office,9999/09/09 00:00:00+00,DOI-BLM-AZ-G010-2006-0001-EA,2010/01/01 00:00:00+00,173409.11370868,77119.87267127,{7795DCBC-5178-4C4E-920A-7FFA8D06896F},147535.034666191,701761785.514655
4721,TMA-AZ-AZG02000-001,Middle Gila Canyons,001,-1,AZ,AZG02000,Tucson Field Office,9999/09/09 00:00:00+00,DOI-BLM-AZ-420-2007-014-EA,2010/11/10 00:00:00+00,203955.98966261,89883.37301775,{77AB0215-544F-4ABB-B44A-7DCE82E50484},134478.288638415,825380606.65309
4722,TMA-AZ-AZG02000-MS1,Tucson Metro,MS1,-1,AZ,AZG02000,Tucson Field Office,9999/09/09 00:00:00+00,,9999/09/09 00:00:00+00,830093.69883365,354.25826342,{79234AA3-FCDD-47D6-A672-2B4BBDF20296},293854.956488984,3359270016.31873
4723,TMA-AZ-AZP01000-MS3,Prescott Metro,MS3,-1,AZ,AZP01000,Hassayampa Field Office,9999/09/09 00:00:00+00,,9999/09/09 00:00:00+00,245723.3255832,977.45624473,{794AD619-DCCC-4F95-B9D7-6052ABFB04D7},178859.762648939,994407018.269877
4724,TMA-AZ-AZC01000-004,Crozier,004,1,AZ,AZC01000,Kingman Field Office,9999/09/09 00:00:00+00,DOI-BLM-AZ-C010-2017-0045-EA,9999/09/09 00:00:00+00,395271.71496111,99561.26343035,{7A6C6943-2E2F-47A4-9A5C-C559B39F0E1A},181141.808117729,1599607878.28342
4725,TMA-AZ-AZP01000-003,Wickenburg,003,-1,AZ,AZP01000,Hassayampa Field Office,9999/09/09 00:00:00+00,DOI-BLM-AZ-P010-2011-023-EA,2014/05/22 00:00:00+00,153167.42711987,101743.24955167,{7B80D848-F6FE-4784-B19C-D736CD68751A},219735.465489277,619846586.142513
4726,TMA-AZ-AZG01000-002,Gila,002,1,AZ,AZG01000,Safford Field Office,9999/09/09 00:00:00+00,DOI-BLM-AZ-G010-2017-0036-EA,9999/09/09 00:00:00+00,815011.3829223,460067.41499205,{7CA85DFD-9D92-4A45-BD6E-7C97B440D25B},536295.711524474,3298234049.30822
4727,TMA-AZ-AZG02000-008,Upper Cienega,008,-1,AZ,AZG02000,Tucson Field Office,9999/09/09 00:00:00+00,,9999/09/09 00:00:00+00,268269.73644338,10230.81178237,{7ECD92A6-1C58-4DD5-B48A-2DA2A828002B},302707.784773163,1085649105.86965
4728,TMA-AZ-AZP02000-001,Buckeye Hills East,001,-1,AZ,AZP02000,Lower Sonoran Field Office,9999/09/09 00:00:00+00,DOI-BLM-AZ-P020-2017-0007-EA,2022/09/30 00:00:00+00,459790.59833052,138909.74824754,{86A0EA04-105F-4B4F-BE9C-15B925B7A803},311621.135869361,1860706535.81301
4729,TMA-AZ-AZA03000-003,Pakoon,003,-1,AZ,AZA03000,Grand Canyon-Parashant National Monument,9999/09/09 00:00:00+00,DOI-BLM-AZ-A030-2002-0001RMP-EIS,2017/07/31 00:00:00+00,242370.70550407,187489.2156524,{88874B03-412B-43E7-AB57-31EB03F3F63E},206277.339829375,980839446.170777
4730,TMA-AZ-AZC03000-001,Bullhead,001,-1,AZ,AZC03000,Lake Havasu Field Office,9999/09/09 00:00:00+00,DOI-BLM-AZ-C030-2007-0050-EA,2010/03/01 00:00:00+00,199196.72500171,49332.00736597,{8E9990A3-9853-4607-87E6-10966FEFBE09},193888.646428629,806120545.894218
4731,TMA-AZ-AZP01000-MS1,Flagstaff,MS1,-1,AZ,AZP01000,Hassayampa Field Office,9999/09/09 00:00:00+00,,9999/09/09 00:00:00+00,37208.85169345,3632.146483,{8EEE7CF1-80CA-4C13-B092-7A98619BDB7B},132459.126909661,150578880.445764
4732,TMA-AZ-AZP01000-011,Hassayampa River Basin,011,3,AZ,AZP01000,Hassayampa Field Office,9999/09/09 00:00:00+00,,9999/09/09 00:00:00+00,463436.94860439,65224.04826991,{91B89912-8140-4364-8084-1904675EDE7D},217443.776268134,1875462791.83715
4733,TMA-AZ-AZA01000-010,Colorado City,010,-1,AZ,AZA01000,Arizona Strip Field Office,9999/09/09 00:00:00+00,DOI-BLM-AZ-A010-2011-0012-EA,2018/02/28 00:00:00+00,230754.43222271,149501.72387102,{952011A5-EFB4-4103-9EA5-88A47DDE0CD1},164210.249212276,933830056.037732
4734,TMA-AZ-AZG02000-002,Altar,002,-1,AZ,AZG02000,Tucson Field Office,9999/09/09 00:00:00+00,,9999/09/09 00:00:00+00,1241280.8873258,41588.96542998,{95DC56E9-CDE6-4EEF-B5E1-8A99587B719D},394016.785524512,5023285530.8768
4735,TMA-AZ-AZC01000-008,Poachie Mountains,008,1,AZ,AZC01000,Kingman Field Office,9999/09/09 00:00:00+00,DOI-BLM-AZ-C010-2017-0045-EA,9999/09/09 00:00:00+00,677741.42130186,570092.16209292,{9981DCF3-08B2-46EB-B4C1-D26E8AD8A9DA},299427.421948768,2742722223.52192
4736,TMA-AZ-AZC01000-006,Hualapai Mountains,006,1,AZ,AZC01000,Kingman Field Office,9999/09/09 00:00:00+00,DOI-BLM-AZ-C010-2017-0045-EA,9999/09/09 00:00:00+00,573281.58939992,423454.74242234,{9DEEB116-7740-48F1-A3EF-38E1DEE8DC2B},196496.258742979,2319988281.90675
4737,TMA-AZ-AZP01000-008,Castle Hot Springs,008,3,AZ,AZP01000,Hassayampa Field Office,9999/09/09 00:00:00+00,,9999/09/09 00:00:00+00,279247.63641487,143574.70406093,{9FD3C527-5D68-4C32-B9AB-01F7868026DE},201698.990018636,1130075090.86551
4738,TMA-AZ-AZP02000-MS2,Globe - Miami,MS2,-1,AZ,AZP02000,Lower Sonoran Field Office,9999/09/09 00:00:00+00,,9999/09/09 00:00:00+00,174624.07692148,5047.79110325,{A0029233-CAC1-4FC8-BF9A-FFA847AAFEDF},171084.935596329,706678567.195382
4739,TMA-AZ-AZP01000-005,Lower Black Canyon Trail,005,-1,AZ,AZP01000,Hassayampa Field Office,9999/09/09 00:00:00+00,DOI-BLM-AZ-P010-2017-0013-EA,2022/09/29 00:00:00+00,13595.5838668,1247.08337879,{A0811FB6-2EB4-413D-889F-E891C887B79F},48558.43600113,55019375.8876367
4740,TMA-AZ-AZP01000-010,Harquahala Plain,010,3,AZ,AZP01000,Hassayampa Field Office,9999/09/09 00:00:00+00,,9999/09/09 00:00:00+00,369756.97640654,299546.14374527,{A0DB11B0-6F59-4C90-B256-2754499E8D13},201343.008738585,1496353394.69803
4741,TMA-AZ-AZC01000-009,White Hills,009,1,AZ,AZC01000,Kingman Field Office,9999/09/09 00:00:00+00,DOI-BLM-AZ-C010-2017-0045-EA,9999/09/09 00:00:00+00,296314.15031993,165445.19475556,{A196C5B1-E53D-4C79-A8E8-944FDB13A17B},164858.870545347,1199140822.27023
4742,TMA-AZ-AZA02000-001,Paria Plateau,001,-1,AZ,AZA02000,Vermilion Cliffs National Monument,9999/09/09 00:00:00+00,DOI-BLM-AZ-A020-2002-0001RMP-EIS,2014/09/01 00:00:00+00,302739.44191877,287336.51742467,{A453514F-E060-4FD2-A09F-361AB6CFA60E},164580.273820749,1225143054.84275
4743,TMA-AZ-AZP02000-MS1,East Valley,MS1,-1,AZ,AZP02000,Lower Sonoran Field Office,9999/09/09 00:00:00+00,,9999/09/09 00:00:00+00,516887.97088289,15076.77359019,{A5EFC11B-7C0D-43BD-BE37-0CC4945964D5},250060.50066931,2088220981.17835
4744,TMA-AZ-AZG02000-003,Lower San Pedro / Galiuro,003,1,AZ,AZG02000,Tucson Field Office,9999/09/09 00:00:00+00,DOI-BLM-AZ-G020-2022-0028-EA,9999/09/09 00:00:00+00,293554.29267516,7822.06528584,{ABD48CDF-EA61-4631-9732-C76E5CA713F2},336287.528104029,1187972074.63556
4745,TMA-AZ-AZG01000-005,Dos Cabezas,005,3,AZ,AZG01000,Safford Field Office,9999/09/09 00:00:00+00,,9999/09/09 00:00:00+00,1894022.3379167,120325.49905274,{AC8B4B23-BB1D-4D66-B805-42E217B8D171},397575.465154285,7664836462.36727
4746,TMA-AZ-AZA01000-006,Uinkaret,006,1,AZ,AZA01000,Arizona Strip Field Office,9999/09/09 00:00:00+00,,9999/09/09 00:00:00+00,201465.06159291,177649.91060496,{AD0FD5C8-475B-49B6-8116-35448E6EDE77},150634.24345783,815300178.396484
4747,TMA-AZ-AZC01000-005,Goodwin Mesa,005,1,AZ,AZC01000,Kingman Field Office,9999/09/09 00:00:00+00,DOI-BLM-AZ-C010-2017-0045-EA,9999/09/09 00:00:00+00,667850.023034,198268.19348341,{B3B5A0FB-51D6-4166-A489-7D986C669E8E},253169.147788427,2702693154.91515
4748,TMA-AZ-AZG02200-001,San Pedro Riparian NCA,001,4,AZ,AZG02200,San Pedro Riparian NCA,9999/09/09 00:00:00+00,,9999/09/09 00:00:00+00,58257.89301906,56183.06847376,{B5F13196-7145-49BA-834D-6ED25DD7EF0B},172980.798401884,235761328.519671
4750,TMA-AZ-AZG01000-MS1,Apache Navajo,MS1,-1,AZ,AZG01000,Safford Field Office,9999/09/09 00:00:00+00,,9999/09/09 00:00:00+00,3705015.68177689,187382.36614165,{BDD3242B-865A-4CD1-A695-AFAFA5A59109},587152.869549228,14993666506.8915
4752,TMA-AZ-AZC03000-006,Wenden,006,1,AZ,AZC03000,Lake Havasu Field Office,9999/09/09 00:00:00+00,,9999/09/09 00:00:00+00,339749.77920125,236790.29760256,{C37965C3-B560-482D-9BC6-1769239DE810},177304.500525234,1374918575.96955
4753,TMA-AZ-AZA03000-001,Dellenbaugh,001,-1,AZ,AZA03000,Grand Canyon-Parashant National Monument,9999/09/09 00:00:00+00,DOI-BLM-AZ-A030-2002-0001RMP-EIS,2017/07/31 00:00:00+00,118373.28369482,41527.81205807,{C3949495-24C4-41BE-90D8-DE79D923175A},481664.094219901,479039683.360943
4754,TMA-AZ-AZA01000-003,House Rock,003,3,AZ,AZA01000,Arizona Strip Field Office,9999/09/09 00:00:00+00,,9999/09/09 00:00:00+00,113566.83716789,103117.28218864,{CDDEF3AA-95DB-4564-B272-D5AAA782D141},185196.370370235,459588684.364531
4755,TMA-AZ-AZC02000-005,Yuma East,005,1,AZ,AZC02000,Yuma Field Office,9999/09/09 00:00:00+00,,9999/09/09 00:00:00+00,731618.48999841,587698.76808639,{CFCA81D4-5C79-4538-91A1-34B33E8A9E3B},246761.535386926,2960754984.99667
4756,TMA-AZ-AZP01000-004,Bumble Bee,004,-1,AZ,AZP01000,Hassayampa Field Office,9999/09/09 00:00:00+00,DOI-BLM-AZ-P010-2017-0013-EA,2022/09/30 00:00:00+00,63086.09846173,56246.47075686,{D621C711-3612-4912-AC63-1993A654663E},125266.277635149,255300382.723989
4757,TMA-AZ-AZG02100-001,Las Cienegas NCA,001,-1,AZ,AZG02100,Las Cienegas NCA,9999/09/09 00:00:00+00,DOI-BLM-AZ-G020-1995-0001RMP-EIS,2003/07/25 00:00:00+00,47301.99143884,42136.35335831,{D908FE94-68E0-4D69-84A6-7FB4935C3A2B},173972.041451281,191424367.838384
4758,TMA-AZ-AZP01000-MS2,Phoenix Metro,MS2,-1,AZ,AZP01000,Hassayampa Field Office,9999/09/09 00:00:00+00,,9999/09/09 00:00:00+00,1024757.3373647,18495.82601305,{DB91919A-31CF-4899-B9D3-CCD855C686D0},403559.817841027,4147045812.11586
4759,TMA-AZ-AZP01000-006,Upper Agua Fria River Basin,006,-1,AZ,AZP01000,Hassayampa Field Office,9999/09/09 00:00:00+00,DOI-BLM-AZ-P010-2017-0013-EA,2022/09/30 00:00:00+00,89678.63630841,21549.48979824,{DCADB024-F3B9-4FA2-B45E-2C4006322641},115358.027128585,362916565.296773
4760,TMA-AZ-AZA01000-005,Mainstreet,005,1,AZ,AZA01000,Arizona Strip Field Office,9999/09/09 00:00:00+00,,9999/09/09 00:00:00+00,330383.06488662,268707.13023713,{E4D4D841-0E20-4B4D-B701-B6CE607AD627},224306.99840773,1337012827.98861
