OBJECTID,NLCS_ID,NLCS_NAME,CASEFILE_NO,ADMIN_ST,WC_TYPE,GlobalID,Shape_Length,Shape_Area
1,,Snap Canyon 2,UNK,AZ,Wilderness Characteristic Protection Area,{9B514F6E-4888-460A-88B0-401DC550637F},15455.3041955767,5628902.70335118
2,,Mount Perkins,UNK,AZ,Other Lands with Wilderness Characteristics,{0F160ACF-AEE2-48FF-A47A-42C80795FDBC},125538.751352023,202184889.290636
3,,Batamote Mtns West,UNK,AZ,Wilderness Characteristic Protection Area,{2CA606FB-87E7-451C-B275-0E4A742904E8},65299.8864690237,118692400.514765
4,,Billy Goat Peak East,UNK,AZ,Wilderness Characteristic Protection Area,{D034C783-8755-4607-982A-6257F85781B1},38750.9338045845,44601960.4541233
5,,Sentinel Plain Complex,UNK,AZ,Other Lands with Wilderness Characteristics,{71631B1F-C27D-4BC9-977E-AE20F5FFD1F4},83581.1525281852,157067959.034914
6,,Harcuvars (NW. Unit),UNK,AZ,Other Lands with Wilderness Characteristics,{47AFD12D-51FE-4D0D-AA06-335C9A2B07BC},17731.3794763738,13671380.8480324
7,,Palo Verde Hills,UNK,AZ,Other Lands with Wilderness Characteristics,{E2A11EDF-C9E9-45BC-834E-8128807FCD65},36696.3046033654,49122982.6907251
8,,Trail Rapid Hills,UNK,AZ,Other Lands with Wilderness Characteristics,{799E69B8-7A63-489A-98AB-73E08373FCD5},27551.5614627173,35223487.1133326
9,,Cortez Peak,UNK,AZ,Wilderness Characteristic Protection Area,{C7096A63-B70B-4A07-8495-EF69F3C3CB02},53520.912205526,59340395.7664157
10,,Black Mesa,UNK,AZ,Other Lands with Wilderness Characteristics,{0A70608E-F3AF-4C93-8257-4BF2A07ACCD7},45285.7049280366,72596114.936598
11,,Paiute Addition 2,UNK,AZ,Other Lands with Wilderness Characteristics,{4B008E21-2983-4311-B202-E72684FA17FD},6671.41639435723,1428982.53125658
12,,Cereus,UNK,AZ,Other Lands with Wilderness Characteristics,{E76DD015-3AB8-425B-9978-9FAA51315346},38531.461296556,21398241.1635038
13,,Shed Valley,UNK,AZ,Wilderness Characteristic Protection Area,{6394FDE4-9684-47D2-9317-E556DDA4966B},15657.0176088317,6045260.432341
14,,Grama Canyon,UNK,AZ,Wilderness Characteristic Protection Area,{AC1EA62B-5581-4FEA-9D2B-7E6B84172606},70868.7242578629,23166391.5044281
16,,Toroweap,UNK,AZ,Other Lands with Wilderness Characteristics,{3146DC8D-2EA0-4725-AA55-9886249DA4D8},27778.9946187744,10744523.4724611
18,,Grama Canyon,UNK,AZ,Wilderness Characteristic Protection Area,{56D5DB8D-D67A-47F2-8086-1FC14747333F},84795.828353761,28760304.6290563
19,,Hummingbird Springs,UNK,AZ,Other Lands with Wilderness Characteristics,{DECD7DF2-9981-4EA5-9256-62E5ECC0597D},67210.4674648268,22732037.9332517
20,,Cortez Peak,UNK,AZ,Other Lands with Wilderness Characteristics,{B969E1B7-BC8F-40D9-BCF1-2BBF7CFBE211},56142.6106955735,47223911.5492593
21,,Truxton,UNK,AZ,Other Lands with Wilderness Characteristics,{8674A7FC-9DF0-49D5-8B63-EB8144D4EB58},37116.3467216667,40367130.3668751
22,,Crossman Peak,UNK,AZ,Other Lands with Wilderness Characteristics,{F4C58986-12D5-4560-809E-229FF1E718AB},129572.005520216,141797223.777183
23,,Bush Head,UNK,AZ,Wilderness Characteristic Protection Area,{5060D83C-7321-4686-AE46-929EC25F33FC},7083.92726212737,1780183.64648414
24,,Slate Creek,UNK,AZ,Wilderness Characteristic Protection Area,{C5A1E101-21CF-4B83-AAAC-A8827CB82410},23271.3002508704,14942182.7081777
25,,Coati Wash/Walnut Wash,UNK,AZ,Other Lands with Wilderness Characteristics,{6B4F1128-D5C6-4971-9E6E-A374F9CA870D},28800.6712626527,19699095.3307819
26,,Dutch Flat West,UNK,AZ,Other Lands with Wilderness Characteristics,{9C09B5DD-FF77-4A0C-8A3C-208471E50E3C},27760.0295405499,23859553.319337
28,,Swansea (W. Unit),UNK,AZ,Other Lands with Wilderness Characteristics,{800411C7-6096-4330-A172-0EED2C832CBF},31197.3672850056,44022094.7257167
29,,Painted Rock North,UNK,AZ,Other Lands with Wilderness Characteristics,{360BBF52-C927-4F57-9200-1006553ECDAC},25510.3146306942,36428954.8564075
30,,Harcuvars (E. Unit),UNK,AZ,Other Lands with Wilderness Characteristics,{0D155E7A-466E-498A-809D-B57FC2049100},55799.4683457515,51603987.178756
31,,Grandwash Cliffs,UNK,AZ,Other Lands with Wilderness Characteristics,{77BF970D-1114-4AB0-9CD5-48234C255C9C},60240.1325598115,62450566.979357
32,,Paria Plateau Rim 2,UNK,AZ,Other Lands with Wilderness Characteristics,{416BBB47-62A2-4405-9B39-435AF27C4A65},2349.62035375371,96813.017860774
33,,Jump Canyon,UNK,AZ,Other Lands with Wilderness Characteristics,{78B77DDD-EF16-4248-A8B1-68BC3B98B7AE},42624.9535732505,52436587.0786759
34,,Hells Hollow,UNK,AZ,Other Lands with Wilderness Characteristics,{B2BC29B1-7A6B-4F5C-9F91-BE99005DBF4E},14395.7166647385,667970.513662362
35,,Hidden Hills 3,UNK,AZ,Other Lands with Wilderness Characteristics,{6CC795CD-4799-45FA-AC26-8D16580782F7},17186.7032716911,9922498.23195894
36,,White Hills,UNK,AZ,Other Lands with Wilderness Characteristics,{5C1AED4B-B038-4FF9-B21C-90C9A4C9A16F},4804.35633590083,181701.092966015
37,,Cathedral Rock,UNK,AZ,Other Lands with Wilderness Characteristics,{12B5A3F7-C00F-471C-B320-9DFA89FFD8DB},32520.8250657629,22169261.7971366
38,,Sand Tanks West,UNK,AZ,Other Lands with Wilderness Characteristics,{236EB244-63FA-4969-927D-564AE6B92CBA},105838.536244257,43940880.269188
39,,East Mesa,UNK,AZ,Other Lands with Wilderness Characteristics,{7775838E-7C42-4074-BD64-BA7FFEA26F11},35343.8097993146,39228940.057722
40,,Pigeon Canyon 2,UNK,AZ,Other Lands with Wilderness Characteristics,{74F7C9D9-4C4C-403F-B587-CB12943FF21E},41624.9419180923,33310207.3890421
41,,Million Hills East,UNK,AZ,Other Lands with Wilderness Characteristics,{7BE27B64-6470-4617-874F-635CF6814439},14369.9465957169,167095.401613222
43,,Sawtooth Mountains,UNK,AZ,Other Lands with Wilderness Characteristics,{E9D53E05-A1B2-4C5F-934B-9CC16107A2FF},52448.2297237874,46217299.0106627
44,,Grassy Mountain,UNK,AZ,Wilderness Characteristic Protection Area,{74F8896A-FD84-427A-A0C0-CA9B269830E6},26877.0905685323,23211930.4058362
45,,Planet Peak,UNK,AZ,Other Lands with Wilderness Characteristics,{258D3D78-B052-4FA1-9809-913B52C93D0F},56177.2946996643,16710136.3152658
46,,Bush Head,UNK,AZ,Wilderness Characteristic Protection Area,{D570C1C2-3717-4EFC-8792-8B57BEAAF07C},99724.7614749262,66950624.7245973
47,,Snap Canyon 1,UNK,AZ,Wilderness Characteristic Protection Area,{547E6738-B348-41B9-9E93-3AC82979F866},115176.718901662,122110612.720892
48,,Paiute Addition 3,UNK,AZ,Wilderness Characteristic Protection Area,{71D46BE3-A7CA-4029-A159-12C33B17A8E6},6080.4599517349,2086050.17628448
