OBJECTID,ADM_UNIT_CD,ADMU_NAME,BLM_ORG_TYPE,APPRV_DT,EFF_DT,ADMU_ST_URL,PARENT_CD,PARENT_NAME,ADMIN_ST,Comments_ca,Tmp_Text_ca,Tmp_Long_ca,Tmp_Float_ca,Tmp_Date_ca,GlobalID,SHAPE_Length,SHAPE_Area
1,CAD07000,El Centro Field Office,Field,9999/09/09 00:00:00+00,9999/09/09 00:00:00+00,'https://www.blm.gov/california,CAD00000,California Desert District,CA,,EL CENTRO FIELD OFFICE,,,,{4FD9EE91-6452-4BE2-B24C-6F9E00B26479},558487.437673773,-15112604013.9973
3,CAD09000,Needles Field Office,Field,9999/09/09 00:00:00+00,9999/09/09 00:00:00+00,'https://www.blm.gov/california,CAD00000,California Desert District,CA,,NEEDLES FIELD OFFICE,,,,{5975ECF0-0AA5-4D97-8631-AF74F9AF8029},703507.884840873,-21332767700.3216
4,CAD08000,Barstow Field Office,Field,9999/09/09 00:00:00+00,9999/09/09 00:00:00+00,'https://www.blm.gov/california,CAD00000,California Desert District,CA,,BARSTOW FIELD OFFICE,,,,{5145BACD-F0F6-420D-8C1D-F705FE62EB8A},1079163.04638661,-25863393391.6945
5,CAD05000,Ridgecrest Field Office,Field,9999/09/09 00:00:00+00,9999/09/09 00:00:00+00,'https://www.blm.gov/california,CAD00000,California Desert District,CA,,RIDGECREST FIELD OFFICE,,,,{5DF85FB3-945E-4EDB-AB8E-84C8E2D2B6E3},1211561.94824741,-30868893667.6112
8,CAC07000,Bishop Field Office,Field,9999/09/09 00:00:00+00,9999/09/09 00:00:00+00,'https://www.blm.gov/california,CAC00000,Central California District,CA,,BISHOP FIELD OFFICE,,,,{3E81B7C0-AF93-4D98-AD39-9172FEFD9DA5},879320.717817603,-13376590971.791
9,CAC08000,Mother Lode Field Office,Field,9999/09/09 00:00:00+00,9999/09/09 00:00:00+00,'https://www.blm.gov/california,CAC00000,Central California District,CA,,MOTHER LODE FIIELD OFFICE,,,,{9312600B-6375-4A02-8D06-FB0C0CEB8A81},1307967.21816461,-42327112697.6596
11,CAN05000,Eagle Lake Field Office,Field,9999/09/09 00:00:00+00,9999/09/09 00:00:00+00,'https://www.blm.gov/california,CAN00000,Northern California District,CA,,EAGLE LAKE FIELD OFFICE,,,,{3A7E1FF3-6CC2-44AA-88DB-5E339585CCA4},854793.358687169,-19590183769.8935
13,CAN02000,Applegate Field Office,Field,9999/09/09 00:00:00+00,9999/09/09 00:00:00+00,'https://www.blm.gov/california,CAN00000,Northern California District,CA,www.blm.gov/ca/st/en/info/newsroom/2015/march/northeastcafieldoffices.html,,,,,{8B3413A5-5935-48B9-B08E-E0011A8DBE02},979777.053441612,-26185852895.6775
14,CAN06000,Redding Field Office,Field,9999/09/09 00:00:00+00,9999/09/09 00:00:00+00,'https://www.blm.gov/california,CAN00000,Northern California District,CA,,REDDING FIELD OFFICE,,,,{B21B2EF0-A8AF-46D3-B34E-E2F0E847F318},1236844.41155185,-40091330630.8934
423,CAD06000,Palm Springs/S. Coast Field Office,Field,9999/09/09 00:00:00+00,9999/09/09 00:00:00+00,'https://www.blm.gov/california,CAD00000,California Desert District,CA,,,,,,{A00CD8C2-381F-4CCA-B6FF-F109E3B597DF},2163980.79357393,-39216249647.0667
512,CAC06000,Bakersfield Field Office,Field,9999/09/09 00:00:00+00,9999/09/09 00:00:00+00,'https://www.blm.gov/california,CAC00000,Central California District,CA,,derived,,,,{DD40DD94-0F6A-4E06-B69B-CF240D2C35DC},2022240.94997168,-70380710916.7362
913,CAC05000,Ukiah Field Office,Field,9999/09/09 00:00:00+00,9999/09/09 00:00:00+00,'https://www.blm.gov/california,CAC00000,Central California District,CA,,,,,,{D507AF88-4B37-4FCB-858D-A965B884DD86},1093869.98984778,-26720611294.7504
920,CAN03000,Arcata Field Office,Field,9999/09/09 00:00:00+00,9999/09/09 00:00:00+00,'https://www.blm.gov/california,CAN00000,Northern California District,CA,,,,,,{6E0A3938-A86D-416E-ADA6-8A5ADF0C4253},976658.27716372,-18535932737.062
1312,CAC09000,Central Coast Field Office,Field,9999/09/09 00:00:00+00,9999/09/09 00:00:00+00,'https://www.blm.gov/california,CAC00000,Central California District,CA,,,,,,{E64C749F-B310-4003-8C1D-AB6BF4876BF5},1024780.91684359,-27585045363.2604
