OBJECTID,ProjectName,SerialNumber,Disposition,CaseTypeCode,ApplicationDate,CaseType,Commodity,ExpirationDate,ExpirationYear,EffectiveDate,UpdateDate,InTime,ProjectAcres,BLMAcres,DataSource,Remarks,ProjectType
1,"Alta East X, LLC",CACA   052537,Authorized,283003,2010/05/12 08:00:00+00,ROW-WIND DEV FAC,Wind Energy Facilities,2042/12/31 08:00:00+00,2042.0,2012/05/30 08:00:00+00,,1st,,2082,Shapefile-company,Waiting for company's legal descriptions; Shapefile boundaries uncertain,turbines
2,"Cameron Ridge, LLC",CACA   013768,Authorized,283003,1983/02/28 08:00:00+00,ROW-WIND DEV FAC,Wind Energy Facilities,2028/12/31 08:00:00+00,2028.0,1984/10/26 08:00:00+00,,1st,,159,LR2000,LR2000 drawing boundaries until application is (ever) received at CASO,turbines
3,FPL Energy - Cabazon Wind,CACA   013198,Authorized,283003,1982/12/08 08:00:00+00,ROW-WIND DEV FAC,Wind Energy Facilities,2038/12/08 08:00:00+00,2038.0,1982/12/08 08:00:00+00,,1st,,210,LR2000,"LR2000 has legals, have app. but it doesn't include them.",turbines
4,"NextEra Energy Resources, LLC - Whitewater",CACA   015549,Authorized,283003,1984/03/31 08:00:00+00,ROW-WIND DEV FAC,Wind Energy Facilities,,,1984/03/31 08:00:00+00,,1st,,79,LR2000,"LR2000 has legals, have app. but it doesn't include them.",turbines
5,DIF Wind Farms V,CACA   037869,Authorized,283003,1984/03/29 08:00:00+00,ROW-WIND DEV FAC,Wind Energy Facilities,2027/02/25 08:00:00+00,2027.0,1998/03/23 08:00:00+00,,1st,,30,MTP Drawing,"Digitized boundary drawing on MTP, have app. but it doesn't include legals.",turbines
6,San Gorgonio Farms - Whitewater Hill,CACA   009755,Authorized,283003,1983/03/31 08:00:00+00,ROW-WIND DEV FAC,Wind Energy Facilities,2013/03/30 08:00:00+00,2013.0,1983/03/31 08:00:00+00,,1st,,13,LR2000,"LR2000 has legals, have app. but it doesn't include them.",turbines
7,DIFCO - Whitewater Floodplain,CACA   015562,Authorized,283003,1984/03/13 08:00:00+00,ROW-WIND DEV FAC,Wind Energy Facilities,2014/03/30 08:00:00+00,2014.0,1984/03/29 08:00:00+00,,1st,,345,Application Map,"Map drawings show partial M&B descriptions, approximate digitization",turbines
8,"Nextera Energy Resources, LLC - Windpower Partners",CACA   019136,Authorized,283003,1986/07/13 08:00:00+00,ROW-WIND DEV FAC,Wind Energy Facilities,2017/10/25 08:00:00+00,2017.0,1987/10/26 08:00:00+00,,1st,,50,MTP Drawing,Digitized boundary drawing on MTP,turbines
9,"Mountain View Power Partners, LLC",CACA   042139,Authorized,283003,2000/06/26 08:00:00+00,ROW-WIND DEV FAC,Wind Energy Facilities,2027/04/01 08:00:00+00,2027.0,2001/03/21 08:00:00+00,,1st,,52,"MTP map, legals","Legals in historical index, but don't have application",turbines
10,"Desert Stateline, LLC - Stateline",CACA   048669,Authorized,283103,2006/12/14 08:00:00+00,ROW-SOLAR DEV FAC,Solar Energy Facilities,2043/12/31 08:00:00+00,2043.0,2014/03/21 08:00:00+00,,1st,4160.0,1680,Shapefile-company,"Amended11/10-relinquished land#48668overlapd;Amended 3/11;PODAmend2/14,8/14",PV
11,FIRST SOLAR DEVELOPMENT LLC,CACA   056782,Pending,283103,2016/05/23 08:00:00+00,ROW-SOLAR DEV FAC,Solar Energy Facilities,,,,,1st,2800.0,2800,LR2000,LR2000 Derived,PV
