OBJECTID,ACEC_ID,LOC_ACEC_ID,ACEC_NAME,CASEFILE_NO,LUP_NAME,ACEC_EST_ACR,ROD_DATE,GIS_ACRES,ADMIN_ST,ADM_UNIT_CD,COMMENTS,created_date,last_edited_date,Shape__Area,Shape__Length,GlobalID
2,ACEC004047,,North Park Natural Area ACEC,,Kremmling RMP ,4444,2015/06/19 00:00:00+00,4460.5096652,CO,CON02000,"Designated to protect the federally endangered plant, North Park phacelia (Phacelia formulosa).",,2018/11/30 20:34:30+00,18051042.1857753,36867.6174332227,{43D4087F-2BFB-4552-B0C2-FD3C45E9E292}
3,ACEC004003,,Kremmling Cretaceous Ammonite RNA ACEC,,Kremmling RMP ,198,2015/06/19 00:00:00+00,196.53930079,CO,CON02000,Managed to protect significant marine invertebrate fossils and for research and preservation.,,2018/11/30 20:30:26+00,795366.331658775,4762.75401115704,{F75CA88C-87E3-4B90-A352-5142058F438B}
15,ACEC004051,,Rajadero Canyon,,San Luis RMP,3632,1991/12/18 00:00:00+00,3652.50646078,CO,COF03000,,,2018/11/28 23:19:39+00,14781169.2286468,25866.2822973087,{E999E989-5A48-4322-8FEB-1463F85AE7D6}
16,ACEC004038,,Los Mogotes,,San Luis RMP,33456,1991/12/18 00:00:00+00,33446.90199285,CO,COF03000,,,2018/11/28 23:19:44+00,135354810.139159,58977.1551262818,{6BB14828-4D1E-4305-B85B-15868FCB4E37}
18,ACEC004017,,Cumbres and Toltec Railroad,,San Luis RMP,3824,1991/12/18 00:00:00+00,3904.11615872,CO,COF03000,,,2018/11/28 23:19:44+00,15799397.5506925,33581.6991895644,{E84921C3-3FE7-476A-982A-15B43CC304D1}
23,ACEC004061,,South Beaver Creek ACEC,,Gunnison Resource Area RMP,4570,1993/02/05 00:00:00+00,5031.7181006,CO,COS06000,,,2021/02/16 18:56:57+00,18395937.0900056,39131.4728476115,{EEB6F460-C995-4556-BDFB-ACAD6A4C68AF}
25,ACEC004060,,Slumgullion Earthflow ACEC,,Gunnison Resource Area RMP,1405,1993/02/05 00:00:00+00,1317.23800364,CO,COS06000,,,2021/02/16 18:56:57+00,5330673.07486617,13973.1398583187,{52B2A58E-1C35-4537-B879-1F85F2AE2100}
26,ACEC004054,,Redcloud Peak ACEC,,Gunnison Resource Area RMP,5960,1993/02/05 00:00:00+00,6154.23934594,CO,COS06000,"The unit contains one of two known viable breeding populations of the Uncompahgre fritillary butterfly, an endangered species. Bighorn sheep habitat.",,2021/02/16 18:56:57+00,24656878.5033475,26363.8394527381,{F48EC93F-B0CC-486F-8458-61E895547ED0}
27,ACEC004002,,American Basin ACEC,,Gunnison Resource Area RMP,1597,1993/02/05 00:00:00+00,1665.25728054,CO,COS06000,,,2021/02/16 18:56:57+00,6495437.65673207,14455.6490167595,{C4FE1564-0005-4991-BF67-7038E1175CF8}
35,ACEC004030,,Garden Park ACEC,,Royal Gorge RMP,2728,1996/04/16 00:00:00+00,2697.6897878,CO,COF02000,,,2018/11/28 23:19:44+00,10917163.2434186,25632.9639093445,{FAB0C52C-AC8B-44A8-81E5-8BF34D5C41F1}
41,ACEC004008,,Blacks Gulch ACEC,,White River RMP ,800,1997/07/01 00:00:00+00,801.38604001,CO,CON05000,Paleontological values,,2018/11/28 23:10:58+00,3242882.49480106,8859.20111309926,{B0B61A4F-2837-40D3-9E0A-59716EC086FE}
42,ACEC004013,,Coal Draw ACEC,,White River RMP ,1840,1997/07/01 00:00:00+00,1824.26886161,CO,CON05000,Paleontological values,,2018/11/28 23:10:59+00,7382554.15882188,12884.5631282403,{18EB5389-4875-4711-9569-C1B529C1DB51}
