X,Y,OBJECTID,RIPS_num,RIPS_name,allot_num,allot_name,NEPA_num,improve_subtype,improve_type,admin_st_code,admin_unit_code,maint_respone,est_year,last_insp_date,GlobalID,COORD_SRC_TYPE,ACCURACY_FT,created_date,last_edited_date,TempPurpose,RIPS_num_legacy,Old_GUID,Comment_cnt
441884.7855,4149348.5218,6,254546,Sixmile Rd. Cattle Guard,14117,Tobin Creek,,0.0,,CO,COF03000,BLM,,,{8300A8BD-DE25-4886-9889-990A32B3FEB2},IMG,200.0,2014/09/08 17:07:44+00,2022/09/07 17:22:49+00,,254546,{0D0E11C0-5C6A-42A5-8AE7-495E6DFA9040},
300838.4098,4235888.0689,267,234982,Thomas AMP Spring #2,06103,Indian Cr,,8.0,DEVELOPED SPRING,CO,COS06000,,,,{691FA958-C5D5-461C-A9D6-AB3A0AD0D29B},IMG,,2014/10/20 18:36:38+00,2022/09/09 13:52:51+00,,234982,{ABFD739C-B5C8-4A2F-9D2D-2B4217E3F415},
301687.2162,4235708.115,268,234983,Thomas AMP Spring #3,06103,Indian Cr,,8.0,DEVELOPED SPRING,CO,COS06000,,,,{8CE2037D-9926-4DD8-9BAB-EE10B6F1A9E9},IMG,,2014/10/20 18:36:38+00,2022/09/09 13:52:51+00,,234983,{75D4BCDB-9594-403F-9B30-0FD736EBC3F0},
300992.7397,4235622.675,269,234984,Thomas AMP Spring #4,06103,Indian Cr,,8.0,DEVELOPED SPRING,CO,COS06000,,,,{19FAA6B1-36CD-4352-A490-EBA71449729A},IMG,,2014/10/20 18:36:38+00,2022/09/09 13:52:51+00,,234984,{C9A2D0C5-81E3-4ABE-9317-B7EF86992BF7},
300617.6043,4235210.7848,270,234985,Thomas AMP Spring #5,06103,Indian Cr,,8.0,DEVELOPED SPRING,CO,COS06000,,,,{D9D4E0B9-DBD9-4507-8A14-6E769ECF0404},IMG,,2014/10/20 18:36:38+00,2022/09/09 13:52:51+00,,234985,{972977B6-258C-4FD2-9399-B6DD4DD83DD4},
301035.3859,4235179.7053,271,234986,Thomas AMP Spring #6,06103,Indian Cr,,8.0,DEVELOPED SPRING,CO,COS06000,,,,{5699B977-B902-4544-8085-DE6C3169F186},IMG,,2014/10/20 18:36:38+00,2022/09/09 13:52:51+00,,234986,{26263AFE-721F-4ECD-8742-9C78BE70E65A},
300167.7349,4234453.6853,272,234987,Thomas AMP Spring #7,06103,Indian Cr,,8.0,DEVELOPED SPRING,CO,COS06000,,,,{C326B72E-FC37-46AB-B1E8-755436DCC3AC},IMG,,2014/10/20 18:36:38+00,2022/09/09 13:52:51+00,,234987,{17694F7A-8040-4A2B-8B65-460E2F519F87},
300841.6158,4234008.7774,273,234988,Thomas AMP Spring #8,06103,Indian Cr,,8.0,DEVELOPED SPRING,CO,COS06000,,,,{429B03E3-6D54-458D-8EB1-BCA7D428B3FD},IMG,,2014/10/20 18:36:38+00,2022/09/09 13:52:51+00,,234988,{09B58110-C8BB-49E8-A836-BF03342B32CF},
300667.2641,4233471.5892,274,234989,Thomas AMP Spring #9,06103,Indian Cr,,8.0,DEVELOPED SPRING,CO,COS06000,,,,{7E022174-47CD-4496-B826-F48AB060BC36},IMG,,2014/10/20 18:36:38+00,2022/09/09 13:52:51+00,,234989,{4F811C0F-AD19-4579-9014-FF217AB689AD},
300149.6393,4233513.9355,275,234990,Thomas AMP Spring #10,06103,Indian Cr,,8.0,DEVELOPED SPRING,CO,COS06000,,,,{1826D39E-93E3-48D6-8F91-B1D9FE08F726},IMG,,2014/10/20 18:36:38+00,2022/09/09 13:52:51+00,,234990,{FE51B325-D1A6-4887-8690-3C34F6124AB6},
