OBJECTID,VRM_ID,LUP_ID,LUP_NM,VRM_CLASS,DSGNTN_SRCE,DSGNTN_RSN,GlobalID,DSGNTN_DESC,ADMIN_ST,ADM_UNIT_CD,CREATE_DATE,MODIFY_DATE,GIS_ACRES,Shape_Length,Shape_Area
13521,,,Browns Canyon National Monument Resource Management Plan,I,Interim,,{ED40789F-0BA9-4C54-9B36-C6F6913C9FD6},,CO,COF02400,,2019/11/07 18:27:19+00,7457.14430746,30727.7510583272,30177992.3334092
13522,,,Browns Canyon National Monument Resource Management Plan,II,Interim,,{C71252CE-30C7-47E4-9029-87F21CA98F34},,CO,COF02400,,2019/11/07 18:27:19+00,3811.21306575,37700.668703658,15423432.072285
13523,,,Browns Canyon National Monument Resource Management Plan,II,Interim,,{48BAD341-71AA-484B-B493-C4A0311640B9},,CO,COF02400,,,0.51220297,390.13922974785,2072.81186864077
13524,,,Browns Canyon National Monument Resource Management Plan,II,Interim,,{B63643AD-1B18-4124-AAC9-C16CA5A43EC1},,CO,COF02400,,,5.40081625,1475.68685772412,21856.3279414874
13525,,,Browns Canyon National Monument Resource Management Plan,II,Interim,,{FCF59E70-0D47-42A7-BB47-4E487C4B0178},,CO,COF02400,,,0.05977834,112.825676025433,241.91434562185
13526,,,Browns Canyon National Monument Resource Management Plan,II,Interim,,{9E8D9E44-E302-4E67-81B1-3071424E1FFA},,CO,COF02400,,,18.65791945,2051.05406277533,75505.9211488615
13527,,,Browns Canyon National Monument Resource Management Plan,II,Interim,,{DF55BBCB-60C4-4C55-89D1-200157B84A8A},,CO,COF02400,,,1159.78504146,12876.3084850481,4693483.5436488
13528,,,Browns Canyon National Monument Resource Management Plan,III,Interim,,{5E542B3F-B074-4874-9E4C-672B7D15D0AB},,CO,COF02400,,,1256.54197219,13001.969599439,5085044.95015544
13529,,,Browns Canyon National Monument Resource Management Plan,III,Interim,,{D8A12DFC-E2B1-4C67-B3E7-03E43ED7C732},,CO,COF02400,,,325.63041727,6107.56334833447,1317779.54544629
13881,VRM-LUP-CO-002-B-0003,LUP-CO-002-B,Roan Plateau RMP Amendment,II,Amendment,,{D614EA86-F3C9-4360-BC9A-69F22D265129},,CO,COG02000,,,39.35277253,1596.39386129826,159255.020256477
13882,VRM-LUP-CO-002-B-0005,LUP-CO-002-B,Roan Plateau RMP Amendment,II,Amendment,,{87D94768-B6EA-451E-8AB4-AC4349061BF8},,CO,COG02000,,,11.22544861,1030.93073774676,45427.7788156404
13883,VRM-LUP-CO-002-B-0006,LUP-CO-002-B,Roan Plateau RMP Amendment,IV,Amendment,,{4F55B57D-A77A-4713-A2A1-1BE739D24E01},,CO,COG02000,,,29.11635035,1418.51094082322,117829.689429211
13884,VRM-LUP-CO-002-B-0007,LUP-CO-002-B,Roan Plateau RMP Amendment,II,Amendment,,{C62FC6CD-690B-414A-B63D-58B1B2B9EAA9},,CO,COG02000,,,0.6265736,284.920982031086,2535.65338259493
13885,VRM-LUP-CO-002-B-0008,LUP-CO-002-B,Roan Plateau RMP Amendment,II,Amendment,,{40008CF2-0A91-48A5-BBEA-3B7AB874696D},,CO,COG02000,,,1.45518207,342.313244628038,5888.91289858425
13886,VRM-LUP-CO-002-B-0009,LUP-CO-002-B,Roan Plateau RMP Amendment,IV,Amendment,,{BEC19440-0AE6-4365-AD86-EBC5C1C91493},,CO,COG02000,,,328.36582121,6351.95588701589,1328849.33244967
13887,VRM-LUP-CO-002-B-0010,LUP-CO-002-B,Roan Plateau RMP Amendment,IV,Amendment,,{2EB8315E-D5D1-4B6E-B97D-178FA4568239},,CO,COG02000,,,40.18536382,1613.15366843273,162624.397646336
13888,VRM-LUP-CO-002-B-0011,LUP-CO-002-B,Roan Plateau RMP Amendment,IV,Amendment,,{F061194A-A5E0-4123-87F4-084CA5F50EDE},,CO,COG02000,,,1052.04564229,11050.2607248611,4257477.66414431
13889,VRM-LUP-CO-002-B-0012,LUP-CO-002-B,Roan Plateau RMP Amendment,IV,Amendment,,{AF4A283B-2C8B-4571-8780-0A185722C609},,CO,COG02000,,,479.22200372,8040.99254871042,1939342.93246304
13890,VRM-LUP-CO-002-B-0013,LUP-CO-002-B,Roan Plateau RMP Amendment,IV,Amendment,,{4088B18F-FDAB-42E6-9884-0362A4D88C74},,CO,COG02000,,,20.68602299,1483.80763528208,83713.3649872767
13891,VRM-LUP-CO-002-B-0014,LUP-CO-002-B,Roan Plateau RMP Amendment,IV,Amendment,,{E01C8D17-564F-44B9-8E3A-D1BBF5C2CBF2},,CO,COG02000,,,2628.26703759,23667.9485224946,10636219.3408656
13892,VRM-LUP-CO-002-B-0016,LUP-CO-002-B,Roan Plateau RMP Amendment,I,Amendment,,{72C4333A-DD95-47CD-A94E-8C7A0C1D46A8},,CO,COG02000,,,1617.66666706,15011.8029995456,6546464.74088571
13893,VRM-LUP-CO-002-B-0017,LUP-CO-002-B,Roan Plateau RMP Amendment,IV,Amendment,,{AF82FFA9-E7FB-4E7A-8EDE-703162ABB1A2},,CO,COG02000,,,130.0691873,4048.97306751775,526371.325961834
13894,VRM-LUP-CO-002-B-0019,LUP-CO-002-B,Roan Plateau RMP Amendment,IV,Amendment,,{ED9BC978-30AB-41CD-9657-E5A70E71280A},,CO,COG02000,,,27.93922426,1424.78613522294,113066.029137209
13895,VRM-LUP-CO-002-B-0020,LUP-CO-002-B,Roan Plateau RMP Amendment,IV,Amendment,,{3A95916C-6A9F-4839-A598-B17F0D51D7A9},,CO,COG02000,,,1622.91776288,15794.2880488819,6567715.17175325
13896,VRM-LUP-CO-002-B-0021,LUP-CO-002-B,Roan Plateau RMP Amendment,IV,Amendment,,{D6596491-28EE-4B4C-B23E-F9950BCBE99B},,CO,COG02000,,,323.40143192,6473.08461668407,1308759.16179493
13897,VRM-LUP-CO-002-B-0022,LUP-CO-002-B,Roan Plateau RMP Amendment,IV,Amendment,,{7B4673EC-0D50-4DD8-B75C-57A063C63EA5},,CO,COG02000,,,1.26995267,343.341693834188,5139.3161338647
