OBJECTID,SubSurRights,GIS_Acres,GlobalID,SHAPE_Length,SHAPE_Area
6278683,All Minerals,395.92375648,{A3A115C8-A772-4CF7-B305-D573CF4B9133},7211.12987165287,1602246.59671115
6278684,All Minerals,1.0941953,{0A8A939D-8FC9-48DC-A97E-70776C8BD870},563.924657150178,4428.05128443931
6278685,All Minerals,139.80466908,{3247FFAA-D6B9-4D9A-B8DD-16BE9E4859A6},3225.27420902581,565769.422967339
6278686,All Minerals,80.70382864,{BC250ADF-275E-4AFE-A26C-B489E52254FF},2423.17864178636,326596.807254598
6278687,All Minerals,38.68097609,{F0095C3C-90C2-4DA5-B502-5A31A4FEDB4A},1583.01594286057,156536.356497444
6278688,All Minerals,40.00675087,{19560083-B2D0-442F-8049-4271A06F18DF},1609.50139660341,161901.576691156
6278689,All Minerals,80.2573525,{D84E2DCE-4E9A-4895-A8BD-93433F8B68F5},2419.17796207668,324789.982420568
6278690,All Minerals,283.84519045,{D7A68C69-315C-48AC-BD8D-69F3FB0F3FBD},4846.44120978428,1148680.73195223
6278691,All Minerals,96.4178359,{578BC8EB-010B-47B3-A0B1-99E2F0587BC1},2581.04227429326,390189.13842751
6278692,All Minerals,168.46568963,{6278F809-380B-49C8-BE6B-8A183C42BE3F},4024.05853991623,681756.458021733
6278693,All Minerals,39.83577661,{19E1DEFC-0BDC-4236-BDDC-02302E8E987E},1606.31445220399,161209.668413535
6278694,All Minerals,80.67416971,{4E4F5F9B-A8EB-4162-9D46-B63794AD186E},2424.51511768967,326476.78179437
6278695,All Minerals,159.16574592,{74EB1EF2-8DDA-4756-981D-69A1B09A98C2},4002.42162457346,644120.921115573
6278696,All Minerals,25.91276776,{1DA7FB79-42B6-4EF6-B788-2A3F219D95AA},1870.07596468459,104865.250621057
6278697,All Minerals,80.66332764,{090AE88E-E9AD-47FB-961C-64F398852823},2424.55120953319,326432.905503073
6278698,All Minerals,72.62157359,{1DF33E9B-D974-456E-9973-02F5B715DD14},2265.77717842581,293889.081503865
6278699,All Minerals,630.00115683,{D3B23F5F-792F-4890-A1FF-6BAB892C66C5},9589.62867911228,2549524.22761748
6278700,All Minerals,120.1684335,{E1555722-3CBE-4402-B8E1-864BF4A4D6B7},3232.45185700384,486304.396889139
6278701,All Minerals,421.74090697,{C7D858A0-266E-4A34-BF95-A2458394B841},5636.57520129044,1706724.89796505
6278702,All Minerals,423.32309568,{BC79E8C1-B367-4B1A-9100-14966476BAB1},6158.97502019007,1713127.78852104
6278703,All Minerals,39.99282343,{DAE60999-D68E-4A77-968B-B6F865CB0A89},1609.20087227319,161845.214342355
6278704,All Minerals,35.96454884,{BDC2205A-D602-44B2-9094-02B84F732A72},1532.07999974379,145543.365461671
6278705,All Minerals,604.43419668,{57D8757F-53A3-40E5-AF09-65A8943CCC46},10477.8098144733,2446058.41074134
6278706,All Minerals,559.44678616,{28BF58F1-060F-4C4B-9471-BB9FF86FA54C},7239.99180624276,2264000.81958095
6278707,All Minerals,0.08259695,{F028C700-03E6-44D2-A018-D567E43F599A},178.095059065126,334.257991953053
6278708,All Minerals,40.13923579,{4DE14D67-76DC-43DE-805D-B9BBF82053A2},1612.14784779202,162437.724145454
6278709,All Minerals,75.21747369,{2A16AC89-93B0-4272-ABA9-EC9F17BFAA9D},2360.77582108006,304394.316494484
6278710,All Minerals,323.37983075,{4A133ED3-2093-40F9-93A2-1161B95317BC},5667.28650596668,1308671.74494297
6278711,All Minerals,79.99044844,{133E631A-31F9-4D22-9FF2-44301966E99A},2412.88892341885,323709.859983981
6278712,All Minerals,80.02113076,{05027487-2EDC-48CC-8E40-9DD9442E4D84},2415.61715467997,323834.02693226
6278713,All Minerals,161.0993098,{F31D5E06-0056-4376-B81E-AC1C7BC25D98},3230.37349573211,651945.776523522
6278714,All Minerals,159.92311673,{49C15A5E-8A09-48F2-84F3-9A01026244E5},4016.91256278763,647185.892031378
6278715,All Minerals,320.36149174,{141034C4-0087-4F4D-9CC3-4ACA88D1912D},4829.95510446082,1296456.9603283
6278716,All Minerals,483.02316655,{88C33A0D-B73E-4B84-91AF-95BDAFDA576A},7275.3482363346,1954725.40370352
6278717,All Minerals,360.7022738,{1B9A782F-D544-4112-B10F-B49C7EB452E8},9639.35889169877,1459710.31331992
6278718,All Minerals,650.27478141,{3832BB57-0ADB-4B6E-822F-EC284750A268},12222.7237984376,2631568.67547751
6278719,All Minerals,319.25801484,{9E908179-5BB6-4E36-A764-4BACAA88D10B},4809.24488313725,1291991.34774498
6278720,All Minerals,200.72493762,{AD23B018-34DF-4805-BD1E-3ECF48BD6B63},4823.35154963875,812305.002953139
6278721,All Minerals,40.80745457,{1EB867E1-7B5F-43ED-A3A0-DBFEE9331D73},1625.5237415549,165141.909628594
6278722,All Minerals,1422.42308911,{D2850536-BDAC-413C-AD1B-EB16E3E98591},19467.1258892643,5756342.01354152
6278723,,0.17681129,{A2121E84-773E-4EB5-B759-8B4E9059219A},489.090011029486,715.529889149115
6278724,All Minerals,1376.74466962,{C1CBC868-7078-439E-9FB1-2E83614EC19B},15454.2133552601,5571488.00824814
6278725,All Minerals,317.80744274,{857EA20C-AF02-471B-A879-4BC219F41D23},4801.23996405386,1286121.09073635
6278726,All Minerals,7.74448218,{47FFD5ED-F354-4DB4-BA2A-57388AFD37A1},973.548867727916,31340.8074427482
6278727,All Minerals,195.04669009,{21D1E6D4-0261-435D-A9C8-65E968FCD344},3969.63326189381,789325.950465257
6278728,All Minerals,280.72289188,{B8B75EBE-F595-4A9A-AACA-28351A8177B6},11371.5197014971,1136045.23793721
6278729,All Minerals,40.65581506,{53E576E2-2989-4DA8-AF23-EB06921E361D},1625.39355541289,164528.246266275
6278730,All Minerals,641.02148343,{16609E33-1E2C-476C-85B0-22E1786FC8AA},8015.07159382378,2594121.90711711
