OBJECTID,ALLOT_NO,ALLOT_NAME,GIS_ACRES,ADMIN_ST,ST_ALLOT,ACTIVE_DT,ADM_UNIT_CD,created_date,last_edited_date,created_user,last_edited_user,GlobalID,SHAPE_Length,SHAPE_Area
3730,06705,Brush Mountain Common,1947.44089416,CO,CO06705,9999/09/09 00:00:00+00,COG01000,2023/04/17 21:11:17+00,2023/04/17 21:11:17+00,msarhan@blm.gov_BLM_EGIS,msarhan@blm.gov_BLM_EGIS,{BE360B76-E5AF-44E4-96CA-6171A5845AB7},13650.4089681553,7881013.68978148
3731,06748,Upper Brush Mountain,3209.76120842,CO,CO06748,9999/09/09 00:00:00+00,COG01000,2023/04/17 21:11:17+00,2023/04/17 21:11:17+00,msarhan@blm.gov_BLM_EGIS,msarhan@blm.gov_BLM_EGIS,{66AA9E7E-EA41-4CD1-A723-2DFCC140D13D},17537.5796477593,12989442.7606801
3732,06735,Lower Brush Mountain,4550.78509048,CO,CO06735,9999/09/09 00:00:00+00,COG01000,2023/04/17 21:11:17+00,2023/04/17 21:11:17+00,msarhan@blm.gov_BLM_EGIS,msarhan@blm.gov_BLM_EGIS,{1E47F5A5-55AA-4EE7-85C9-B12041E8CD94},26791.9899766226,18416373.8703591
3734,06721,Head of Carr Creek,6244.09949512,CO,CO06721,9999/09/09 00:00:00+00,COG01000,2023/04/17 21:11:17+00,2023/04/17 21:11:17+00,msarhan@blm.gov_BLM_EGIS,msarhan@blm.gov_BLM_EGIS,{85CED3D9-E725-4C77-AB41-D89201871649},57944.0327011781,25268974.1439392
3735,06707,Burdick Homestead,790.37171328,CO,CO06707,9999/09/09 00:00:00+00,COG01000,2023/04/17 21:11:17+00,2023/04/17 21:11:17+00,msarhan@blm.gov_BLM_EGIS,msarhan@blm.gov_BLM_EGIS,{43AB455B-06BD-4BFB-BDAB-0EF56EB35F1C},12207.8816906768,3198520.84395562
3736,06723,Henderson Ridge Common,1540.14180705,CO,CO06723,9999/09/09 00:00:00+00,COG01000,2023/04/17 21:11:17+00,2023/04/17 21:11:17+00,msarhan@blm.gov_BLM_EGIS,msarhan@blm.gov_BLM_EGIS,{0EC5327D-E456-465D-8202-7645780C59BF},16747.1492283348,6232732.7632846
3737,06701,Bear Gulch,2835.20190485,CO,CO06701,9999/09/09 00:00:00+00,COG01000,2023/04/17 21:11:17+00,2023/04/17 21:11:17+00,msarhan@blm.gov_BLM_EGIS,msarhan@blm.gov_BLM_EGIS,{5060FC5D-65D2-47FC-ADE7-A182E91BE6E2},29531.804782746,11473655.0374298
3738,06725,4-A Mountain,1963.11691296,CO,CO06725,9999/09/09 00:00:00+00,COG01000,2023/04/17 21:11:17+00,2023/04/17 21:11:17+00,msarhan@blm.gov_BLM_EGIS,msarhan@blm.gov_BLM_EGIS,{EC5E47A1-E407-4BC6-AC06-7424F728E8E3},19584.5697484964,7944452.28715023
3739,06736,Lower Carr Creek Common,1307.02419988,CO,CO06736,9999/09/09 00:00:00+00,COG01000,2023/04/17 21:11:17+00,2023/04/17 21:11:17+00,msarhan@blm.gov_BLM_EGIS,msarhan@blm.gov_BLM_EGIS,{D5C2096D-6073-4351-9121-E84AB93E78B1},16139.6615909057,5289339.27749743
3740,16616,Prairie Canyon,26874.21790031,CO,CO16616,9999/09/09 00:00:00+00,COG01000,2023/04/17 21:11:17+00,2023/04/17 21:11:17+00,msarhan@blm.gov_BLM_EGIS,msarhan@blm.gov_BLM_EGIS,{E933986D-871E-448B-AB8C-6E7919E809BE},67093.119090856,108751588.203026
3741,06709,Carr Creek,1348.18012893,CO,CO06709,9999/09/09 00:00:00+00,COG01000,2023/04/17 21:11:17+00,2023/04/17 21:11:17+00,msarhan@blm.gov_BLM_EGIS,msarhan@blm.gov_BLM_EGIS,{FC5D1527-4136-46C6-AB4B-A891F5D0E012},10873.2736039035,5455891.41329842
3742,06711,Conn Mountain Common,168.42754078,CO,CO06711,9999/09/09 00:00:00+00,COG01000,2023/04/17 21:11:17+00,2023/04/17 21:11:17+00,msarhan@blm.gov_BLM_EGIS,msarhan@blm.gov_BLM_EGIS,{6A88CBF5-AB8C-440C-8913-9654027500BE},4364.83238193296,681602.07510441
3743,06738,Lower 4-A,3045.96925464,CO,CO06738,9999/09/09 00:00:00+00,COG01000,2023/04/17 21:11:17+00,2023/04/17 21:11:17+00,msarhan@blm.gov_BLM_EGIS,msarhan@blm.gov_BLM_EGIS,{FDF02F06-FE0C-4ED2-871A-76CAD5E834DB},22639.4640465226,12326600.2405578
3745,06737,Lower Roan Creek Common,3992.751299,CO,CO06737,9999/09/09 00:00:00+00,COG01000,2023/04/17 21:11:17+00,2023/04/17 21:11:17+00,msarhan@blm.gov_BLM_EGIS,msarhan@blm.gov_BLM_EGIS,{A34D28CF-35B5-43BB-8862-FB065C403668},29435.1510056814,16158091.2374194
3746,06717,Eby Gulch,1722.91613236,CO,CO06717,9999/09/09 00:00:00+00,COG01000,2023/04/17 21:11:17+00,2023/04/17 21:11:17+00,msarhan@blm.gov_BLM_EGIS,msarhan@blm.gov_BLM_EGIS,{8F329F82-921E-4048-ACFD-971AEA8F4A53},15567.7532963605,6972394.21548443
3747,06744,Roan Creek,12587.06199072,CO,CO06744,9999/09/09 00:00:00+00,COG01000,2023/04/17 21:11:17+00,2023/04/17 21:11:17+00,msarhan@blm.gov_BLM_EGIS,msarhan@blm.gov_BLM_EGIS,{7BB039C4-F371-45E7-843C-EF6213DF056C},88786.0403336101,50938032.6562802
3749,06722,Carbon,2271.20176842,CO,CO06722,9999/09/09 00:00:00+00,COG01000,2023/04/17 21:11:17+00,2023/04/17 21:11:17+00,msarhan@blm.gov_BLM_EGIS,msarhan@blm.gov_BLM_EGIS,{DCD51E0F-52DB-4C82-A4B6-B453B72A3D4E},52501.8443508739,9191227.46309474
3750,16506,Lapham-Post,8926.89839625,CO,CO16506,9999/09/09 00:00:00+00,COG01000,2023/04/17 21:11:17+00,2023/04/17 21:11:17+00,msarhan@blm.gov_BLM_EGIS,msarhan@blm.gov_BLM_EGIS,{97B5D283-1A64-4361-88AC-0FD1BB1E8832},41315.4273927186,36125876.1069686
3751,16608,Dry Canyon-Demaree,11010.26803748,CO,CO16608,9999/09/09 00:00:00+00,COG01000,2023/04/17 21:11:17+00,2023/04/17 21:11:17+00,msarhan@blm.gov_BLM_EGIS,msarhan@blm.gov_BLM_EGIS,{98D46C24-F020-4F52-913D-2D06647DA9A3},50408.9838919354,44556973.9198095
3752,06755,4-A Place,288.15600729,CO,CO06755,9999/09/09 00:00:00+00,COG01000,2023/04/17 21:11:17+00,2023/04/17 21:11:17+00,msarhan@blm.gov_BLM_EGIS,msarhan@blm.gov_BLM_EGIS,{1141E00B-912C-42A2-A11D-493B4CC68683},5337.56691873303,1166125.9887409
3753,06729,Kimball Mountain,8852.42463177,CO,CO06729,9999/09/09 00:00:00+00,COG01000,2023/04/17 21:11:17+00,2023/04/17 21:11:17+00,msarhan@blm.gov_BLM_EGIS,msarhan@blm.gov_BLM_EGIS,{BC0A9BA7-DFF8-4C88-BDC3-EDBB424BCE1E},56788.1351482455,35824491.4748745
3754,06728,Kimball Foothill common,708.61550472,CO,CO06728,9999/09/09 00:00:00+00,COG01000,2023/04/17 21:11:17+00,2023/04/17 21:11:17+00,msarhan@blm.gov_BLM_EGIS,msarhan@blm.gov_BLM_EGIS,{9D2BCFDE-B170-4514-AE2A-80058E492421},8563.59077761249,2867665.20630741
3755,06747,Tater Hills,2029.93995155,CO,CO06747,9999/09/09 00:00:00+00,COG01000,2023/04/17 21:11:17+00,2023/04/17 21:11:17+00,msarhan@blm.gov_BLM_EGIS,msarhan@blm.gov_BLM_EGIS,{2D39324E-A41D-4E47-8858-D336C4B21C90},13268.9222627166,8214875.53002388
