OBJECTID,ORV,GlobalID,ADMIN_ST,WSR_SGMNT_NO,created_date,last_edited_date
1,Recreational,{D2CB7A7E-3DFD-4FC2-BE70-B1412FCA732F},CO,CO00000001,2016/11/14 19:16:47+00,2016/11/15 21:06:54+00
99,Scenic,{310385FF-7C56-4A83-8384-A205617B6C9E},CO,CO00000001,2016/11/14 19:29:18+00,2016/11/15 21:06:54+00
100,Cultural,{811765A8-D2A9-4D92-AF90-687DF8BFE64A},CO,CO00000001,2016/11/14 19:29:25+00,2016/11/15 21:06:54+00
101,Historic,{B9510872-C294-4891-99D7-5A564F273CB6},CO,CO00000001,2016/11/14 19:29:50+00,2016/11/15 21:06:54+00
401,Recreational,{869DCE82-B2D1-4C05-A7EA-C98554D223AE},CO,CO00000002,2016/11/15 15:12:23+00,2016/11/15 21:06:54+00
402,Scenic,{9B7D8A19-2219-4604-80C0-BAC64EF86F2A},CO,CO00000002,2016/11/15 15:13:01+00,2016/11/15 21:06:54+00
403,Wildlife,{992E0A5E-F08E-4A62-9E99-816F7A90EC66},CO,CO00000002,2016/11/15 15:13:08+00,2016/11/15 21:06:54+00
404,Other Similar Values,{9E7D13E0-A887-4C06-9B38-EC0E67181312},CO,CO00000002,2016/11/15 15:13:14+00,2016/11/15 21:06:54+00
405,Fish,{EBC6AAF9-A421-46CC-AE73-1D37A5CF00BA},CO,CO00000002,2016/11/15 15:13:19+00,2016/11/15 21:06:54+00
406,Cultural,{BA81A811-E864-4EA6-8716-2FD885D7A20C},CO,CO00000002,2016/11/15 15:13:25+00,2016/11/15 21:06:54+00
407,Recreational,{900A7090-2F74-4171-8CB5-EACB00994DC6},CO,CO00000003,2016/11/15 15:18:49+00,2016/11/15 21:06:54+00
408,Scenic,{B4AD7DB8-07F3-40AD-82BA-1FA5AE4134FE},CO,CO00000003,2016/11/15 15:19:09+00,2016/11/15 21:06:54+00
409,Wildlife,{05E01666-7782-45FD-BC07-6CB0B7C24789},CO,CO00000003,2016/11/15 15:19:20+00,2016/11/15 21:06:54+00
410,Other Similar Values,{F3C23AED-C339-4B41-9285-464A6161E873},CO,CO00000003,2016/11/15 15:19:25+00,2016/11/15 21:06:54+00
411,Fish,{E6C47E16-61AA-400A-BF92-4CA60CDF05B2},CO,CO00000003,2016/11/15 15:19:30+00,2016/11/15 21:06:54+00
412,Cultural,{F5037CFC-23F1-4E55-93C4-64E95A85873E},CO,CO00000003,2016/11/15 15:19:33+00,2016/11/15 21:06:54+00
413,Recreational,{F540FC03-BFBE-45FC-9430-071D4E860E07},CO,CO00000004,2016/11/15 15:20:22+00,2016/11/15 21:06:54+00
414,Scenic,{51B8489E-93AE-4A0F-887B-EE0AA6C4E187},CO,CO00000004,2016/11/15 15:21:04+00,2016/11/15 21:06:54+00
415,Wildlife,{8F78DCF5-B44F-45A4-8E4D-7BC7C5F00972},CO,CO00000004,2016/11/15 15:21:07+00,2016/11/15 21:06:54+00
416,Other Similar Values,{15EB94AD-07CD-4E23-9C58-1AA056481B58},CO,CO00000004,2016/11/15 15:21:13+00,2016/11/15 21:06:54+00
417,Fish,{B4D037F3-76D2-451D-A8F2-691DD8399C94},CO,CO00000004,2016/11/15 15:21:18+00,2016/11/15 21:06:54+00
418,Cultural,{547A31FE-CFC6-4641-8A8B-CEED6380E4C3},CO,CO00000004,2016/11/15 15:21:24+00,2016/11/15 21:06:54+00
419,Recreational,{C2525F7B-75F3-4D3F-8FAA-BE0A00C34152},CO,CO00000005,2016/11/15 15:22:25+00,2016/11/15 21:06:54+00
420,Scenic,{FD68CC19-4F2D-41BB-B088-8590801717A7},CO,CO00000005,2016/11/15 15:23:46+00,2016/11/15 21:06:54+00
421,Wildlife,{F138E313-EE4D-4C74-8D59-4E08ACF95FBA},CO,CO00000005,2016/11/15 15:23:49+00,2016/11/15 21:06:54+00
422,Scenic,{23BD1210-CD53-4706-9D44-A587732E0BA9},CO,CO00000008,2016/11/15 15:25:09+00,2016/11/15 21:06:54+00
423,Recreational,{70D1E392-5B2B-49F7-8910-79A65935BC45},CO,CO00000008,2016/11/15 15:25:26+00,2016/11/15 21:06:54+00
424,Other Similar Values,{2478A2C0-E12E-4324-9D76-F473BBE65621},CO,CO00000008,2016/11/15 15:25:30+00,2016/11/15 21:06:54+00
425,Other Similar Values,{A85CB0B2-6097-417B-91AD-5F1573C7F173},CO,CO00000013,2016/11/15 15:27:04+00,2016/11/15 21:06:54+00
426,Other Similar Values,{816967D9-255D-45EA-8C7D-1EF77B47C3E3},CO,CO00000014,2016/11/15 15:27:13+00,2016/11/15 21:06:54+00
427,Recreational,{72FBE15A-7B6D-4A0B-B307-7FAA5EEDFECD},CO,CO00000015,2016/11/15 15:28:23+00,2016/11/15 21:06:54+00
428,Other Similar Values,{AD4D8359-05F5-4B33-9163-2F32B2E9B4D4},CO,CO00000015,2016/11/15 15:28:35+00,2016/11/15 21:06:54+00
439,Scenic,{58467BF9-2CDF-47C6-A618-66BBE85F0FDA},CO,CO00000028,2016/11/15 15:43:51+00,2016/11/15 21:06:54+00
440,Recreational,{A0B706CC-3C74-4CE1-AC8A-6A02FE8A4C86},CO,CO00000028,2016/11/15 15:43:56+00,2016/11/15 21:06:54+00
441,Other Similar Values,{D3E4EB95-82A5-4BE2-8313-FD7A39E0F9A3},CO,CO00000029,2016/11/15 15:44:29+00,2016/11/15 21:06:54+00
442,Other Similar Values,{DF69C29C-AEA3-4C33-B8FA-9C074CACF579},CO,CO00000032,2016/11/15 15:44:52+00,2016/11/15 21:06:54+00
443,Scenic,{B0B4F090-EB4E-4F4C-BB44-27AAC4C58CFC},CO,CO00000034,2016/11/15 15:45:17+00,2016/11/15 21:06:54+00
444,Recreational,{7A9CD5F1-F557-400E-ABAB-D6860A6612EC},CO,CO00000034,2016/11/15 15:45:28+00,2016/11/15 21:06:54+00
445,Cultural,{7A7421AC-74B4-462A-B8B9-89DDF694793E},CO,CO00000034,2016/11/15 15:45:33+00,2016/11/15 21:06:54+00
446,Other Similar Values,{6B45860B-E093-49A9-86A6-D8254DCE6EF1},CO,CO00000034,2016/11/15 15:45:36+00,2016/11/15 21:06:54+00
455,Other Similar Values,{65029360-7FC3-4696-9D80-BBF5D794A1C0},CO,CO00000038,2016/11/15 15:47:55+00,2016/11/15 21:06:54+00
456,Other Similar Values,{EFA95BD8-4D4E-4A19-928C-A4834695E51E},CO,CO00000038,2016/11/15 15:47:58+00,2016/11/15 21:06:54+00
457,Other Similar Values,{B503CEFA-603F-4962-8852-50D873208949},CO,CO00000041,2016/11/15 15:49:29+00,2016/11/15 21:06:54+00
458,Scenic,{C1EBE432-A21E-481B-91B0-A52F32753AF1},CO,CO00000041,2016/11/15 15:49:38+00,2016/11/15 21:06:54+00
459,Recreational,{627DE7F8-D3AC-49DD-9D81-DBE7F27C42F2},CO,CO00000041,2016/11/15 15:49:47+00,2016/11/15 21:06:54+00
460,Other Similar Values,{3EE8A7C8-0772-405C-898C-C986EB20DE2A},CO,CO00000041,2016/11/15 15:49:53+00,2016/11/15 21:06:54+00
461,Recreational,{338DCAD2-23F0-4EAD-AE61-5C4DA3A22693},CO,CO00000043,2016/11/15 15:50:18+00,2016/11/15 21:06:54+00
462,Scenic,{6A0FC938-CB47-47DD-9F76-54E68DD6C43A},CO,CO00000043,2016/11/15 15:50:26+00,2016/11/15 21:06:54+00
463,Recreational,{FD7B00E1-B0A9-4870-B35B-E527CEF683CB},CO,CO00000044,2016/11/15 15:50:45+00,2016/11/15 21:06:54+00
464,Scenic,{4D53573F-080F-4305-B31D-E3D0C783BFD8},CO,CO00000044,2016/11/15 15:50:48+00,2016/11/15 21:06:54+00
465,Recreational,{3FB5F323-AF91-410D-B85F-94220BDE29F3},CO,CO00000045,2016/11/15 15:51:57+00,2016/11/15 21:06:54+00
466,Scenic,{8350274F-EAB2-4960-86FB-CE6BEF89C770},CO,CO00000045,2016/11/15 15:51:59+00,2016/11/15 21:06:54+00
467,Wildlife,{8A2E37A4-4DAF-43E5-8684-43574EF8AD6D},CO,CO00000045,2016/11/15 15:52:06+00,2016/11/15 21:06:54+00
478,Scenic,{C86F4CAC-7B80-4609-83A4-BEE362DE0373},CO,CO00000053,2016/11/15 16:00:26+00,2016/11/15 21:06:54+00
479,Recreational,{B0C6D664-357E-48E3-905D-7D24C2D7C7A3},CO,CO00000053,2016/11/15 16:00:33+00,2016/11/15 21:06:54+00
480,Fish,{B94175CB-4B76-4C85-BCF3-34738C0D2ABF},CO,CO00000053,2016/11/15 16:00:36+00,2016/11/15 21:06:54+00
481,Cultural,{C3F6CD93-9CC3-4E39-BF94-91699A3A58DA},CO,CO00000053,2016/11/15 16:00:39+00,2016/11/15 21:06:54+00
482,Other Similar Values,{1E46B64C-4DFC-4ADA-9EFC-CC4E6D147908},CO,CO00000053,2016/11/15 16:00:49+00,2016/11/15 21:06:54+00
484,Other Similar Values,{7E665938-0ECF-48FC-BAB5-F9C3A90AC505},CO,CO00000056,2016/11/15 16:01:41+00,2016/11/15 21:06:54+00
