OBJECTID,NLCS_NAME,CASEFILE_NO,ADMIN_ST,ROD_DATE,GlobalID,created_date,last_edited_date,NLCS_ID,Shape_Length,Shape_Area
704,San Luis Hills,CO-050-141,CO,1993/01/01 00:00:00+00,{B7FB3A3F-FB83-44D6-934D-38D7AD4E1827},,2019/06/27 20:20:04+00,NLCS000375,36643.0515039676,43497239.1364467
705,Weber Mountain,CO-030-252,CO,1993/01/01 00:00:00+00,{60BDBFAB-E4D3-4C5B-BCB1-0C7EED489FBE},,2018/03/28 22:30:09+00,NLCS000385,34729.0467885072,25393642.7757183
706,Menefee Mountain,CO-030-251,CO,1993/01/01 00:00:00+00,{3755BBBD-747E-4F48-97A7-827FD6840858},,2019/06/03 21:09:23+00,NLCS000365,41754.5211345342,29217537.3155648
707,Cross Canyon,CO-030-265,CO,1993/01/01 00:00:00+00,{CB239CC8-8A04-474D-8753-DA6657C80B2F},,2017/02/22 17:20:10+00,NLCS000350,65387.7148352141,51760036.9717397
708,Unnamed WSA,CO-030-265A,CO,1993/01/01 00:00:00+00,{BCBC3C54-1B0C-4898-BDE1-CCA2C89204E7},,2022/12/09 16:56:33+00,NLCS000380,65655.0199820026,45574035.7788085
711,Cahone Canyon,CO-030-265D,CO,1993/01/01 00:00:00+00,{BE57357E-EA0A-4D67-B8C0-6C32FF412FD0},,2017/02/22 17:20:34+00,NLCS000346,59733.3225339148,37187921.5026828
718,Handies Peak,CO-030-241,CO,1993/01/01 00:00:00+00,{EF69823F-D00B-4A7C-AAE9-7D030B1681DE},,2017/12/08 22:38:44+00,NLCS000358,23260.0951523459,3486882.65570333
724,Handies Peak,CO-030-241,CO,1993/01/01 00:00:00+00,{B9189575-9082-44A0-8F90-8EF578EBB58B},,2017/12/08 22:42:36+00,NLCS000358,93471.7631276177,63043025.6946293
737,Red Cloud Peak,CO-030-208,CO,1993/01/01 00:00:00+00,{80AF94A5-B116-4C7D-B777-BB2E9765ABBB},,2019/06/04 20:14:33+00,NLCS000374,96850.6984059818,154293647.391343
746,Upper Grape Creek,CO-050-017,CO,1993/01/01 00:00:00+00,{B46BD553-48F6-48D3-8474-934145D06C0F},,2019/05/24 13:53:37+00,NLCS000383,47862.0775517454,36805674.2036723
747,Dolores River Canyon,CO-030-290,CO,1993/01/01 00:00:00+00,{DD7ECACA-DFAF-4552-AD11-F6FD07607BEC},,2017/02/22 17:23:07+00,NLCS000354,171883.293669303,117437973.976942
750,Lower Grape Creek,CO-050-014,CO,1993/01/01 00:00:00+00,{E2D921AB-5A8E-47C9-998D-10934FA9B1FA},,2019/05/24 13:56:17+00,NLCS000362,55014.5233027232,54448179.3646967
752,McIntyre Hills,CO-050-013,CO,1993/01/01 00:00:00+00,{DA1A2954-D90F-4021-B784-CA6CD189888E},,2017/02/22 17:23:47+00,NLCS000363,1608.0493033237,161614.528323729
754,Sewemup Mesa,CO-070-176,CO,1993/01/01 00:00:00+00,{7D1000FB-7229-4CDC-8B60-68B3CB79D239},,2017/03/20 20:35:54+00,NLCS000377,12998.2274336884,1710543.37140301
755,High Mesa Grassland,CO-ISA-001,CO,1993/01/01 00:00:00+00,{ADA57234-D847-4546-A70D-8107713DC825},,2017/02/22 17:24:14+00,NLCS000359,9666.43764994843,2762568.92972257
760,Sewemup Mesa,CO-070-176,CO,1993/01/01 00:00:00+00,{52CC8F16-4BF6-456B-9A77-D33E6FA2578A},,2017/02/22 17:25:05+00,NLCS000377,47666.7906499901,77941964.7258015
767,Camel Back,CO-030-353,CO,1993/01/01 00:00:00+00,{D4C0ACD7-3C6F-417F-8099-DF34085D6CC3},,2017/02/22 17:26:18+00,NLCS000347,35101.1245764768,43446197.0105033
769,Needle Rock,CO-ISA-003,CO,1993/01/01 00:00:00+00,{CAB13669-6E17-4863-BA9C-1036F9C21B1A},,2017/02/22 17:26:40+00,NLCS000366,2462.78106869721,333955.285879353
770,Browns Canyon,CO-050-002,CO,1993/01/01 00:00:00+00,{1F2B176E-BEF0-41E2-8DD4-C47F06C4EE3B},,2017/12/06 17:23:51+00,NLCS000343,30706.3224203415,30169505.6658003
771,The Palisade,CO-070-132,CO,1993/01/01 00:00:00+00,{D7A64D14-3CAE-4A48-90ED-83B1BBD95B28},,2017/02/22 17:26:59+00,NLCS000381,84122.8757023385,108226069.288664
772,Adobe Badlands,CO-030-370B,CO,1993/01/01 00:00:00+00,{D1301E13-D55C-4D60-B007-439C86174231},,2017/02/22 17:27:08+00,NLCS000336,36233.4066238041,41836501.7815123
773,Eagle Mountain,CO-070-392,CO,1993/01/01 00:00:00+00,{C00943A2-A8D1-4F1F-BCD7-A5B978DBF976},,2017/02/22 17:27:20+00,NLCS000356,5389.72744973859,1284994.59441781
774,Little Book Cliffs,CO-070-066,CO,1993/01/01 00:00:00+00,{44FBC5DF-391B-45F5-AC78-08343DB38E41},,2017/02/22 17:27:39+00,NLCS000361,125787.054235866,118569032.640778
775,Demaree Canyon,CO-070-009,CO,1993/01/01 00:00:00+00,{DFA967BD-12A1-4BB0-8AEF-48CAC0A53FB5},,2017/02/22 17:27:50+00,NLCS000352,68617.4104764394,91914981.0365732
776,Bull Gulch,CO-070-430,CO,1993/01/01 00:00:00+00,{EDFF643B-AA9F-4E82-90B8-2253B817FBAE},,2020/04/20 22:03:36+00,NLCS000345,37434.5468661256,19802260.8333012
778,Castle Peak,CO-070-433,CO,1993/01/01 00:00:00+00,{C457C3C4-150A-4A3A-9140-CE3254BFD568},,2020/04/22 13:49:58+00,NLCS000348,43392.2035536567,49061095.4773262
779,Hack Lake,CO-070-425,CO,1993/01/01 00:00:00+00,{6D8369A8-C838-4AA3-AD3A-DCAEC4B0D60A},,2020/04/22 13:58:55+00,NLCS000357,1081.01371402082,18711.4174975561
781,Oil Springs Mountain,CO-010-046,CO,1993/01/01 00:00:00+00,{7639BBD4-CDB4-4B5D-B870-89BA02046E18},,2017/02/22 17:28:44+00,NLCS000368,47162.5114880303,73836570.3908546
