OBJECTID,PLSSID,TWNSHPLAB,STEWARD,REVISEDDATE,STATEABBR,STWRDPLYID,STWRDPLYTP,STWRDLAB,SHAPE_Length,SHAPE_Area
1,AL160200S0080E0,20S 8E,BLM Cadastral - ES,2015/10/05 00:00:00+00,AL,,,,0.383242054220664,0.009153362683517
2,AL160170S0070E0,17S 7E,BLM Cadastral - ES,2015/10/05 00:00:00+00,AL,,,,0.384251088680993,0.0092058014243469
3,AL160110S0070W0,11S 7W,BLM Cadastral - ES,2015/10/05 00:00:00+00,AL,,,,0.383340814014238,0.0091192196760321
4,AL250220N0110E0,22N 11E,BLM Cadastral - ES,2015/10/05 00:00:00+00,AL,,,,0.382799407162192,0.0090746889191643
5,AL160200S0040E0,20S 4E,BLM Cadastral - ES,2015/10/05 00:00:00+00,AL,,,,0.384223028758157,0.0091508689478731
6,AL160140S0100E0,14S 10E,BLM Cadastral - ES,2015/10/05 00:00:00+00,AL,,,,0.383632349178497,0.0091329445850444
7,AL250200N0100E0,20N 10E,BLM Cadastral - ES,2015/10/05 00:00:00+00,AL,,,,0.379854217779883,0.008938848724528
8,AL160190S0040E0,19S 4E,BLM Cadastral - ES,2015/10/05 00:00:00+00,AL,,,,0.384349104702845,0.0091512551652648
9,AL160090S0060W0,9S 6W,BLM Cadastral - ES,2015/10/05 00:00:00+00,AL,,,,0.384737230779785,0.0091709358185286
10,AL160080S0090W0,8S 9W,BLM Cadastral - ES,2015/10/05 00:00:00+00,AL,,,,0.385845338079509,0.0091415156519945
11,AL160100S0080W0,10S 8W,BLM Cadastral - ES,2015/10/05 00:00:00+00,AL,,,,0.385244397991784,0.0092397539572789
12,AL160120S0080W0,12S 8W,BLM Cadastral - ES,2015/10/05 00:00:00+00,AL,,,,0.385324355340212,0.0092052143915341
13,AL160140S0110E0,14S 11E,BLM Cadastral - ES,2015/10/05 00:00:00+00,AL,,,,0.384215777341709,0.0091584794182711
14,AL160070S0080W0,7S 8W,BLM Cadastral - ES,2015/10/05 00:00:00+00,AL,,,,0.385265245468897,0.0092180030355341
15,AL160190S0070E0,19S 7E,BLM Cadastral - ES,2015/10/05 00:00:00+00,AL,,,,0.383311704108996,0.0092021839970948
16,AL160190S0060E0,19S 6E,BLM Cadastral - ES,2015/10/05 00:00:00+00,AL,,,,0.382755450390167,0.0090910554519028
17,AL250180N0250E0,18N 25E,BLM Cadastral - ES,2015/10/05 00:00:00+00,AL,,,,0.379828926750865,0.0089728932724063
18,AL160180S0070E0,18S 7E,BLM Cadastral - ES,2015/10/05 00:00:00+00,AL,,,,0.383936211172572,0.0091032293487534
19,AL160070S0060W0,7S 6W,BLM Cadastral - ES,2015/10/05 00:00:00+00,AL,,,,0.385509979961322,0.009184271562188
20,AL160080S0100W0,8S 10W,BLM Cadastral - ES,2015/10/05 00:00:00+00,AL,,,,0.385292778415425,0.0091964926517645
21,AL160160S0090E0,16S 9E,BLM Cadastral - ES,2015/10/05 00:00:00+00,AL,,,,0.382860350130374,0.0090821077044159
22,AL250210N0110E0,21N 11E,BLM Cadastral - ES,2015/10/05 00:00:00+00,AL,,,,0.381055513044924,0.0090171690260971
23,AL160070S0090W0,7S 9W,BLM Cadastral - ES,2015/10/05 00:00:00+00,AL,,,,0.385781323433669,0.0091950597979098
24,AL160090S0090W0,9S 9W,BLM Cadastral - ES,2015/10/05 00:00:00+00,AL,,,,0.385314113918178,0.0092305490467602
25,AL250240N0070E0,24N 7E,BLM Cadastral - ES,2015/10/05 00:00:00+00,AL,,,,0.383792095529335,0.0091521993029444
26,AL160210S0060E0,21S 6E,BLM Cadastral - ES,2015/10/05 00:00:00+00,AL,,,,0.381600660387997,0.0090216172853185
27,AL160210S0040E0,21S 4E,BLM Cadastral - ES,2015/10/05 00:00:00+00,AL,,,,0.382191836993418,0.009052369618595
28,AL160210S0050E0,21S 5E,BLM Cadastral - ES,2015/10/05 00:00:00+00,AL,,,,0.382929091332669,0.0091016478853633
29,AL160080S0080W0,8S 8W,BLM Cadastral - ES,2015/10/05 00:00:00+00,AL,,,,0.384427170954345,0.0091822447245999
30,AL160080S0060W0,8S 6W,BLM Cadastral - ES,2015/10/05 00:00:00+00,AL,,,,0.385224776897179,0.0091824214293512
31,AL160190S0050E0,19S 5E,BLM Cadastral - ES,2015/10/05 00:00:00+00,AL,,,,0.383157923679525,0.0091174535875101
32,AL160170S0090E0,17S 9E,BLM Cadastral - ES,2015/10/05 00:00:00+00,AL,,,,0.383741661212037,0.0090925795638836
33,AL160140S0090E0,14S 9E,BLM Cadastral - ES,2015/10/05 00:00:00+00,AL,,,,0.385196420238241,0.0092213138501353
34,AL160170S0080E0,17S 8E,BLM Cadastral - ES,2015/10/05 00:00:00+00,AL,,,,0.382752530980459,0.009035125425473
35,AL160200S0070E0,20S 7E,BLM Cadastral - ES,2015/10/05 00:00:00+00,AL,,,,0.38331203277556,0.0090512790368144
36,AL160100S0070W0,10S 7W,BLM Cadastral - ES,2015/10/05 00:00:00+00,AL,,,,0.382443324258623,0.0090960722170224
37,AL160100S0060W0,10S 6W,BLM Cadastral - ES,2015/10/05 00:00:00+00,AL,,,,0.384431328603098,0.0091439129515784
38,AL160110S0080W0,11S 8W,BLM Cadastral - ES,2015/10/05 00:00:00+00,AL,,,,0.385564910141447,0.0091758059241835
39,AL250240N0060E0,24N 6E,BLM Cadastral - ES,2015/10/05 00:00:00+00,AL,,,,0.380102532443463,0.0089443136036544
40,AL160120S0070W0,12S 7W,BLM Cadastral - ES,2015/10/05 00:00:00+00,AL,,,,0.384132182549026,0.0091506792986836
41,AL160210S0070E0,21S 7E,BLM Cadastral - ES,2015/10/05 00:00:00+00,AL,,,,0.381723452913005,0.0090198177355048
42,AL160070S0070W0,7S 7W,BLM Cadastral - ES,2015/10/05 00:00:00+00,AL,,,,0.385560304843323,0.0092196951885644
43,AL160200S0050E0,20S 5E,BLM Cadastral - ES,2015/10/05 00:00:00+00,AL,,,,0.382069039095537,0.009049328329923
44,AL160080S0070W0,8S 7W,BLM Cadastral - ES,2015/10/05 00:00:00+00,AL,,,,0.38543526834488,0.0092099664964685
45,AL250190N0090E0,19N 9E,BLM Cadastral - ES,2015/10/05 00:00:00+00,AL,,,,0.379979539481822,0.0089818604073658
46,AL160190S0080E0,19S 8E,BLM Cadastral - ES,2015/10/05 00:00:00+00,AL,,,,0.383082109661344,0.0090142509911009
47,AL160090S0080W0,9S 8W,BLM Cadastral - ES,2015/10/05 00:00:00+00,AL,,,,0.384770673094516,0.0091329900897722
48,AL160180S0090E0,18S 9E,BLM Cadastral - ES,2015/10/05 00:00:00+00,AL,,,,0.384533677429437,0.0091697689119625
49,AL250190N0100E0,19N 10E,BLM Cadastral - ES,2015/10/05 00:00:00+00,AL,,,,0.380490488821205,0.0089948065541134
50,AL160090S0070W0,9S 7W,BLM Cadastral - ES,2015/10/05 00:00:00+00,AL,,,,0.384978110279665,0.009146098352945
51,AL160150S0100E0,15S 10E,BLM Cadastral - ES,2015/10/05 00:00:00+00,AL,,,,0.383769105673615,0.0091734654083424
52,AL160110S0090W0,11S 9W,BLM Cadastral - ES,2015/10/05 00:00:00+00,AL,,,,0.386109813486091,0.0092517956850025
53,AL250230N0060E0,23N 6E,BLM Cadastral - ES,2020/01/27 00:00:00+00,AL,,,,0.375325142422725,0.0087103072391839
54,AL160180S0060E0,18S 6E,BLM Cadastral - ES,2015/10/05 00:00:00+00,AL,,,,0.383807400172316,0.0091187481201925
55,AL160200S0060E0,20S 6E,BLM Cadastral - ES,2015/10/05 00:00:00+00,AL,,,,0.382022354377783,0.0090165877650585
56,AL160180S0080E0,18S 8E,BLM Cadastral - ES,2015/10/05 00:00:00+00,AL,,,,0.382769314656017,0.0091124819271305
57,AL250200N0110E0,20N 11E,BLM Cadastral - ES,2015/10/05 00:00:00+00,AL,,,,0.378548499114166,0.0088815971828562
58,AL250240N0080E0,24N 8E,BLM Cadastral - ES,2020/01/27 00:00:00+00,AL,,,,0.356218984390671,0.0078938481680233
59,AL250220N0060E0,22N 6E,BLM Cadastral - ES,2020/01/27 00:00:00+00,AL,,,,0.378356877512291,0.0088844554053875
60,AL250210N0070E0,21N 7E,BLM Cadastral - ES,2020/01/27 00:00:00+00,AL,,,,0.378810660927281,0.0089041037090733
61,AL250220N0070E0,22N 7E,BLM Cadastral - ES,2020/01/27 00:00:00+00,AL,,,,0.378651791472945,0.0088475394550511
62,AL250230N0070E0,23N 7E,BLM Cadastral - ES,2020/01/27 00:00:00+00,AL,,,,0.380867307205097,0.0089650236746949
63,AL250020N0050E0,2N 5E,BLM Cadastral - ES,2020/01/27 00:00:00+00,AL,,,,0.377823158966629,0.0088774732021135
64,AL250170N0240E0,17N 24E,BLM Cadastral - ES,2015/10/05 00:00:00+00,AL,,,,0.378404285316229,0.0088540027745226
65,AL250170N0250E0,17N 25E,BLM Cadastral - ES,2015/10/05 00:00:00+00,AL,,,,0.381707460372716,0.0089832542090709
66,AL250180N0240E0,18N 24E,BLM Cadastral - ES,2015/10/05 00:00:00+00,AL,,,,0.379097304943173,0.0088963157523336
67,AL250200N0090E0,20N 9E,BLM Cadastral - ES,2015/10/05 00:00:00+00,AL,,,,0.378814052220696,0.0089112035333624
68,AL250210N0100E0,21N 10E,BLM Cadastral - ES,2015/10/05 00:00:00+00,AL,,,,0.378656839176953,0.00889557524102
69,AL250220N0100E0,22N 10E,BLM Cadastral - ES,2015/10/05 00:00:00+00,AL,,,,0.38135678921516,0.0089909897961834
70,AL160180S0050E0,18S 5E,BLM Cadastral - ES,2015/10/05 00:00:00+00,AL,,,,0.384232063186048,0.0091226366268557
71,AL160150S0090E0,15S 9E,BLM Cadastral - ES,2015/10/05 00:00:00+00,AL,,,,0.383983184791747,0.0091568699537882
72,AL160150S0110E0,15S 11E,BLM Cadastral - ES,2015/10/05 00:00:00+00,AL,,,,0.383385912929838,0.0090977665157153
73,AL160090S0100W0,9S 10W,BLM Cadastral - ES,2015/10/05 00:00:00+00,AL,,,,0.3844106931602,0.0091643913401525
74,AL160070S0100W0,7S 10W,BLM Cadastral - ES,2015/10/05 00:00:00+00,AL,,,,0.38597240586461,0.009227467209911
75,AL250230N0080E0,23N 8E,BLM Cadastral - ES,2020/01/27 00:00:00+00,AL,,,,0.364110212307721,0.0083232219042801
76,AL250220N0080E0,22N 8E,BLM Cadastral - ES,2020/01/27 00:00:00+00,AL,,,,0.3656361197062,0.0084667862740663
77,AL250010N0130E0,1N 13E,BLM Cadastral - ES,2021/08/20 00:00:00+00,AL,,,,0.375472091858964,0.0087356211697353
78,AL250010N0110E0,1N 11E,BLM Cadastral - ES,2021/08/20 00:00:00+00,AL,,,,0.374004756493806,0.0086954571665765
79,AL250010N0120E0,1N 12E,BLM Cadastral - ES,2021/08/20 00:00:00+00,AL,,,,0.373406344404339,0.0086619645949702
80,AL250010N0150E0,1N 15E,BLM Cadastral - ES,2021/08/20 00:00:00+00,AL,,,,0.377603323371076,0.0088461243063315
81,AL250010N0140E0,1N 14E,BLM Cadastral - ES,2021/08/20 00:00:00+00,AL,,,,0.376431387702653,0.0087763942845582
82,AL250020N0120E0,2N 12E,BLM Cadastral - ES,2021/08/20 00:00:00+00,AL,,,,0.378529280560551,0.0089165815609123
83,AL250020N0130E0,2N 13E,BLM Cadastral - ES,2021/08/20 00:00:00+00,AL,,,,0.377743639779254,0.0088792001410633
84,AL250020N0140E0,2N 14E,BLM Cadastral - ES,2021/08/20 00:00:00+00,AL,,,,0.377419846725722,0.0088779222161458
85,AL250020N0150E0,2N 15E,BLM Cadastral - ES,2021/08/20 00:00:00+00,AL,,,,0.378390016849806,0.008894456697527
86,AL250010N0160E0,1N 16E,BLM Cadastral - ES,2021/08/20 00:00:00+00,AL,,,,0.376710138911076,0.0088008136396705
