OBJECTID,ALLOT_NO,ALLOT_NAME,GIS_ACRES,ADMIN_ST,ADM_OFC_CD,ADM_UNIT_CD,ST_ALLOT,ACTIVE_DT,GlobalID,CREATE_BY,CREATE_DATE,MODIFY_BY,MODIFY_DATE,Shape__Area,Shape__Length
272907,6,Sheep Creek Common,15200.91274084,ID,B01000,IDB01000,ID00006,9999/09/09 00:00:00+00,{4F4A15F9-5BE1-41CC-8C44-44BB71A6915B},,,,,61516155.684976,50780.2898344591
272909,9,Butte Ranch,1915.95947098,ID,B01000,IDB01000,ID00009,9999/09/09 00:00:00+00,{3DC6EFA2-BBC0-44F3-B76E-EB25092462C6},,,,,7753643.68656985,23411.9275987007
272910,10,Chacartegui,5407.25639112,ID,B01000,IDB01000,ID00010,9999/09/09 00:00:00+00,{C5502B58-D9D1-4DED-B15B-EF68555BDF4A},,,,,21882477.168047,27558.2620364566
272911,11,Round Valley,17.08445521,ID,B01000,IDB01000,ID00011,9999/09/09 00:00:00+00,{64FB5585-7CF7-4C3F-9642-FD41729F0FD5},,,,,69138.61188647,1071.0335911151
272912,12,Armacost Individual,1446.61223758,ID,B01000,IDB01000,ID00012,9999/09/09 00:00:00+00,{0542EC4F-B7C2-43F9-9188-CEC6D3A47411},,,,,5854255.27665005,14420.7965945978
272913,14,Lower,991.36499264,ID,B01000,IDB01000,ID00014,9999/09/09 00:00:00+00,{2BB5C595-6152-416B-985B-F8F5683A8971},,,,,4011927.72221745,10131.3742199986
272915,20,Barker Individual,4005.5017324,ID,B01000,IDB01000,ID00020,9999/09/09 00:00:00+00,{CF31052C-AD05-41EF-9334-4CB06B77BBC9},,,,,16209754.7935192,20990.6683572721
272916,22,Beal Individual,243.62282915,ID,B01000,IDB01000,ID00022,9999/09/09 00:00:00+00,{E97F514F-E890-437A-BC37-2C2609F657C0},,,,,985910.526670805,4593.63884266259
272917,23,Bean Individual,979.13335699,ID,B01000,IDB01000,ID00023,9999/09/09 00:00:00+00,{BE767314-875B-480C-A8F0-6E22E5F1992D},,,,,3962427.8523029,9566.40720512807
272919,27,Bezates Individual,7344.06525248,ID,B01000,IDB01000,ID00027,9999/09/09 00:00:00+00,{E5BF2388-544A-4403-80FE-9606C5D3B37D},,,,,29720495.6790619,32390.9558509675
272920,28,Stillwell Individual,2507.371652,ID,B01000,IDB01000,ID00028,9999/09/09 00:00:00+00,{65BF8DC2-71F3-48AF-8F01-53E267CB37CB},,,,,10147013.3757254,16943.1823698056
272921,29,Fir Tree,3444.89204623,ID,B01000,IDB01000,ID00029,9999/09/09 00:00:00+00,{412C27B1-3519-4717-92F3-6EF0A37392B8},,,,,13941038.873554,22164.7753146233
272923,31,Biggers,1058.08781168,ID,B01000,IDB01000,ID00031,9999/09/09 00:00:00+00,{7FB92F8E-D521-4ADD-B06D-E5B6B1D4F7D4},,,,,4281946.46344521,9714.48672464116
272924,32,Randall Mountain,7445.82173018,ID,B01000,IDB01000,ID00032,9999/09/09 00:00:00+00,{783F4CF5-F37E-4CFB-B45E-9AF8F68296D0},,,,,30132291.1699473,37738.2134461476
272925,33,Camp Creek,3417.60125811,ID,B01000,IDB01000,ID00033,9999/09/09 00:00:00+00,{1A43C0C3-AE21-4AF2-90E9-F9C106EB542D},,,,,13830596.53374,28044.9464419618
272926,35,C-Line,1145.0378459,ID,B01000,IDB01000,ID00035,9999/09/09 00:00:00+00,{3DF5A6B0-9A98-4851-9B76-79EDD7B11557},,,,,4633822.16543533,12121.8094178806
272928,37,Brownlee,4116.46475833,ID,B01000,IDB01000,ID00037,9999/09/09 00:00:00+00,{07275701-3B66-4AAC-B3B8-CF86944EFDFA},,,,,16658808.0112111,22688.8405964874
272929,39,Ross Gulch,1565.81135047,ID,B01000,IDB01000,ID00039,9999/09/09 00:00:00+00,{F76F2B64-C8DE-4658-BA09-486E821ADCB1},,,,,6336638.88814255,15856.6327617368
272930,40,Boyd Individual,2042.65005008,ID,B01000,IDB01000,ID00040,9999/09/09 00:00:00+00,{F2EBDD37-22D9-4717-97EF-56B8796DCF3F},,,,,8266344.30661443,15347.8837932357
272932,42,West Crane Individual,2673.90424626,ID,B01000,IDB01000,ID00042,9999/09/09 00:00:00+00,{CF210839-72CF-47A5-93C1-419D879B24AB},,,,,10820949.5511222,19470.5822150633
272934,44,Riley Butte,996.33285419,ID,B01000,IDB01000,ID00044,9999/09/09 00:00:00+00,{A15F5823-EE2F-4FE0-AECA-429A9BE726B2},,,,,4032032.02448831,9257.76689267495
272935,45,Branch Individual,12916.21802219,ID,B01000,IDB01000,ID00045,9999/09/09 00:00:00+00,{0C80E94B-C61C-469D-B854-636A2D3CFB10},,,,,52270287.4662892,37208.8122600191
