X,Y,OBJECTID,ADM_UNIT_CD,ADMU_NAME,BLM_ORG_TYPE,APPRV_DT,EFF_DT,MNGD_UNIT_CD,ADMU_ST_URL,CREATE_DATE,CREATE_BY,MODIFY_DATE,MODIFY_BY,PT_SRC_TYPE,PT_SRC_DESC,ACCURACY_FT,ADMIN_ST,GlobalID
2466245.9074,1303584.9418,1,IDT03000,Shoshone Field Office,Field,9999/09/09 00:00:00+00,9999/09/09 00:00:00+00,IDT00000,http://www.blm.gov/id/st/en/Districts-Idaho/TFD.html,1993/06/01 00:00:00+00,UNK,2010/10/22 00:00:00+00,John C,IMG,NAIP,-1,ID,{FA1A8CBF-E81B-4CFD-B2FA-C3C6FAAE5BDA}
2315393.525,1379379.1907,2,ID000000,Idaho State Office,State,9999/09/09 00:00:00+00,9999/09/09 00:00:00+00,ID000000,http://www.blm.gov/id/st/en.html,2007/01/23 00:00:00+00,UNK,2010/10/22 00:00:00+00,John C,IMG,NAIP,-1,ID,{81EBF852-49F3-4244-83CB-6606E83B1F21}
2321794.591,1376343.1175,3,IDB00000,Boise District,District,9999/09/09 00:00:00+00,9999/09/09 00:00:00+00,ID000000,http://www.blm.gov/id/st/en/Districts-Idaho/BDO.html,2007/01/23 00:00:00+00,UNK,2010/10/22 00:00:00+00,John C,IMG,NAIP,-1,ID,{E3C0D1B4-3CE2-4016-BB8C-78563CD72A76}
2289893.3387,1838591.5594,4,IDC00000,Coeur d'Alene District,District,9999/09/09 00:00:00+00,9999/09/09 00:00:00+00,ID000000,http://www.blm.gov/id/st/en/Districts-Idaho/CDA.html,2007/02/09 00:00:00+00,UNK,2010/10/22 00:00:00+00,John C,IMG,NAIP,-1,ID,{E72B71EA-C89C-49E8-9F95-EADABD022E90}
2289894.0587,1838605.6001,5,IDC01000,Coeur d'Alene Field Office,Field,9999/09/09 00:00:00+00,9999/09/09 00:00:00+00,IDC00000,http://www.blm.gov/id/st/en/Districts-Idaho/CDA.html,2007/02/09 00:00:00+00,UNK,2010/10/22 00:00:00+00,John C,IMG,NAIP,-1,ID,{EE14436D-7A02-4191-9DFF-AEB37214F749}
2517132.4238,1255915.4426,6,IDT02000,Burley Field Office,Field,9999/09/09 00:00:00+00,9999/09/09 00:00:00+00,IDT00000,http://www.blm.gov/id/st/en/Districts-Idaho/TFD.html,2007/02/09 00:00:00+00,UNK,2010/10/22 00:00:00+00,John C,IMG,NAIP,-1,ID,{4DBBB789-65D8-4114-A919-97E40E957359}
2321807.5931,1376343.1175,7,IDB02000,Bruneau Field Office,Field,9999/09/09 00:00:00+00,9999/09/09 00:00:00+00,IDB00000,http://www.blm.gov/id/st/en/Districts-Idaho/BDO.html,2007/02/09 00:00:00+00,UNK,2010/10/22 00:00:00+00,John C,IMG,NAIP,-1,ID,{E64C205C-9D86-4341-9F68-53BE0FC805C6}
2464470.7172,1260933.4985,8,IDT01000,Jarbidge Field Office,Field,9999/09/09 00:00:00+00,9999/09/09 00:00:00+00,IDT00000,http://www.blm.gov/id/st/en/Districts-Idaho/TFD.html,2007/02/09 00:00:00+00,UNK,2010/10/22 00:00:00+00,John C,IMG,NAIP,-1,ID,{AB87E7CC-92B4-4594-8D49-94A1F014C440}
2661103.4958,1369494.4712,9,IDI00000,Idaho Falls District,District,9999/09/09 00:00:00+00,9999/09/09 00:00:00+00,ID000000,http://www.blm.gov/id/st/en/Districts-Idaho/IFD.html,2007/02/09 00:00:00+00,UNK,2010/10/22 00:00:00+00,John C,IMG,NAIP,-1,ID,{B01947CE-954B-466F-BB5A-ACB8521FAC07}
2464483.9033,1260933.4986,10,IDT00000,Twin Falls District,District,9999/09/09 00:00:00+00,9999/09/09 00:00:00+00,ID000000,http://www.blm.gov/id/st/en/Districts-Idaho/TFD.html,2007/02/09 00:00:00+00,UNK,2010/10/22 00:00:00+00,John C,IMG,NAIP,-1,ID,{2142F543-34E0-44FA-99B9-01B4B04813D7}
2318376.005,1653964.2344,11,IDC02000,Cottonwood Field Office,Field,9999/09/09 00:00:00+00,9999/09/09 00:00:00+00,IDC00000,http://www.blm.gov/id/st/en/Districts-Idaho/CDA.html,2008/07/31 00:00:00+00,UNK,2010/10/22 00:00:00+00,John C,IMG,NAIP,-1,ID,{302CDCF6-99B5-4875-8FEC-DC0D733B508B}
2508472.1723,1550948.9986,12,IDI04000,Salmon Field Office,Field,9999/09/09 00:00:00+00,9999/09/09 00:00:00+00,IDI00000,http://www.blm.gov/id/st/en/Districts-Idaho/IFD.html,2008/07/31 00:00:00+00,UNK,2010/10/22 00:00:00+00,John C,IMG,NAIP,-1,ID,{5219A5CC-C9C8-4B2C-8693-261A2D688EC0}
2482210.0415,1477153.6967,13,IDI03000,Challis Field Office,Field,9999/09/09 00:00:00+00,9999/09/09 00:00:00+00,IDI00000,http://www.blm.gov/id/st/en/Districts-Idaho/IFD.html,2008/07/31 00:00:00+00,UNK,2010/10/22 00:00:00+00,John C,IMG,NAIP,-1,ID,{AE3E8629-99F5-4C1B-97B5-61CEA792AD46}
2630312.4737,1293893.8863,14,IDI02000,Pocatello Field Office,Field,9999/09/09 00:00:00+00,9999/09/09 00:00:00+00,IDI00000,http://www.blm.gov/id/st/en/Districts-Idaho/IFD.html,2008/07/31 00:00:00+00,UNK,2010/10/22 00:00:00+00,John C,IMG,NAIP,-1,ID,{7F0C6407-8791-4D61-81A5-82C3C12FF6C0}
2661102.8963,1369476.4866,15,IDI01000,Upper Snake Field Office,Field,9999/09/09 00:00:00+00,9999/09/09 00:00:00+00,IDI00000,http://www.blm.gov/id/st/en/Districts-Idaho/IFD.html,2008/07/31 00:00:00+00,UNK,2010/10/22 00:00:00+00,John C,IMG,NAIP,-1,ID,{5E4D5431-D4F6-49D2-AADE-591054094A33}
2321820.0299,1376342.5522,16,IDB01000,Four Rivers Field Office,Field,9999/09/09 00:00:00+00,9999/09/09 00:00:00+00,IDB00000,http://www.blm.gov/id/st/en/Districts-Idaho/BDO.html,2008/07/31 00:00:00+00,UNK,2010/10/22 00:00:00+00,John C,IMG,NAIP,-1,ID,{297E343C-E9DA-4A8D-A48F-98E5F4E25E40}
2273345.6486,1375721.9333,17,IDB03000,Owyhee Field Office,Field,9999/09/09 00:00:00+00,9999/09/09 00:00:00+00,IDB00000,http://www.blm.gov/id/st/en/Districts-Idaho/BDO.html,2005/01/01 00:00:00+00,UNK,2010/10/25 00:00:00+00,John C,IMG,NAIP,-1,ID,{243A9D74-02D9-4DE9-82B0-9766B20E3D72}
