OBJECTID,Class,GIS_acres,MODIFY_DAT,COMMENTS,DATASOURCE,ADMU_NAME,PARENT_NAM,GlobalID,SHAPE_Length,SHAPE_Area
1,K,37094.64284006,2012/02/01 00:00:00+00, , ,Shoshone Field Office,Twin Falls District Office,{620DA02B-61D5-4CBF-AF4F-3E3547C17AE1},58223.3517080632,150117294.082514
2,K,215157.88898668,2012/02/01 00:00:00+00, , ,Shoshone Field Office,Twin Falls District Office,{EDC0D57D-9111-4D59-B996-34AB2E97CD66},351358.5691654,870716567.73857
3,K,488.49668652,2012/02/01 00:00:00+00, , ,Shoshone Field Office,Twin Falls District Office,{6520E8FA-E9C8-496F-A65F-8444C939AB08},9292.19574520317,1976883.860696
4,K,1.69013991,2012/02/01 00:00:00+00, , ,Shoshone Field Office,Twin Falls District Office,{4287F684-7E7E-4A07-A642-90476A2CACFF},425.841729694637,6839.78093523422
5,K,8.50083683,2012/02/01 00:00:00+00, , ,Shoshone Field Office,Twin Falls District Office,{AD4DB1C7-62AD-412B-AF30-3ECEE89475C4},1051.81388448113,34401.803767027
6,K,48.13253848,2012/02/01 00:00:00+00, , ,Shoshone Field Office,Twin Falls District Office,{0423EF38-1B71-4571-BB0A-ABD3AE82EA03},2649.07450686934,194786.251653779
7,K,17.81759856,2012/02/01 00:00:00+00, , ,Shoshone Field Office,Twin Falls District Office,{C0534F42-43AA-412C-ACF7-529DA4BD74F7},2105.3445965864,72105.5516066391
8,K,1.19561439,2012/02/01 00:00:00+00, , ,Shoshone Field Office,Twin Falls District Office,{8EA1C93E-B520-4360-823E-25BDDDC1B6C7},1133.67112032509,4838.49914188014
9,K,2920.6211734,2012/02/01 00:00:00+00, , ,Shoshone Field Office,Twin Falls District Office,{390BAAC0-09BA-4287-90EC-250DA0700FC1},31039.5021335611,11819381.8304611
10,K,30.65186475,2012/02/01 00:00:00+00, , ,Shoshone Field Office,Twin Falls District Office,{56C60F63-7EFF-4EB3-8DC8-C3A0AB9E9B69},1955.45430443589,124044.191923261
11,K,1542.04000667,2012/02/01 00:00:00+00, , ,Shoshone Field Office,Twin Falls District Office,{05065780-387A-4AB8-9855-A2039F10C546},18519.8436508666,6240439.4663597
12,K,2.32225076,2012/02/01 00:00:00+00, , ,Shoshone Field Office,Twin Falls District Office,{B745D0BA-14F0-4BFA-A61C-D4CE8EABEA5A},386.353568837634,9397.85300392491
13,K,33.11411942,2012/02/01 00:00:00+00, , ,Shoshone Field Office,Twin Falls District Office,{7F4941A7-D171-4E02-9770-92E95FF0B6A8},1597.85892880816,134008.622896104
14,K,1.2184899,2012/02/01 00:00:00+00, , ,Shoshone Field Office,Twin Falls District Office,{00382AE0-DB35-40FF-930B-653165337BF5},337.658730210411,4931.07342552871
15,K,760.45306767,2012/01/30 00:00:00+00,Larkspur kipuka is Key habitat,"kipuka, BLM SMA poly",Shoshone Field Office,Twin Falls District Office,{DE51E582-F790-4722-B2F3-B4AC63CF04B7},11216.7844511833,3077456.69068522
16,K,2.86925624,2012/02/01 00:00:00+00, , ,Upper Snake Field Office,Idaho Falls District Office,{0F8B6E9D-C26D-47F0-A2F5-8ADA1C3C97B5},3651.63972043106,11611.5145148417
17,K,20.7390741,2012/02/01 00:00:00+00,Key Habitat added from Salmon/Challis area LWG,Salmon/Challis LWG data,Upper Snake Field Office,Idaho Falls District Office,{259F3F42-CFB9-457E-8CA8-F4D945D33933},3125.51425985217,83928.3909682439
18,K,2.07164893,2012/02/01 00:00:00+00,Key Habitat added from Salmon/Challis area LWG,Salmon/Challis LWG data,Upper Snake Field Office,Idaho Falls District Office,{F03CC0C2-27B7-4EF4-BF02-18F05723A4F7},1910.26738462634,8383.69934863041
19,K,1.54700325,2012/02/01 00:00:00+00,Key Habitat added from Salmon/Challis area LWG,Salmon/Challis LWG data,Upper Snake Field Office,Idaho Falls District Office,{641373DC-9FA1-4F46-9BC0-6BCE471E3076},1532.97263461608,6260.52509053041
20,K,1973.48652944,2012/02/01 00:00:00+00,Key Habitat added from Salmon/Challis area LWG,Salmon/Challis LWG data,Upper Snake Field Office,Idaho Falls District Office,{F10D1376-403C-40CF-9CAF-700F63FDC663},13036.3781484391,7986448.58194949
21,K,2699.88348902,2012/02/01 00:00:00+00,Key Habitat added from Salmon/Challis area LWG,Salmon/Challis LWG data,Upper Snake Field Office,Idaho Falls District Office,{60253B65-4855-4403-AE29-7EB14FC8570E},21155.7839918898,10926084.5415781
22,K,37.74574728,2012/02/01 00:00:00+00,Key Habitat added from Salmon/Challis area LWG,Salmon/Challis LWG data,Upper Snake Field Office,Idaho Falls District Office,{A7E5677C-128F-40D7-9758-D3BB137CFEDF},6625.34497360308,152752.230827285
23,K,4.31278528,2012/02/01 00:00:00+00,Key Habitat added from Salmon/Challis area LWG,Salmon/Challis LWG data,Upper Snake Field Office,Idaho Falls District Office,{063153E5-4E67-4B83-8042-756A8FDB580B},726.684934140269,17453.2926573568
24,K,234.13239388,2012/02/01 00:00:00+00,Key Habitat added from Salmon/Challis area LWG,Salmon/Challis LWG data,Upper Snake Field Office,Idaho Falls District Office,{4D078D8E-589C-4B96-953A-33DAB186A29B},6853.66286908858,947503.971899837
25,K,2533.49795148,2012/02/01 00:00:00+00,Key Habitat added from Salmon/Challis area LWG,Salmon/Challis LWG data,Upper Snake Field Office,Idaho Falls District Office,{50D7C63C-D0D7-4C5F-BD9B-C4BE18E09665},14474.2138712831,10252743.4670215
26,K,4.85192399,2012/02/01 00:00:00+00,Key Habitat added from Salmon/Challis area LWG,Salmon/Challis LWG data,Upper Snake Field Office,Idaho Falls District Office,{EED2A8F4-3B3E-446B-9CF1-9D1863873ECD},1314.69076313554,19635.1183054865
27,K,64.41142104,, , ,Burley Field Office,Twin Falls District Office,{ED86BC1F-705D-493D-8E11-F247B4BFFCA5},3181.79633640989,260664.815573534
28,K,500.68387856,, , ,Burley Field Office,Twin Falls District Office,{634921B2-9C36-4094-9ED5-7B6E64FF599D},8502.58900153013,2026203.87436714
29,K,27.46270347,, , ,Burley Field Office,Twin Falls District Office,{E13A3925-986E-42F9-A297-43E4571D5DED},2387.47410948115,111138.062496985
30,K,10.46623014,, , ,Burley Field Office,Twin Falls District Office,{388F0661-F4E1-4560-BBF6-21F1627830AE},1249.80535603878,42355.5001073879
31,K,154.54323337,, , ,Burley Field Office,Twin Falls District Office,{27448B96-23F2-4712-9394-57771893AE47},3265.4623658285,625416.778180463
32,K,95.51809375,, , ,Burley Field Office,Twin Falls District Office,{C5BD26EF-1F59-4EF1-8600-8978F3D732BD},6622.91396427405,386549.557369266
33,K,9.98783282,, , ,Burley Field Office,Twin Falls District Office,{2B7AE287-B6D3-453C-A2C8-DC8EEA76E7AB},1336.69982801788,40419.487079473
34,K,68.37062126,, , ,Pocatello Field Office,Idaho Falls District Office,{6C3BD9A5-8653-4FE5-917A-E5C8A7BF2164},2861.11396924935,276687.194505718
35,K,619.2337704,, , ,Pocatello Field Office,Idaho Falls District Office,{9C267D5C-87B9-4448-92AC-3109532DFF70},6345.52562450243,2505960.18455631
36,K,24.2980132,, , ,Pocatello Field Office,Idaho Falls District Office,{7C1365C4-36FE-42BB-B14B-011996E7FDF5},1523.56799811985,98330.9641317988
37,K,5.13043716,, , ,Pocatello Field Office,Idaho Falls District Office,{8C5FDE96-B65C-48AE-8239-7BEF0BA4666F},6005.72199177837,20762.2256200538
38,K,26.92246214,, , ,Pocatello Field Office,Idaho Falls District Office,{A326E121-AAD4-445D-9D0A-837C53736E15},3712.51798064786,108951.774657089
39,K,27.16519445,, , ,Burley Field Office,Twin Falls District Office,{A634837D-0928-4053-853C-430110EB8F9D},1374.41520697366,109934.081386703
40,K,2.85213276,, , ,Burley Field Office,Twin Falls District Office,{5D4D4722-3D9F-47D2-A4FF-14D43891BB34},434.442785443439,11542.2179608831
41,K,185.95738535,, , ,Pocatello Field Office,Idaho Falls District Office,{E85A7EAE-53A8-4886-9BD1-1A3408184C4F},4062.95482377172,752545.84938788
42,K,14.79029103,, , ,Burley Field Office,Twin Falls District Office,{0F6AA610-9F6E-4109-A2EF-6477316CAF88},1103.97137307267,59854.4236705908
43,K,118.868292,, , ,Burley Field Office,Twin Falls District Office,{DFD518B4-C00C-4E0B-8EEA-0C477C865C67},3580.20087603251,481044.835109899
44,K,10.20996775,, , ,Pocatello Field Office,Idaho Falls District Office,{7E852593-027D-42F8-A926-A032407998B3},1372.1732500006,41318.4388415868
45,K,31.01151408,, , ,Burley Field Office,Twin Falls District Office,{CD4E0CE9-6BDD-4CD8-B2D4-2A71142231A4},1437.92456013074,125499.646942781
46,K,58.62181552,, , ,Burley Field Office,Twin Falls District Office,{7B5AB4B2-3938-44DA-8BB0-A46BDFF6857F},3509.41907339278,237235.019608083
47,K,4.79846601,, , ,Burley Field Office,Twin Falls District Office,{8D9AF304-93A7-4139-A987-5E635648E53F},747.102814696299,19418.7806842143
48,K,5.29787669,, , ,Burley Field Office,Twin Falls District Office,{46E62EC5-6E98-4625-A68B-DC8EC940180B},697.042568375248,21439.8320895445
49,K,6.6749419,, , ,Burley Field Office,Twin Falls District Office,{FCF9A91C-9B17-4F49-A039-5CBC6EA4A60C},711.710899167601,27012.6395515478
50,K,4.02442437,, , ,Burley Field Office,Twin Falls District Office,{E19B6E88-F7E1-498A-A981-FF7307835C8C},694.029307370623,16286.3327803555
51,K,11.69585266,, , ,Burley Field Office,Twin Falls District Office,{C9100A3D-7C7C-48B9-8858-D2680238F6C2},1057.7428581559,47331.6257848565
52,K,5.3111778,, , ,Pocatello Field Office,Idaho Falls District Office,{7C06E65F-EF59-4979-AAA6-B205594E0876},887.396929280229,21493.6599880546
53,K,5.77476899,, , ,Pocatello Field Office,Idaho Falls District Office,{E06B71DF-1FEA-4A6F-A377-84C81E2C56AC},907.617096343367,23369.7544719086
54,K,18.53280144,, , ,Burley Field Office,Twin Falls District Office,{A2B76C9E-8B07-4463-B6B6-5DB24EE41370},1224.08894034758,74999.8865617891
55,K,115.34626408,, , ,Burley Field Office,Twin Falls District Office,{6BE130C4-B019-442E-8F5A-B6A605D4A750},4252.5714806231,466791.636794989
56,K,356.47215645,, , ,Burley Field Office,Twin Falls District Office,{35C345BF-1B26-444C-918B-BD2FC083D7E6},9514.82563668923,1442597.40614403
57,K,20.89430636,, , ,Burley Field Office,Twin Falls District Office,{1987C952-9E99-4721-A7D8-D510E91CACA6},1785.61027521135,84556.5961505212
58,K,1.60586032,, , ,Burley Field Office,Twin Falls District Office,{68B7AE51-7F47-4E4B-8F46-8ADFC3D01420},642.921419537728,6498.71215008152
59,K,339.8656531,, , ,Burley Field Office,Twin Falls District Office,{7EB486D7-FE14-4150-B6E9-BD769644DE1B},10071.0132211513,1375393.0026028
60,K,1234.53267823,, , ,Burley Field Office,Twin Falls District Office,{0D993F98-8230-4708-BC41-7226C421F6CB},17968.6862662856,4995996.48152823
61,K,34.48075714,, , ,Burley Field Office,Twin Falls District Office,{72F764B6-D1E0-4AE2-9EE2-470A8E2101E5},2040.60928837322,139539.23167053
62,K,6343.47459283,, , ,Pocatello Field Office,Idaho Falls District Office,{3C63D133-5B10-4C58-B7FB-F2F271D20064},22307.0601301985,25671233.5811803
63,K,2.61522274,, , ,Pocatello Field Office,Idaho Falls District Office,{DE785EAE-DF58-4C55-ACFD-AA513437800A},1594.07628619347,10583.4732985566
64,K,2.46861519,, , ,Pocatello Field Office,Idaho Falls District Office,{2AD15D48-697A-4103-9525-6D4C407874DF},501.476783437435,9990.17121822174
65,K,462.97550874,, , ,Burley Field Office,Twin Falls District Office,{CDC916E5-02E0-4D0B-8F85-F2FE08E46241},9591.92976450596,1873602.90539373
66,K,3.07112837,, , ,Burley Field Office,Twin Falls District Office,{63013076-DDB9-462B-A8AE-FDA2EF00C78F},612.687102875121,12428.4653062247
67,K,87.6549106,, , ,Burley Field Office,Twin Falls District Office,{A64F240F-0401-4AD3-9190-F8356B6BC4A2},5630.10062328418,354728.256830751
68,K,32.0317402,, , ,Burley Field Office,Twin Falls District Office,{7733D192-1937-4FB0-9B75-6559FD70DD93},2688.87536577944,129628.372093524
69,K,86.38004125,, , ,Burley Field Office,Twin Falls District Office,{3961811F-D421-45A2-ACE5-AC5C3F20D718},3659.16624234578,349569.023008948
70,K,3.76740504,, , ,Burley Field Office,Twin Falls District Office,{5DCF2A8F-C147-4092-8157-A13BE8289ACD},758.118995961808,15246.2082966162
71,K,1.02387657,, , ,Burley Field Office,Twin Falls District Office,{F5EA5886-5645-4677-A1F7-CE532A7C92A2},564.475861781686,4143.49807771775
72,K,4.51174724,, , ,Pocatello Field Office,Idaho Falls District Office,{3E48F4B4-3CA7-4F8A-BA7F-729B6CEE086C},1171.69659952343,18258.4663664588
73,K,201.30914979,, , ,Burley Field Office,Twin Falls District Office,{EB096B00-4204-4E2C-B9DF-CEF23EF00CD6},7374.84617872232,814672.484419677
74,K,22.76671459,, , ,Burley Field Office,Twin Falls District Office,{DA7ED66E-6E4D-4E35-840F-7BECBE7B5CCD},1414.7221752231,92133.9937144685
75,K,50.53150776,, , ,Burley Field Office,Twin Falls District Office,{260916FE-587C-46B8-8659-9ADF347DA329},2277.82064638309,204494.574715058
76,K,42.65558448,, , ,Burley Field Office,Twin Falls District Office,{C2764CC3-15D1-472C-84E2-7FF6A82D5309},2229.96643499485,172621.716499604
77,K,74.97220777,, , ,Burley Field Office,Twin Falls District Office,{94DF7E73-9C04-438C-A124-D0DF21D517A6},5060.86932753001,303402.974149074
