OBJECTID,NLCS_NAME,CASEFILE_NO,ADMIN_ST,DESIG_DATE,NLCS_ID,created_date,last_edited_date,Designation,GlobalID
1,East Fork High Rock Canyon,N74464,NV,9999/09/09 00:00:00+00,NLCS000614,,2017/02/01 15:37:24+00,Legislation,{3D44D564-1913-40C3-9B1C-D5C9188769D6}
2,North Black Rock Range,N74463,NV,9999/09/09 00:00:00+00,NLCS000618,,2017/02/01 15:43:20+00,Legislation,{83C5BD3E-04BD-4619-9DA3-1380E26B0A25}
3,High Rock Canyon,N74467,NV,9999/09/09 00:00:00+00,NLCS000615,,2017/02/01 15:38:39+00,Legislation,{2984475E-A9E4-4CB5-A9F5-0B5E9A5F7CF7}
4,Black Rock Desert,N74461,NV,9999/09/09 00:00:00+00,NLCS000612,,2017/02/01 15:36:15+00,Legislation,{D030091C-73E2-4074-99FF-4D3C17683AC9}
5,North Jackson Mountains,N74470,NV,9999/09/09 00:00:00+00,NLCS000619,,2017/02/01 15:43:34+00,Legislation,{E6119AC4-7E84-4473-91C3-1F8506104468}
6,High Rock Lake,N74465,NV,9999/09/09 00:00:00+00,NLCS000616,,2017/02/01 15:38:53+00,Legislation,{FC2F2074-3F02-43D9-A088-6DA7C921F685}
7,Little High Rock Canyon,N74466,NV,9999/09/09 00:00:00+00,NLCS000617,,2017/02/01 15:41:01+00,Legislation,{87B3FF2C-E65D-49B1-9B91-FE4DF6FDEC02}
8,South Jackson Mountains,N74469,NV,9999/09/09 00:00:00+00,NLCS000621,,2017/02/01 15:44:53+00,Legislation,{382E488E-F2B9-4D55-A8F5-0D795F7AB750}
9,Pahute Peak,N74462,NV,9999/09/09 00:00:00+00,NLCS000620,,2017/02/01 15:43:55+00,Legislation,{7F85A15B-0BE0-4A78-81DC-CC7ED2D11FE3}
10,Calico Mountains,N74468,NV,9999/09/09 00:00:00+00,NLCS000613,,2017/02/01 15:36:53+00,Legislation,{C540A309-49A6-4573-848E-3A7625D4F94A}
33,Arrow Canyon,NVN    076654,NV,2013/03/22 00:00:00+00,NLCS000622,,2017/02/01 15:35:50+00,Approved,{F54E3BD9-E505-449A-AF09-BB048A03C772}
34,Eldorado,NVN    076657,NV,2013/03/22 00:00:00+00,NLCS000623,,2017/04/04 14:28:33+00,Approved,{6633170F-0E2B-4F59-B5B4-DB99676EFC7A}
35,Ireteba Peaks,NVN    076658,NV,2013/03/22 00:00:00+00,NLCS000624,,2017/04/04 14:18:37+00,Approved,{EEA7B8E4-CD45-44BB-9108-37A5FCACF47E}
36,Jumbo Springs,NVN    076660,NV,2013/03/22 00:00:00+00,NLCS000625,,2017/04/04 16:08:34+00,Approved,{BBA909AE-EB2C-44A7-8A6D-DB949149C51E}
