OBJECTID,COMMENT,STEWARD1,STEWARD2,GlobalID,Shape_Length,Shape_Area
1,,BLM Cadastral - NV,,{196713A0-9FBE-4C5F-B17C-106B2D5AB6C6},1601.7752922819,160347.917486661
2,,BLM Cadastral - NV,,{64D065DA-236B-4BAD-98A5-5FDA421658B9},1601.70570954214,160333.257392128
3,,BLM Cadastral - NV,,{AE632C70-B70D-40A6-ABEE-73D9D1B8AE1A},1613.03987568232,162609.251183435
4,,BLM Cadastral - NV,,{BB3844A8-C813-40B0-873E-FC796189A03A},1598.80758421722,159722.963243659
5,,BLM Cadastral - NV,,{65B95623-9E59-4FCF-B46B-B5355A9EEDEA},1614.53636507543,162968.397532763
6,,BLM Cadastral - NV,,{306884BC-511F-4331-BE68-18301C2D662F},791.774386621096,36591.5132036732
7,,BLM Cadastral - NV,,{2FAAB62E-6787-4FEF-83EB-04CD37DFEC08},1628.64661588564,165777.145465134
8,,BLM Cadastral - NV,,{3EC53FD9-90A4-4049-B003-F4186E20B105},1625.41247730712,165096.179705715
9,,BLM Cadastral - NV,,{F983C518-5879-43A7-99A3-3BA15278CF5B},1631.37326372409,166325.342590205
10,,BLM Cadastral - NV,,{190C9DD3-38FD-4F45-96C5-68506B667E52},1637.44618730212,167323.889342653
11,,BLM Cadastral - NV,,{D24DC597-4826-4856-A3BF-DD21CEC805B1},1630.51146260209,166153.819381251
12,,BLM Cadastral - NV,,{90B6DB5C-C5A3-4B82-87C9-0855FE3D8830},1619.08304222863,163734.017950725
13,,BLM Cadastral - NV,,{85248AFD-32C6-4061-A17F-ECD6EDCDFCBD},1630.34823905142,166118.08315277
14,,BLM Cadastral - NV,,{53E1EA5D-CD52-4235-BCA1-EC9626E0CD06},1616.83342823831,163294.936336404
15,,BLM Cadastral - NV,,{C80BC5A9-DA55-4850-A4A1-5CEA757C97D6},1638.4768324479,167618.390241424
16,,BLM Cadastral - NV,,{8332103B-82CC-437E-BF82-62D2BD33C56D},1637.96344939261,167473.342090741
17,,BLM Cadastral - NV,,{EFD8FB72-4860-4CB6-BD78-9F17C7CEDEF9},1610.17053371932,161900.430245975
18,,BLM Cadastral - NV,,{E354A18C-2594-41FD-878F-6CB2F9FCA64E},1643.11841198585,168613.366857493
19,,BLM Cadastral - NV,,{13B447B0-16D5-441F-BC2A-2A1814C742A0},1629.00889841044,165809.34213609
20,,BLM Cadastral - NV,,{B67EE80D-D69D-486F-B321-FB9DC5019185},1645.43764669751,169153.738374131
21,,BLM Cadastral - NV,,{CA8B7810-102A-44B9-8AF9-97667B2301A2},1647.17898553838,169193.73119226
22,,BLM Cadastral - NV,,{D58837C1-88C5-4393-AD25-990D1D53424E},1654.66925905967,170682.990526821
23,,BLM Cadastral - NV,,{4BD21966-C90B-4FBF-9D10-C5C1E459191E},1567.73066455649,153458.636839139
24,,BLM Cadastral - NV,,{FCFD941C-7716-4CC8-9C8E-9FAF73D7F499},1655.19622608507,171056.287942062
