OBJECTID,SURVTYP,SURVTYPTXT,GlobalID,SHAPE_Length,SHAPE_Area
1,W,Meandered Water,{A39F88DD-AD0F-4E61-B881-0246B9D4EC03},15522.6616895462,16058089.8736333
2,W,Meandered Water,{4B215026-5449-4AC3-BE39-AE510BE4AEA1},29537.9690556118,31115696.2864521
3,W,Meandered Water,{66121DC7-984C-4BC7-8DF2-5278B7540715},23977.717513544,25545923.5580073
4,W,Meandered Water,{368C711D-0ED3-43CB-AB16-30BD68669B29},4038.62231288607,891685.661933583
5,W,Meandered Water,{037E0972-05D3-42A3-BD0A-8E56A9E0C3AA},8054.16075550137,3120252.02733806
6,W,Meandered Water,{3D90E3F9-8B27-4B10-B962-0241C2A46C87},22984.9096280715,19555866.5068212
7,W,Meandered Water,{C1AD0CA1-795B-4FD8-8D87-D6C727F31CF2},46326.2744326751,40829198.7898954
8,W,Meandered Water,{7E826493-5008-4BF7-9B25-53C93489F59A},27039.8513490262,28880500.5211153
9,W,Meandered Water,{009D29C1-8D5C-45B3-889B-624669E6BBB5},37064.4720722779,70290394.3147785
10,W,Meandered Water,{D1A29B6C-AE13-425A-A17A-660C3E407D4B},16671.4479569581,4988643.39797262
11,W,Meandered Water,{099A1768-B5E8-4ADB-B491-20EB84C490E4},37785.3941300788,72379334.6559644
12,W,Meandered Water,{4E064134-C66C-4372-962C-AAD0D1B148F3},38357.5992903712,91952245.7177301
13,W,Meandered Water,{D64FDD73-AF82-4FA1-9737-C941259C1281},26893.7628706679,31240771.5346438
14,W,Meandered Water,{5272886C-548A-4EDB-B92C-CCD916FC1500},9096.33558779332,2785234.13525572
15,W,Meandered Water,{84EA6AA8-CDCE-4B56-A8B4-E48EC12F6DEE},32062.7941297169,59224172.772025
16,W,Meandered Water,{6ACFCE31-FB3E-45CA-8E94-D6959BC919EF},36059.5781457126,75194979.1840691
17,W,Meandered Water,{764CF84F-9351-4897-82B2-0873392C6379},24153.3922571226,26030953.2109536
18,W,Meandered Water,{6F2DB365-416E-4316-9386-DFC24A9E1AED},23627.1628545053,22900363.628613
19,W,Meandered Water,{911F52BE-B48C-41DB-A8D0-746D547C05AA},17087.4014257953,13952958.6630442
20,W,Meandered Water,{600EC830-AB03-423B-B760-3DF94C472241},28150.5219193768,38949801.2889774
21,W,Meandered Water,{396BC897-474E-4651-9218-ECDE331EDE01},7336.00926978026,1291508.87124602
22,W,Meandered Water,{74216522-2F1C-4762-879E-B383F3B09DF7},22950.8073645809,28275939.4752891
23,W,Meandered Water,{CD26940E-C851-42FE-B1E7-39B0C15ACA2E},31163.3922837193,49780656.8949255
24,W,Meandered Water,{4F9F6122-C718-4A80-BB07-14BB5C172C64},17206.5189384486,9625801.14724591
25,W,Meandered Water,{917EFC0C-3FA6-4045-9C42-0458E5E701E2},33495.3983822986,37245104.9572117
26,W,Meandered Water,{D25620D5-02D5-42BA-80DF-B337F1D9489F},1324.6435671308,112391.600780763
27,W,Meandered Water,{AB309404-5C7D-4049-86BE-B0B331682137},6001.35655880347,1661994.65339417
28,W,Meandered Water,{19D7759B-440D-46A2-BA56-3416CF39D2A1},4650.85499462854,1364618.04144089
29,W,Meandered Water,{7CC158B9-7750-4CCA-AD50-4F1F299AA25E},15468.1996422833,5239458.32677351
30,W,Meandered Water,{C1F5D20D-7C17-4C06-B1F8-77ABFCA45301},7929.77535269158,1812401.52664963
31,W,Meandered Water,{1DC01AD6-9299-4421-A676-4EC301A33EAD},13171.4036295019,7364934.32636033
