OBJECTID_1,PLSSID,FRSTDIVID,SECDIVID,SECDIVTYP,SECDIVTXT,SECDIVNO,SECDIVSUF,SECDIVNOTE,SECDIVLAB,SURVTYP,SURVTYPTXT,SOURCEDATE,SOURCEREF,RECRDAREAT,RECRDAREAN,GISACRE,Name,SHAPE_Length,SHAPE_Area
1,UT260130S0020E0,UT260130S0020E0SN050,UT260130S0020E0SN050L4,L,Government Lot,4, , ,L 4, , , , ,40,40.0,41.5646186470323,Gateway South,2136.84906312067,284680.554975321
2,UT260130S0020E0,UT260130S0020E0SN030,UT260130S0020E0SN030ASESE,A,Aliquot Part,SESE, , ,SESE, , , , ,40,40.0,39.8004833899102,Gateway South,2088.69993961058,272517.465155348
3,UT260130S0020E0,UT260130S0020E0SN100,UT260130S0020E0SN100ANENE,A,Aliquot Part,NENE,1, ,NENE, , , , ,40,40.0,41.0502194181588,Gateway South,2121.31980491716,281044.709849238
4,UT260130S0020E0,UT260130S0020E0SN120,UT260130S0020E0SN120ANENE,A,Aliquot Part,NENE, , ,NENE, , , , ,40,40.0,40.847977622061,Gateway South,2115.34345218763,279662.159390065
5,UT260130S0020E0,UT260130S0020E0SN100,UT260130S0020E0SN100ANWNE,A,Aliquot Part,NWNE,1, ,NWNE, , , , ,40,40.0,41.4502026906252,Gateway South,2131.87518925451,283783.625463346
6,UT260130S0020E0,UT260130S0020E0SN030,UT260130S0020E0SN030ASWSE,A,Aliquot Part,SWSE, , ,SWSE, , , , ,40,40.0,39.9089185820105,Gateway South,2091.39419879471,273260.625596839
7,UT260130S0020E0,UT260130S0020E0SN030,UT260130S0020E0SN030ASESW,A,Aliquot Part,SESW, , ,SESW, , , , ,40,40.0,40.0370189427147,Gateway South,2094.645688738,274138.416556957
8,UT260130S0020E0,UT260130S0020E0SN030,UT260130S0020E0SN030ANESW,A,Aliquot Part,NESW, , ,NESW, , , , ,40,40.0,39.824620156504,Gateway South,2089.31722077068,272712.764195116
9,UT260130S0020E0,UT260130S0020E0SN100,UT260130S0020E0SN100ANENW,A,Aliquot Part,NENW,2, ,NENW, , , , ,40,40.0,41.8897368688186,Gateway South,2143.39465653443,286793.396032448
10,UT260130S0030E0,UT260130S0030E0SN070,UT260130S0030E0SN070ASWNE,A,Aliquot Part,SWNE, , ,SWNE, , , , ,40,40.0,40.9768192400469,Gateway South,2118.55294956027,280515.426802295
11,UT260100S0050E0,UT260100S0050E0SN040,UT260100S0050E0SN040L4,L,Government Lot,4, , ,L 4, , , , ,41.42,41.42,25.6736655136217,Gateway South,1730.61652799009,177156.638185493
12,UT260100S0040E0,UT260100S0040E0SN040,UT260100S0040E0SN040L5,L,Government Lot,5, , ,L 5, , , , ,4,4.0,5.69289055599758,Gateway South,1227.33806322036,39276.3357165859
13,UT260110S0120E0,UT260110S0120E0SN330,UT260110S0120E0SN330ASWNW,A,Aliquot Part,SWNW, , ,SWNW, , , , ,40,40.0,39.8945039868339,Gateway South,2093.8731662174,274017.607695402
14,UT260110S0120E0,UT260110S0120E0SN330,UT260110S0120E0SN330ANWSW,A,Aliquot Part,NWSW, , ,NWSW, , , , ,40,40.0,39.9317177921157,Gateway South,2094.74002352042,274244.527337678
15,UT260120S0120E0,UT260120S0120E0SN010,UT260120S0120E0SN010L4,L,Government Lot,4, , ,L 4, , , , ,46.59,46.59,45.2445132515924,Gateway South,2236.72847868419,310665.639816175
