OBJECTID,Name_orig,SusType,Miles,SegmentGro,Point_of_Contact,Name,SHAPE_Length
1,x-19,0,0,0,0,Ten West Link,2006.31317512135
2,p-11,0,0,0,0,Ten West Link,7914.0100410267
3,p-10,0,0,0,0,Ten West Link,2199.62086874363
4,p-09,0,0,0,0,Ten West Link,13310.9952260275
5,x-05,0,0,0,0,Ten West Link,19827.9818446936
6,p-07,0,0,0,0,Ten West Link,4050.05037980297
7,p-08,0,0,0,0,Ten West Link,1180.64043054653
8,p-12,0,0,0,0,Ten West Link,4896.39359038293
9,p-13,0,0,0,0,Ten West Link,6676.61959752384
10,p-14,0,0,0,0,Ten West Link,1822.71366161535
11,p-15e,0,0,0,0,Ten West Link,5395.36036594914
12,x-15,0,0,0,0,Ten West Link,2668.26305153542
13,x-16,0,0,0,0,Ten West Link,4514.66735892999
14,p-16,0,0,0,0,Ten West Link,8827.07806480924
15,ca-09,0,0,0,0,Ten West Link,5077.59672122727
16,i-04,0,0,0,0,Ten West Link,20343.5712396664
17,ca-07,0,0,0,0,Ten West Link,5880.31359707339
18,p-15w,0,0,0,0,Ten West Link,12780.3153171243
19,i-02,0,0,0,0,Ten West Link,6434.01342454683
20,i-01,0,0,0,0,Ten West Link,15957.8658342573
21,p-01,0,0,0,0,Ten West Link,51413.9382409824
22,i-03,0,0,0,0,Ten West Link,38389.8366728461
