OBJECTID,EISName,Acres,SHAPE_Length,SHAPE_Area
1,Bighorn Basin,5647909.22457811,10.1344917420344,2.57464019408959
2,Billings / Pompey's Pillar NM,10804548.1972487,10.6282307297945,5.06345261438599
3,Buffalo,6497966.01966543,19.3218932097127,2.96397643724428
4,HiLine,15872161.4537277,25.5151094494983,7.80655927994449
5,Idaho and SW Montana,52689880.1597473,29.5476135592329,23.9473152108164
6,Lander,3348125.27234354,9.38042511813401,1.49045381582242
7,Lewistown,7312522.27982827,18.2262251198103,3.50709395821597
8,Miles City,25816033.6130393,19.1825760573543,12.3325849972817
9,North Dakota,963021.65437741,2.75757008318525,0.455016320458335
10,9-Plan,38402108.3308162,45.5980095562167,16.991993922511
11,NW Colorado,15197872.8959712,14.5161213630302,6.48810360382266
12,Oregon,31673718.031014,27.859395697284,14.3411565204052
13,South Dakota,49348127.9766424,23.8142724199366,22.5756556894715
14,Upper Missouri River Breaks NM,506257.73401679,11.6158378843462,0.245856948480489
15,Utah,48227448.8483646,28.2053465841234,20.4577800845155
16,Nevada and NE California,70238972.0827957,30.9904205581617,29.952469288437
