OBJECTID,Fire_Operations_Priority_Area_N,FIAT_Planning_Area_Name,Protection_Purpose_Need,Total_Acres_Fire_Operations_Pri,Priority_Ranking,FIAT_Assessment_Area,SHAPE_Length,SHAPE_Area
1,"Two Post Well, Proposed",Brothers,Focal Habitat; Emphasis Area,76.38739,1,Central Oregon,1970.73820749219,-308998.630161705
2,"Berger Ridge Well, Proposed",Brothers,Focal Habitat; Emphasis Area,76.382233,1,Central Oregon,1970.67168285888,-308977.76927492
3,Brothers Sage Grouse Priority,Brothers,Focal Habitat; Emphasis Area,143990.03,1,Central Oregon,167035.174521536,-582706994.454016
4,Paulina Sage Grouse Priority,Paulina,Focal Habitat; Emphasis Area,36778.52,1,Central Oregon,111756.923218393,-148837394.790818
5,12 Mile Sage Grouse Priority,12 Mile,Focal Habitat; Emphasis Area,135897.34,1,Central Oregon,226660.745159817,-549957040.732063
6,"Hampton, Proposed Base ",Brothers,Focal Habitat; Emphasis Area,2.0155332,1,Central Oregon,319.951455298938,-8135.9545276651
7,"Paulina, Proposed Base ",Paulina,Focal Habitat; Emphasis Area,2.0108094,1,Central Oregon,319.576330910224,-8116.88784872454
8,Hay Creek East,Hay Creek,Focal Habitat; Emphasis Area,18572.359,2,Central Oregon,41700.8292555844,-75159673.1786606
9,Hay Creek West,Hay Creek,Focal Habitat; Emphasis Area,17205.943,1,Central Oregon,49797.9020166837,-69629984.6702913
10,Brothers Fire Operations Priority,Brothers,Focal Habitat; Emphasis Area,11245.641,2,Central Oregon,38430.5382278041,-45509492.0946464
11,Brothers Fire Operations Priority,Brothers,Focal Habitat; Emphasis Area,29798.285,2,Central Oregon,66590.9494162605,-120589378.393197
12,Brothers Fire Operations Priority,Brothers,Focal Habitat; Emphasis Area,8977.0947,2,Central Oregon,47412.1853011875,-36329011.5909504
13,Brothers Fire Operations Priority,Brothers,Focal Habitat; Emphasis Area,135.78203,2,Central Oregon,3573.82043482434,-549490.3621697
14,Brothers Fire Operations Priority,Brothers,Focal Habitat; Emphasis Area,23128.922,2,Central Oregon,51492.6569815686,-93599613.6880046
15,Paulina Sage Grouse Priority,Paulina,Focal Habitat; Emphasis Area,2466.0271,2,Central Oregon,15486.9209990877,-9979657.27805775
16,Paulina Sage Grouse Priority,Paulina,Focal Habitat; Emphasis Area,1201.2731,2,Central Oregon,15940.1006179543,-4861379.45119182
17,Paulina Sage Grouse Priority,Paulina,Focal Habitat; Emphasis Area,53252.93,2,Central Oregon,146673.746493999,-215506980.300338
18,Paulina Sage Grouse Priority,Paulina,Focal Habitat; Emphasis Area,84.17691,2,Central Oregon,2739.12228139245,-340651.864677838
19,12 Mile Sage Grouse Priority,12 Mile,Focal Habitat; Emphasis Area,76879.766,2,Central Oregon,242634.438024036,-311121371.048443
20,Beulah Fire 1st Priority,Beulah, ,360436.28,1,Northern Great Basin,824787.570752545,-1458633607.81094
21,Beulah Fire 2nd Priority,Beulah, ,43779.859,2,Northern Great Basin,554101.63023883,-177170783.928307
22,Beulah Fire 3rd Priority,Beulah, ,85799.93,3,Northern Great Basin,459749.835271338,-347219945.27964
23,Bowden Hills Fire 1st Priority,Bowden Hills, ,16659.104,1,Northern Great Basin,37117.505035041,-67416987.6112908
24,Curlew Fire 1st Priority,Curlew, ,14073.724,1,Northern Great Basin,140486.762940954,-56954328.4036929
25,Curlew Fire 2nd Priority,Curlew, ,44217.555,2,Northern Great Basin,548178.745516126,-178942052.721135
26,Curlew Fire 3rd Priority,Curlew, ,138077.31,3,Northern Great Basin,696140.97274782,-558778963.245649
27,Greater Owyhee Fire 1st Priority,Greater Owyhee, ,732839.25,1,Northern Great Basin,949170.418528488,-2965694658.28393
28,Greater Owyhee Fire 2nd Priority,Greater Owyhee, ,338948.16,2,Northern Great Basin,426103.35506924,-1371674260.80954
29,Jim Sage Fire 1st Priority,Jim Sage, ,73599.25,1,Northern Great Basin,234421.892261318,-297845530.194692
30,Jim Sage Fire 2nd Priority,Jim Sage, ,5503.085,2,Northern Great Basin,138732.721002582,-22270188.8486262
31,Jim Sage Fire 3rd Priority,Jim Sage, ,65795.242,3,Northern Great Basin,274508.750848961,-266263829.131773
32,Mainstem Malheur Fire 1st Priority,Mainstem Malheur, ,281085.94,1,Northern Great Basin,499153.011800128,-1137514208.15533
