OBJECTID,BLM_ORG_CD,ADM_UNIT_CD,ADMU_NAME,ADMU_LABEL,BLM_ORG_TYPE,END_DT,CHANGE_REASON,GLOBALID,SHAPE_Length,SHAPE_Area
1,ORE05,ORE05000,EUGENE SIUSLAW FIELD OFFICE,Siuslaw Resource Area,Field,2016/02/11 00:00:00+00,Salem/Eugene Districts merged into NW Oregon District,{C49F15F9-9EE8-4B78-B005-48E07E11C22D},4.02342822420201,0.491967414875007
2,ORE06,ORE06000,EUGENE UPPER WILLAMETTE FIELD OFFICE,Upper Willamette Resource Area,Field,2016/02/11 00:00:00+00,Salem/Eugene Districts merged into NW Oregon District,{DF615631-9AC7-4708-AFE8-21A0C57518C2},4.86436160037191,0.964959072929774
3,ORS05,ORS05000,SALEM MARYS PEAK FIELD OFFICE,Marys Peak Resource Area,Field,2016/02/11 00:00:00+00,Salem/Eugene Districts merged into NW Oregon District,{7DA369E2-AAFA-4259-9A05-AB314DAA64D6},4.58456651453872,0.774177996620287
4,ORS04,ORS04000,SALEM CASCADES FIELD OFFICE,Cascades Resource Area,Field,2016/02/11 00:00:00+00,Salem/Eugene Districts merged into NW Oregon District,{2B0C381B-D58C-4650-9AD5-D0F9532AACB7},7.02431881310244,1.47226072307046
5,ORS06,ORS06000,SALEM TILLAMOOK FIELD OFFICE,Tillamook Resource Area,Field,2016/02/11 00:00:00+00,Salem/Eugene Districts merged into NW Oregon District,{C8E92576-7210-4079-B2CD-518A76AD70CB},5.73705753792144,1.41192293538923
6,ORM08,ORM08000,MEDFORD GLENDALE FIELD OFFICE,Glendale Resource Area,Field,2015/01/01 00:00:00+00,Glendale merged into Grants Pass,{5361327B-0914-4537-8230-65AADAD970E5},2.92962804422492,0.167631337718849
7,ORM07,ORM07000,MEDFORD GRANTS PASS FIELD OFFICE,Grants Pass Resource Area,Field,2015/01/01 00:00:00+00,Glendale merged into Grants Pass,{90070C4A-F2B9-45C2-8E49-6B7D5228DFC5},3.53628421907164,0.4050632075502
8,ORV06,ORV06000,VALE JORDAN FIELD OFFICE,Jordan Resource Area,Field,2015/09/01 00:00:00+00,Jordan merged into Malheur,{8C900DA9-0AC9-4848-A961-5DD295D9B831},6.52906168846078,1.38931040824807
9,ORV04,ORV04000,VALE MALHEUR FIELD OFFICE,Malheur Resource Area,Field,2015/09/01 00:00:00+00,Jordan merged into Malheur,{D2DEF2B4-3763-423C-964F-FF69B312024C},6.96499153684265,1.50591964536781
321,ORM08,ORM08000,MEDFORD GLENDALE FIELD OFFICE,Glendale Resource Area,Field,2015/01/01 00:00:00+00,Glendale merged into Grants Pass,{00D6EE19-76E9-4FC2-90B6-5F62D100225B},0.829345435390766,0.0111788993309733
322,ORE06,ORE06000,EUGENE DORENA RESOURCE AREA,Upper Dorena Resource Area,Field,1976/07/04 00:00:00+00,Merged with Mohawk RA to create Upper Willamette Resource Area,{0C2A6E47-8BCA-4B97-971F-FAF51D0331E5},3.01664011506974,0.241693727550018
323,ORS05,ORS05000,SALEM ALSEA-RICKREALL MASTER UNIT,Alsea-Rickreall Master Unit,Field,1976/09/09 00:00:00+00,,{0F66DA06-C0C3-4A6C-9015-63E719F92AEF},3.52591625500746,0.328324693819805
324,ORC04,ORC04000,COOS BAY MYRTLE POINT RESOURCE AREA,Myrtle Point Resource Area,Field,1976/07/04 00:00:00+00,,{265A3FD7-873E-4222-B4C6-2619321D7DF1},5.38152735448769,0.408210614354561
325,ORM06,ORM06000,MEDFORD ROGUE RIVER RESOURCE AREA,Rogue River Resource Area,Field,9999/09/09 00:00:00+00,Creation of Ashland RA,{28C98910-F4C3-4757-92B3-74BFDAAE6674},2.82176043429729,0.245728709977901
326,ORL04,ORL04000,LAKEVIEW LOST RIVER RESOURCE AREA,Lost River Resource Area,Field,9999/09/09 00:00:00+00,,{3584B827-B848-45F0-BEFC-1F222CECFAEF},7.29440771031332,1.5287759240197
