OBJECTID,DEF_FEATURE,COORD_SRC,ACCURACY_FT,SOURCE_LYR,ADMU_LNTYPE,GLOBALID,SHAPE_Length
1,UNKNOWN,UNK,, ,RAB,{C8768AE7-7B2E-489A-99D9-41FE67D7A3AC},0.0440288552562369
2,UNKNOWN,UNK,, ,RAB,{48B05946-F733-41EA-BA6C-0566A816C251},0.0105843967510305
3,CLOSURE,DIS,0.0, ,RABEXT,{36E22525-7384-4022-9F52-D4193A5E0001},0.0877576879384071
4,CLOSURE,DIS,0.0, ,RABEXT,{3150313A-5D4D-484A-ADA7-2C2B7E39A207},0.0714612860003241
5,WATERCOURSE,SOURCEL,0.0,HYD_PUB_FLOWLINE,RAB,{08E3CDCD-67D5-4E7E-B348-7CAA5839D71A},0.0543881951279786
6,POINT-TO-POINT,DIS,0.0, ,RAB,{479C8FE0-CCA1-42C6-BA8E-6AEAD9399716},0.0181392730003913
7,POINT-TO-POINT,DIS,0.0, ,RABEXT,{81801688-74CA-44E3-A8A5-E974B25213D7},0.0986639850000304
8,GRAZING_BOUNDARY,SOURCEL,0.0,GRA_ARC,RAB,{4A48B3EC-0AAF-4AAC-AA0C-ED133860BDAA},0.0136480475005203
9,COUNTY,SOURCEL,0.0,COB_ARC,SOBOCEAN,{A126944F-7E43-445F-831E-F04E392EBBFA},0.278981061852509
10,COUNTY,SOURCEL,0.0,COB_ARC,DOB,{18CF918A-698C-4718-82ED-1A64A91336B8},1.91270478084531
11,COUNTY,SOURCEL,0.0,COB_ARC,RAB,{C1233FDF-229E-4052-AF85-746B165FB028},0.655462707190681
12,COUNTY,SOURCEL,0.0,COB_ARC,DOB,{F43379AA-92CE-4B89-A102-C7990525BE13},1.20759089033203
13,COUNTY,SOURCEL,0.0,COB_ARC,SOBOCEAN,{B765A0F4-51FB-4EF2-88B2-66E0CCFC3E26},1.47978549133489
14,COUNTY,SOURCEL,0.0,COB_ARC,SOB,{B9CFE6BD-3094-4805-AD32-C55293216D93},0.0544557092388235
15,COUNTY,SOURCEL,0.0,COB_ARC,DOB,{C7D28AD5-9957-49FF-BA55-AE92565785F4},2.16324759507902
16,COUNTY,SOURCEL,0.0,COB_ARC,DOB,{69285D3A-BE03-4FAA-A495-5B7B97EEF4F1},1.22590797251171
17,COUNTY,SOURCEL,0.0,COB_ARC,DOB,{5EFF134B-4C32-4478-893B-FC7AB6CC17AA},0.135233116223167
