OBJECTID,COUNTY_NAME,COBCODE,ORIG_FID,SHAPE_Length,SHAPE_Area
1,JOSEPHINE,OR033,75,3.46488556565006,0.464438390186809
2,CURRY,OR015,74,4.65771110266275,0.565399651377819
3,JACKSON,OR029,73,3.90267913382865,0.793757490569809
4,COOS,OR011,72,3.52641312686723,0.51895092802871
5,KLAMATH,OR035,71,6.44070285318414,1.7460140552947
6,LAKE,OR037,70,7.32441502410569,2.38193737052701
7,DOUGLAS,OR019,69,7.48967584878588,1.4747637571101
8,HARNEY,OR025,68,7.60895053276999,2.92740148350647
9,LANE,OR039,67,7.24252942534432,1.37153238246108
10,DESCHUTES,OR017,66,6.05738533472392,0.886370190374922
11,MALHEUR,OR045,65,7.65968114076736,2.84811533635809
12,CROOK,OR013,64,4.62839808453595,0.870156075571197
13,BENTON,OR003,63,2.63596395094523,0.198735040838388
14,LINN,OR043,62,4.76936375477777,0.676009227392282
15,JEFFERSON,OR031,61,4.05289048044453,0.526419677913575
16,GRANT,OR023,60,6.13133228252197,1.32699617801978
17,LINCOLN,OR041,59,2.74805409131306,0.350143880491636
18,WHEELER,OR069,58,3.37778451808116,0.504999440541558
19,POLK,OR053,57,2.21021627497291,0.219596300583191
20,BAKER,OR001,56,6.19400510085162,0.908230750207019
21,MARION,OR047,55,4.88000642124738,0.351383536670589
22,YAMHILL,OR071,54,2.72115558602856,0.213203328341692
23,CLACKAMAS,OR005,53,4.15317176846468,0.558374018552493
24,WASCO,OR065,52,5.49583717050061,0.709854086840085
25,HOOD RIVER,OR027,51,1.82780952599258,0.15906272470157
26,MULTNOMAH,OR051,50,2.89753394780506,0.138667171683169
27,SHERMAN,OR055,49,3.46327726558183,0.247402890652325
28,WASHINGTON,OR067,48,2.8142681490988,0.217109393340547
29,TILLAMOOK,OR057,47,3.58917157020314,0.396462856844666
30,GILLIAM,OR021,46,4.12837824361948,0.363861060263656
31,UNION,OR061,45,5.11421044522106,0.605893822343311
32,MORROW,OR049,44,3.56189129357438,0.609673770277438
33,WALLOWA,OR063,43,4.66670652856813,0.941019111017296
34,UMATILLA,OR059,42,5.3076713152607,0.965064162617189
35,KLICKITAT,WA039,41,4.20435932254737,0.571558425862233
36,CLARK,WA011,40,2.11686788860416,0.19664097134675
37,COLUMBIA,OR009,39,1.94624518999411,0.20709982837628
38,CLATSOP,OR007,38,2.63294552172533,0.325928146277413
39,WAHKIAKUM,WA069,37,1.44512771947489,0.0865230210416607
40,COWLITZ,WA015,36,2.99533647215636,0.352120955279104
41,SKAMANIA,WA059,35,3.22852956035256,0.50762297380476
42,ASOTIN,WA003,34,2.12515083954918,0.193287955286682
43,WALLA WALLA,WA071,33,3.17915328290189,0.392322689808422
44,COLUMBIA,WA013,32,2.57425381886697,0.26420192905989
45,GARFIELD,WA023,31,2.57546441529214,0.217755997846329
46,BENTON,WA005,30,3.25589958688744,0.531630026946419
47,FRANKLIN,WA021,29,3.40749161603557,0.384196742188508
48,LEWIS,WA041,27,5.15397821675262,0.740290196352573
49,PACIFIC,WA049,28,2.75564399333543,0.373933674136082
50,YAKIMA,WA077,26,5.89334382531599,1.30724670533922
51,THURSTON,WA067,25,2.90279757801596,-0.236803239475245
52,WHITMAN,WA075,24,4.27231175840854,0.665779908481871
53,ADAMS,WA001,23,3.87485988006539,0.5910000573679
54,PIERCE,WA053,22,4.41620161855156,-0.553517850977733
55,GRAYS HARBOR,WA027,21,3.93412612376612,0.688396094261539
56,KITTITAS,WA037,20,5.00673799359409,0.71635208925331
57,MASON,WA045,19,2.57733195708016,0.324066085718211
58,KING,WA033,18,4.78383878561693,0.713374402816699
59,LINCOLN,WA043,17,3.92466194792921,0.724400226541338
60,GRANT,WA025,16,4.73264120864235,0.858373635316201
61,KITSAP,WA035,15,2.08875836542342,0.175357689117892
62,SPOKANE,WA063,14,3.28913297510412,0.552054251452275
63,DOUGLAS,WA017,13,4.52686296932445,0.574173597638384
64,SNOHOMISH,WA061,12,4.47665011630646,0.685838113612628
65,JEFFERSON,WA031,11,5.74672742086993,0.679580576806929
66,ISLAND,WA029,10,1.86672196410257,0.162575976211654
67,CLALLAM,WA009,9,5.00849234037054,0.836673593382639
68,CHELAN,WA007,8,6.28272075031402,0.932136943527601
69,SKAGIT,WA057,7,5.18440595706475,0.603931006716164
70,SAN JUAN,WA055,6,2.04922079469529,0.196190645448556
71,FERRY,WA019,5,4.17374883974327,0.711090833057566
72,PEND OREILLE,WA051,4,3.09626264364583,0.449302396597405
73,OKANOGAN,WA047,3,7.247583366815,1.67614453095521
74,STEVENS,WA065,2,5.2992334347028,0.798866251405781
75,WHATCOM,WA073,1,5.92779491373207,0.794540495953073
