OBJECTID,ESMTROW_NM,ESMTROW_TP,ESMTROW_FTR,AUTH_USE,RGT_HOLDER,GRANTOR,ACCESS_ESMTROW,CASEFILE,BLM_ORG_CD,CASETP,LOCAL_ID,COORD_SRC,ACCURACY_FT,EXCL_TP,GIS_ACRES,GLOBALID,CASE_NR,SHAPE_Length,SHAPE_Area
1,Taber Cabin Water Gap,ROW,WATER_GAP,Water Transportation,PV,BL,PUBLIC,OROR   057480,ORB06,287011,,UNK,40.0,,30.15192147,{B670B5AD-37E9-4191-8943-B1F8485695ED},,0.0170418849370037,1.33895250664332e-05
2,Bakke Trespass Road,ROW,ROAD,Crossing Access,PV,BL,PUBLIC,OROR   065479,ORB06,281009,,UNK,40.0,,2.11165123,{A91F0C84-7442-49AF-8815-D093965CB070},,0.0176851938456232,9.39965189478497e-07
3,Bakke Trespass Road,ROW,ROAD,Crossing Access,PV,BL,PUBLIC,OROR   065479,ORB06,281009,,UNK,40.0,,0.13562323,{F01FFD41-EAE4-41BE-8C1E-88DDC23E2DF8},,0.0012667667814216,6.03670116073041e-08
4,ORORE 5183 to OROR 64509,ROW,POWERLINE,Power Transportation,PVI,BL,PUBLIC,OROR   064509,ORB00,285003,,UNK,40.0,,8.28072517,{4E3FA751-E8F7-43A9-8240-3C7E2D248C68},,0.135858118043184,3.73127035585375e-06
5,Trespass Powerline,ROW,POWERLINE,Power Transportation,PVI,BL,PUBLIC,OROR   065454,ORB05,285003,,UNK,40.0,,3.36717144,{9E6B1BA8-C14A-4FDB-99B7-7F88504864F9},,0.0410145629017078,1.5174885105605e-06
6,ORORE 5183 to OROR 64509,ROW,POWERLINE,Power Transportation,PVI,BL,PUBLIC,OROR   064509,ORB00,285003,,UNK,40.0,,0.09881877,{D1964DEA-A7BE-4CF8-95A2-1DD2B12A9214},,0.001472300970305,4.40529390402566e-08
7,ORORE 5183 to OROR 64509,ROW,POWERLINE,Power Transportation,PVI,BL,PUBLIC,OROR   064509,ORB00,285003,,UNK,40.0,,0.18176881,{17A9020E-32BA-4156-94B9-40912E04BE7B},,0.0026201966107167,8.10310557513263e-08
8,ORORE 5183 to OROR 64509,ROW,POWERLINE,Power Transportation,PVI,BL,PUBLIC,OROR   064509,ORB00,285003,,UNK,40.0,,0.96127392,{92220D75-9B16-4C62-869B-78064D241148},,0.0119913532527763,4.28552621035833e-07
9,ORORE 5183 to OROR 64509,ROW,POWERLINE,Power Transportation,PVI,BL,PUBLIC,OROR   064509,ORB00,285003,,UNK,40.0,,0.49410955,{4DF4672B-0C6D-43E0-9A6F-88E911D299DA},,0.0066800129926289,2.20243101912907e-07
10,ORORE 5183 to OROR 64509,ROW,POWERLINE,Power Transportation,PVI,BL,PUBLIC,OROR   064509,ORB00,285003,,UNK,40.0,,0.33604591,{380FFAC7-C7A9-4DD3-8E35-6C126A4D3BBC},,0.0041327983846916,1.49793197013891e-07
11,ORORE 5183 to OROR 64509,ROW,POWERLINE,Power Transportation,PVI,BL,PUBLIC,OROR   064509,ORB00,285003,,UNK,40.0,,0.10955973,{1717BF92-7EC6-4E43-9B47-AB82C799D6FE},,0.0014537929389962,4.92226202306696e-08
12,ORORE 5183 to OROR 64509,ROW,POWERLINE,Power Transportation,PVI,BL,PUBLIC,OROR   064509,ORB00,285003,,UNK,40.0,,0.43895769,{EE26EB74-7FBD-43B8-B07E-AE25E1F60A98},,0.0053635078708176,1.97217581710832e-07
13,ORORE 5183 to OROR 64509,ROW,POWERLINE,Power Transportation,PVI,BL,PUBLIC,OROR   064509,ORB00,285003,,UNK,40.0,,0.07435591,{72F30098-224C-4BE9-ACAB-EE6C14015D38},,0.0010077055056221,3.34070128738188e-08
