OBJECTID,SUBJ_FIRE1890,SHAPE_Length,SHAPE_Area
1,0_49,2.41535851469466,0.0319438843507669
2,200+,14.3065188753411,0.440036840976311
3,0_49,0.763110038679322,0.0078001524709551
4,0_49,0.843156926120053,0.0084821763348461
5,0_49,0.148929227652836,0.0010513463795072
6,0_49,0.826380251121372,0.0075117410439786
7,0_49,0.107360947005783,0.0005303469563776
8,0_49,0.0929021847535089,0.0003953649054283
9,0_49,0.0509773700516703,0.0001156023084395
10,0_49,0.121191436154608,0.0007887425560823
11,0_49,0.239028426809846,0.0016023465202377
12,0_49,0.0465793910285902,0.000149997711616
13,0_49,0.079811626018069,0.0003649265371336
14,0_49,0.10429046483017,0.0004519729568048
15,0_49,0.0849750166006899,0.0003033480388372
16,100_199,1.1225116833654,0.0180397345345675
17,0_49,0.129270224691391,0.0008098395907185
18,0_49,0.0574508251588064,0.0001763642315285
19,0_49,0.222396207968886,0.0019352453219874
20,0_49,0.0815085148879397,0.0004471337242623
21,0_49,0.206171072348378,0.0019188047234613
22,0_49,0.167035042017533,0.0010380569774399
23,0_49,0.14096122339923,0.0007305180422395
24,0_49,0.219679867003074,0.0012805371034756
25,0_49,0.0258075638718209,4.10704162949288e-05
26,0_49,0.0811069278888864,0.0002329091163413
27,0_49,0.0753929002182003,0.0001672245168568
28,0_49,0.18230104191095,0.0011656580127387
29,0_49,0.0616918361861193,0.0002134863531729
30,0_49,0.122583740384355,0.000482960059655
31,100_199,0.584328204047179,0.0176657441413346
32,0_49,0.0982115252828007,0.0005135149560603
33,0_49,0.683592528561942,0.0055515193208981
34,0_49,0.0744917016817587,0.0002541002504881
35,0_49,0.161456732605695,0.001201358111769
36,0_49,0.0859287338397882,0.0003806896502273
37,0_49,0.0576546500219423,0.0001417194715651
38,0_49,0.102261585716698,0.0005214264666434
39,0_49,0.0643064041659147,0.0002267360053817
40,0_49,0.21483087162418,0.0014832614980302
41,0_49,0.0837355817843567,0.0004343363481436
42,0_49,0.0593556854127539,0.0002456672589782
43,100_199,0.566153540085299,0.0099939034184728
44,0_49,0.180812524207345,0.0010273226443432
45,0_49,0.190683415519901,0.0016440486851628
46,100_199,0.191691241019907,0.0019022987769754
47,0_49,1.12457709533084,0.0105121946165286
48,0_49,0.366776235973967,0.003509031733024
49,0_49,0.0512731917021172,0.0001474287575383
50,0_49,0.092764027124602,0.0005103450853383
51,0_49,0.0608190124094772,0.0001963665957479
52,0_49,0.796141927306003,0.0067677234871964
