OBJECTID,PLANID,BLM_ORG_CD,OHV_DSG,DSG_REASON,RESTRICT_,RESTRICT_DETAIL,SHAPE_Length,SHAPE_Area
1,Oregon Greater Sage-Grouse Resource Management Plan Amendment,ORL05,Limited to Existing,SGHAB,,,0.0242507582290863,2.31926698279744e-05
2,Southwestern Oregon RMP 2016,ORL04,Limited to Existing,BLM,,,0.0370480952827004,8.56431187566139e-05
3,Southwestern Oregon RMP 2016,ORL04,Limited to Existing,BLM,,,0.0396798125700205,3.68765642339562e-05
4,Southeastern Oregon RMP 2002,ORV04,Limited to Existing,SGHAB,,,0.0530113907795261,8.39218676147786e-05
5,Southwestern Oregon RMP 2016,ORM06,Limited to Existing,BLM,,,0.0128427664994704,7.48440511493512e-06
6,Southwestern Oregon RMP 2016,ORL04,Limited to Existing,BLM,,,0.0466142076619406,5.97321874784263e-05
7,Southwestern Oregon RMP 2016,ORL04,Limited to Existing,BLM,,,0.014299171895774,1.09466764190956e-05
8,Southwestern Oregon RMP 2016,ORM06,Limited to Existing,BLM,,,0.0252351900044242,2.85614171422528e-05
9,Northwestern and Coastal Oregon RMP 2016,ORM07,Limited to Existing,BLM,,,0.016718166348963,1.71337887711166e-05
10,Northwestern and Coastal Oregon RMP 2016,ORM07,Limited to Existing,BLM,,,0.0171750069534556,1.81450673525264e-05
11,Southwestern Oregon RMP 2016,ORL04,Limited to Existing,BLM,,,0.0394096535293987,7.39686946133939e-05
12,Southwestern Oregon RMP 2016,ORL04,Limited to Existing,BLM,,,0.0169552418657922,1.75363185669041e-05
13,Southwestern Oregon RMP 2016,ORL04,Limited to Existing,BLM,,,0.0436465215073487,4.07829941339405e-05
14,Andrews Management Unit RMP 2015,ORB06,Limited to Existing,SGHAB,,,0.104799016154136,0.0002824184588167
15,Southwestern Oregon RMP 2016,ORL04,Limited to Existing,BLM,,,0.0037119033196762,1.97499225355759e-07
16,Southwestern Oregon RMP 2016,ORL04,Limited to Existing,BLM,,,0.0489855921495613,8.84095439130331e-05
17,Southwestern Oregon RMP 2016,ORL04,Limited to Existing,BLM,,,0.0484292616958888,9.25329479722452e-05
18,Southwestern Oregon RMP 2016,ORL04,Limited to Existing,BLM,,,0.0218523395753985,1.65592132949185e-05
19,Southwestern Oregon RMP 2016,ORL04,Limited to Existing,BLM,,,0.0350822632263155,4.75235539352416e-05
20,Southwestern Oregon RMP 2016,ORL04,Limited to Existing,ACEC,,,0.0395695443788336,2.95986521505832e-05
21,Northwestern and Coastal Oregon RMP 2016,ORM07,Limited to Existing,BLM,,,0.0243557006097547,3.55973178031521e-05
