OBJECTID,SUBJ_STATE,FEATURE,SHAPE_Length,SHAPE_Area
1,WASHINGTON,3,51.446443454177,20.5941304767297
2,WASHINGTON,0,76.7029738166,1.23233297713825
3,WASHINGTON,3,0.206068386346777,0.0015520130551663
4,WASHINGTON,2,0.0765840427129634,0.0001047268091396
5,WASHINGTON,2,0.0141623092501036,6.92361672385741e-06
6,WASHINGTON,2,0.230519115421332,0.0002700918178493
7,WASHINGTON,2,0.0023192920676716,2.28161080339318e-07
8,WASHINGTON,2,0.0223838212727985,7.83357859196396e-06
9,WASHINGTON,2,0.0028054749098348,5.39668769147438e-07
10,WASHINGTON,2,0.0051890305802143,1.21291991697518e-06
11,WASHINGTON,2,0.0013263529611024,1.30530035172994e-07
12,WASHINGTON,2,0.0031099263054254,3.50082078643935e-07
13,WASHINGTON,2,0.0012026255151998,9.86219973948714e-08
14,WASHINGTON,2,0.0005270959504254,1.90790639926405e-08
15,WASHINGTON,2,0.0016813962644984,1.73945670880833e-07
16,WASHINGTON,2,0.0009038399733939,3.43522280012524e-08
17,WASHINGTON,2,0.0006122235391865,2.42284386255696e-08
18,WASHINGTON,2,0.0072870543162004,1.78880414791482e-06
19,WASHINGTON,2,0.0321198619466325,1.87719325148029e-05
20,WASHINGTON,2,0.0149047266143672,9.77280128858358e-07
21,WASHINGTON,2,0.029733945533297,1.28165817861016e-05
22,WASHINGTON,2,0.0170560756809564,6.64966335287672e-06
23,WASHINGTON,2,0.0098842790006473,5.17335877646559e-07
24,WASHINGTON,2,0.00395135490361,1.63494946103585e-07
25,WASHINGTON,2,0.0042118631173203,9.74538970369081e-07
26,WASHINGTON,2,0.0020497304901888,2.66714933451709e-07
27,WASHINGTON,2,0.003408504481286,6.85993855427095e-07
28,WASHINGTON,2,0.0656673166116956,7.32691412838485e-05
29,WASHINGTON,2,0.0037502461497272,4.09186105405775e-07
30,WASHINGTON,2,0.390415470204298,0.0028627005463225
31,WASHINGTON,2,0.0025261271592811,4.60732093685131e-07
32,WASHINGTON,2,0.0076701926489983,2.27514145972456e-06
33,WASHINGTON,2,0.0010824484634375,7.51232714343235e-08
34,WASHINGTON,2,0.001387297425346,1.06430733649307e-07
35,WASHINGTON,2,0.0021652642298712,2.6512552501943e-07
36,WASHINGTON,2,0.0017035035317777,1.21397019059322e-07
37,WASHINGTON,2,0.0228160539478981,9.75870258418022e-06
38,WASHINGTON,2,0.0009009425023259,4.11112697556346e-08
39,WASHINGTON,2,0.005982218162224,1.03153348066776e-06
40,WASHINGTON,2,0.0151563736674579,2.05128846578996e-06
41,WASHINGTON,2,0.0008755285801653,4.41722809477163e-08
42,WASHINGTON,2,0.218517191933079,0.0014297511276186
43,WASHINGTON,2,0.145803689165333,0.0004506073104805
44,WASHINGTON,2,1.40813654643371,0.0182771774915049
45,WASHINGTON,2,0.0016920580095613,1.49237462418265e-07
46,WASHINGTON,2,0.0362745854952295,2.49224048224821e-05
47,WASHINGTON,2,0.0203304896237967,1.64817405005265e-05
48,WASHINGTON,2,0.0041173182933585,4.53250509877416e-07
49,WASHINGTON,2,0.0063534583146592,1.56282133171474e-06
50,WASHINGTON,2,0.0013910737756444,1.17663146789955e-07
51,WASHINGTON,2,0.0036795922052212,8.10087878484707e-07
52,WASHINGTON,2,0.0024056481036393,3.03290892541271e-07
53,WASHINGTON,2,0.296346119693085,0.000909807753763
54,WASHINGTON,2,0.0015968345204495,1.05652034991557e-07
55,WASHINGTON,2,0.0032078612006255,3.33464544960546e-07
56,WASHINGTON,2,0.0549969486903482,5.68179894784106e-05
57,WASHINGTON,2,0.002587407719534,3.32458186879747e-07
58,WASHINGTON,2,0.0074332451646302,3.50542345576965e-06
59,WASHINGTON,2,0.0016587110727064,9.16441075588848e-08
60,WASHINGTON,2,0.0074283400065693,1.71619614912126e-06
61,WASHINGTON,2,0.0819417103037144,0.0001103920770331
62,WASHINGTON,2,0.0086612481153276,2.04617053245571e-06
63,WASHINGTON,2,0.0015181047219763,1.71955647039822e-07
64,WASHINGTON,2,0.0008873070343442,5.43396174383914e-08
65,WASHINGTON,2,0.0029356810017906,5.46704782931277e-07
66,WASHINGTON,2,0.0018007043661005,1.45518205860383e-07
67,WASHINGTON,2,0.0027916229008581,4.01404249664015e-07
68,WASHINGTON,2,0.0036761595182731,7.76641403252533e-07
69,WASHINGTON,2,0.0579107340453967,6.74193110933536e-05
70,WASHINGTON,2,0.004424760222898,1.03837843944816e-06
71,WASHINGTON,2,0.0004418020126061,1.01070468998329e-08
72,WASHINGTON,2,0.0009704841983713,6.12263662149698e-08
73,WASHINGTON,2,0.0005355179233228,1.73137917857255e-08
74,WASHINGTON,2,0.0034462426712418,1.47706525384749e-07
75,WASHINGTON,2,0.0095703549676524,4.56902346013636e-06
76,WASHINGTON,2,0.0062669280697413,7.38636784158425e-07
77,WASHINGTON,2,0.0161843161137112,1.10202125394857e-05
78,WASHINGTON,2,0.0243803186238841,2.7887135527186e-05
79,WASHINGTON,2,0.127961144971646,0.0002510597615251
80,WASHINGTON,2,0.0041043016240851,7.93807326730138e-07
81,WASHINGTON,2,0.0015476387170005,1.53909187336428e-07
