OBJECTID,OHIOCODE,ALT_OHIOCODE,NAME,OLD_NAME,Q100,SHAPE_Length,SHAPE_Area
1,D549116,49116D5,,,A149116,0.500027617039959,0.0156267261108608
2,D449116,49116D4,,,A149116,0.500024178028279,0.015626511158747
3,D349116,49116D3,,,A149116,0.500023320026881,0.0156264575318211
4,D649116,49116D6,,,A149116,0.500029011037658,0.0156268132397011
5,D249116,49116D2,,,A149116,0.500020092029473,0.0156262557700227
6,D749116,49116D7,,,A149116,0.500033372071362,0.0156270858211246
7,D149116,49116D1,,,A149116,0.500021149049584,0.0156263218380083
8,D849116,49116D8,,,A149116,0.500035777061108,0.0156272361405124
9,D149117,49117D1,,,A149117,0.500033247014189,0.015627077996047
10,D249117,49117D2,,,A149117,0.500033567023638,0.0156270979973149
11,D349117,49117D3,,,A149117,0.500032103038721,0.0156270064887009
12,D449117,49117D4,,,A149117,0.500031840067764,0.0156269900512122
13,D549117,49117D5,,,A149117,0.500035222160472,0.0156272014524445
14,D649117,49117D6,,,A149117,0.500036438163218,0.0156272774560336
15,D749117,49117D7,,,A149117,0.500038525126551,0.0156274079047009
16,D849117,49117D8,,,A149117,0.500036824118377,0.015627301586035
17,D149118,49118D1,,,A149118,0.500038064307675,0.0156273791013006
18,D249118,49118D2,,,A149118,0.500039475287162,0.0156274672910549
19,D349118,49118D3,,,A149118,0.500037686152408,0.0156273554602069
20,D449118,49118D4,,,A149118,0.500037870145578,0.0156273669596816
21,D549118,49118D5,,,A149118,0.500033897026445,0.0156271186185076
22,D349119,49119D3,,,A149119,0.500028760100632,0.0156267975523923
23,D249119,49119D2,,,A149119,0.500024273046907,0.0156265170868805
24,D149119,49119D1,,,A149119,0.50002569704115,0.0156266060890445
25,D849118,49118D8,,,A149118,0.500026955042477,0.0156266847136239
26,D649118,49118D6,,,A149118,0.500033355026319,0.0156270847423144
27,D749118,49118D7,,,A149118,0.500028829033185,0.0156268018415838
28,D449119,49119D4,,,A149119,0.500030524080801,0.0156269078043415
29,D549119,49119D5,,,A149119,0.500031292131471,0.0156269558080431
30,D649119,49119D6,,,A149119,0.500029696135518,0.015626856054854
31,D749119,49119D7,,,A149119,0.50003296649534,0.0156270604507841
32,D849119,49119D8,,,A149119,0.500033510528991,0.0156270944512252
33,D149120,49120D1,,,A149120,0.500032441485464,0.0156270276334145
34,D249120,49120D2,,,A149120,0.500031234521284,0.0156269521926833
35,D349120,49120D3,,,A149120,0.500028155346816,0.015626759742188
36,D449120,49120D4,,,A149120,0.500026818346428,0.0156266761754534
37,D549120,49120D5,,,A149120,0.5000221771879,0.015626386097017
38,D649120,49120D6,,,A149120,0.500020676190709,0.015626292281827
39,D749120,49120D7,,,A149120,0.500017394109907,0.015626087147716
40,D849120,49120D8,,,A149120,0.500016269109758,0.0156260168331036
41,D149121,49121D1,,,A149121,0.50001382206161,0.0156258638895376
42,D249121,49121D2,,,A149121,0.500013075059292,0.0156258172006103
43,D449121,49121D4,,,A149121,0.500011727073398,0.0156257329480822
44,D349121,49121D3,,,A149121,0.500012406014477,0.0156257753839761
45,D549121,49121D5,,,A149121,0.500008176025955,0.015625511005673
