OBJECTID,Q250,SHAPE_Length,SHAPE_Area
1,A149116,6.00030972078202,2.00022627732978
2,A149118,6.00032934859231,2.0002431805764
3,A149120,6.00019475118635,2.00013484009891
4,A149122,6.00016474934723,2.00008823836358
5,A149124,6.00015201924335,2.00007271860393
6,A148116,6.00020695533963,2.00013109701235
7,A148118,6.00023353286008,2.0001370060406
8,A148120,6.00015343085524,2.00009812571598
9,A148122,6.00018251461041,2.00010802163032
10,A148124,6.00014923475642,2.00007681166375
11,A147116,6.00017182904267,2.00009914168338
12,A147118,6.00022174375958,2.00011881283877
13,A147120,6.00011405296823,2.00005836672303
14,A147122,6.00012568580839,2.00005783953986
15,A147124,6.00012540104502,2.00005542554034
16,A146116,6.0001805444875,2.00010827409212
17,A146118,6.00022290930765,2.00012010157508
18,A146120,6.00009200665699,2.00004113168693
19,A146122,6.00008801180183,2.00002995097503
20,A146124,6.00011945998764,2.00004458941199
21,A145116,6.00015853269963,2.0000742513917
22,A145118,6.00017661023435,2.0000869044398
23,A145120,6.0000957483436,2.00004220789138
24,A145122,6.00007843947173,2.00003447647412
25,A145124,6.00015080174165,2.000069777457
26,A144116,6.0001491327795,2.00006695727097
27,A144118,6.000123687305,2.00004985704063
28,A144120,6.00011832681443,2.00005870562058
29,A144122,6.00010028495421,2.00004474981038
30,A144124,6.00012924124962,2.00005309122102
31,A143116,6.00015183452485,2.00007736588396
32,A143118,6.00012430337038,2.00005687133896
33,A143120,6.00009832744193,2.00003707206573
34,A143124,6.00014318342047,2.00007473189926
35,A143122,6.00014881235459,2.00007471814347
36,A142116,6.00011192529485,2.00004438182794
37,A142118,6.00010968032586,2.00003989351792
38,A142120,6.00009342949814,2.000030999369
39,A142122,6.00012344571458,2.00005357641541
40,A142124,6.00013046336064,2.00006111417454
41,A141116,6.00009331328721,2.00003519548877
42,A141118,6.00012569621512,2.0000539014195
43,A141120,6.00010967036554,2.00004572916519
44,A141122,6.0001080066439,2.00004057695295
45,A141124,6.00010798225509,2.00004130411664
