OBJECTID,RMA_DSG,RMA_NAME,RMZ_NAME,BLM_ORG_CD,PLANID,GIS_ACRES,WEB_DOC_PATH,GLOBALID,SHAPE_Length,SHAPE_Area
1,PLND,,,ORL05,Unknown,52.7898931,,{22C510BF-21F3-4D4D-ADC4-3F2323220334},2882.59137534419,386814.113103708
2,PLND,,,ORL04,Unknown,194.7396926,,{C7A46636-4905-4D0D-A4A2-F3259CE66C21},4798.58387600207,1428058.25184831
3,PLND,,,ORL04,Unknown,83.83475777,,{12D08E7D-CD30-4AEA-93EC-8BBB80F63389},4797.25080877546,614914.775587071
4,ERMA,,,ORV04,Unknown,190.71966233,,{4C468B47-2AF4-48ED-B111-70014E6D76DD},6439.37911268547,1399429.26827651
5,PLND,,,ORM06,Unknown,17.00463703,,{DFE6329A-4B19-4921-871A-824887252491},1547.43038942109,124813.158715679
6,PLND,,,ORL04,Unknown,135.75585483,,{16778A7B-7D86-4C40-9E29-4B9289AF71C1},5508.24424819444,996107.399303322
7,PLND,,,ORL04,Unknown,24.87529005,,{6E6ED385-2023-4716-A80F-24F689F9D7C4},1763.87751867142,182551.520618989
8,PLND,,,ORM06,Unknown,64.8911024,,{3337674F-3468-41D7-8FBA-C6A05CB3CD0B},3036.75698418113,476311.056971446
9,PLND,,,ORM07,Unknown,38.92975245,,{E80506CC-564B-4E5D-B9E7-73BAC055C2E4},2138.28420111414,285741.962770231
10,PLND,,,ORM07,Unknown,41.22718962,,{AC643928-6BCA-40CF-A2E5-DC2A219DF8BB},2200.9540147141,302606.745103704
11,PLND,,,ORL04,Unknown,168.07724915,,{F39B25D3-D091-4935-A17B-905ABF9D4C37},4776.656112232,1233572.35743732
12,PLND,,,ORL04,Unknown,39.84812222,,{05CC2E5A-48BA-476D-BD36-7C3A66256B63},2163.23828242573,292456.356435629
13,PLND,,,ORL04,Unknown,92.22521647,,{FE2ED24F-E10C-40B2-84F8-30F436F78FE4},5009.40079704099,676946.513438722
14,PLND,,,ORB06,Unknown,641.89345329,,{2A929FC2-9059-4B76-9158-4EE2777FB044},12715.7957008573,4709386.62708243
15,PLND,,,ORL04,Unknown,0.44883922,,{308FF600-D5EA-4A49-B10C-61FFF2007272},422.920998396987,3293.83394019827
16,PLND,,,ORL04,Unknown,200.8864536,,{4C1A04FC-E2AF-43EF-A936-6B94E8A12EA0},5793.07207804129,1474416.58068642
17,PLND,,,ORL04,Unknown,210.25863318,,{4FC5366D-6F1B-4AC3-9C3E-058DCF3C534C},6108.85264061787,1543205.41354277
18,PLND,,,ORL04,Unknown,212.85684577,,{B0DFF834-029C-4573-9F97-ACC4B0A05A05},6546.6176140105,1562350.20163355
19,PLND,,,ORM07,Unknown,80.87277506,,{365DA1DD-6CE0-4F98-840D-46F943B0B441},3273.77657964372,593704.401771599
20,PLND,,,ORL04,Unknown,80.53803618,,{0098D882-82FB-48A4-91E7-434E3C541B17},3264.28026982015,590899.681405036
21,PLND,,,ORL04,Unknown,80.81978299,,{C4D95B67-E3DE-4952-8471-A4915CED6AB1},3268.8741442007,593271.502770038
22,PLND,,,ORL04,Unknown,1.57651889,,{F32DA99D-8934-4D84-B8DA-7405357524AD},1156.02034949641,11573.5014516468
23,PLND,,,ORL04,Unknown,30.78537303,,{4FD2956B-5171-4FD1-B801-50A0D6E67AB1},1996.31376145923,226014.196255223
24,ERMA,Klamath River WSR,Upper Klamath River,ORL04,Southwestern Oregon RMP 2016,9.60844547,https://eplanning.blm.gov/public_projects/lup/57902/88402/105789/Klamath_Falls_RMA.pdf#page=20,{E1369E83-FD8E-4BA9-959A-9667B00873EB},1318.77846857618,70539.5246870241
25,PLND,,,ORL04,Unknown,79.4957441,,{2FA7FB68-D236-41C7-8D2C-BBF2138CAD0C},3245.01757585305,583611.53328725
