OBJECTID,UNIT_ID,UNIT_NAME,Polygon_ID,Polygon_ID_Alt_C,Mtrx_Conservation_Score,Mtrx_Consump_Use_Score,Mtrx_Signal,RAC_Hydro_Final_Rating,RAC_Veg_Category,RAC_Calc_Adjac,RAC_Model_Recommend,RAC_Edge_Desig,No_Action_Recommend,Alternative_B_Recommend,Mtrx_Recommnd,Poly_DESG,Polygon_ID_Alt_A,Polygon_ID_Alt_B,Polygon_ID_Alt_D,Contig_WSA,VRM_CLASS,OWNER_TYPE,FEDERAL_STATUS,JURIS_NAME,JURIS_SOURCE,SMA_ID,HOLD_ID,BLM_ORG_CD,DIST_NAME,RA_NAME,AUTH_NAME,ISLAND_NAME,Property_Status_1,GIS_Acres_VRM_Class,AltA_VRM,AltB_VRM,AltC_VRM,AltD_VRM,P_ALT_VRM,SHAPE_Length,SHAPE_Area
1,OR-034-053,McNulty,McNulty,McNulty,18.799999,25.5,Strong,NR,I,I,1,Not Considered,1.0,1,1,WIU,McNulty,McNulty,McNulty,Yes,,0,,,,0.0,0.0,,,,,,,0.0232569616358897,II,II,II,II,II,12112.8940743244,94.1175845617089
2,OR-034-060,Clark Ranch,Clark Ranch,Clark Ranch,19.799999,23.200001,Divergent,ND,II,I,1,1,1.0,1,1,WIU,Clark Ranch,Clark Ranch,Clark Ranch,Yes,,0,,,,0.0,0.0,,,,,,,0.0083485108117994,II,II,II,II,II,7707.41196787471,33.7852245962069
3,OR-034-059,Rinehart Creek,Rinehart Creek,Rinehart Creek,23.5,31.200001,Strong,NR,II,I,1,1,1.0,1,1,WIU,Rinehart Creek,Rinehart Creek,Rinehart Creek,Yes,,0,,,,0.0,0.0,,,,,,,0.0024900396254533,II,II,II,II,II,1334.56153036013,10.0768328502964
4,OR-034-007,West Fork Bendire,West Fork Bendire,West Fork Bendire,16.299999,23.9,Weak,1,II H,II,1,Not Considered,1.0,1,1,WIU,West Fork Bendire,West Fork Bendire,West Fork Bendire,No,,0,,,,0.0,0.0,,,,,,,0.0925734963620155,II,II,II,II,II,34468.0554115098,374.631648296643
5,OR-036-035,Oregon Canyon Cont ,Oregon Canyon Cont C,Oregon Canyon Cont C,16.799999,27.4,Divergent,1,I,I,1,Not Considered,1.0,1,1,WIU,Oregon Canyon Cont C,Oregon Canyon Cont C,Oregon Canyon Cont C,Yes,,0,,,,0.0,0.0,,,,,,,0.021022625682025,II,II,II,II,II,14518.9897918484,85.0755477570108
6,OR-036-035,Oregon Canyon Cont ,Oregon Canyon Cont D,Oregon Canyon Cont D,16.799999,27.4,Divergent,1,II,I,1,Not Considered,1.0,1,1,WIU,Oregon Canyon Cont D,Oregon Canyon Cont D,Oregon Canyon Cont D,Yes,,0,,,,0.0,0.0,,,,,,,8.84324734838984e-05,II,II,II,II,II,48.3883068895528,0.357873523267032
7,OR-036-035,Oregon Canyon Cont ,Oregon Canyon Cont F,Oregon Canyon Cont F,16.799999,27.4,Divergent,2,II,I,1,1,1.0,1,1,WIU,Oregon Canyon Cont F,Oregon Canyon Cont F,Oregon Canyon Cont F,Yes,,0,,,,0.0,0.0,,,,,,,0.0205687338429942,II,II,II,II,II,13840.5646919134,83.2387126531178
8,OR-036-052,Lower Cow Lake ,Lower Cow Lake C,Lower Cow Lake C,16.5,24.6,Divergent,NR,I,I,1,Not Considered,1.0,1,1,WIU,Lower Cow Lake C,Lower Cow Lake C,Lower Cow Lake C,Yes,,0,,,,0.0,0.0,,,,,,,0.0315829373248675,II,II,II,II,II,348.621342524668,127.811612751397
9,OR-036-052,Lower Cow Lake ,Lower Cow Lake D,Lower Cow Lake D,16.5,24.6,Divergent,NR,I,I,1,Not Considered,1.0,1,1,WIU,Lower Cow Lake D,Lower Cow Lake D,Lower Cow Lake D,Yes,,0,,,,0.0,0.0,,,,,,,0.0693886786694236,II,II,II,II,II,1623.23396763355,280.806019915211
10,OR-036-052,Lower Cow Lake ,Lower Cow Lake E,Lower Cow Lake E,16.5,24.6,Divergent,NR,I,I,1,Not Considered,1.0,1,1,WIU,Lower Cow Lake E,Lower Cow Lake E,Lower Cow Lake E,Yes,,0,,,,0.0,0.0,,,,,,,0.0001016382381038,I,II,II,II,II,49.6885485338291,0.411315356632087
