OBJECTID,VRI_CLASS,DISTANCE_ZONE,VRI_SCENIC,VRI_SENSITIVITY,VRI_AREA_ID,BLM_ORG_CD,GIS_ACRES,SHAPE_Length,SHAPE_Area
1,IV,SS,C,MOD,VRIORL040000410,ORL04,0.10717675,0.0185810240099382,4.75979761733457e-08
2,IV,SS,B,HIGH,VRIORL040000399,ORL04,194.74043392,0.0370481634011141,8.5643432923195e-05
3,IV,SS,C,MOD,VRIORL040000410,ORL04,83.83668728,0.0396799545499419,3.68775149994085e-05
4,IV,FM,C,MOD,VRIORL040000407,ORL04,135.75585815,0.0466142077056425,5.97321646231037e-05
5,IV,SS,C,MOD,VRIORL040000410,ORL04,24.87527884,0.0142991718704665,1.09466782362666e-05
6,IV,SS,B,MOD,VRIORC000000271,ORC00,13.61590937,0.015385234707723,5.99254933543207e-06
7,III,FM,B,MOD,VRIORC000000441,ORC00,25.31396825,0.0192463551301153,1.11412434373449e-05
8,IV,SS,B,MOD,VRIORC000000270,ORC00,28.25129018,0.0180140255636659,1.24340833026017e-05
9,III,FM,B,MOD,VRIORC000000440,ORC00,12.97602492,0.010194429252333,5.71098581007684e-06
10,IV,SS,C,MOD,VRIORL040000410,ORL04,166.44234977,0.0393580546507333,7.32490952687204e-05
11,IV,FM,C,MOD,VRIORL040000407,ORL04,4.9825535,0.0065739084682789,2.19269205229242e-06
12,IV,SS,C,MOD,VRIORL040000410,ORL04,34.86556717,0.0163928373327251,1.53436277960172e-05
13,IV,SS,C,LOW,VRIORL040000409,ORL04,92.51040855,0.0436014716593728,4.07161278064862e-05
14,IV,FM,C,MOD,VRIORL040000407,ORL04,0.44883945,0.0037119073939144,1.97499453568274e-07
15,IV,SS,C,MOD,VRIORL040000410,ORL04,192.30462347,0.0486119698569171,8.46326400614543e-05
16,IV,SS,C,MOD,VRIORL040000410,ORL04,210.25864396,0.0484292627082299,9.25329400840238e-05
17,II,SS,A,HIGH,VRIORL040000392,ORL04,114.57152582,0.0396586468198898,5.04246239191083e-05
18,II,SS,A,MOD,VRIORL040000394,ORL04,39.90004197,0.0246657835595151,1.75602552355428e-05
19,IV,SS,C,MOD,VRIORL040000410,ORL04,58.08131246,0.0207693870824555,2.55617261559221e-05
20,IV,SS,B,MOD,VRIORC000000270,ORC00,78.41082959,0.0239143063182313,3.45136498856064e-05
21,IV,BG,B,MOD,VRIORC000000316,ORC00,2.46183175,0.0045701527908752,1.08366673261045e-06
22,IV,SS,B,HIGH,VRIORL040000399,ORL04,80.53804105,0.0242906048236472,3.5428889758105e-05
23,IV,SS,C,MOD,VRIORL040000410,ORL04,80.81978127,0.024330341603486,3.55708715708412e-05
24,II,SS,A,HIGH,VRIORL040000392,ORL04,41.97417879,0.0173906438509338,1.84755082161625e-05
25,IV,SS,C,MOD,VRIORL040000410,ORL04,79.49574421,0.0266558775837523,3.49903965803378e-05
26,IV,SS,B,MOD,VRIORC000000270,ORC00,31.74795136,0.0155538347030212,1.39753453324797e-05
27,IV,SS,B,MOD,VRIORC000000270,ORC00,0.16056444,0.0016042796937175,7.06822436130786e-08
28,III,FM,B,MOD,VRIORC000000440,ORC00,7.21847898,0.0094864538372765,3.17763334513779e-06
29,IV,SS,B,MOD,VRIORC000000271,ORC00,0.53769106,0.0032988543341258,2.36693575934153e-07
30,IV,SS,B,MOD,VRIORC000000271,ORC00,0.00525705,0.0002340338766373,2.3141487779861703e-09
31,IV,SS,B,MOD,VRIORC000000271,ORC00,12.57713958,0.0119431588951033,5.5362746181434e-06
32,III,FM,B,MOD,VRIORC000000441,ORC00,24.88295135,0.0144980366503503,1.09533936684493e-05
33,III,FM,B,MOD,VRIORC000000441,ORC00,0.44661908,0.0036103173811272,1.96593968102679e-07
34,IV,SS,C,MOD,VRIORL040000410,ORL04,121.65480988,0.0342157883040199,5.35462288570579e-05
35,II,FM,A,HIGH,VRIORM000001056,ORM00,80.98499681,0.0269278508003647,3.56526567263629e-05
36,IV,SS,B,MOD,VRIORC000000271,ORC00,489.99874916,0.071784869466096,0.0002156859957638
37,IV,SS,B,MOD,VRIORC000000271,ORC00,42.55677862,0.0217076712775581,1.8732851342846e-05
38,IV,SS,B,MOD,VRIORC000000271,ORC00,4.83479119,0.009810623113225,2.1279519188201e-06
39,IV,SS,B,MOD,VRIORC000000271,ORC00,2.42516576,0.0084015675957619,1.06722755630624e-06
40,IV,SS,B,MOD,VRIORC000000271,ORC00,1.60771848,0.0034935098564639,7.07469084980998e-07
41,III,FM,B,MOD,VRIORC000000441,ORC00,526.14620688,0.121801620741571,0.0002315759695325
42,III,FM,B,MOD,VRIORC000000442,ORC00,79.92978533,0.0316652854046774,3.51827132672976e-05
43,IV,SS,C,MOD,VRIORL040000410,ORL04,283.93141354,0.0586336083467279,0.0001249738182692
44,IV,SS,C,MOD,VRIORL040000410,ORL04,652.63694426,0.0685496729561921,0.0002872622445351
45,III,FM,C,HIGH,VRIORL040000405,ORL04,358.37059148,0.0651046219610076,0.0001577302538478
46,IV,FM,C,MOD,VRIORL040000407,ORL04,20.21872509,0.0239402671828307,8.89775415352652e-06
47,IV,SS,C,MOD,VRIORL040000410,ORL04,98.73945212,0.0430204107098508,4.34565214820077e-05
48,IV,FM,C,MOD,VRIORL040000407,ORL04,40.18153771,0.0169915247107064,1.76849910823817e-05
49,II,SS,A,HIGH,VRIORL040000392,ORL04,386.82083179,0.0737515210833288,0.0001702633282189
50,IV,SS,C,LOW,VRIORL040000409,ORL04,133.1641974,0.0411263045767148,5.86190975361874e-05
51,IV,SS,C,MOD,VRIORL040000410,ORL04,39.82797496,0.0169438654792221,1.75323962882027e-05
52,II,SS,A,HIGH,VRIORL040000392,ORL04,2.11638739,0.0038609710303809,9.31659122685262e-07
53,IV,SS,C,MOD,VRIORL040000410,ORL04,76.90699033,0.0244770597204409,3.38536890803385e-05
54,IV,SS,B,MOD,VRIORC000000270,ORC00,81.61322662,0.0244812474578393,3.59311857125623e-05
55,IV,SS,B,HIGH,VRIORL040000399,ORL04,119.80504814,0.0314368226623794,5.27121125583686e-05
