OBJECTID,WSA_NAME,WSA_NO,WSA_SUIT,BLM_ORG_CD,AUTH_NAME,BOUNDARY_STATUS,GIS_ACRES,SHAPE_Length,SHAPE_Area
1,Thirtymile WSA,5-1,N,ORP04,,Unknown,197.69409352,0.067816602593177,9.16023233427324e-05
2,inholding,inholding,X,ORP04,,Unknown,39.6369499,0.0174037783064932,1.83666356918787e-05
3,North Pole Ridge WSA,5-8,N,ORP04,,Unknown,532.95975775,0.108294748734069,0.0002467623852537
4,inholding,inholding,X,ORP04,,Unknown,39.42236039,0.0173438514108534,1.82510319057082e-05
5,inholding,inholding,X,ORP04,,Unknown,40.61491892,0.0211548357907495,1.88032432743494e-05
6,inholding,inholding,X,ORP04,,Unknown,13.75556014,0.0132504638617419,6.36793308029207e-06
7,inholding,inholding,X,ORP04,,Unknown,39.97677309,0.0174457279077878,1.85031708635934e-05
8,inholding,inholding,X,ORP04,,Unknown,120.85505204,0.0350182377118019,5.59317326187898e-05
9,inholding,inholding,X,ORP04,,Unknown,39.95349125,0.0174384925711911,1.84900697089619e-05
10,Deschutes Canyon WSA,FS6321,N,ORP06,,Unknown,106.78144806,0.0360342681829506,4.89005057862785e-05
11,Deschutes Canyon-Steelhead Falls WSA,5-14,N,ORP06,,Unknown,5.15636043,0.0087133826528898,2.36137484778062e-06
12,Deschutes Canyon WSA,FS6321,N,ORP06,,Unknown,6663.07783558,0.635041315757512,0.0030482126008923
13,Deschutes Canyon WSA,FS6321,N,ORP06,,Unknown,723.07853774,0.101222025417907,0.0003310506470713
14,Deschutes Canyon-Steelhead Falls WSA,5-14,N,ORP06,,Unknown,6.37765434,0.0093864327186271,2.92043519765738e-06
15,Deschutes Canyon WSA,FS6321,N,ORP06,,Unknown,162.02458152,0.0429936432853001,7.41823455359846e-05
16,Deschutes Canyon WSA,FS6321,N,ORP06,,Unknown,3.79763191,0.0088997171787189,1.73861123433074e-06
17,Deschutes Canyon WSA,FS6321,N,ORP06,,Unknown,157.53430467,0.0447945364832369,7.21128967205733e-05
18,Deschutes Canyon WSA,FS6321,N,ORP06,,Unknown,20.81454578,0.0128165048981763,9.52732273587117e-06
19,Deschutes Canyon WSA,FS6321,N,ORP06,,Unknown,1420.36030281,0.211131163759037,0.0006500006435083
20,Deschutes Canyon WSA,FS6321,N,ORP06,,Unknown,82.78367009,0.0277638635227502,3.78877099137591e-05
21,Deschutes Canyon WSA,FS6321,N,ORP06,,Unknown,10.02063442,0.0128180972145476,4.58559785699791e-06
22,Deschutes Canyon WSA,FS6321,N,ORP06,,Unknown,40.69791631,0.017501582732293,1.86228866105993e-05
23,Deschutes Canyon WSA,FS6321,N,ORP06,,Unknown,6.99726562,0.0088549846788532,3.20148266319426e-06
24,Deschutes Canyon WSA,FS6321,N,ORP06,,Unknown,1080.55054507,0.181796006146809,0.0004941411334208
25,Deschutes Canyon WSA,FS6321,N,ORP06,,Unknown,398.20675801,0.0921467523197617,0.0001821367538499
26,Deschutes Canyon WSA,FS6321,N,ORP06,,Unknown,0.6122916,0.0025304745328032,2.80108930515041e-07
27,Deschutes Canyon WSA,FS6321,N,ORP06,,Unknown,186.52100918,0.0470790290654198,8.53046964492682e-05
28,,roadout,X,ORP06,,Unknown,0.32204287,0.0049337834133364,1.47286371116672e-07
29,Deschutes Canyon WSA,FS6321,N,ORP06,,Unknown,1397.92267196,0.18643929679504,0.0006391322507943
30,Deschutes Canyon WSA,FS6321,N,ORP06,,Unknown,12.17477345,0.0129613824438583,5.56789950300608e-06
31,Deschutes Canyon WSA,FS6321,N,ORP06,,Unknown,54.84492485,0.0293343774427064,2.50811452984817e-05
32,,roadout,X,ORP06,,Unknown,1.79675792,0.0253253918474151,8.21674987683867e-07
33,inholding,inholding,X,ORP04,,Unknown,80.06863485,0.0277623564571216,3.70525340226363e-05
