OBJECTID,ADMIN_ST,NLCS_ID,NLCS_NAME,CASEFILE_NO,DESIG_DATE,wildType,GlobalID,Shape__Area,Shape__Length
1,UT,NLCS000879,Mexican Mountain,UTU    094187,2019/03/12 00:00:00+00,Designated Wilderness,{C1B358AB-B103-47FA-B680-BBA0FD0963EF},82123.3280155,1333.80280804125
2,UT,NLCS000879,Mexican Mountain,UTU    094187,2019/03/12 00:00:00+00,Designated Wilderness,{3923EA26-9A94-45AF-BA4C-A8B4C0A16D4C},337581914.084559,215316.373746268
3,UT,NLCS000864,Deep Creek North,UTU    087506,2009/03/30 00:00:00+00,Designated Wilderness,{8819CA4A-16F3-47F4-BCC8-4D73B84AF906},214332.474672695,3539.29802987064
4,UT,NLCS000856,Beaver Dam Mountains,UTU    079162P1,2001/01/19 00:00:00+00,Acquired Wilderness,{14BD31E8-AE37-4AED-AA53-6330011D33E3},1434872.76732236,4899.8633051237
5,UT,NLCS000859,Canaan Mountain,UTU    087501,2009/03/30 00:00:00+00,Designated Wilderness,{EC13C747-4994-48D0-AE17-C0F2F4F253E9},179874992.046375,129498.144517522
6,UT,NLCS000878,Turtle Canyon,UTU    094196,2019/03/12 00:00:00+00,Designated Wilderness,{E89BA77C-63E6-49D7-9F8F-4C38F7A2A2BF},131128711.447063,64009.5651681465
7,UT,NLCS000860,Cedar Mountain,UTU    088184,2006/01/06 00:00:00+00,Designated Wilderness,{3D660090-33BD-4A1F-91E6-2C4BB347621E},61206984.8358289,46491.4772696036
8,UT,NLCS000891,Red's Canyon,UTU    094192,2019/03/12 00:00:00+00,Designated Wilderness,{7710098C-3419-4A50-BEDC-58673148C890},78614747.0154175,44903.5576300089
9,UT,NLCS000877,Desolation Canyon,UTU    094178,2019/03/12 00:00:00+00,Designated Wilderness,{887EC2C8-2F07-4A71-8BC9-6833F869DD51},25192.692654505,1046.5384262578
10,UT,NLCS000886,Lower Last Chance,UTU    094186,2019/03/12 00:00:00+00,Designated Wilderness,{B38C272D-E34B-4ABF-B677-154DB2BDA323},87466161.8582239,48771.9498109528
11,UT,NLCS000885,Middle Wild Horse Mesa,UTU    094189,2019/03/12 00:00:00+00,Designated Wilderness,{262493C2-8255-4CC8-B82F-ABFCD20551D0},70922474.3733317,48046.6268660751
12,UT,NLCS000873,Taylor Creek,UTU    087513,2009/03/30 00:00:00+00,Designated Wilderness,{8DC711CE-EC5B-48A1-BDE2-AD2441C46809},141182.144899925,1510.06123411564
13,UT,NLCS000871,Red Mountain,UTU    087511,2009/03/30 00:00:00+00,Designated Wilderness,{23AFAEA5-0FE4-4B58-AAA2-499E34FAA99C},75632559.074866,57716.9943485026
14,UT,NLCS000864,Deep Creek North,UTU    087506,2009/03/30 00:00:00+00,Designated Wilderness,{F92B2167-03AB-489E-93F0-CBE82C0E6BCF},17094189.1932471,34514.6061840483
16,UT,NLCS000892,Muddy Creek,UTU    094190,2019/03/12 00:00:00+00,Designated Wilderness,{B5EF4C37-A51C-4A4B-B30D-8E6C18C475C7},30316.251011965,820.847466631185
17,UT,NLCS000866,Docs Pass,UTU    087507,2009/03/30 00:00:00+00,Designated Wilderness,{8F1194B5-8110-4E59-9FFD-E3347EFA5385},33504157.4112474,51172.4610427008
18,UT,NLCS000876,Labyrinth Canyon,UTU    094183,2019/03/12 00:00:00+00,Designated Wilderness,{8AA2A501-6EEC-4A65-9D1E-0797ADE71152},242928064.561145,236323.755840923
19,UT,NLCS000883,Eagle Canyon,UTU    094180,2019/03/12 00:00:00+00,Designated Wilderness,{EC2927B2-78B5-4CA9-9530-B7F02432F5D6},61013561.8652863,54258.4426587854
20,UT,NLCS000856,Beaver Dam Mountains,UTU    079162P1,2001/01/19 00:00:00+00,Acquired Wilderness,{32A4E3C9-C8F8-4EA8-B6E8-3B528CFA2AF2},1513861.45575919,5713.29814047409
21,UT,NLCS000888,Little Wild Horse Canyon,UTU    094185,2019/03/12 00:00:00+00,Designated Wilderness,{B82260A5-948F-4EEA-B4D9-2DE54F001C80},25228130.2423265,32512.793015931
22,UT,NLCS000863,Cougar Canyon,UTU    087504,2009/03/30 00:00:00+00,Designated Wilderness,{0D32477D-60F4-4BCF-9173-29579C4EDE77},43066005.4347963,41495.8465550731
24,UT,NLCS000882,Sid's Mountain,UTU    094194,2019/03/12 00:00:00+00,Designated Wilderness,{9B8B5C82-62F3-437C-ACFC-933D12B7B435},217532178.950655,130669.689969092
25,UT,NLCS000881,Cold Wash,UTU    094177,2019/03/12 00:00:00+00,Designated Wilderness,{3B83C866-A7BA-4F8A-ABCC-9112557711FD},50348848.3908952,47509.6281090885
26,UT,NLCS000880,San Rafael Reef,UTU    094193,2019/03/12 00:00:00+00,Designated Wilderness,{46AE5FB1-F0E7-4088-8D50-ABC4F8F02353},272445190.902533,117978.266946628
27,UT,NLCS000876,Labyrinth Canyon,UTU    094183,2019/03/12 00:00:00+00,Designated Wilderness,{6EFA761A-F4EF-4E5E-9DCD-999F7130C98B},323625.222593265,3157.66907743057
28,UT,NLCS000860,Cedar Mountain,UTU    088184,2006/01/06 00:00:00+00,Designated Wilderness,{8BA1B70F-7B46-4054-A473-77318A09B6BB},77549045.8441467,60482.4843091944
29,UT,NLCS000858,Black Ridge,UTU    087500,2009/03/30 00:00:00+00,Designated Wilderness,{8994458E-F364-4638-9F77-BB1695759918},53046466.5329,69071.9542553361
31,UT,NLCS000879,Mexican Mountain,UTU    094187,2019/03/12 00:00:00+00,Designated Wilderness,{8F8F97BA-5F61-4FA6-91B9-5B6F954F41E2},970572.80807945,5772.13392499931
