OBJECTID,COORD_SRC_TYPE,COORD_SRC2,DEF_FET_TYPE,DEF_FET2,ACCURACY_FT,GlobalID,ADMIN_ST,SHAPE_Length
1,UNK,UNK,UNK,UNK,-1,{7384346A-A482-42E4-A7D1-7B7A3FA36D7B},UT,348.23837530427
3,UNK,UNK,UNK,UNK,-1,{D226B485-9A0F-4417-A218-FDE90C50F84D},UT,782.089825425575
4,UNK,UNK,UNK,UNK,-1,{1C7D0CB7-F14F-4D82-80CD-7D5199A4A1EA},UT,5480.21835839475
5,UNK,UNK,UNK,UNK,-1,{57070448-7BA0-4D2D-A39E-D8A235E6A9B0},UT,3409.87059357319
6,MAP,MAP,UNK,UNK,-1,{35A6BC9E-37DB-4AA7-AE67-61E0B3639407},UT,18460.285100293
7,MAP,MAP,UNK,UNK,-1,{EC460861-09D1-465D-AA72-816A4472F8A5},UT,66497.4364084252
8,UNK,UNK,UNK,UNK,-1,{33984533-CEEF-4DEA-9646-C0BBA3D6AA42},UT,8334.31778963598
9,UNK,UNK,UNK,UNK,-1,{23ECD5ED-6646-4805-9BFD-139170E74096},UT,6051.25592574355
10,UNK,UNK,UNK,UNK,-1,{A38DFC78-AC18-4C6B-A036-627B342B3E16},UT,6697.43010394531
11,UNK,UNK,UNK,UNK,-1,{4D866D3A-2A5F-487C-B930-A3CD3B0237B6},UT,19356.2845011055
12,UNK,UNK,UNK,UNK,-1,{23E2CFD8-E073-4682-9D1F-3A5FB68A3EBC},UT,3777.53690900917
13,UNK,UNK,UNK,UNK,-1,{6619B77B-7EBB-467E-B658-E8E53BA87458},UT,8915.91598143656
14,UNK,UNK,UNK,UNK,-1,{98CF2EBD-39A6-4914-B0DC-68EFE8BECA92},UT,4465.13180078371
15,UNK,UNK,UNK,UNK,-1,{A78527FE-738C-4FD1-893C-84A769BAB753},UT,3049.95263260102
16,UNK,UNK,UNK,UNK,-1,{BA547C41-5083-4650-8CDC-C711F956FBB3},UT,2810.99843454687
17,UNK,UNK,UNK,UNK,-1,{3A16E3D1-6942-4421-9A63-41A9B42B987B},UT,2947.1776385839
18,UNK,UNK,UNK,UNK,-1,{0396FFF6-D4A7-412D-9D6C-30CD03BE67E9},UT,5521.73783723702
20,UNK,UNK,UNK,UNK,-1,{5730B94E-F68C-4047-A079-C43D7AC5387E},UT,2754.55684569777
21,UNK,UNK,UNK,UNK,-1,{ADB9BAA9-0708-4B03-89E8-E8EFD6CE4F4F},UT,3985.74141914044
