OBJECTID,ADMIN_ST,ADMU_NM,LUP_OHV_DSGNTN,GIS_ACRES,GlobalID,Shape__Area,Shape__Length
1,UT,Vernal Field Office,Limited,15.60460735,{DC703A3A-FCB0-49D9-8808-0348913C39D1},63149.605467655,6351.94533683768
2,UT,Vernal Field Office,Limited,3.47056731,{5193227B-1791-4A87-9B5D-23368A7D1F94},14044.88762513,480.53040432979
3,UT,Vernal Field Office,Limited,1.59217445,{8413FB79-C2BF-4160-8973-132AC1D37D9C},6443.301406845,1216.01066367373
4,UT,Vernal Field Office,Limited,11.12775354,{582AFD88-522A-45A3-95E7-DCF799BD9377},45032.42089992,6430.99453336135
5,UT,Vernal Field Office,Limited,2.05080323,{1264737A-91A0-45E8-9553-2791C33941E2},8299.30621502,2294.84173696278
6,UT,Vernal Field Office,Limited,24.34554878,{04E3201B-DE2F-4021-B8B4-EDFCB1DB5351},98522.940524465,3926.34514937331
7,UT,Monticello Field Office,Limited,4892.20834636,{33D2E459-72F8-4C0D-9E46-91A2A74E854C},19798064.7661706,24802.5763218872
8,UT,Vernal Field Office,Limited,3.85880579,{B95BDBD6-53C6-41D5-B155-35228B8BA64B},15616.03301157,1561.57832838852
9,UT,Vernal Field Office,Limited,9.86478819,{2914CA66-2FD5-41BF-AC6D-1556A5694AD9},39921.381424155,4821.10149832418
10,UT,Vernal Field Office,Limited,6.61856315,{A3F2EB7E-C3D9-4DC4-A56C-A726521DE7BD},26784.37478649,1599.99434948085
11,UT,Vernal Field Office,Limited,14.21598597,{1140F0A0-D606-4261-8101-FFFB5236DE2A},57530.054137595,6381.90566267451
12,UT,Vernal Field Office,Limited,0.41750965,{F51C034F-ADD1-4667-9EAC-D04A183A654C},1689.601616675,361.926084343727
13,UT,Vernal Field Office,Limited,8.40153212,{B61627DD-C600-473B-BDCC-53116C041356},33999.794237415,3093.64710495178
14,UT,Vernal Field Office,Limited,4.57081632,{E468096F-759C-4DED-8B97-D99B0658C332},18497.43740001,1438.5148338408
15,UT,Vernal Field Office,Limited,4.22674256,{C67CE320-7A86-4831-872F-1A22FAD331FC},17105.02029193,4483.76178136722
16,UT,Vernal Field Office,Limited,5.50165788,{6E7F2BE4-1AF7-4FA1-B907-539640C02953},22264.41951603,3218.99057631738
17,UT,Moab Field Office,Limited,0.26001072,{9AE561B8-2E00-4C6E-B04C-A9A58AA80CF5},1052.22603795,151.214678387452
18,UT,Monticello Field Office,Limited,3.26672847,{E63D3C99-E2F4-40A9-9A6C-5E68A71F7210},13219.981072705,2428.89470336344
19,UT,Monticello Field Office,Limited,32.96980874,{3F0FF896-C85F-4949-AB00-085EE7494ADA},133424.08223086,1461.43601353304
20,UT,Vernal Field Office,Limited,0.12084512,{43E64F25-0F31-45C7-8A82-B756CA0C0CD5},489.04285085,88.5579006773331
21,UT,Moab Field Office,Limited,701.49192693,{9C324C88-E54A-4ED8-9A65-E6A986740368},2838837.10975728,13729.9667572956
22,UT,Vernal Field Office,Limited,7.37193572,{AFC3196A-67F0-4D0D-8718-D649237BCB32},29833.16539472,2643.45529089978
23,UT,Vernal Field Office,Limited,638.32635181,{12395F15-6A3B-4C6F-B88F-18EBB2CA84B8},2583215.0964278,6424.50771902114
24,UT,Vernal Field Office,Limited,8.33861388,{6FB66498-519C-4DD5-8506-CC6CEC0F76D8},33745.173133945,3262.452167183
25,UT,Vernal Field Office,Limited,24.23143874,{3315F722-01F0-449D-95B9-0BB94DC490A4},98061.153479825,5660.82999516741
26,UT,Vernal Field Office,Limited,1239.47702925,{6FC8FA86-FB6A-459C-95ED-C0B5EDA87076},5015985.57623891,9497.89435615604
27,UT,Monticello Field Office,Limited,36.40520544,{F6418634-92BE-4E39-BE22-E1FB95362CA9},147326.63944825,1542.84995311907
28,UT,Vernal Field Office,Limited,13.34916109,{9EDC0C9B-31BB-4AC9-B712-00AE4240562A},54022.1382815,3253.63264006108
29,UT,Vernal Field Office,Limited,5.63513012,{52A3FB8B-FBE2-4E3D-996B-ECAED1E120A6},22804.56251759,2517.01898178559
30,UT,Monticello Field Office,Limited,1.47787417,{5A99B524-E7F6-47B9-BFD0-B112B3DF8225},5980.74456055,1457.79915992953
31,UT,Vernal Field Office,Limited,1.6006592,{9494880C-DE3F-43B4-BEC0-03B94C8907F1},6477.637974625,1471.39729425825
32,UT,Vernal Field Office,Limited,5.77023265,{4FBB7FA3-E83D-421F-B443-66D608EFF1BC},23351.30305476,1637.26309587863
33,UT,Vernal Field Office,Limited,6.07385393,{BAF0AD60-5658-4EEE-B655-82373DCF6740},24580.01479053,3026.07015142407
34,UT,Monticello Field Office,Limited,39.57353686,{8F0E055B-8580-47C2-825A-21187EDCECAA},160148.42181639,1595.8759371896
35,UT,Vernal Field Office,Limited,0.4274479,{40EC3943-A399-4671-B1D6-D226441D7522},1729.82027723,487.332896720605
36,UT,Vernal Field Office,Limited,0.37796598,{CAA6D13E-3CDA-42CC-931F-A10E0FD9E47C},1529.57404857,717.697939915396
37,UT,Vernal Field Office,Limited,318.44661775,{47FDF99A-9351-46CA-A7AB-22A8B65A2A81},1288707.74024825,4816.16588068808
38,UT,Moab Field Office,Limited,6.58739882,{53D45A3E-615E-487E-ABD8-90E058A312C4},26658.257224655,3971.02015017804
39,UT,Vernal Field Office,Limited,4.24397071,{43289F69-EBA2-4C39-A42B-095BE21304E7},17174.74010805,2811.84270790272
40,UT,Vernal Field Office,Limited,0.09186181,{2A391281-2F8F-4BB4-831F-9784FFFF94A2},371.751554955,125.651442142454
41,UT,Vernal Field Office,Limited,12.73180819,{CE5F5103-8931-416C-A051-67E8BA5C709E},51523.7997477,4102.72520417768
42,UT,Monticello Field Office,Limited,35.33299673,{4D0999CD-FCAA-4505-A7E8-E08ABE5E619B},142987.564738075,1549.96307630255
43,UT,Vernal Field Office,Limited,7.31038959,{656B0FAF-BE4F-4992-81F6-572240552DDC},29584.09706157,3198.15230377539
44,UT,Vernal Field Office,Limited,10.21894132,{5FA5D0DD-5BD2-4EDF-8708-792DAFBF5105},41354.588315995,2059.87692480443
45,UT,Vernal Field Office,Limited,33.92742349,{96C4874A-6523-47C5-926C-F1B989AC524B},137299.411629755,1485.61961709241
46,UT,Vernal Field Office,Limited,1.85574805,{F524460A-2099-4BA8-BFCB-8A88DB2CD8E9},7509.945898375,3213.87749808308
47,UT,Vernal Field Office,Limited,8.82106819,{17A57356-4EC3-4D14-AF13-54BFACC14B5B},35697.596442975,1634.00332369551
48,UT,Moab Field Office,Limited,0.86836975,{4A584041-D4B9-4C6E-877C-6968CE8640F9},3514.167702825,832.017046196806
49,UT,Vernal Field Office,Limited,2.59365367,{133C624E-B786-4B86-8325-7283E703464F},10496.144004575,798.940605364012
50,UT,Vernal Field Office,Limited,11.16742027,{091799DF-F6B4-41CC-8422-CD33A1C8F9C1},45192.946433975,6421.92169969549
51,UT,Vernal Field Office,Limited,10.81393351,{ECECDAAF-1923-41D2-B7CE-1C13E5CD96F6},43762.436284265,5508.1062711248
52,UT,Vernal Field Office,Limited,2.80757205,{65316C35-83A0-4D88-B818-CF426F771E87},11361.84098797,1572.45220653222
53,UT,Vernal Field Office,Limited,4.1775468,{1BE5D0BE-E3E9-4207-A2AA-196A09B66D4E},16905.93210839,1553.21276476286
54,UT,Monticello Field Office,Limited,151.22434808,{8C5A0938-A165-4080-9CAD-7FCDCF04F53E},611983.22425833,3139.70436631293
55,UT,Vernal Field Office,Limited,0.71008408,{97DCD689-CAC9-43A4-9842-90CF58580750},2873.60831222,416.11088349345
56,UT,Vernal Field Office,Limited,4.10925622,{958135C5-E398-4B19-9086-87DEF05624B0},16629.56993616,3961.18520666732
57,UT,Vernal Field Office,Limited,1.30894266,{364331F9-7877-4861-AFA2-75AEDA92581C},5297.1030062,1380.21236602502
58,UT,Vernal Field Office,Limited,0.51783735,{2224736A-E0E6-45ED-95D2-E13B6D43EA3F},2095.613395605,429.622081884751
59,UT,Vernal Field Office,Limited,13.67059385,{1E489DA5-86A7-419A-A65F-C235837F43FE},55322.93051779,4667.31617419004
60,UT,Vernal Field Office,Limited,21.51047196,{4743980C-D84E-412F-A38B-ACB8209CE92E},87049.79159824,6494.69494945085
61,UT,Vernal Field Office,Limited,3.26634243,{D93A8828-84FE-4341-8DE3-726B96FFABA5},13218.41884073,2651.7085885579
62,UT,Vernal Field Office,Limited,21.96462338,{CD81C5EE-A081-45FD-AC7A-DFBCE5175549},88887.677173445,8685.98573927895
63,UT,Vernal Field Office,Limited,0.69347204,{D14192B2-8011-4EF7-B0BB-4799FFA78FAA},2806.381770915,262.255929973734
64,UT,Monticello Field Office,Limited,2.04502186,{1956B973-6A67-4C29-A656-228C835634AD},8275.909845135,1616.65840616074
65,UT,Monticello Field Office,Closed,1070.46869603,{633C03E6-2B22-4D2D-831F-27B237D7ED71},4279740.79858095,16792.6330927657
66,UT,Vernal Field Office,Limited,29.42488584,{44FB3036-1DC9-4CF3-BFA6-4A5F5C30D56D},119078.288231155,11554.7319661795
67,UT,Vernal Field Office,Limited,38.59429107,{AF9BD642-8978-4579-8F5C-1E680F7D6A87},156185.55466842,4682.78139517002
68,UT,Vernal Field Office,Limited,9.48081114,{320AFC96-A2EB-4645-A493-CE932570407D},38367.4814332,3497.58777871135
69,UT,Vernal Field Office,Limited,17.49542301,{FC65260A-3AB9-48C5-8560-30FB51E04700},70801.464959065,1615.89278651884
70,UT,Vernal Field Office,Limited,25.36515542,{BCC2867E-FDBB-4579-A72C-37D9A4202FC1},102649.142118215,7525.98781287716
71,UT,Vernal Field Office,Closed,481.8151743,{D61AEFCD-F0A9-4DE3-8E7C-295C322992DA},1949836.83253213,6058.55794509227
72,UT,Vernal Field Office,Limited,6.73725745,{9101D15A-1817-4EE5-9C0D-0FDC6A34E181},27264.7135786,2527.23232778558
73,UT,Vernal Field Office,Limited,2.63833018,{C178AE29-FEB7-40BF-9F0B-A55852DAB7CC},10676.94344354,802.449924094265
74,UT,Vernal Field Office,Limited,21.04816066,{C44545CA-D87D-4ECD-BA9F-F4C62D76E1A4},85178.88413941,4045.26931252015
75,UT,Monticello Field Office,Limited,239.38280713,{EBC60FD3-67D9-4AE3-B0E8-171D378767FD},968747.850460635,7180.75708220294
76,UT,Vernal Field Office,Limited,4.28786113,{3B426819-04AA-439B-96B2-930F8462F860},17352.358335025,3186.47002100942
77,UT,Vernal Field Office,Limited,5.05214235,{CACD031A-AE4F-4046-988A-3A0BB3FE9417},20445.294733305,3249.29998998686
78,UT,Vernal Field Office,Limited,4.77161483,{B37EE5F2-6D9B-449C-AC37-978F8869CB09},19310.04012127,3224.2256859858
79,UT,Vernal Field Office,Limited,0.75669389,{2637DB9F-096F-452A-8D85-8C189416F69B},3062.23153257,1134.57634171868
80,UT,Vernal Field Office,Limited,1.36491595,{44FBF4A5-F94F-43FB-B6B3-01DD16AC1529},5523.6188796,527.706381002157
81,UT,Vernal Field Office,Limited,1.9253216,{52134673-C6E7-4BC6-BE0A-D50B526896BF},7791.500091575,847.214103867936
82,UT,Vernal Field Office,Limited,5.41878693,{77EAC05B-B095-482A-ADAB-BEEFE357FB53},21929.052692575,3421.45831601486
83,UT,Price Field Office,Limited,3.51880883,{28123FBF-8DB2-4C51-9426-7C2C4BA89F06},14240.110324115,3176.88581847451
84,UT,Vernal Field Office,Limited,1.86747571,{947714D3-879E-498A-8BA3-BA89B85E678A},7557.40607974,1560.64252976642
85,UT,Vernal Field Office,Limited,0.42101558,{3D565E58-4020-410C-A3A9-887C9F89BF36},1703.789587535,575.638145371252
86,UT,Vernal Field Office,Limited,5.42626828,{E64DAC0F-3C89-4074-A08B-D6A81F6E899E},21959.32865526,3276.229563657
87,UT,Vernal Field Office,Limited,3.94126925,{DAD90189-5A5D-4386-A4B8-D308E2A6FE02},15949.75077373,742.014275196107
88,UT,Monticello Field Office,Limited,1350.30656689,{2F01A4FB-CA12-41A0-B37D-F07AD740037A},5464496.80242968,16098.0405816422
89,UT,Vernal Field Office,Limited,11.55646534,{1C5FBC0B-A2CC-4D0B-ACA1-9AC0378F0156},46767.355990775,7451.40618289941
90,UT,Vernal Field Office,Limited,8.23968263,{C108CE0B-500D-4CE5-9159-CEA8EE276ABC},33344.81256283,1500.16284365711
91,UT,Monticello Field Office,Limited,12.18108202,{CA9AFB25-9DB5-4D6A-8D84-93E78384670A},49295.090004905,8324.42980121788
92,UT,Vernal Field Office,Limited,3.71254436,{7B417F54-682E-43E8-B44A-7CDDB2955D85},15024.133978585,840.200984534083
93,UT,Monticello Field Office,Closed,9.33036511,{0F17A902-FC52-455B-99B6-53BBA64CE0E7},37758.64795624,3307.3721357788
94,UT,Vernal Field Office,Limited,23.21928392,{5B04B149-8FDB-4FEF-B769-71C7F1E6859C},93965.10825305,9630.07136908335
95,UT,Vernal Field Office,Limited,4.76009973,{BFB3C2FC-E082-4B44-8797-432279137001},19263.440161665,1580.42957875671
96,UT,Vernal Field Office,Limited,19.21129271,{525C6A39-30C4-4600-B91F-A4359BB83CD4},77745.34326928,1601.96344434459
97,UT,Vernal Field Office,Limited,3.21066361,{850BA0B1-44C2-4E68-B676-12776FC2AFA5},12993.09463385,2088.30118579931
98,UT,Vernal Field Office,Limited,21.14241092,{55014425-D2B5-4885-9F15-5D3D6EDFF675},85560.301432205,1253.48684043375
99,UT,Vernal Field Office,Limited,6.78326708,{09A31C5E-BF7D-4B19-8298-11BD097FF4FE},27450.907956265,2283.60346616354
100,UT,Vernal Field Office,Limited,0.50044215,{77770347-A255-4552-A9E2-2081B50A6652},2025.217546685,263.12821166662
101,UT,Monticello Field Office,Limited,68.54748764,{DC22742B-83F3-4213-AD69-60173CA94EB4},277401.84059736,2345.73511731129
102,UT,Monticello Field Office,Limited,36.48040309,{39623ED8-39EE-44DF-9621-27C13E6ACF1C},147630.953551,1537.02633321636
103,UT,Vernal Field Office,Limited,0.93200004,{2D7418D1-9AAE-4BF5-8091-293A378ECED6},3771.670363275,781.161871194052
104,UT,Vernal Field Office,Limited,11.89417938,{11D3543C-787A-48FF-9B9F-7677F3F54376},48134.036213465,3221.52030761929
105,UT,Vernal Field Office,Limited,6.2996391,{801E04FD-1D57-4139-9FCD-175DD56AF2C5},25493.734938915,3236.63329359192
106,UT,Vernal Field Office,Limited,1.80846187,{F1813F7E-9E6F-4CCF-ADB7-47300664684A},7318.585538245,2192.68568059552
107,UT,Vernal Field Office,Limited,35.31679371,{FC9F20B5-B6E6-430A-9FBB-1C2B6A791597},142921.99344399,1520.75400994848
108,UT,Vernal Field Office,Limited,4.37407751,{08C3DA24-9C4E-4904-8D1A-D9893E7CB73E},17701.26364709,3963.62908199546
109,UT,Monticello Field Office,Limited,5.00919682,{A3406072-8D2C-4ABF-A115-41ED7EBB5E90},22276.216125045,637.851152626191
110,UT,Vernal Field Office,Limited,3.69515848,{D8F10753-9619-4BE9-9C18-15CA0070CF19},14953.7758078,2122.84181746585
111,UT,Monticello Field Office,Limited,2677.20183697,{E6141E52-CC55-45AD-8B3A-F7245CA593F0},10834251.4479954,19486.6070423459
112,UT,Vernal Field Office,Limited,0.44608518,{9521DEA9-4D34-4693-8A77-B39DA7BCA3A2},1805.242691385,792.875716236058
113,UT,Vernal Field Office,Limited,2.97338184,{3634E825-79C6-44FF-965A-6EF9C55B1612},12032.849407265,861.591065293542
114,UT,Vernal Field Office,Limited,0.47432292,{CBE8C4E4-5DF8-4EE7-806F-7CB66DF7EF3C},1919.516739045,527.048756491907
115,UT,Vernal Field Office,Limited,80.08162029,{1B68EB13-64AC-49D2-8095-6C6E8BB90C49},324078.81939392,7336.05901669457
116,UT,Vernal Field Office,Limited,1.08685577,{E0231FE9-18FF-4F08-8EDC-F17472EADEF5},4398.3492629,1325.61979489215
117,UT,Vernal Field Office,Limited,2.06850135,{3C9977C0-5E08-4BF8-8588-0BCDFC27C823},8370.92795732,842.19488019823
118,UT,Vernal Field Office,Limited,1.77928078,{25588406-D5E4-4C9F-9D34-CA1E92D7727E},7200.49385128,836.278315405825
119,UT,Vernal Field Office,Limited,1.76136671,{C00F5CE3-7BE8-4E7C-87B0-515B50E68BEC},7127.998192045,2836.02283453762
120,UT,Vernal Field Office,Limited,2.76417126,{08EF87C8-0B09-4328-83C0-984890007D72},11186.204196025,427.452231593285
121,UT,Vernal Field Office,Limited,0.2827655,{24454638-336D-4B47-944E-910C01314F72},1144.31138606,278.118060000685
122,UT,Vernal Field Office,Limited,0.68998907,{8284671F-20B2-42A8-A58A-CA6A2819E3BD},2792.28670548,468.616403641038
123,UT,Vernal Field Office,Limited,1.57052352,{12BD3193-F21E-4662-8AAF-637471A69B39},6355.68320884,1346.32827989818
124,UT,Vernal Field Office,Limited,17.3279786,{59405599-DD82-4CE4-BC5E-7C27213DC711},70123.841481595,1381.17629906187
125,UT,Vernal Field Office,Limited,0.82462259,{6EB0A8D9-AAE6-40E0-BF58-03675DDD29BE},3337.129231785,534.925926219023
126,UT,Vernal Field Office,Limited,5.30479758,{9BCA3B4D-4A6C-44D2-B0D6-9204BF009DE4},21467.75414302,632.97533664
127,UT,Vernal Field Office,Limited,17.69234356,{8B8E793A-B0F2-47FB-A493-C7169495F7C6},71598.374158155,3285.12762861889
128,UT,Vernal Field Office,Limited,1.04316938,{05A39C8C-A9D3-41CA-A6DA-4A319546F303},4221.556695255,1394.55899823962
129,UT,Vernal Field Office,Limited,4.24373641,{4BF9842B-0E8D-47B5-A68A-9C67F2C44F40},17173.791932515,1492.91438628065
130,UT,Vernal Field Office,Limited,2200.03366377,{37717E7E-B6A6-408F-958B-10F53D4BD08F},8903220.36174027,19437.0634327594
131,UT,Vernal Field Office,Limited,11.62379651,{701F9562-ADC4-42D4-9FC2-EA7FDFF0DD3C},47039.835571915,4181.62093850666
132,UT,Vernal Field Office,Limited,41.2633952,{766960F2-8636-43E3-A9E6-597D94FF2E72},166987.035891445,9485.3603114299
133,UT,Vernal Field Office,Limited,15.63360314,{523D11AF-6398-4083-9C44-37AC357FAE34},63266.947253905,4551.74643991055
134,UT,Vernal Field Office,Limited,3.89165477,{60C5DD91-15CE-4C2D-BFEE-F6251C1F67A6},15748.968115135,3210.91276690686
135,UT,Vernal Field Office,Limited,6.7578277,{320A639A-639E-4AD6-BD13-6FB086B210E3},27347.958423255,2908.65552644964
136,UT,Vernal Field Office,Limited,19.42284529,{D2100500-6BBB-4943-8BFD-ACB71E911FBE},78601.46621274,3922.70233728627
137,UT,Vernal Field Office,Limited,3.40789503,{0AE366B8-8526-4F63-82C4-EA916B74A11D},13791.261885295,2179.16260419964
138,UT,Moab Field Office,Limited,4.58299471,{7F060D48-DC5A-4C0E-AC1B-BEE5B6998225},18546.72377546,902.929442849424
139,UT,Vernal Field Office,Limited,0.45801234,{04526B26-401F-4A05-80ED-4A76063B8F90},1853.51016266,210.723650182231
140,UT,Moab Field Office,Limited,752.6757801,{19E234E8-3607-4505-ACF0-487BCF6FD4F7},3045970.81724593,8212.89140486149
141,UT,Vernal Field Office,Limited,309.24588023,{3E41C280-423F-492B-B398-27C43D2A629E},1251473.67651259,14608.9759606259
142,UT,Vernal Field Office,Limited,417.45828218,{F2C89E6D-A0C6-4EFC-9F71-B4ABAEF8C762},1689393.73033456,7127.6066124435
143,UT,Monticello Field Office,Limited,6.20653474,{BF798BC5-3618-4B93-AC44-78BD45C71D91},25116.954966765,2757.66964847325
144,UT,Vernal Field Office,Limited,0.92257727,{CDCAFCFB-EBDA-4C14-B289-CA578B668DA9},3733.537734605,708.550824479949
145,UT,Vernal Field Office,Limited,4.77575295,{9CC60AB5-1D64-4A08-AAE8-DC0BBA48C7BA},19326.786495375,4583.2859676726
146,UT,Vernal Field Office,Limited,645.74731726,{B6CF76B4-B180-4655-B8E3-9CF8294F5ADD},2613246.67809354,6452.96440736683
147,UT,Vernal Field Office,Limited,4.77456081,{FC2C9EA3-037E-4C0A-9631-3DE72F2A3773},19321.962069525,1650.33451250696
148,UT,Monticello Field Office,Closed,14827.81702506,{E222D52A-1843-405D-BEA2-CDBCA39AC04B},60006046.5580505,60695.583864863
149,UT,Vernal Field Office,Limited,640.76130639,{55628908-A801-4926-B6D4-C3D79A50A7B5},2593069.00798514,6441.22196336022
