OBJECTID,ADMIN_ST,FET_TYPE,FET_SUBTYPE,FET_NAME,ADM_UNIT_CD,GIS_ACRES,DESCRIPTION,UNIT_NAME,WEB_LINK,COORD_SRC_TYPE,GlobalID,Shape__Area,Shape__Length
18,UT,4,SRMA,Sand Mountain,UTC03000,41053.65693259,,,,UNK,{8740AD17-2D43-4E75-8497-CC56CF27D7AE},166138255.220646,123071.401311802
25,UT,4,SRMA,LaVerkin Creek,UTC03000,21984.43164781,,,,UNK,{A942F3B7-4915-4210-BBBE-26C5A37111D4},88967838.4067633,84880.9286801956
28,UT,4,SRMA,Deep Creek,UTC03000,11589.75483902,,,,UNK,{AD81E902-0A16-4615-8532-AB983E02E074},46902073.8043217,71334.1998017911
92,UT,5,Natural Area/Endangered Area,Joshua Tree National Natural Landmark,UTC03000,1048.21306375,"Designated on October 1966, Natural Landmark status was given to this area because of the Mojave Desert Joshua Tree vegetation association. The most dominant and dramatic of the plants in this association is the Joshua Tree (Yucca breviflora).",,http://www.blm.gov/ut/st/en/fo/st__george/blm_special_areas.html,UNK,{04D906AC-848B-4A38-93C7-C996F1B23E6C},4241967.76906938,10029.7926181243
93,UT,1,Campground,Red Cliffs Recreation Area,UTC03100,872.88066027,,,,UNK,{923E7264-C660-4A69-AC54-B42BE84A6AFF},3532422.7059828,8916.40495012041
94,UT,3,OHV Designated Area,Sand Mountain Open OHV Area,UTC03000,21759.71419298,,,,UNK,{870979F8-3452-4A49-8343-5353C5869E2C},88058439.1314621,71646.9541933776
97,UT,3,OHV Designated Area,Swing Arm City,UTC02000,2868.46148827,,,,IMG,{94D31CAF-50D4-4B2A-AC55-BC6E33AFB1C4},11608251.7962183,15860.1931469986
98,UT,3,OHV Designated Area,Caineville Cove Inn ,UTC02000,138.12746053,,,,MAP,{A0588503-B04F-418A-A33B-21023BD00A25},558982.00074003,3222.84913615705
99,UT,4,SRMA,Payson Motocross Track,UTW01000,113.85603428,,,,GIS,{F901FBAB-6ECE-4CB3-BCCC-34377A1BA16F},460759.02354028,2729.83133296106
110,UT,4,SRMA,North Deep Creek Mountains,UTW01000,25672.46358963,,,,GIS,{1502F323-8409-410C-A75F-AF5163183E4F},103892774.156518,43910.2265361211
113,UT,3,OHV Designated Area,Knolls ORV,UTW01000,40361.90950337,,,,UNK,{A5993775-515F-45F6-9880-46C21CC2BF35},163338852.694043,53438.8648835005
114,UT,4,SRMA,San Rafael Swell,UTG02000,936479.52687662,,,,GIS,{B6E2B445-38EB-4788-ABBA-AC20367E831E},3789798187.78674,1546924.33289847
120,UT,4,SRMA,Range Creek,UTG02000,40705.9116412,,,,GIS,{22170A5C-7DF5-4B76-A514-BD9002BB1D4F},164730979.954823,159406.993465434
121,UT,4,SRMA,Cleveland Lloyd Dinosaur Quarry,UTG02000,2771.69457282,,,,GIS,{1333661D-3E44-4009-8A00-EA6DDA7E33B6},11216649.9829604,16901.722549769
122,UT,4,SRMA,Three Peaks,UTC01000,6633.07383948,,,,GIS,{070CD811-A946-4A6B-B61A-EDC8D0D6C7DA},26843097.4675706,26383.1198796694
154,UT,4,SRMA,Pelican Lake,UTG01000,1020.42009672,,,,GIS,{49ECB527-6E6E-40BD-B5EF-43CFE23123A3},4129493.62196303,15228.0876917797
177,UT,4,SRMA,White River,UTG01000,2836.69652105,,,,GIS,{657F8A28-B3EB-4C23-9B81-741B398C6B4B},11479703.5346265,17872.9864934503
178,UT,4,SRMA,Fantasy Canyon,UTG01000,68.90830134,,,,GIS,{FB4DC0F5-E8E8-4E3B-8D6E-F769EF336552},278862.00182906,2398.110802353
205,UT,4,SRMA,Tank Bench,UTY02000,2695.45415937,,,,UNK,{BFCBC127-5726-4E66-A779-202B3128348E},11010619.9554836,25855.4768681863
206,UT,4,SRMA,Blue Mountain,UTG01000,42729.33059478,,,,UNK,{ACEBD8E6-1F89-47A0-A214-47E8F21DBA4E},172919465.942325,152104.031121195
207,UT,4,SRMA,Yuba Reservoir,UTW02000,2149.01641638,,,,UNK,{25FC19B1-6EEC-4680-A142-9439187B7EED},8696760.88646161,17896.6570594755
208,UT,4,SRMA,Paria Canyon,UTP02000,21309.64590972,,,,UNK,{558993D6-E997-4B84-95CA-38D0635AA81A},86237077.4088167,83681.822547666
210,UT,4,SRMA,Kanab Community,UTP02000,33032.58552101,,,,UNK,{3DA78554-ADAB-4885-9666-62ECDB3BFAD8},133678130.864157,129655.020868209
212,UT,4,SRMA,Topaz Mountain,UTW02000,1602.6481108,,,,UNK,{5CFACB63-FC55-4FF5-B464-99C87DDCB5D9},6485686.80004727,16106.6867363601
213,UT,4,SRMA,Bonneville Salt Flats,UTW01000,30239.29305398,,,,UNK,{A60AC193-25D3-45B7-802B-93482B5942A5},122374077.304349,113830.523359223
214,UT,4,SRMA,Colorado Riverway,UTY01000,86769.81434772,"Adds acquired lands, Management Change #48",,,UNK,{171B506C-4452-4050-BCF2-9E6889A0DE18},353563356.330021,536833.246106066
215,UT,4,SRMA,Factory Butte ,UTC02000,24354.72813997,,,,UNK,{F9397F4B-3E1C-4915-9FA6-829D85E09F35},98560087.9890441,72287.9381472921
216,UT,4,SRMA,Moquith Mtn,UTP02000,14944.72781282,,,,UNK,{0CDAA261-BAD5-440D-B679-A25326224833},60479167.7303389,81804.2971506094
217,UT,4,SRMA,Red Cliffs SRMA,UTC03100,61250.58770597,,,, ,{3CDEE200-66BA-4997-90C3-BAFAFF31BE6F},247872334.233662,225502.077951941
219,UT,4,SRMA,North Fork Virgin River,UTP02000,1080.06745485,,,,UNK,{C5C0406B-1B82-44FB-8006-EF18E982BAB7},4370877.91627574,10851.5778414738
220,UT,4,SRMA,Browns Park,UTG01000,18489.85894391,,,,UNK,{CEA397B8-1373-45D9-A0AF-692BD49B7E4A},74825804.4164297,124569.196914921
221,UT,4,SRMA,Swasey Mountain,UTW02000,33505.91350738,,,,UNK,{A59936F3-62A3-4B1C-B8BB-219798D8AE32},135593621.265734,107283.705974238
