OBJECTID,ADMIN_ST,TMA_ID,TMA_NM,TMA_NR,ST_PRRTY_NR,ADM_UNIT_CD,ADMU_NM,TMP_START_DT,TMP_ID,TMP_CMPLTN_DT,GIS_ACRES,BLM_ACRES,GlobalID,Shape__Area,Shape__Length
823,UT,TMA-UT-UTY01000-002,Canyon Rims,2,-1,UTY01000,Moab Field Office,9999/09/09 00:00:00+00,,2021/05/05 00:00:00+00,93322.73172475,0,{0138723B-8849-44F0-8014-F117382E39E9},377663696.236212,192077.068734024
824,UT,TMA-UT-UTW01000-001,Salt Lake Field Office,1,-1,UTW01000,Salt Lake Field Office,9999/09/09 00:00:00+00,,9999/09/09 00:00:00+00,11098625.4381011,0,{02AC7C80-E9C8-4610-853C-5E47A2B7D5AE},44914543633.4649,1520734.19105962
825,UT,TMA-UT-UTG01000-001,Dinosaur North,1,3,UTG01000,Vernal Field Office,9999/09/09 00:00:00+00,,9999/09/09 00:00:00+00,344862.84779568,0,{0B1487FC-C28C-43B2-B2CB-678AF16F5AE3},1395610430.42335,287463.196057052
826,UT,TMA-UT-UTC02000-001,San Rafael Swell,1,6,UTC02000,Richfield Field Office,9999/09/09 00:00:00+00,,9999/09/09 00:00:00+00,54055.78204178,0,{137DC7E4-8DA0-4C20-92B1-155698347842},218755988.75489,80402.3350920654
827,UT,TMA-UT-UTY01000-002,Canyon Rims,2,-1,UTY01000,Moab Field Office,9999/09/09 00:00:00+00,DOI-BLM-UT-Y010-2018-0220-EA,2021/05/05 00:00:00+00,9632.46591943,0,{24CC4B8F-C079-4C5E-A39F-B9C0209B57AD},38981206.5695747,46801.0699056153
828,UT,TMA-UT-UTW01000-002,Sheeprocks,2,-1,UTW01000,Salt Lake Field Office,9999/09/09 00:00:00+00,,9999/09/09 00:00:00+00,931212.65662615,0,{25729A55-394A-42D6-B225-140C497A2818},3768483920.7341,339070.723523027
829,UT,TMA-UT-UTP01000-001,Grand Staircase-Escalante National Monument ,1,11,UTP01000,Grand Staircase Escalante,9999/09/09 00:00:00+00,,9999/09/09 00:00:00+00,1880735.58062042,0,{26C45A5C-09F5-4C18-BB70-D3F4BF06C101},7611066863.26989,834676.111440466
830,UT,TMA-UT-UTP02000-001,Trail Canyon,1,1,UTP02000,Kanab Field Office,9999/09/09 00:00:00+00,,9999/09/09 00:00:00+00,326388.32468214,0,{2A13927C-1CEC-4123-B8B9-791AA5865B4F},1320846687.9363,196045.089154691
831,UT,TMA-UT-UTG02000-002,San Rafael Desert,2,-1,UTG02000,Price Field Office,9999/09/09 00:00:00+00,,2020/07/07 00:00:00+00,439663.88107582,0,{3A6439DA-E1D4-4AB6-BE79-097753141937},1779256600.88915,248983.627718101
832,UT,TMA-UT-UTG02000-003,San Rafael Swell,3,6,UTG02000,Price Field Office,9999/09/09 00:00:00+00,,9999/09/09 00:00:00+00,1118187.36539909,0,{3B2E9090-8E14-47EA-B6DC-C3440D7D97F9},4525143721.14667,322906.313135768
833,UT,TMA-UT-UTP02000-002,Paunsaugunt,2,5,UTP02000,Kanab Field Office,9999/09/09 00:00:00+00,,9999/09/09 00:00:00+00,282739.80672141,0,{4CA47318-114D-4659-8C07-8F21E0DBA44E},1144207402.69869,277897.011321238
834,UT,TMA-UT-UTW01000-004,Box Elder,4,-1,UTW01000,Salt Lake Field Office,9999/09/09 00:00:00+00,,9999/09/09 00:00:00+00,1613315.23180918,0,{50B53138-7CC4-4E19-9FCA-178C89E5C523},6528855106.91951,441338.663099799
835,UT,TMA-UT-UTW02000-002,Sheeprocks,2,-1,UTW02000,Fillmore Field Office,9999/09/09 00:00:00+00,,9999/09/09 00:00:00+00,541648.06891203,0,{51CF560C-C856-43A1-A2B0-B70FEBC8EEFB},2191971966.08639,290602.771021966
836,UT,TMA-UT-UTY01000-003,Moab Field Office,3,-1,UTY01000,Moab Field Office,9999/09/09 00:00:00+00,,2008/06/06 00:00:00+00,2855939.31984516,0,{552D27B9-B40F-4201-BBC8-D22E6901DCEB},11557576375.45,757200.492755806
837,UT,TMA-UT-UTY01000-004,Labyrinth/Gemini Bridges,4,4,UTY01000,Moab Field Office,9999/09/09 00:00:00+00,,9999/09/09 00:00:00+00,320876.26825285,0,{57AAB5DF-ED4C-46DD-95B6-EB58FB22D787},1298540186.92241,299341.017672832
838,UT,TMA-UT-UTC01000-002,Hamlin,2,-1,UTC01000,Cedar City Field Office,9999/09/09 00:00:00+00,,9999/09/09 00:00:00+00,21564.20925044,0,{5CDB2ECB-DE15-4198-8F0E-FFA4C1EBC0D8},87267258.699138,45521.4521466649
