OBJECTID,PLSSID,TWNSHPLAB,STEWARD,REVISEDDATE,STATEABBR,STWRDPLYID,STWRDPLYTP,STWRDLAB,GlobalID,SHAPE_Length,SHAPE_Area
1,WY340020S0040W0,2S 4W,BLM Cadastral - WY,,WY,,,,{E1AA4706-1949-4085-9F61-60E47F6F05C0},0.348927023044917,0.0066457571837685
2,WY340020S0050W0,2S 5W,BLM Cadastral - WY,2018/06/07 11:36:09+00,WY,,,,{3205BE13-BD20-4346-AB18-90DF5087EDA4},0.243057272715002,0.0027642014122735
3,WY340010S0060W0,1S 6W,BLM Digitized - WY,2018/06/07 11:32:02+00,WY,,,,{842A6997-2FB3-40A3-A199-47773C234036},0.215571565806558,0.0026018562164292
4,WY340010S0050W0,1S 5W,BLM Cadastral - WY,2018/06/07 11:26:10+00,WY,,,,{AEDF25FD-294A-45E7-880F-DC5966FD3A73},0.40676739801847,0.0094874090161084
5,WY340010N0050W0,1N 5W,BLM Cadastral - WY,2018/06/06 11:24:26+00,WY,,,,{01624469-95F6-45DE-9551-10F4822C5E02},0.411004159660494,0.010312291752152
6,WY340010S0040W0,1S 4W,BLM Cadastral - WY,,WY,,,,{B39FC19D-257B-4172-965E-B36B161817E4},0.409484754884909,0.0102272309793712
7,WY340010N0040W0,1N 4W,BLM Cadastral - WY,,WY,,,,{C86DE395-0AEA-4D48-A45F-7FF98BF332DA},0.411225532805552,0.0103234516558473
8,WY340020S0030W0,2S 3W,BLM Cadastral - WY,2018/05/24 12:16:11+00,WY,,,,{E45B5B2D-A2C0-4AD5-AC8E-F2F48995AB89},0.348906748288701,0.0066222228135421
9,WY340020S0020W0,2S 2W,BLM Cadastral - WY,,WY,,,,{30B895ED-92CD-4964-A5F1-76156A514E19},0.346810365505501,0.0066035755396367
10,WY340020S0010W0,2S 1W,BLM Cadastral - WY,2018/06/07 12:20:43+00,WY,,,,{42E70846-4B0A-4E27-B11B-23CD2C113E57},0.345396794804546,0.0055197421150696
11,WY340020S0010E0,2S 1E,BLM Cadastral - WY,2018/06/07 12:29:44+00,WY,,,,{07FAADC0-9167-47E0-8A78-52371C49746A},0.40904604555963,0.0052416554545558
12,WY340010S0030W0,1S 3W,BLM Cadastral - WY,,WY,,,,{A959E659-1A50-4700-A507-EB5FCB33F386},0.409097187384966,0.0102180744486334
13,WY340010N0030W0,1N 3W,BLM Cadastral - WY,,WY,,,,{3EF00933-4E30-49A8-A139-B09BB1A4BCC9},0.410620831139892,0.0103015244200197
