OBJECTID,shape_id,ROUTE_NAME,ROUTE_NUM,ROUTE_LENGTH
1,42798,CADILLAC-HARPER,7,13.10931
2,42801,CADILLAC-HARPER,7,13.04334
3,42803,CHALMERS,9,7.005229
4,42804,CHALMERS,9,5.156582
5,42806,CHALMERS,9,3.064367
6,42808,CHALMERS,9,2.092215
7,42810,CHALMERS,9,6.976616
8,42811,CHALMERS,9,5.108924
9,42812,CHALMERS,9,2.0584
10,42813,CHALMERS,9,3.050525
11,42816,CHENE,10,13.00654
12,42817,CHENE,10,13.01228
13,42818,CLAIRMOUNT,11,16.24577
14,42821,CLAIRMOUNT,11,16.2294
15,42824,CONANT,12,10.5569
16,42827,CONANT,12,10.43414
17,42830,CONNER,13,1.908131
18,42831,CONNER,13,11.76539
19,42832,CONNER,13,5.914634
20,42833,CONNER,13,7.822765
21,42835,CONNER,13,7.430885
22,42836,CONNER,13,5.780425
23,42837,CONNER,13,1.65046
24,42838,CROSSTOWN,14,20.93598
25,42840,CROSSTOWN,14,22.30127
26,42841,CROSSTOWN,14,14.3277
27,42845,CROSSTOWN,14,18.48564
28,42846,CROSSTOWN,14,13.97699
29,42851,CHICAGO-DAVISON,15,12.73948
30,42853,CHICAGO-DAVISON,15,10.20695
31,42856,CHICAGO-DAVISON,15,12.46765
32,42857,CHICAGO-DAVISON,15,10.1504
33,42860,DEXTER,16,19.64549
34,42861,DEXTER,16,17.12605
35,42862,DEXTER,16,18.91432
36,42863,DEXTER,16,15.00736
37,42864,DEXTER,16,16.39488
38,42870,DEXTER,16,21.59545
39,42871,DEXTER,16,21.59545
40,42872,DEXTER,16,19.07683
41,42873,DEXTER,16,21.01568
42,42874,DEXTER,16,18.49623
43,42875,DEXTER,16,15.52076
44,42888,EIGHT MILE,17,19.18692
45,42889,EIGHT MILE,17,19.00716
46,42894,EIGHT MILE,17,19.00716
47,42896,EIGHT MILE,17,19.00716
48,42899,FENKELL,18,15.23893
49,42905,FENKELL,18,15.3689
50,42915,GRAND RIVER,21,13.82601
51,42922,GRAND RIVER,21,14.24274
52,42927,GREENFIELD,22,11.68087
53,42929,GREENFIELD,22,7.465224
54,42930,GREENFIELD,22,3.389667
55,42931,GREENFIELD,22,9.346408
56,42932,GREENFIELD,22,11.4286
57,42933,GREENFIELD,22,3.823293
58,42934,GREENFIELD,22,7.212961
59,42938,GREENFIELD,22,9.094145
60,42940,HAMILTON,23,13.21184
61,42943,HAMILTON,23,13.83223
62,42952,JEFFERSON-FORT,25,17.84507
63,42953,JEFFERSON-FORT,25,18.92834
64,42954,JEFFERSON-FORT,25,7.309846
65,42963,JEFFERSON-FORT,25,17.99916
66,42964,JEFFERSON-FORT,25,19.08244
67,42966,JEFFERSON-FORT,25,7.351333
68,42967,JEFFERSON-FORT,25,5.457016
69,42968,JOY ROAD,27,13.82633
70,42969,JOY ROAD,27,15.44009
71,42970,JOY ROAD,27,15.82933
72,42971,JOY ROAD,27,15.40193
73,42972,JOY ROAD,27,13.78817
74,42973,JOY ROAD,27,16.35943
75,42974,LINWOOD,29,10.26545
76,42976,LINWOOD,29,10.55894
77,42978,LINWOOD,29,9.569758
78,42981,LINWOOD,29,9.863249
79,42982,LIVERNOIS,30,12.60089
80,42985,LIVERNOIS,30,13.89172
81,42986,LIVERNOIS,30,12.60556
82,42990,LIVERNOIS,30,13.89238
83,42991,MACK,31,11.16503
84,42995,MACK,31,3.928463
85,42996,MACK,31,10.78684
86,42997,MACK,31,18.56363
87,42998,MACK,31,14.80796
88,43004,McNICHOLS,32,21.28283
89,43005,McNICHOLS,32,22.22209
90,43006,McNICHOLS,32,23.8826
91,43008,McNICHOLS,32,22.94333
92,43009,McNICHOLS,32,21.36735
93,43012,McNICHOLS,32,23.02786
94,43013,McNICHOLS,32,23.8826
95,43014,McNICHOLS,32,22.22209
96,43016,GRATIOT,34,14.29103
97,43017,GRATIOT,34,12.24866
98,43018,GRATIOT,34,10.25109
99,43020,GRATIOT,34,10.77139
100,43021,GRATIOT,34,14.74989
101,43022,GRATIOT,34,10.13488
102,43023,GRATIOT,34,12.13245
103,43037,MICHIGAN,37,5.761188
104,43038,MICHIGAN,37,10.59999
105,43040,MICHIGAN,37,10.6678
106,43041,MICHIGAN,37,5.800841
107,43042,PLYMOUTH,38,14.58304
108,43043,PLYMOUTH,38,26.00107
109,43045,PLYMOUTH,38,21.31054
110,43046,PLYMOUTH,38,19.56515
111,43047,PLYMOUTH,38,9.574835
112,43048,PLYMOUTH,38,21.2915
113,43049,PLYMOUTH,38,26.00107
114,43050,PLYMOUTH,38,16.3797
115,43054,PLYMOUTH,38,21.39998
116,43055,PLYMOUTH,38,26.05798
117,43056,PLYMOUTH,38,8.801354
118,43057,PLYMOUTH,38,22.85044
119,43059,PLYMOUTH,38,16.46914
120,43060,PLYMOUTH,38,26.10956
121,43062,PLYMOUTH,38,10.87228
122,43065,PURITAN,39,7.663729
123,43066,PURITAN,39,7.095951
124,43067,RUSSELL,40,13.87097
125,43069,RUSSELL,40,13.92504
126,43070,SCHAEFER,41,14.05432
127,43072,SCHAEFER,41,4.174431
128,43074,SCHAEFER,41,13.82992
129,43076,SCHAEFER,41,4.202508
130,43078,SCHAEFER,41,9.627409
131,43080,SCHOOLCRAFT,43,11.9601
132,43081,SCHOOLCRAFT,43,16.77495
133,43082,SCHOOLCRAFT,43,11.39418
134,43083,SCHOOLCRAFT,43,16.58769
135,43084,SCHOOLCRAFT,43,6.159992
136,43085,SEVEN MILE,45,19.5877
137,43088,SEVEN MILE,45,19.95568
138,43091,SOUTHFIELD,46,11.93109
139,43092,SOUTHFIELD,46,11.92855
