Incident_Date,Incident_Postal_Code,Number_of_Leave_Behind_Naloxone,ObjectId
7/1/2019,21217,1,1
7/1/2019,21229,1,2
7/1/2019,21217,1,3
7/2/2019,21205,1,4
7/3/2019,21201,1,5
7/3/2019,21215,1,6
7/3/2019,21218,2,7
7/4/2019,21234,1,8
7/4/2019,21217,1,9
7/4/2019,21213,1,10
7/5/2019,21218,1,11
7/5/2019,21224,1,12
7/5/2019,21215,1,13
7/6/2019,21201,1,14
7/6/2019,21217,2,15
7/7/2019,21225,1,16
7/7/2019,21218,1,17
7/7/2019,21215,1,18
7/8/2019,21217,2,19
7/9/2019,21205,1,20
7/9/2019,21206,1,21
7/10/2019,21216,1,22
7/10/2019,21230,1,23
7/10/2019,21224,1,24
7/11/2019,21218,2,25
7/11/2019,21215,2,26
7/11/2019,21202,1,27
7/12/2019,21215,2,28
7/13/2019,21218,1,29
7/13/2019,21223,2,30
7/15/2019,21225,2,31
7/17/2019,21218,1,32
7/17/2019,21217,1,33
7/18/2019,21223,1,34
7/18/2019,21217,1,35
7/18/2019,21215,1,36
7/18/2019,21218,1,37
7/19/2019,21223,1,38
7/21/2019,21214,1,39
7/22/2019,21216,2,40
7/23/2019,21215,1,41
7/23/2019,21215,1,42
7/24/2019,21217,1,43
7/25/2019,21218,2,44
7/25/2019,21215,1,45
7/25/2019,21230,1,46
7/27/2019,21229,1,47
7/27/2019,21217,1,48
7/27/2019,21231,1,49
7/27/2019,21217,1,50
12/11/2019,21214,1,51
12/15/2019,21217,1,52
12/16/2019,21215,1,53
12/16/2019,21213,1,54
12/17/2019,21215,1,55
12/18/2019,21205,1,56
12/22/2019,21223,1,57
12/24/2019,21229,1,58
12/25/2019,21215,1,59
12/25/2019,21224,1,60
12/27/2019,21213,1,61
12/29/2019,21215,1,62
12/30/2019,21218,1,63
12/30/2019,21213,1,64
12/31/2019,21215,1,65
1/1/2020,21216,1,66
1/1/2020,21215,1,67
1/2/2020,21217,1,68
1/3/2020,21213,1,69
1/6/2020,21218,2,70
1/7/2020,21217,1,71
1/7/2020,21213,1,72
1/8/2020,21217,1,73
1/8/2020,21215,1,74
1/8/2020,21223,1,75
1/9/2020,21239,1,76
1/10/2020,21216,1,77
1/11/2020,21202,1,78
1/11/2020,21216,1,79
1/11/2020,21215,1,80
1/11/2020,21218,1,81
1/11/2020,21213,1,82
1/13/2020,21216,1,83
1/13/2020,21206,1,84
1/16/2020,21201,1,85
1/16/2020,21223,1,86
1/17/2020,21217,1,87
1/17/2020,21201,1,88
1/18/2020,21223,1,89
1/19/2020,21218,1,90
1/19/2020,21223,1,91
1/20/2020,21230,1,92
1/20/2020,21215,1,93
1/20/2020,21216,1,94
1/21/2020,21201,1,95
1/21/2020,21211,2,96
1/21/2020,21239,1,97
1/22/2020,21217,1,98
1/22/2020,21223,2,99
1/22/2020,21206,1,100
3/3/2020,21215,1,101
3/3/2020,21239,1,102
3/4/2020,21216,1,103
3/4/2020,21227,1,104
3/5/2020,21217,2,105
3/5/2020,21215,1,106
3/5/2020,21229,1,107
3/5/2020,21225,1,108
3/6/2020,21218,1,109
3/6/2020,21213,1,110
3/7/2020,21213,1,111
3/10/2020,21214,1,112
3/11/2020,21217,1,113
3/11/2020,21213,1,114
3/11/2020,21229,1,115
3/16/2020,21223,1,116
3/16/2020,21218,1,117
3/17/2020,21224,1,118
3/19/2020,21215,1,119
3/21/2020,21217,1,120
3/22/2020,21230,1,121
3/24/2020,21217,1,122
3/28/2020,21217,1,123
3/31/2020,21215,1,124
4/1/2020,21202,1,125
4/3/2020,21216,1,126
4/4/2020,21202,2,127
4/4/2020,21213,1,128
4/4/2020,21216,1,129
4/6/2020,21223,1,130
4/6/2020,21213,1,131
4/7/2020,21217,1,132
4/11/2020,21217,1,133
4/13/2020,21215,1,134
4/15/2020,21215,1,135
4/15/2020,21215,1,136
4/17/2020,21217,1,137
4/17/2020,21229,1,138
4/17/2020,21217,1,139
4/17/2020,21217,1,140
4/18/2020,21217,1,141
4/20/2020,21212,1,142
4/20/2020,21230,1,143
4/20/2020,21223,1,144
4/21/2020,21206,1,145
4/21/2020,21225,1,146
4/22/2020,21215,1,147
4/22/2020,21213,1,148
4/22/2020,21214,1,149
4/23/2020,21217,1,150
7/27/2019,21216,1,151
7/28/2019,21215,2,152
7/28/2019,21215,1,153
7/30/2019,21215,1,154
7/30/2019,21215,2,155
7/31/2019,21218,1,156
8/1/2019,21206,1,157
8/1/2019,21217,1,158
8/1/2019,21215,1,159
8/1/2019,21215,1,160
8/1/2019,21213,1,161
8/1/2019,21239,1,162
8/2/2019,21213,1,163
8/3/2019,21205,2,164
8/4/2019,21213,1,165
8/4/2019,21223,2,166
8/4/2019,21216,1,167
8/4/2019,21213,1,168
8/5/2019,21202,1,169
8/5/2019,21225,1,170
8/6/2019,21211,1,171
8/8/2019,21224,1,172
8/9/2019,21205,1,173
8/9/2019,21226,1,174
8/9/2019,21231,1,175
8/9/2019,21223,1,176
8/9/2019,21224,1,177
8/10/2019,21217,2,178
8/10/2019,21218,2,179
8/11/2019,21224,1,180
8/11/2019,21215,1,181
8/12/2019,21229,1,182
8/15/2019,21216,1,183
8/15/2019,21224,1,184
8/15/2019,21205,1,185
8/15/2019,21229,1,186
8/21/2019,21212,1,187
8/22/2019,21217,1,188
8/24/2019,21223,1,189
8/27/2019,21207,1,190
8/29/2019,21223,1,191
8/29/2019,21223,1,192
8/29/2019,21215,1,193
8/29/2019,21229,1,194
