X,Y,OBJECTID,COMPKEY,UNITID,UNITDESC,CONDITION,CONDITION_ASSESSMENT_DATE,OWNERSHIP,CURRENT_STATUS,PRIMARYDISTRICTCD,SECONDARYDISTRICTCD,OVERRIDEYN,COMPTYPE,SEGKEY,DISTANCE,WIDTH,UNITTYPE,CURRENT_STATUS_DATE,CATEGORY,INSTALL_DATE,INSTALLER,ELECTR_WIRE_LOC,CONTROL_PROTOCOL_TYPE,METERED,LAST_PM_DATE,SOLAR_INSTALL_DATE,HANSEN7ID,DISPHOUSINGCOND,MOUNT_TYPE,CROSSWALK_TUB,FLASHING,ATTACHMENT_CONDITION,POLE_CONDITION,SUPPORT_INSTALL_DATE,SPAN_CONDITION,CONTROL_CONDITION,CONTROL_TYPE,MODEM_TYPE,MODEL_TYPE,SIDE,SCHOOL_SPEED_CAMERA,OVERRIDECOMMENT,SHAPE_LNG,SHAPE_LAT
1285144.27870873,194237.830481812,3341,626755,BCN-390,S HENDERSON ST 0500 BLOCK N SIDE (   0) 304 FT W/O RAINIER AVE S (BCN-XWK)                                                                                                                                                                                     , ,, , ,DISTRICT2, ,N,16,20244,23.0,31.0,BCN,,BCN-XWK,2015/02/04 00:00:00+00, , , ,N,,,, , ,N,N, , ,, , , , ,BCN-RRFB,N,N,,-122.271308011486,47.5233937794813
1286775.79283413,194357.766265556,3342,754370,BCN-552,SEWARD PARK AVE S 0873 BLOCK W SIDE ( 228) 175 FT N/O S HENDERSON ST (BCN-SCHL)                                                                                                                                                                                , ,, , ,DISTRICT2, ,N,16,12814,241.0,-31.0,BCN,,BCN-SCHL,2019/09/03 00:00:00+00, , , ,N,,,, , ,N,N, , ,, , , , ,GLANCE,W,N,,-122.264714968703,47.5238059052014
1285475.53493597,196204.637899891,3343,639960,BCN-405,RAINIER AVE S 0830 BLOCK W SIDE (  97) 300 FT N/O S THISTLE ST (BCN-SCHL)                                                                                                                                                                                      , ,, , ,DISTRICT2, ,N,16,12417,120.0,-32.0,BCN,,BCN-SCHL,1753/08/01 00:00:00+00, , , ,N,,,, ,TM-SHLDR,N,N, , ,, , , , ,BCN-TC3,W,N,,-122.270116163815,47.5288017870265
1281419.37211655,263120.732741982,3344,670560,BCN-438,NE 115TH ST 0340 BLOCK N SIDE (  70) 70 FT E/O 34TH AVE NE (BCN-SCHL)                                                                                                                                                                                          , ,, , ,DISTRICT5, ,N,16,16358,83.0,15.0,BCN,,BCN-SCHL,2017/03/20 00:00:00+00, , , ,N,,,, , ,N,N, , ,, , , , ,GLANCE,N,N,,-122.291663836096,47.7120098433759
1254101.8588383,242514.358928561,3345,573382,BCN-213,W EMERSON ST 0340 BLOCK C SIDE (   0) 0 FT W/O 34TH AVE W (BCN-REG)                                                                                                                                                                                            , ,, ,INSVC,DISTRICT7, ,N,16,23294,0.0,,BCN,2023/08/09 00:00:00+00,BCN-REG,, , , ,N,,,, ,TM-OVRHEAD,N,Y, , ,, , , , , ,C,N,,-122.400899438293,47.6540564882362
1275053.43340489,247394.146084979,3346,568636,BCN-120,11TH AVE NE 0520 BLOCK C SIDE ( 777) 0 FT S/O NE 55TH ST (BCN-REG)                                                                                                                                                                                             , ,, ,INSVC,DISTRICT4, ,N,16,1412,777.0,,BCN,2023/08/04 00:00:00+00,BCN-REG,, , , ,N,,,, ,TM-OVRHEAD,N,N, , ,, , , , , ,C,N,,-122.316286497335,47.6685700688977
1285419.11050814,191956.071593896,3347,573583,BCN-250,RENTON AVE S 0944 BLOCK C SIDE ( 392) 0 FT NW/O 51ST AVE S (BCN-REG)                                                                                                                                                                                           , ,, ,INSVC,DISTRICT2, ,N,16,12529,392.0,,BCN,2023/08/09 00:00:00+00,BCN-REG,, , , ,N,,,, ,TM-OVRHEAD,N,Y, , ,, , , , , ,C,N,,-122.270023485526,47.5171535195802
1265960.55132823,198494.98830606,3348,626558,BCN-382,SW HOLDEN ST 0090 BLOCK C SIDE ( 545) 0 FT E/O 11TH AVE SW (BCN-XWK)                                                                                                                                                                                           , ,, ,INSVC,DISTRICT1, ,N,16,22362,545.0,,BCN,2023/08/14 00:00:00+00,BCN-XWK,2015/01/22 00:00:00+00, , , ,N,,,, , ,N,N, , ,, , , , ,BCN-RRFB,C,N,,-122.349274486972,47.5340533061999
1266669.2116563,236520.972949475,3349,618010,BCN-372,BOSTON ST 0040 BLOCK N SIDE (   3) 3 FT E/O 4TH AVE N (BCN-XWK)                                                                                                                                                                                                , ,, ,INSVC,DISTRICT7, ,N,16,9341,16.0,22.5,BCN,,BCN-XWK,2014/08/31 00:00:00+00, , , ,N,,,, , ,N,N, , ,, , , , ,BCN-RRFB,N,N,,-122.349438720575,47.6383192237815
1286409.92020631,196062.177554891,3350,573586,BCN-253,SEWARD PARK AVE S 0840 BLOCK C SIDE (   0) 0 FT SE/O S GRATTAN ST (BCN-REG)                                                                                                                                                                                    , ,, ,INSVC,DISTRICT2, ,N,16,12811,0.0,,BCN,2023/08/10 00:00:00+00,BCN-REG,, , , ,N,,,, ,TM-OVRHEAD,N,Y, , ,, , , , , ,C,N,,-122.266323961217,47.5284590597661
