OBJECTID,PROP_TYPE,PROP_NAME,LINK,ACCESS,Shape__Area,Shape__Length
1,Ecological Reserve,Alkali Sink Ecological Reserve,http://www.wildlife.ca.gov/Lands/Places-to-Visit/Alkali-Sink-ER,Open; Refer to regulations or contact CDFW regional or area office prior to visit.,5944138.75390625,19832.47519199
2,Public Access,Anderson Fishing Access, ,Open,1863720.18359375,12750.7438032483
3,Public Access,Mill Creek, ,Open,333899.19921875,2532.87669334116
4,Public Access,Starbend Fishing Access, ,Open,85664.58984375,1250.75161827111
5,Public Access,South Fork Eel River Fishing Access, ,Open,228789.3984375,5811.90741298039
6,Public Access,Lost Lake Fishing Access, ,Open,497489.9453125,3781.08865354865
7,Public Access,Avocado Lake, ,Open,273566.78125,3573.24188582972
8,Ecological Reserve,Baldwin Lake Ecological Reserve,http://www.wildlife.ca.gov/Lands/Places-to-Visit/Baldwin-Lake-ER,Open; Refer to regulations or contact CDFW regional or area office prior to visit.,969744.08203125,3903.34215655854
9,Wildlife Area,Bass Hill Wildlife Area,http://www.wildlife.ca.gov/Lands/Places-to-Visit/Bass-Hill-WA,Open; Refer to regulations or contact CDFW regional or area office prior to visit.,38235612.6757813,52640.0671330479
10,Ecological Reserve,Batiquitos Lagoon Ecological Reserve,http://www.wildlife.ca.gov/Lands/Places-to-Visit/Batiquitos-Lagoon-ER,Open; Refer to regulations or contact CDFW regional or area office prior to visit.,3199532.75,16462.9426555399
11,Wildlife Area,Battle Creek Wildlife Area,http://www.wildlife.ca.gov/Lands/Places-to-Visit/Battle-Creek-WA,Open; Refer to regulations or contact CDFW regional or area office prior to visit.,4470965.30078125,17145.9208186838
12,Public Access,Bear River Fishing Access, ,Open,1740288.19140625,15144.2748694363
13,Public Access,Belden's Landing Fishing Access, ,Open,70892.765625,2435.6216461401
14,Ecological Reserve,Redwood Shores Ecological Reserve,http://www.wildlife.ca.gov/Lands/Places-to-Visit/Redwood-Shores-ER,Open; Refer to regulations or contact CDFW regional or area office prior to visit.,1861339.2109375,34295.1117377208
15,Wildlife Area,Big Sandy Wildlife Area,http://www.wildlife.ca.gov/Lands/Places-to-Visit/Big-Sandy-WA,Open; Refer to regulations or contact CDFW regional or area office prior to visit.,4583992.16015625,15316.4535955376
16,Wildlife Area,Ash Creek Wildlife Area,http://www.wildlife.ca.gov/Lands/Places-to-Visit/Ash-Creek-WA,Open; Refer to regulations or contact CDFW regional or area office prior to visit.,104156415.304688,76157.3883356453
17,Wildlife Area,Marble Mountains Wildlife Area,http://www.wildlife.ca.gov/Lands/Places-to-Visit/Marble-Mountains-WA,Open; Refer to regulations or contact CDFW regional or area office prior to visit.,328300606.5625,79103.713559437
18,Wildlife Area,Santa Rosa Wildlife Area,http://www.wildlife.ca.gov/Lands/Places-to-Visit/Santa-Rosa-WA,Open; Refer to regulations or contact CDFW regional or area office prior to visit.,684674177.273438,594452.045678525
19,Ecological Reserve,Allensworth Ecological Reserve,http://www.wildlife.ca.gov/Lands/Places-to-Visit/Allensworth-ER,Open; Refer to regulations or contact CDFW regional or area office prior to visit.,39849881.3671875,159311.43703125
20,Public Access,Bracut Tidelands, ,Open,1021550.66796875,4937.7452964794
21,Ecological Reserve,Buena Vista Lagoon Ecological Reserve,http://www.wildlife.ca.gov/Lands/Places-to-Visit/Buena-Vista-Lagoon-ER,Open; Refer to regulations or contact CDFW regional or area office prior to visit.,1214578.3671875,9323.36891369946
22,Ecological Reserve,By Day Creek Ecological Reserve,http://www.wildlife.ca.gov/Lands/Places-to-Visit/By-Day-Creek-ER,Open; Refer to regulations or contact CDFW regional or area office prior to visit.,2984512.49609375,12239.4948027577
